xml_id	midi_id	track	channel	pitch	onset
n2-1	n0	1	0	60	0.5
n3-1	n1	1	0	62	1.095052083333333
n4-1	n2	1	0	64	1.7057291666666665
n5-1	n3	1	0	65	2.3645833333333335
n7-1	n5	1	0	65	3.52734375
n6-1	n4	1	0	67	3.38671875
n8-1	n6	1	0	64	3.6627604166666665
n9-1	n7	1	0	69	4.2890625
n14-1	n8	1	0	62	4.924479166666667
n15-1	n9	1	0	67	5.588541666666667
n19-1	n12	1	0	65	7.21484375
n18-1	n11	1	0	67	6.93359375
n17-1	n10	1	0	69	6.649739583333333
n23-1	n17	1	0	62	8.368489583333332
n20-1	n13	1	0	64	7.497395833333333
n22-1	n16	1	0	64	8.069010416666666
n21-1	n14	1	0	65	7.76953125
n11-1	n15	1	0	67	8.0390625
n27-1	n23	1	0	59	9.490885416666666
n24-1	n19	1	0	60	8.653645833333332
n26-1	n22	1	0	60	9.204427083333332
n25-1	n20	1	0	62	8.915364583333332
n12-1	n18	1	0	69	8.624999999999998
n13-1	n21	1	0	71	9.190104166666666
n40-1	n25	1	0	57	9.833333333333332
n41-1	n26	1	0	66	10.427083333333332
n29-1	n24	1	0	72	9.803385416666666
n31-1	n28	1	0	72	10.886718749999998
n30-1	n27	1	0	74	10.739583333333332
n42-1	n30	1	0	67	11.049479166666664
n32-1	n29	1	0	71	11.035156249999998
n33-1	n31	1	0	76	11.627604166666666
n45-1	n35	1	0	64	13.182291666666668
n44-1	n34	1	0	66	12.893229166666668
n34-1	n32	1	0	69	12.251302083333334
n35-1	n33	1	0	74	12.864583333333334
n47-1	n38	1	0	62	14.095052083333334
n46-1	n36	1	0	66	13.502604166666668
n39-1	n40	1	0	72	14.384114583333334
n38-1	n39	1	0	74	14.09765625
n37-1	n37	1	0	76	13.783854166666666
n72-1	n44	1	0	55	15.328125000000002
n64-1	n46	1	0	65	15.36197916666667
n63-1	n42	1	0	67	14.73046875
n50-1	n43	1	0	67	15.015625000000002
n51-1	n45	1	0	69	15.348958333333336
n49-1	n41	1	0	71	14.712239583333334
n52-1	n47	1	0	71	15.627604166666671
n73-1	n48	1	0	57	15.933593750000005
n74-1	n53	1	0	59	16.546875000000007
n66-1	n54	1	0	62	16.570312500000007
n65-1	n50	1	0	64	15.968750000000005
n54-1	n51	1	0	71	16.229166666666675
n53-1	n49	1	0	72	15.937500000000005
n55-1	n52	1	0	72	16.542968750000007
n56-1	n55	1	0	74	16.84244791666667
n67-1	n56	1	0	60	17.15364583333334
n77-1	n62	1	0	60	18.166666666666664
n75-1	deletion
n76-1	n61	1	0	62	18.033854166666664
n58-1	n58	1	0	74	17.458333333333336
n57-1	n57	1	0	76	17.15755208333334
n59-1	n59	1	0	76	17.748697916666668
n60-1	n60	1	0	78	18.016927083333332
n78-1	n64	1	0	59	18.326822916666664
n79-1	n66	1	0	64	18.947916666666668
n70-1	n67	1	0	67	18.963541666666668
n62-1	n65	1	0	71	18.9375
n61-1	n63	1	0	79	18.321614583333332
n100-1	n69	1	0	57	19.5703125
n101-1	n70	1	0	62	20.180989583333332
n94-1	n73	1	0	64	20.51953125
n93-1	n72	1	0	65	20.194010416666668
n81-1	n71	1	0	69	20.18359375
n80-1	n68	1	0	72	19.55859375
n105-1	n81	1	0	60	21.690104166666668
n104-1	n79	1	0	62	21.419270833333332
n103-1	n77	1	0	64	21.102864583333332
n95-1	n75	1	0	65	20.8046875
n85-1	n80	1	0	69	21.678385416666668
n84-1	n78	1	0	71	21.37890625
n83-1	n76	1	0	72	21.096354166666664
n82-1	n74	1	0	74	20.79296875
n110-1	n85	1	0	48	22.649739583333336
n106-1	n82	1	0	59	22.010416666666668
n107-1	n86	1	0	60	22.653645833333336
n98-1	n87	1	0	64	22.67838541666667
n97-1	n84	1	0	65	22.346354166666668
n86-1	n83	1	0	67	22.010416666666668
n87-1	n88	1	0	67	22.964843750000004
n111-1	n89	1	0	50	23.28645833333334
n112-1	n94	1	0	52	23.915364583333336
n109-1	n93	1	0	58	23.914062500000004
n99-1	n91	1	0	62	23.328125000000007
n89-1	n92	1	0	64	23.606770833333336
n88-1	n90	1	0	65	23.296875000000007
n90-1	n95	1	0	65	23.92838541666667
n91-1	n96	1	0	67	24.23828125
n137-1	n97	1	0	53	24.552083333333332
n139-1	n107	1	0	53	25.59505208333332
n138-1	n105	1	0	55	25.45703124999999
n128-1	n98	1	0	57	24.553385416666664
n119-1	n100	1	0	60	24.59635416666666
n129-1	n104	1	0	62	25.180989583333325
n120-1	n103	1	0	65	25.177083333333325
n114-1	n101	1	0	67	24.86458333333333
n113-1	n99	1	0	69	24.554687499999996
n115-1	n102	1	0	69	25.15885416666666
n116-1	n106	1	0	71	25.46614583333332
n140-1	n108	1	0	52	25.755208333333318
n130-1	n109	1	0	55	25.755208333333318
n141-1	n112	1	0	57	26.38541666666664
