xml_id	midi_id	track	channel	pitch	onset
n4-1	n3	1	0	66	1.1916666666666667
n1-1	n0	1	0	68	0.5
n3-1	n2	1	0	68	1.0145833333333334
n5-1	n4	1	0	68	1.33125
n2-1	n1	1	0	70	0.8552083333333333
n7-1	n6	1	0	73	1.8708333333333333
n6-1	n5	1	0	77	1.5208333333333333
n11-1	n9	1	0	65	2.759375
n10-1	n8	1	0	66	2.6083333333333334
n9-1	n7	1	0	68	2.2291666666666665
n12-1	n10	1	0	66	2.928125
n13-1	n11	1	0	75	3.2875
n14-1	n12	1	0	65	3.6427083333333345
n15-1	n13	1	0	73	4.004166666666668
n16-1	n14	1	0	63	4.375000000000001
n17-1	n15	1	0	72	4.735416666666667
n19-1	n16	1	0	61	5.0885416666666625
n21-1	n18	1	0	72	5.584374999999992
n20-1	n17	1	0	73	5.423958333333327
n34-1	n22	1	0	61	6.09166666666666
n22-1	n19	1	0	73	5.767708333333326
n23-1	n20	1	0	75	5.91979166666666
n24-1	n21	1	0	77	6.084374999999993
n25-1	n23	1	0	78	6.243749999999992
n37-1	n28	1	0	61	6.706249999999992
n36-1	n26	1	0	63	6.545833333333325
n38-1	n30	1	0	63	6.867708333333325
n35-1	n24	1	0	65	6.416666666666659
n28-1	n29	1	0	77	6.734374999999991
n27-1	n27	1	0	79	6.582291666666658
n29-1	n31	1	0	79	6.881249999999992
n26-1	n25	1	0	80	6.422916666666659
n40-1	n35	1	0	68	7.385416666666659
n39-1	n32	1	0	72	7.047916666666659
n33-1	n37	1	0	75	7.545833333333326
n32-1	n36	1	0	77	7.394791666666659
n31-1	n34	1	0	78	7.217708333333325
n30-1	n33	1	0	80	7.0687499999999925
n57-1	n41	1	0	60	8.218749999999991
n56-1	n40	1	0	61	8.081249999999992
n55-1	n39	1	0	63	7.731249999999992
n42-1	n38	1	0	77	7.723958333333326
n58-1	n42	1	0	61	8.402083333333325
n59-1	n44	1	0	70	8.72499999999999
n45-1	n45	1	0	73	8.736458333333324
n44-1	n43	1	0	75	8.551041666666658
n46-1	n46	1	0	77	8.885416666666657
n60-1	n47	1	0	60	9.061458333333324
n61-1	n50	1	0	68	9.388541666666656
n49-1	n51	1	0	72	9.405208333333324
n48-1	n49	1	0	73	9.226041666666656
n47-1	n48	1	0	75	9.073958333333323
n50-1	n52	1	0	75	9.55937499999999
n62-1	n53	1	0	58	9.742708333333324
n63-1	n56	1	0	67	10.073958333333326
n54-1	n58	1	0	70	10.23541666666666
n52-1	n55	1	0	72	9.904166666666658
n51-1	n54	1	0	73	9.763541666666658
n53-1	n57	1	0	73	10.083333333333327
n70-1	n59	1	0	56	10.399999999999993
n72-1	n63	1	0	67	10.88854166666666
n71-1	n62	1	0	68	10.743749999999995
n65-1	deletion
n66-1	n60	1	0	72	10.40729166666666
n67-1	n61	1	0	75	10.737499999999995
n86-1	n67	1	0	56	11.36979166666666
n73-1	n64	1	0	68	11.045833333333327
n76-1	n69	1	0	68	11.524999999999995
n74-1	n66	1	0	70	11.203124999999993
n75-1	n68	1	0	72	11.381249999999994
n68-1	n65	1	0	78	11.052083333333327
n89-1	n74	1	0	54	11.988541666666663
n88-1	n72	1	0	56	11.834374999999996
n90-1	n76	1	0	56	12.149999999999997
n87-1	n71	1	0	58	11.71145833333333
n79-1	n75	1	0	70	12.007291666666664
n78-1	n73	1	0	72	11.84583333333333
n80-1	n77	1	0	72	12.15833333333333
n77-1	n70	1	0	73	11.694791666666662
n92-1	n82	1	0	61	12.651041666666663
n91-1	n79	1	0	65	12.332291666666665
n84-1	n84	1	0	68	12.797916666666664
n83-1	n83	1	0	70	12.659374999999995
n82-1	n81	1	0	72	12.488541666666663
n81-1	n80	1	0	73	12.344791666666664
n69-1	n78	1	0	77	12.331249999999997
n114-1	n88	1	0	53	13.453124999999998
n113-1	n87	1	0	54	13.310416666666665
n112-1	n85	1	0	56	12.98333333333333
n99-1	n86	1	0	70	12.98333333333333
n115-1	n90	1	0	54	13.642708333333331
n116-1	n92	1	0	63	13.95833333333333
n102-1	n93	1	0	66	13.978124999999997
n101-1	n91	1	0	68	13.778124999999998
n103-1	n94	1	0	70	14.128124999999997
n94-1	n89	1	0	75	13.621875
n117-1	n95	1	0	53	14.284374999999997
n118-1	n98	1	0	61	14.621874999999998
n106-1	n100	1	0	65	14.638541666666663
n105-1	n97	1	0	66	14.45520833333333
n104-1	n96	1	0	68	14.296874999999996
n107-1	n101	1	0	68	14.781249999999996
n96-1	n99	1	0	73	14.628124999999997
n119-1	n102	1	0	51	14.953124999999998
n120-1	n106	1	0	60	15.270833333333334
n111-1	n109	1	0	63	15.432291666666666
n109-1	n105	1	0	65	15.125
n108-1	n104	1	0	66	14.987499999999999
n110-1	n108	1	0	66	15.297916666666667
n97-1	n103	1	0	72	14.959375
n98-1	n107	1	0	75	15.291666666666668
n133-1	n110	1	0	49	15.607291666666667
n135-1	n114	1	0	60	16.148958333333333
n134-1	n113	1	0	61	15.989583333333334
n127-1	n111	1	0	65	15.61875
n122-1	n112	1	0	68	15.976041666666667
n136-1	n116	1	0	61	16.313541666666666
n139-1	n120	1	0	61	16.78541666666666
n137-1	n117	1	0	63	16.456249999999997
n138-1	n119	1	0	65	16.629166666666663
n129-1	n118	1	0	68	16.618749999999995
n123-1	n115	1	0	77	16.292708333333334
n140-1	n122	1	0	58	16.96666666666666
n143-1	n126	1	0	58	17.427083333333325
n141-1	n123	1	0	60	17.12291666666666
n142-1	n124	1	0	61	17.262499999999992
n130-1	n121	1	0	73	16.956249999999994
n125-1	n127	1	0	73	17.427083333333325
n124-1	n125	1	0	77	17.283333333333324
n144-1	n128	1	0	55	17.59999999999999
n147-1	n133	1	0	55	18.067708333333325
n145-1	n130	1	0	56	17.75520833333332
n146-1	n131	1	0	58	17.911458333333325
n126-1	n129	1	0	70	17.613541666666656
n132-1	n134	1	0	70	18.090624999999992
n131-1	n132	1	0	73	17.927083333333325
n160-1	n136	1	0	48	18.285416666666656
n162-1	n139	1	0	58	18.771874999999984
n161-1	n138	1	0	60	18.624999999999982
n154-1	n135	1	0	63	18.26874999999999
n149-1	n137	1	0	70	18.61874999999998
n163-1	n141	1	0	60	18.98541666666665
n166-1	n145	1	0	60	19.44999999999999
n164-1	n142	1	0	61	19.12083333333332
n165-1	n143	1	0	63	19.287499999999987
n156-1	n144	1	0	67	19.30937499999999
n150-1	n140	1	0	75	18.955208333333317
n167-1	n146	1	0	56	19.638541666666654
n170-1	n152	1	0	56	20.14479166666665
n168-1	n148	1	0	58	19.804166666666653
n169-1	n150	1	0	60	19.99166666666665
n157-1	n147	1	0	72	19.65208333333332
n152-1	n151	1	0	72	20.131249999999984
n151-1	n149	1	0	75	19.963541666666654
n171-1	n154	1	0	53	20.321874999999984
n174-1	n159	1	0	53	20.787499999999987
n172-1	n155	1	0	55	20.470833333333317
n173-1	n157	1	0	56	20.63645833333332
n153-1	n153	1	0	68	20.312499999999986
n159-1	n158	1	0	68	20.76249999999999
n158-1	n156	1	0	72	20.61041666666665
n191-1	n161	1	0	46	20.95833333333332
n193-1	n164	1	0	56	21.493749999999984
n192-1	n163	1	0	58	21.34270833333332
n183-1	n160	1	0	61	20.956249999999986
n176-1	n162	1	0	68	21.324999999999985
n194-1	n166	1	0	58	21.662499999999984
n197-1	n170	1	0	58	22.123958333333317
n195-1	n167	1	0	60	21.80520833333332
n196-1	n168	1	0	61	21.976041666666653
n185-1	n169	1	0	65	21.976041666666653
n177-1	n165	1	0	73	21.64999999999998
