onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,0.044270832,68,54,1,0,n0,-10.0,-10.0
0.81380206,0.13151042,70,61,1,0,n1,0.813802,2.0
0.9427083,0.102864586,68,69,1,0,n2,0.813802,2.0
1.0651041,0.095052086,66,70,1,0,n3,0.813802,2.0
1.1770834,0.15494792,68,81,1,0,n4,0.813802,2.0
1.3216146,0.053385418,77,81,1,0,n5,0.813802,2.0
1.6445312,0.037760418,73,74,1,0,n6,1.321615,3.0
1.9726562,0.36328125,68,72,1,0,n7,1.972656,4.0
2.3164062,0.10546875,66,64,1,0,n8,1.972656,4.0
2.4270833,0.110677086,65,71,1,0,n9,1.972656,4.0
2.5416667,0.037760418,66,73,1,0,n10,1.972656,4.0
2.8372395,0.037760418,75,76,1,0,n11,2.541667,5.0
3.154948,0.0390625,65,63,1,0,n12,3.154948,6.0
3.4570312,0.037760418,73,67,1,0,n13,3.154948,6.0
3.7317708,0.04296875,63,67,1,0,n14,3.154948,6.0
4.0351562,0.046875,72,65,1,0,n15,3.731771,7.0
4.372396,0.41927084,61,58,1,0,n16,4.372396,8.0
4.71875,0.072916664,73,52,1,0,n17,4.372396,8.0
4.830729,0.078125,72,60,1,0,n18,4.372396,8.0
4.955729,0.115885414,73,53,1,0,n19,4.955729,9.0
5.078125,0.0703125,75,57,1,0,n20,4.955729,9.0
5.2148438,0.040364582,61,62,1,0,n21,4.955729,9.0
5.2200522,0.100260414,77,64,1,0,n22,4.955729,9.0
5.3554688,0.13671875,78,59,1,0,n23,4.955729,9.0
5.513021,0.096354164,65,58,1,0,n24,5.513021,10.0
5.513021,0.123697914,80,53,1,0,n25,5.513021,10.0
5.6289062,0.11328125,63,66,1,0,n26,5.513021,10.0
5.6354165,0.092447914,79,66,1,0,n27,5.513021,10.0
5.7565103,0.12109375,61,72,1,0,n28,5.513021,10.0
5.763021,0.087239586,77,68,1,0,n29,5.513021,10.0
5.8697915,0.125,79,69,1,0,n30,5.513021,10.0
5.8710938,0.104166664,63,74,1,0,n31,5.513021,10.0
6.0052085,0.0390625,72,77,1,0,n32,6.005208,11.0
6.0052085,0.140625,80,66,1,0,n33,6.005208,11.0
6.143229,0.114583336,78,61,1,0,n34,6.005208,11.0
6.2929688,0.0390625,68,79,1,0,n35,6.005208,11.0
6.2955728,0.13541667,77,68,1,0,n36,6.005208,11.0
6.4388022,0.1953125,75,68,1,0,n37,6.005208,11.0
6.6145835,0.35416666,63,72,1,0,n38,6.005208,11.0
6.6197915,0.81119794,77,73,1,0,n39,6.617188,12.0
6.9791665,0.108072914,61,63,1,0,n40,6.617188,12.0
7.096354,0.122395836,60,73,1,0,n41,6.617188,12.0
7.2265625,0.045572918,61,74,1,0,n42,7.226562,13.0
7.4010415,0.15104167,75,57,1,0,n43,7.226562,13.0
7.528646,0.108072914,73,63,1,0,n44,7.226562,13.0
7.5299478,0.03125,70,79,1,0,n45,7.226562,13.0
7.6601562,0.1484375,77,67,1,0,n46,7.226562,13.0
7.7955728,0.044270832,60,77,1,0,n47,7.226562,13.0
7.8007812,0.123697914,75,63,1,0,n48,7.798177,14.0
7.9205728,0.104166664,73,62,1,0,n49,7.798177,14.0
8.071614,0.108072914,72,63,1,0,n50,7.798177,14.0
8.088542,0.033854168,68,74,1,0,n51,7.798177,14.0
8.196614,0.17317708,75,65,1,0,n52,7.798177,14.0
8.339844,0.13541667,73,62,1,0,n53,7.798177,14.0
8.354167,0.048177082,58,71,1,0,n54,8.347005,15.0
8.470052,0.13411458,72,65,1,0,n55,8.347005,15.0
8.628906,0.0390625,67,68,1,0,n56,8.347005,15.0
8.636719,0.0546875,73,53,1,0,n57,8.347005,15.0
8.7526045,0.04296875,70,62,1,0,n58,8.347005,15.0
8.910156,0.055989582,56,59,1,0,n59,8.347005,15.0
8.930989,0.05078125,70,57,1,0,n60,8.920573,16.0
9.040364,0.049479168,72,67,1,0,n61,8.920573,16.0
9.192708,0.045572918,75,73,1,0,n62,8.920573,16.0
9.201823,0.07421875,68,54,1,0,n63,8.920573,16.0
9.316406,0.16015625,67,59,1,0,n64,8.920573,16.0
9.506511,0.069010414,68,61,1,0,n65,8.920573,16.0
9.522136,0.9453125,78,78,1,0,n66,9.514323,17.0
9.683594,0.16796875,70,53,1,0,n67,9.514323,17.0
9.824219,0.04296875,56,64,1,0,n68,9.514323,17.0
9.832031,0.061197918,72,58,1,0,n69,9.514323,17.0
9.9661455,0.13541667,68,52,1,0,n70,9.514323,17.0
