onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,0.040364582,68,66,1,0,n0,-10.0,-10.0
0.88151044,0.12890625,70,68,1,0,n1,0.88151,2.0
1.015625,0.140625,68,72,1,0,n2,0.88151,2.0
1.1549479,0.078125,66,70,1,0,n3,0.88151,2.0
1.2929688,0.110677086,68,72,1,0,n4,0.88151,2.0
1.4596354,0.045572918,77,79,1,0,n5,1.459635,3.0
1.7890625,0.04296875,73,73,1,0,n6,1.459635,3.0
2.1276042,0.3125,68,77,1,0,n7,2.127604,4.0
2.4479167,0.0703125,66,61,1,0,n8,2.127604,4.0
2.5625,0.100260414,65,61,1,0,n9,2.127604,4.0
2.7291667,0.04296875,66,75,1,0,n10,2.127604,4.0
3.0429688,0.0703125,75,79,1,0,n11,2.729167,5.0
3.3619792,0.067708336,65,75,1,0,n12,3.361979,6.0
3.7135417,0.05859375,73,74,1,0,n13,3.361979,6.0
4.0429688,0.059895832,63,70,1,0,n14,3.361979,6.0
4.377604,0.049479168,72,67,1,0,n15,4.042969,7.0
4.71875,0.3294271,61,58,1,0,n16,4.71875,8.0
5.0429688,0.13151042,73,70,1,0,n17,4.71875,8.0
5.1835938,0.1015625,72,71,1,0,n18,4.71875,8.0
5.3268228,0.12760417,73,78,1,0,n19,4.71875,8.0
5.4648438,0.09765625,75,76,1,0,n20,5.326823,9.0
5.611979,0.1015625,77,80,1,0,n21,5.326823,9.0
5.6171875,0.037760418,61,66,1,0,n22,5.326823,9.0
5.747396,0.1875,78,76,1,0,n23,5.326823,9.0
5.9127603,0.09375,65,71,1,0,n24,5.326823,9.0
5.9140625,0.1640625,80,80,1,0,n25,5.913411,10.0
6.033854,0.13802083,63,71,1,0,n26,5.913411,10.0
6.0429688,0.140625,79,80,1,0,n27,5.913411,10.0
6.1783853,0.115885414,61,71,1,0,n28,5.913411,10.0
6.1875,0.092447914,77,83,1,0,n29,5.913411,10.0
6.3125,0.08984375,63,77,1,0,n30,5.913411,10.0
6.3229165,0.1328125,79,80,1,0,n31,5.913411,10.0
6.4778647,0.091145836,80,76,1,0,n32,5.913411,10.0
6.4856772,0.036458332,72,74,1,0,n33,6.481771,11.0
6.6132812,0.13411458,78,73,1,0,n34,6.481771,11.0
6.7747397,0.115885414,77,76,1,0,n35,6.481771,11.0
6.7877603,0.03125,68,64,1,0,n36,6.481771,11.0
6.9023438,0.17317708,75,70,1,0,n37,6.481771,11.0
7.0742188,0.74609375,77,72,1,0,n38,6.481771,11.0
7.080729,0.29296875,63,63,1,0,n39,7.077474,12.0
7.390625,0.10546875,61,67,1,0,n40,7.077474,12.0
7.5091147,0.17057292,60,63,1,0,n41,7.077474,12.0
7.674479,0.052083332,61,75,1,0,n42,7.674479,13.0
7.8385415,0.110677086,75,63,1,0,n43,7.674479,13.0
7.9908853,0.053385418,70,72,1,0,n44,7.674479,13.0
7.9908853,0.13151042,73,65,1,0,n45,7.674479,13.0
8.131511,0.16796875,77,68,1,0,n46,7.674479,13.0
8.305989,0.036458332,60,73,1,0,n47,7.674479,13.0
8.317708,0.098958336,75,65,1,0,n48,8.311849,14.0
8.453125,0.114583336,73,63,1,0,n49,8.311849,14.0
8.604167,0.076822914,68,77,1,0,n50,8.311849,14.0
8.608073,0.102864586,72,65,1,0,n51,8.311849,14.0
8.751302,0.17447917,75,66,1,0,n52,8.311849,14.0
8.932292,0.071614586,58,74,1,0,n53,8.311849,14.0
8.942708,0.111979164,73,58,1,0,n54,8.9375,15.0
9.061198,0.13411458,72,64,1,0,n55,8.9375,15.0
9.222656,0.28125,73,63,1,0,n56,8.9375,15.0
9.233073,0.033854168,67,72,1,0,n57,8.9375,15.0
9.376302,0.046875,70,63,1,0,n58,8.9375,15.0
9.537761,0.14192708,56,69,1,0,n59,8.9375,15.0
9.555989,0.098958336,70,62,1,0,n60,9.546875,16.0
9.682292,0.14713542,72,66,1,0,n61,9.546875,16.0
9.837239,0.03515625,75,70,1,0,n62,9.546875,16.0
9.852864,0.057291668,68,66,1,0,n63,9.546875,16.0
9.9661455,0.140625,67,62,1,0,n64,9.546875,16.0
10.118489,0.046875,68,75,1,0,n65,9.546875,16.0
10.1328125,0.9921875,78,81,1,0,n66,10.125651,17.0
10.2734375,0.12109375,70,69,1,0,n67,10.125651,17.0
10.4244795,0.033854168,56,68,1,0,n68,10.125651,17.0
10.4296875,0.063802086,72,69,1,0,n69,10.125651,17.0
10.545573,0.20442708,68,70,1,0,n70,10.125651,17.0
10.7213545,0.125,58,80,1,0,n71,10.125651,17.0
10.733073,0.119791664,73,69,1,0,n72,10.727213,18.0
10.850261,0.14713542,56,76,1,0,n73,10.727213,18.0
10.860677,0.16927083,72,69,1,0,n74,10.727213,18.0
10.9973955,0.12630208,54,78,1,0,n75,10.727213,18.0
11.0078125,0.108072914,70,69,1,0,n76,10.727213,18.0
11.123698,0.15885417,72,73,1,0,n77,10.727213,18.0
11.125,0.114583336,56,77,1,0,n78,10.727213,18.0
11.2786455,0.09375,73,80,1,0,n79,10.727213,18.0
11.279948,0.033854168,65,82,1,0,n80,10.727213,18.0
11.285156,0.72265625,77,76,1,0,n81,11.28125,19.0
11.421875,0.0859375,72,75,1,0,n82,11.28125,19.0
11.5755205,0.03515625,61,70,1,0,n83,11.28125,19.0
11.5859375,0.09375,70,69,1,0,n84,11.28125,19.0
11.717448,0.17317708,68,75,1,0,n85,11.28125,19.0
11.911458,0.30989584,56,65,1,0,n86,11.911458,20.0
11.911458,0.6328125,70,70,1,0,n87,11.911458,20.0
12.222656,0.111979164,54,63,1,0,n88,11.911458,20.0
12.345052,0.17578125,53,63,1,0,n89,11.911458,20.0
12.516927,0.044270832,54,67,1,0,n90,11.911458,20.0
12.522136,0.4765625,75,72,1,0,n91,12.519531,21.0
12.660156,0.125,68,62,1,0,n92,12.519531,21.0
12.832031,0.104166664,66,63,1,0,n93,12.519531,21.0
12.839844,0.067708336,63,66,1,0,n94,12.519531,21.0
12.9505205,0.098958336,70,68,1,0,n95,12.519531,21.0
13.105469,0.13020833,68,68,1,0,n96,12.519531,21.0
13.128906,0.048177082,53,63,1,0,n97,13.117188,22.0
13.21875,0.16666667,66,72,1,0,n98,13.117188,22.0
13.380208,0.12890625,73,69,1,0,n99,13.117188,22.0
13.397136,0.075520836,65,68,1,0,n100,13.117188,22.0
13.3984375,0.052083332,61,67,1,0,n101,13.117188,22.0
13.520833,0.104166664,68,70,1,0,n102,13.117188,22.0
13.670573,0.06640625,52,65,1,0,n103,13.117188,22.0
13.673177,0.07421875,72,74,1,0,n104,13.117188,22.0
13.708333,0.084635414,66,59,1,0,n105,13.684028,23.0
13.819011,0.0703125,65,72,1,0,n106,13.684028,23.0
13.962239,0.2565104,75,76,1,0,n107,13.684028,23.0
13.967448,0.026041666,60,59,1,0,n108,13.684028,23.0
13.9817705,0.18619792,66,60,1,0,n109,13.684028,23.0
14.100261,0.049479168,63,58,1,0,n110,13.684028,23.0
14.2890625,0.03515625,49,53,1,0,n111,13.684028,23.0
14.2994795,0.65625,65,58,1,0,n112,14.29427,24.0
14.604167,0.108072914,61,54,1,0,n113,14.29427,24.0
