xml_id	midi_id	track	channel	pitch	onset
n4-1	n3	1	0	66	1.1809895833333333
n1-1	n0	1	0	68	0.5
n3-1	n2	1	0	68	1.0208333333333333
n5-1	n4	1	0	68	1.34375
n2-1	n1	1	0	70	0.8736979166666666
n7-1	n6	1	0	73	1.8580729166666667
n6-1	n5	1	0	77	1.5143229166666667
n11-1	n9	1	0	65	2.7252604166666665
n10-1	n8	1	0	66	2.58984375
n9-1	n7	1	0	68	2.23046875
n12-1	n10	1	0	66	2.8854166666666665
n13-1	n11	1	0	75	3.22265625
n14-1	n12	1	0	65	3.5572916666666665
n15-1	n13	1	0	73	3.8815104166666665
n16-1	n14	1	0	63	4.190104166666666
n17-1	n15	1	0	72	4.540364583333333
n19-1	n16	1	0	61	4.87109375
n21-1	n18	1	0	72	5.361979166666667
n20-1	n17	1	0	73	5.205729166666667
n34-1	n21	1	0	61	5.833333333333333
n22-1	n19	1	0	73	5.520833333333334
n23-1	n20	1	0	75	5.66796875
n24-1	n22	1	0	77	5.834635416666666
n25-1	n23	1	0	78	5.997395833333333
n37-1	n29	1	0	61	6.485677083333334
n36-1	n26	1	0	63	6.322916666666666
n38-1	n30	1	0	63	6.622395833333334
n35-1	n25	1	0	65	6.171875
n28-1	n28	1	0	77	6.483072916666667
n27-1	n27	1	0	79	6.325520833333333
n29-1	n31	1	0	79	6.627604166666668
n26-1	n24	1	0	80	6.161458333333333
n40-1	n35	1	0	68	7.106770833333334
n39-1	n32	1	0	72	6.789062500000002
n33-1	n37	1	0	75	7.273437500000001
n32-1	n36	1	0	77	7.109375000000001
n31-1	n34	1	0	78	6.946614583333334
n30-1	n33	1	0	80	6.795572916666668
n57-1	n41	1	0	60	7.942708333333336
n56-1	n40	1	0	61	7.792968750000002
n55-1	n39	1	0	63	7.445312500000001
n42-1	n38	1	0	77	7.444010416666668
n58-1	n42	1	0	61	8.10416666666667
n59-1	n45	1	0	70	8.433593750000004
n45-1	n44	1	0	73	8.430989583333336
n44-1	n43	1	0	75	8.26822916666667
n46-1	n46	1	0	77	8.583333333333337
n60-1	n48	1	0	60	8.748697916666671
n61-1	n51	1	0	68	9.065104166666671
n49-1	n50	1	0	72	9.057291666666671
n48-1	n49	1	0	73	8.884114583333337
n47-1	n47	1	0	75	8.742187500000004
n50-1	n52	1	0	75	9.201822916666671
n62-1	n53	1	0	58	9.361979166666671
n63-1	n57	1	0	67	9.678385416666671
n54-1	n58	1	0	70	9.82552083333334
n52-1	n55	1	0	72	9.524739583333337
n51-1	n54	1	0	73	9.371093750000005
n53-1	n56	1	0	73	9.670572916666671
n70-1	n59	1	0	56	9.95833333333334
n72-1	n64	1	0	67	10.447916666666673
n71-1	n62	1	0	68	10.29817708333334
n65-1	n60	1	0	70	9.986979166666673
n66-1	n61	1	0	72	10.12630208333334
n67-1	n63	1	0	75	10.29817708333334
n86-1	n68	1	0	56	10.907552083333341
n73-1	n66	1	0	68	10.602864583333341
n76-1	n70	1	0	68	11.069010416666673
n74-1	n67	1	0	70	10.753906250000009
n75-1	n69	1	0	72	10.910156250000007
n68-1	n65	1	0	78	10.593750000000007
n89-1	n75	1	0	54	11.550781250000007
n88-1	n73	1	0	56	11.394531250000007
n90-1	n77	1	0	56	11.686197916666673
n87-1	n71	1	0	58	11.229166666666673
n79-1	n76	1	0	70	11.558593750000007
n78-1	n74	1	0	72	11.394531250000007
n80-1	n78	1	0	72	11.687500000000007
n77-1	n72	1	0	73	11.244791666666673
n92-1	n83	1	0	61	12.162760416666675
n91-1	n81	1	0	65	11.854166666666673
n84-1	n85	1	0	68	12.313802083333341
n83-1	n84	1	0	70	12.166666666666675
n82-1	n82	1	0	72	11.994791666666675
n81-1	n79	1	0	73	11.847656250000007
n69-1	n80	1	0	77	11.851562500000007
n114-1	n89	1	0	53	12.963541666666673
n113-1	n88	1	0	54	12.822916666666673
n112-1	n86	1	0	56	12.483072916666673
n99-1	n87	1	0	70	12.490885416666673
n115-1	n90	1	0	54	13.117187500000007
n116-1	n93	1	0	63	13.449218750000005
n102-1	n94	1	0	66	13.45052083333334
n101-1	n92	1	0	68	13.291666666666673
n103-1	n95	1	0	70	13.59895833333334
n94-1	n91	1	0	75	13.128906250000007
n117-1	n97	1	0	53	13.753906250000005
n118-1	n100	1	0	61	14.059895833333337
n106-1	n101	1	0	65	14.070312500000004
n105-1	n98	1	0	66	13.90364583333334
n104-1	n96	1	0	68	13.750000000000005
n107-1	n102	1	0	68	14.199218750000005
n96-1	n99	1	0	73	14.053385416666671
n119-1	n103	1	0	51	14.338541666666671
n120-1	n108	1	0	60	14.674479166666671
n111-1	n109	1	0	63	14.813802083333337
n109-1	n105	1	0	65	14.531250000000005
n110-1	n107	1	0	66	14.673177083333337
n108-1	deletion
n97-1	n104	1	0	72	14.36848958333334
n98-1	n106	1	0	75	14.635416666666671
n133-1	n110	1	0	49	14.967447916666671
n135-1	n114	1	0	60	15.464843750000005
n134-1	n112	1	0	61	15.317708333333337
n127-1	n111	1	0	65	14.977864583333337
n122-1	n113	1	0	68	15.319010416666671
n136-1	n116	1	0	61	15.632812500000005
n139-1	n120	1	0	61	16.08463541666667
n137-1	n117	1	0	63	15.779947916666671
n138-1	n118	1	0	65	15.938802083333337
n129-1	n119	1	0	68	15.951822916666671
n123-1	n115	1	0	77	15.62239583333334
n140-1	n122	1	0	58	16.277343750000004
n143-1	n126	1	0	58	16.718750000000004
n141-1	n123	1	0	60	16.40494791666667
n142-1	n124	1	0	61	16.567708333333336
n130-1	n121	1	0	73	16.265625000000004
n125-1	n127	1	0	73	16.72526041666667
n124-1	n125	1	0	77	16.576822916666668
n144-1	n128	1	0	55	16.88020833333334
n147-1	n134	1	0	55	17.34635416666667
n145-1	n130	1	0	56	17.01302083333334
n146-1	n132	1	0	58	17.19010416666667
n126-1	n129	1	0	70	16.886718750000007
n132-1	n133	1	0	70	17.34114583333334
n131-1	n131	1	0	73	17.18229166666667
n160-1	n136	1	0	48	17.519531250000004
n162-1	n139	1	0	58	17.998697916666668
n161-1	n138	1	0	60	17.852864583333336
n154-1	n135	1	0	63	17.51432291666667
n149-1	n137	1	0	70	17.843750000000004
n163-1	n140	1	0	60	18.171875
n166-1	n145	1	0	60	18.64453125
n164-1	n142	1	0	61	18.338541666666668
n165-1	n143	1	0	63	18.490885416666668
n156-1	n144	1	0	67	18.502604166666668
n150-1	n141	1	0	75	18.173177083333332
n167-1	n146	1	0	56	18.811197916666668
n170-1	n152	1	0	56	19.290364583333336
n168-1	n148	1	0	58	18.970052083333336
n169-1	n150	1	0	60	19.140625000000004
n157-1	n147	1	0	72	18.832031250000004
n152-1	n151	1	0	72	19.289062500000004
n151-1	n149	1	0	75	19.136718750000004
n171-1	n154	1	0	53	19.462239583333336
n174-1	n158	1	0	53	19.891927083333332
n172-1	n155	1	0	55	19.5859375
n173-1	n156	1	0	56	19.747395833333332
n153-1	n153	1	0	68	19.446614583333336
n159-1	n159	1	0	68	19.903645833333332
n158-1	n157	1	0	72	19.75
n191-1	n160	1	0	46	20.075520833333332
n193-1	n164	1	0	56	20.561197916666668
n192-1	n163	1	0	58	20.41015625
n183-1	n161	1	0	61	20.075520833333332
n176-1	n162	1	0	68	20.403645833333332
n194-1	n165	1	0	58	20.731770833333336
n197-1	n170	1	0	58	21.210937500000004
n195-1	n167	1	0	60	20.890625000000004
n196-1	n168	1	0	61	21.048177083333336
n185-1	n169	1	0	65	21.061197916666668
n177-1	n166	1	0	73	20.742187500000004
n198-1	n171	1	0	55	21.381510416666668
n201-1	n177	1	0	55	21.81510416666667
n199-1	n173	1	0	56	21.527343750000004
n200-1	n175	1	0	58	21.68229166666667
n186-1	n172	1	0	70	21.381510416666668
n181-1	n178	1	0	70	21.82942708333334
n179-1	n174	1	0	72	21.535156250000004
n180-1	n176	1	0	73	21.68880208333334
n202-1	n180	1	0	51	21.98567708333334
n205-1	n185	1	0	51	22.445312500000004
n203-1	n182	1	0	53	22.13802083333334
n204-1	n184	1	0	55	22.29947916666667
n190-1	n186	1	0	70	22.445312500000004
n188-1	n181	1	0	73	22.13411458333334
n189-1	n183	1	0	75	22.29557291666667
n182-1	n179	1	0	82	21.984375000000007
n231-1	n187	1	0	44	22.593750000000004
n232-1	n191	1	0	56	22.924479166666664
n233-1	n193	1	0	58	23.079427083333332
n220-1	n188	1	0	72	22.618489583333336
n208-1	n190	1	0	79	22.919270833333332
n207-1	n189	1	0	80	22.768229166666668
n209-1	n192	1	0	82	23.067708333333332
n235-1	n199	1	0	56	23.57161458333333
n234-1	n195	1	0	60	23.225260416666664
n222-1	n198	1	0	68	23.56380208333333
n211-1	n196	1	0	75	23.38541666666666
n212-1	n197	1	0	77	23.55989583333333
n213-1	n200	1	0	78	23.714843749999996
n210-1	n194	1	0	80	23.222656249999996
n236-1	n201	1	0	61	23.835937499999996
n225-1	n205	1	0	65	24.153645833333332
n224-1	n203	1	0	67	23.998697916666664
n226-1	n207	1	0	67	24.302083333333332
n216-1	n206	1	0	73	24.161458333333332
n215-1	n204	1	0	75	24.006510416666664
n217-1	n208	1	0	75	24.313802083333332
n214-1	n202	1	0	77	23.861979166666664
n237-1	n211	1	0	60	24.479166666666664
n230-1	n215	1	0	63	24.928385416666664
n229-1	n213	1	0	65	24.78385416666666
n228-1	n212	1	0	66	24.624999999999996
n227-1	n210	1	0	68	24.476562499999996
n219-1	n214	1	0	80	24.78776041666666
n218-1	n209	1	0	84	24.463541666666664
n261-1	n220	1	0	56	25.503906249999996
n260-1	n217	1	0	58	25.15755208333333
n247-1	n218	1	0	65	25.15755208333333
n240-1	n221	1	0	72	25.640624999999996
n239-1	n219	1	0	73	25.50130208333333
n238-1	n216	1	0	75	25.144531249999996
n262-1	n222	1	0	55	25.791666666666664
n250-1	n226	1	0	61	26.108072916666668
n249-1	n224	1	0	63	25.947916666666668
n251-1	n227	1	0	65	26.265625
n241-1	n223	1	0	73	25.798177083333332
n242-1	n225	1	0	82	26.098958333333336
n263-1	n230	1	0	56	26.432291666666668
n254-1	n232	1	0	60	26.736979166666668
n253-1	n231	1	0	61	26.575520833333336
n252-1	n228	1	0	63	26.428385416666668
n255-1	n234	1	0	63	26.869791666666664
n243-1	n229	1	0	72	26.4296875
n244-1	n233	1	0	80	26.736979166666668
n264-1	n237	1	0	51	27.04947916666666
n259-1	n241	1	0	58	27.518229166666664
n257-1	n238	1	0	60	27.194010416666664
n256-1	n236	1	0	61	27.04427083333333
n258-1	n239	1	0	61	27.377604166666664
n245-1	n235	1	0	70	27.039062499999996
n246-1	n240	1	0	79	27.386718749999996
n287-1	n242	1	0	56	27.684895833333332
n281-1	n244	1	0	60	27.700520833333332
n282-1	n247	1	0	63	28.01171875
n265-1	n243	1	0	68	27.694010416666664
n266-1	n245	1	0	70	27.845052083333332
n267-1	n246	1	0	72	27.99609375
n268-1	n248	1	0	73	28.149739583333332
n290-1	n255	1	0	60	28.799479166666664
n289-1	n253	1	0	63	28.627604166666664
n283-1	n250	1	0	68	28.330729166666668
n271-1	n252	1	0	68	28.624999999999996
n270-1	n251	1	0	70	28.470052083333332
n269-1	n249	1	0	72	28.31640625
n272-1	n254	1	0	72	28.773437499999996
n291-1	n256	1	0	56	28.936197916666664
n285-1	n262	1	0	56	29.41276041666666
n284-1	n260	1	0	59	29.235677083333325
n275-1	n259	1	0	74	29.234374999999993
n274-1	n258	1	0	75	29.085937499999996
