xml_id	midi_id	track	channel	pitch	onset
n6-1	n2	1	0	59	1.5708333333333333
n7-1	n3	1	0	61	1.721875
n8-1	n4	1	0	63	1.871875
n3-1	n0	1	0	64	0.49999999999999994
n4-1	n1	1	0	66	0.809375
n16-1	n6	1	0	63	2.165625
n15-1	n5	1	0	64	2.017708333333333
n17-1	n7	1	0	64	2.298958333333333
n18-1	n8	1	0	66	2.43125
n19-1	n9	1	0	68	2.5812500000000003
n22-1	n12	1	0	68	2.9916666666666667
n20-1	n10	1	0	69	2.7187500000000004
n21-1	n11	1	0	71	2.8489583333333335
n32-1	n26	1	0	71	4.329166666666667
n10-1	deletion
n24-1	n15	1	0	63	3.3041666666666667
n23-1	n14	1	0	64	3.173958333333333
n25-1	n16	1	0	64	3.466666666666667
n26-1	n17	1	0	66	3.6145833333333335
n11-1	n13	1	0	73	3.1552083333333334
n28-1	n19	1	0	63	3.9031250000000006
n27-1	n18	1	0	64	3.772916666666667
n29-1	n21	1	0	64	4.035416666666667
n12-1	n20	1	0	66	3.9031250000000006
n30-1	n24	1	0	66	4.195833333333334
n13-1	n22	1	0	68	4.045833333333334
n14-1	n23	1	0	70	4.170833333333333
n49-1	n28	1	0	61	4.467708333333333
n48-1	n25	1	0	63	4.329166666666667
n50-1	n29	1	0	63	4.597916666666667
n51-1	n32	1	0	64	4.760416666666668
n33-1	n27	1	0	70	4.455208333333333
n34-1	n30	1	0	71	4.604166666666667
n35-1	n31	1	0	73	4.7510416666666675
n52-1	n34	1	0	66	4.904166666666668
n55-1	n40	1	0	66	5.315625000000001
n53-1	n36	1	0	68	5.033333333333334
n54-1	n37	1	0	69	5.165625000000001
n36-1	n33	1	0	75	4.8864583333333345
n39-1	n39	1	0	75	5.304166666666667
n37-1	n35	1	0	76	5.020833333333334
n38-1	n38	1	0	78	5.169791666666668
n57-1	n44	1	0	59	5.737500000000002
n56-1	n41	1	0	68	5.4333333333333345
n41-1	n43	1	0	69	5.589583333333335
n40-1	n42	1	0	71	5.454166666666668
n42-1	n45	1	0	71	5.757291666666668
n43-1	n46	1	0	73	5.900000000000001
n62-1	n50	1	0	52	6.3135416666666675
n58-1	n47	1	0	64	6.033333333333335
n45-1	n49	1	0	69	6.1885416666666675
n44-1	n48	1	0	71	6.054166666666668
n46-1	n51	1	0	71	6.335416666666667
n47-1	n52	1	0	73	6.471875000000001
n83-1	n53	1	0	54	6.612500000000001
n77-1	n56	1	0	63	6.913541666666667
n64-1	n55	1	0	68	6.754166666666667
n63-1	n54	1	0	69	6.621875000000001
n65-1	n57	1	0	69	6.9229166666666675
n66-1	n58	1	0	71	7.077083333333334
n85-1	n61	1	0	47	7.337500000000001
n86-1	n63	1	0	49	7.477083333333335
n87-1	n65	1	0	51	7.606250000000001
n78-1	n59	1	0	66	7.220833333333334
n68-1	n62	1	0	68	7.351041666666668
n67-1	n60	1	0	69	7.220833333333334
n69-1	n64	1	0	69	7.514583333333334
n70-1	n66	1	0	71	7.628125000000001
n89-1	n70	1	0	51	7.9
n88-1	n67	1	0	52	7.762500000000001
n90-1	n71	1	0	52	8.05625
n91-1	n75	1	0	54	8.183333333333334
n80-1	n73	1	0	59	8.067708333333334
n72-1	n69	1	0	66	7.894791666666667
n71-1	n68	1	0	68	7.7770833333333345
n73-1	n72	1	0	68	8.05625
n74-1	n74	1	0	70	8.175
n92-1	n76	1	0	56	8.326041666666669
n95-1	n82	1	0	56	8.781250000000005
n93-1	n79	1	0	57	8.47604166666667
n94-1	n81	1	0	59	8.639583333333338
n82-1	n80	1	0	63	8.634375000000004
n81-1	n78	1	0	64	8.367708333333336
n75-1	n77	1	0	71	8.346875000000002
n105-1	n85	1	0	51	9.071875000000006
n104-1	n84	1	0	52	8.943750000000007
n106-1	n86	1	0	52	9.22395833333334
n107-1	n87	1	0	54	9.368750000000006
n102-1	n83	1	0	61	8.938541666666673
n109-1	n90	1	0	51	9.681250000000006
n108-1	n88	1	0	52	9.533333333333339
n110-1	n91	1	0	52	9.837500000000007
n111-1	n92	1	0	54	9.966666666666676
n97-1	n89	1	0	70	9.540625000000006
n113-1	n96	1	0	49	10.265625000000007
n112-1	n93	1	0	51	10.117708333333342
n114-1	n98	1	0	51	10.400000000000007
n115-1	n99	1	0	52	10.554166666666674
n103-1	n94	1	0	59	10.117708333333342
n98-1	n95	1	0	71	10.126041666666675
n99-1	n97	1	0	83	10.394791666666674
n116-1	n101	1	0	54	10.709375000000009
n119-1	n105	1	0	54	11.103125000000007
n117-1	n102	1	0	56	10.842708333333341
n118-1	n104	1	0	57	10.988541666666674
n100-1	n100	1	0	75	10.691666666666675
n101-1	n103	1	0	78	10.962500000000007
n132-1	n108	1	0	54	11.419791666666674
n131-1	n106	1	0	56	11.268750000000008
n133-1	n110	1	0	56	11.587500000000007
n134-1	n111	1	0	57	11.741666666666674
n120-1	n107	1	0	71	11.272916666666674
n125-1	n109	1	0	76	11.57395833333334
n135-1	n113	1	0	59	11.897916666666674
n138-1	n117	1	0	59	12.350000000000007
n136-1	n114	1	0	61	12.040625000000007
n137-1	n116	1	0	62	12.213541666666673
n126-1	n112	1	0	68	11.889583333333341
n127-1	n115	1	0	71	12.18020833333334
n140-1	n120	1	0	59	12.651041666666673
n139-1	n119	1	0	61	12.488541666666674
n141-1	n121	1	0	61	12.763541666666672
n142-1	n124	1	0	63	12.921875000000005
n128-1	n118	1	0	64	12.484375000000007
n129-1	n123	1	0	66	12.790625000000006
n122-1	n122	1	0	69	12.78020833333334
n146-1	n131	1	0	59	13.46666666666667
n145-1	n129	1	0	61	13.340625000000003
n144-1	n127	1	0	63	13.200000000000003
n143-1	n126	1	0	64	13.06979166666667
n130-1	n130	1	0	64	13.340625000000003
n123-1	n125	1	0	68	13.059375000000005
n124-1	n128	1	0	76	13.331250000000002
n166-1	n135	1	0	56	13.786458333333337
n165-1	n133	1	0	57	13.634375000000004
n167-1	n136	1	0	57	13.953125000000004
n168-1	n137	1	0	59	14.090625000000003
n159-1	n134	1	0	64	13.634375000000004
n147-1	n132	1	0	78	13.62291666666667
n170-1	n141	1	0	56	14.360416666666667
n169-1	n139	1	0	57	14.234375000000002
n171-1	n143	1	0	57	14.491666666666669
n172-1	n145	1	0	59	14.615625000000003
n160-1	n138	1	0	63	14.214583333333335
n161-1	n144	1	0	66	14.508333333333336
n148-1	n140	1	0	71	14.348958333333334
n149-1	n142	1	0	73	14.480208333333335
n150-1	n146	1	0	75	14.615625000000003
n174-1	n152	1	0	54	15.078125000000002
n173-1	n147	1	0	56	14.780208333333336
n162-1	n148	1	0	59	14.780208333333336
n152-1	n150	1	0	75	14.914583333333335
n151-1	n149	1	0	76	14.784375000000002
n153-1	n151	1	0	76	15.070833333333335
n154-1	n153	1	0	78	15.218750000000002
n176-1	n157	1	0	51	15.635416666666668
n175-1	n155	1	0	52	15.366666666666669
n164-1	n159	1	0	71	15.642708333333335
n155-1	n154	1	0	80	15.356250000000003
n158-1	n160	1	0	80	15.767708333333335
n156-1	n156	1	0	81	15.482291666666669
n157-1	n158	1	0	83	15.635416666666668
n205-1	n161	1	0	49	15.921875000000002
n206-1	n165	1	0	59	16.2375
n192-1	n162	1	0	73	15.928125000000001
n178-1	n164	1	0	75	16.096875
n177-1	n163	1	0	76	15.958333333333334
n179-1	n166	1	0	76	16.2375
n180-1	n167	1	0	78	16.373958333333334
n208-1	n172	1	0	54	16.76458333333333
n207-1	n168	1	0	58	16.493750000000002
n194-1	n171	1	0	66	16.65625
n195-1	n173	1	0	68	16.788541666666664
n196-1	n175	1	0	70	16.922916666666662
n182-1	n170	1	0	75	16.647916666666667
n181-1	n169	1	0	76	16.51354166666667
n183-1	n174	1	0	76	16.796874999999996
n184-1	n176	1	0	78	16.922916666666662
n209-1	n178	1	0	59	17.07395833333333
n198-1	n180	1	0	70	17.214583333333326
n197-1	n177	1	0	71	17.059374999999996
n199-1	n183	1	0	71	17.35624999999999
n186-1	n181	1	0	73	17.232291666666658
n200-1	n184	1	0	73	17.466666666666654
n185-1	n179	1	0	75	17.081249999999997
n187-1	n182	1	0	75	17.354166666666654
n188-1	n185	1	0	76	17.501041666666655
n201-1	n186	1	0	75	17.594791666666655
n204-1	n192	1	0	75	18.037499999999984
n202-1	n188	1	0	76	17.74270833333332
n189-1	n187	1	0	78	17.615624999999987
n203-1	n190	1	0	78	17.893749999999986
n190-1	n189	1	0	80	17.74270833333332
n191-1	n191	1	0	81	17.897916666666653
n220-1	n195	1	0	69	18.332291666666652
n219-1	n193	1	0	71	18.24270833333332
n221-1	n196	1	0	71	18.482291666666654
n222-1	n198	1	0	73	18.615624999999987
n213-1	n197	1	0	75	18.494791666666654
n224-1	n201	1	0	69	18.932291666666654
n223-1	n200	1	0	71	18.787499999999987
n225-1	n202	1	0	71	19.078124999999986
n226-1	n203	1	0	73	19.204166666666655
n214-1	n199	1	0	80	18.774999999999988
n228-1	n205	1	0	68	19.506249999999987
n227-1	n204	1	0	69	19.359374999999986
n229-1	n207	1	0	69	19.65729166666665
n230-1	n209	1	0	71	19.762499999999985
n217-1	n208	1	0	76	19.759374999999984
n216-1	n206	1	0	78	19.62708333333332
n238-1	n213	1	0	59	20.15208333333332
n232-1	n212	1	0	68	19.993749999999984
n231-1	n210	1	0	69	19.878124999999986
n233-1	n214	1	0	69	20.179166666666653
n234-1	n215	1	0	71	20.285416666666652
n218-1	n211	1	0	75	19.90416666666665
n259-1	n216	1	0	61	20.440624999999986
n253-1	n220	1	0	64	20.747916666666654
n252-1	n217	1	0	68	20.447916666666654
n240-1	n219	1	0	75	20.61458333333332
n239-1	n218	1	0	76	20.493749999999988
n241-1	n221	1	0	76	20.77708333333332
n242-1	n222	1	0	78	20.91145833333332
n261-1	n225	1	0	54	21.191666666666656
n262-1	n227	1	0	56	21.335416666666656
n263-1	n229	1	0	57	21.469791666666655
n254-1	n224	1	0	69	21.069791666666656
n244-1	n226	1	0	75	21.201041666666654
n243-1	n223	1	0	76	21.058333333333323
n245-1	n228	1	0	76	21.344791666666655
n246-1	n230	1	0	78	21.479166666666654
n265-1	n233	1	0	57	21.749999999999993
n264-1	n231	1	0	59	21.608333333333324
n266-1	n235	1	0	59	21.88437499999999
n267-1	n237	1	0	61	22.017708333333324
n248-1	n234	1	0	73	21.755208333333325
n247-1	n232	1	0	75	21.61249999999999
n249-1	n236	1	0	75	21.889583333333324
n250-1	n238	1	0	76	22.020833333333325
n271-1	n245	1	0	61	22.558333333333334
n268-1	n239	1	0	63	22.159374999999994
n270-1	n243	1	0	63	22.415625
n269-1	n241	1	0	64	22.28958333333333
n256-1	n242	1	0	72	22.304166666666664
n257-1	n244	1	0	73	22.456249999999997
n258-1	n246	1	0	75	22.564583333333335
n251-1	n240	1	0	78	22.16354166666666
n284-1	n249	1	0	56	22.872916666666665
n285-1	n250	1	0	58	23.017708333333335
n283-1	n248	1	0	60	22.738541666666666
n286-1	n252	1	0	60	23.140625000000004
n280-1	n247	1	0	68	22.717708333333334
n274-1	n253	1	0	75	23.14479166666667
n273-1	n251	1	0	76	23.03229166666667
n287-1	n255	1	0	61	23.284375000000004
n290-1	n259	1	0	61	23.746875000000006
n288-1	n256	1	0	63	23.435416666666672
n289-1	n258	1	0	64	23.606250000000006
n281-1	n257	1	0	73	23.576041666666672
n275-1	n254	1	0	76	23.28229166666667
n292-1	n262	1	0	56	24.04062500000001
n291-1	n261	1	0	57	23.88958333333334
n293-1	n264	1	0	57	24.203125000000007
n294-1	n265	1	0	59	24.34270833333334
n282-1	n260	1	0	66	23.87395833333334
n277-1	n263	1	0	76	24.17812500000001
n296-1	n268	1	0	56	24.626041666666676
n295-1	n266	1	0	57	24.488541666666677
n297-1	n269	1	0	57	24.760416666666675
n298-1	n271	1	0	59	24.902083333333337
n279-1	n270	1	0	73	24.77708333333334
n278-1	n267	1	0	75	24.488541666666677
n315-1	n274	1	0	52	25.20104166666667
n316-1	n276	1	0	54	25.345833333333335
n314-1	n273	1	0	56	25.056250000000002
n317-1	n277	1	0	56	25.459375
n300-1	n275	1	0	68	25.339583333333334
n299-1	n272	1	0	72	25.045833333333334
n318-1	n279	1	0	57	25.622916666666672
n321-1	n284	1	0	57	26.06979166666667
n319-1	n281	1	0	59	25.763541666666672
n320-1	n282	1	0	61	25.92604166666667
n308-1	n280	1	0	64	25.640625000000007
n309-1	n283	1	0	69	25.933333333333337
n301-1	n278	1	0	73	25.620833333333337
n323-1	n287	1	0	52	26.359375
n322-1	n285	1	0	54	26.214583333333337
n324-1	n290	1	0	54	26.51875
n325-1	n291	1	0	56	26.6375
n310-1	n286	1	0	63	26.234375000000004
n311-1	n289	1	0	66	26.5
n303-1	n288	1	0	75	26.485416666666666
n327-1	n295	1	0	52	26.92083333333333
n326-1	n292	1	0	54	26.791666666666664
n328-1	n296	1	0	54	27.069791666666664
n329-1	n299	1	0	56	27.181249999999995
n312-1	n294	1	0	60	26.801041666666666
n313-1	n297	1	0	63	27.08333333333333
n304-1	n293	1	0	68	26.794791666666665
n305-1	n298	1	0	70	27.08854166666666
n306-1	n300	1	0	72	27.235416666666662
n352-1	n305	1	0	51	27.672916666666666
n351-1	n303	1	0	52	27.379166666666666
n346-1	n301	1	0	56	27.362499999999997
n331-1	n304	1	0	72	27.485416666666666
n330-1	n302	1	0	73	27.364583333333332
n332-1	n306	1	0	73	27.672916666666666
n333-1	n307	1	0	75	27.79375
n353-1	n309	1	0	49	27.956249999999997
n354-1	n311	1	0	52	28.2125
n334-1	n308	1	0	76	27.944791666666664
n337-1	n313	1	0	76	28.349999999999998
n335-1	n310	1	0	78	28.082291666666666
n336-1	n312	1	0	80	28.223958333333332
n355-1	n314	1	0	46	28.510416666666664
n356-1	n317	1	0	56	28.77708333333333
n339-1	n316	1	0	71	28.644791666666663
n338-1	n315	1	0	73	28.51770833333333
n340-1	n318	1	0	73	28.794791666666665
n341-1	n319	1	0	75	28.924999999999997
n358-1	n324	1	0	51	29.37604166666667
n357-1	n320	1	0	55	29.084374999999998
n350-1	n321	1	0	58	29.086458333333333
n343-1	n323	1	0	71	29.258333333333333
n342-1	n322	1	0	73	29.096875
n344-1	n325	1	0	73	29.415625000000002
n345-1	n326	1	0	75	29.556250000000002
n379-1	n327	1	0	44	29.65833333333334
n380-1	n330	1	0	46	29.95833333333334
n360-1	n329	1	0	70	29.841666666666672
n359-1	n328	1	0	71	29.71041666666667
n361-1	n331	1	0	71	29.977083333333336
n362-1	n332	1	0	73	30.108333333333338
n382-1	n337	1	0	46	30.521875000000005
n381-1	n333	1	0	47	30.243750000000002
n376-1	n335	1	0	56	30.269791666666666
n363-1	n334	1	0	75	30.253125
n366-1	n339	1	0	75	30.684375000000006
n364-1	n336	1	0	76	30.390625000000004
n365-1	n338	1	0	78	30.53333333333334
n383-1	n340	1	0	44	30.80729166666667
n384-1	n343	1	0	54	31.091666666666672
n368-1	n342	1	0	69	30.971875000000004
