onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
1.5,0.5,1.5,0.5,6,2,64,2,n3-1,-10.0,-10.0
2.0,1.0,2.0,1.0,8,4,66,2,n4-1,2.0,0.809375
3.25,0.25,3.25,0.25,13,1,59,2,n6-1,3.0,1.413542
3.5,0.25,3.5,0.25,14,1,61,2,n7-1,3.0,1.413542
3.75,0.25,3.75,0.25,15,1,63,2,n8-1,3.0,1.413542
4.0,0.25,4.0,0.25,16,1,64,2,n15-1,4.0,2.017708
4.25,0.25,4.25,0.25,17,1,63,2,n16-1,4.0,2.017708
4.5,0.25,4.5,0.25,18,1,64,2,n17-1,4.0,2.017708
4.75,0.25,4.75,0.25,19,1,66,2,n18-1,4.0,2.017708
5.0,0.25,5.0,0.25,20,1,68,2,n19-1,5.0,2.58125
5.25,0.25,5.25,0.25,21,1,69,2,n20-1,5.0,2.58125
5.5,0.25,5.5,0.25,22,1,71,2,n21-1,5.0,2.58125
5.5,0.5,5.5,0.5,22,2,71,1,n10-1,5.0,2.58125
5.75,0.25,5.75,0.25,23,1,68,2,n22-1,5.0,2.58125
6.0,0.25,6.0,0.25,24,1,64,2,n23-1,6.0,3.164583
6.0,1.0,6.0,1.0,24,4,73,1,n11-1,6.0,3.164583
6.25,0.25,6.25,0.25,25,1,63,2,n24-1,6.0,3.164583
6.5,0.25,6.5,0.25,26,1,64,2,n25-1,6.0,3.164583
6.75,0.25,6.75,0.25,27,1,66,2,n26-1,6.0,3.164583
7.0,0.25,7.0,0.25,28,1,64,2,n27-1,7.0,3.772917
7.25,0.25,7.25,0.25,29,1,63,2,n28-1,7.0,3.772917
7.25,0.25,7.25,0.25,29,1,66,1,n12-1,7.0,3.772917
7.5,0.25,7.5,0.25,30,1,64,2,n29-1,7.0,3.772917
7.5,0.25,7.5,0.25,30,1,68,1,n13-1,7.0,3.772917
7.75,0.25,7.75,0.25,31,1,66,2,n30-1,7.0,3.772917
7.75,0.25,7.75,0.25,31,1,70,1,n14-1,7.0,3.772917
8.0,0.25,8.0,0.25,32,1,63,2,n48-1,8.0,4.329167
8.0,0.25,8.0,0.25,32,1,71,1,n32-1,8.0,4.329167
8.25,0.25,8.25,0.25,33,1,61,2,n49-1,8.0,4.329167
8.25,0.25,8.25,0.25,33,1,70,1,n33-1,8.0,4.329167
8.5,0.25,8.5,0.25,34,1,63,2,n50-1,8.0,4.329167
8.5,0.25,8.5,0.25,34,1,71,1,n34-1,8.0,4.329167
8.75,0.25,8.75,0.25,35,1,64,2,n51-1,8.0,4.329167
8.75,0.25,8.75,0.25,35,1,73,1,n35-1,8.0,4.329167
9.0,0.25,9.0,0.25,36,1,66,2,n52-1,9.0,4.895313
9.0,0.25,9.0,0.25,36,1,75,1,n36-1,9.0,4.895313
9.25,0.25,9.25,0.25,37,1,68,2,n53-1,9.0,4.895313
9.25,0.25,9.25,0.25,37,1,76,1,n37-1,9.0,4.895313
9.5,0.25,9.5,0.25,38,1,69,2,n54-1,9.0,4.895313
9.5,0.25,9.5,0.25,38,1,78,1,n38-1,9.0,4.895313
9.75,0.25,9.75,0.25,39,1,66,2,n55-1,9.0,4.895313
9.75,0.25,9.75,0.25,39,1,75,1,n39-1,9.0,4.895313
10.0,0.5,10.0,0.5,40,2,68,2,n56-1,10.0,5.44375
10.0,0.25,10.0,0.25,40,1,71,1,n40-1,10.0,5.44375
10.25,0.25,10.25,0.25,41,1,69,1,n41-1,10.0,5.44375
