xml_id	midi_id	track	channel	pitch	onset
n6-1	n2	1	0	59	1.496875
n7-1	n3	1	0	61	1.6375
n8-1	n4	1	0	63	1.759375
n3-1	n0	1	0	64	0.5
n4-1	n1	1	0	66	0.8333333333333333
n16-1	n6	1	0	63	2.0166666666666666
n15-1	n5	1	0	64	1.8802083333333333
n17-1	n7	1	0	64	2.1437500000000003
n18-1	n8	1	0	66	2.2770833333333336
n19-1	n9	1	0	68	2.4041666666666672
n22-1	n12	1	0	68	2.8072916666666674
n20-1	n10	1	0	69	2.5291666666666672
n21-1	n11	1	0	71	2.665625000000001
n10-1	deletion
n24-1	n15	1	0	63	3.0812500000000003
n23-1	n14	1	0	64	2.952083333333334
n25-1	n16	1	0	64	3.2197916666666666
n26-1	n17	1	0	66	3.3552083333333336
n11-1	n13	1	0	73	2.9437500000000005
n28-1	n19	1	0	63	3.6010416666666667
n27-1	n18	1	0	64	3.4833333333333334
n29-1	n21	1	0	64	3.7302083333333327
n12-1	n20	1	0	66	3.61875
n30-1	n23	1	0	66	3.8656249999999996
n13-1	n22	1	0	68	3.742708333333333
n14-1	n24	1	0	70	3.8791666666666664
n49-1	n28	1	0	61	4.161458333333332
n48-1	n26	1	0	63	4.012499999999999
n50-1	n30	1	0	63	4.282291666666665
n51-1	n32	1	0	64	4.3979166666666645
n33-1	n27	1	0	70	4.135416666666665
n32-1	n25	1	0	71	4.008333333333333
n34-1	n29	1	0	71	4.264583333333332
n35-1	n31	1	0	73	4.396874999999998
n52-1	n34	1	0	66	4.531249999999997
n55-1	n40	1	0	66	4.9187499999999975
n53-1	n36	1	0	68	4.657291666666664
n54-1	n37	1	0	69	4.779166666666664
n36-1	n33	1	0	75	4.527083333333331
n39-1	n39	1	0	75	4.917708333333331
n37-1	n35	1	0	76	4.655208333333331
n38-1	n38	1	0	78	4.78645833333333
n57-1	n44	1	0	59	5.33958333333333
n56-1	n41	1	0	68	5.0645833333333306
n41-1	n43	1	0	69	5.197916666666663
n40-1	n42	1	0	71	5.068749999999997
n42-1	n45	1	0	71	5.3437499999999964
n43-1	n46	1	0	73	5.476041666666664
n62-1	n51	1	0	52	5.90520833333333
n58-1	n47	1	0	64	5.615624999999997
n45-1	n49	1	0	69	5.746874999999997
n44-1	n48	1	0	71	5.62083333333333
n46-1	n50	1	0	71	5.903124999999997
