xml_id	midi_id	track	channel	pitch	onset
n6-1	n2	1	0	59	1.5234374999999998
n7-1	n3	1	0	61	1.657552083333333
n8-1	n4	1	0	63	1.7721354166666663
n3-1	n0	1	0	64	0.5
n4-1	n1	1	0	66	0.8138020833333333
n16-1	n6	1	0	63	2.015625
n15-1	n5	1	0	64	1.8906249999999998
n17-1	n7	1	0	64	2.13671875
n18-1	n8	1	0	66	2.25390625
n19-1	n9	1	0	68	2.3763020833333335
n22-1	n12	1	0	68	2.7734375
n20-1	n10	1	0	69	2.483072916666667
n21-1	n11	1	0	71	2.6028645833333335
n32-1	n26	1	0	71	3.9062500000000004
n10-1	deletion
n24-1	n15	1	0	63	3.05078125
n23-1	n14	1	0	64	2.90234375
n25-1	n16	1	0	64	3.1705729166666665
n26-1	n17	1	0	66	3.2838541666666665
n11-1	n13	1	0	73	2.8854166666666665
n28-1	n19	1	0	63	3.5234375
n27-1	n18	1	0	64	3.4205729166666665
n29-1	n21	1	0	64	3.6614583333333335
n12-1	n20	1	0	66	3.54296875
n30-1	n23	1	0	66	3.768229166666667
n13-1	n22	1	0	68	3.670572916666667
n14-1	n24	1	0	70	3.779947916666667
n49-1	n27	1	0	61	4.006510416666667
n48-1	n25	1	0	63	3.9062500000000004
n50-1	n29	1	0	63	4.15234375
n51-1	n31	1	0	64	4.24609375
n33-1	n28	1	0	70	4.029947916666667
n34-1	n30	1	0	71	4.15625
n35-1	n32	1	0	73	4.266927083333333
n52-1	n33	1	0	66	4.376302083333333
n55-1	n39	1	0	66	4.73828125
n53-1	n36	1	0	68	4.499999999999999
n54-1	n38	1	0	69	4.615885416666666
n36-1	n34	1	0	75	4.381510416666666
n39-1	n40	1	0	75	4.740885416666667
n37-1	n35	1	0	76	4.486979166666666
n38-1	n37	1	0	78	4.613281249999999
n57-1	n45	1	0	59	5.118489583333334
n56-1	n41	1	0	68	4.867187500000001
n41-1	n43	1	0	69	4.986979166666667
n40-1	n42	1	0	71	4.872395833333334
n42-1	n44	1	0	71	5.115885416666667
n43-1	n46	1	0	73	5.250000000000001
n62-1	n50	1	0	52	5.638020833333333
n58-1	n47	1	0	64	5.375000000000001
n45-1	n49	1	0	69	5.514322916666667
n44-1	n48	1	0	71	5.389322916666667
n46-1	n51	1	0	71	5.653645833333333
n47-1	n52	1	0	73	5.753906249999999
n83-1	n53	1	0	54	5.912760416666666
n77-1	n57	1	0	63	6.179687499999999
n64-1	n55	1	0	68	6.046874999999999
n63-1	n54	1	0	69	5.932291666666666
