onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,0.033854168,64,81,1,0,n0,-10.0,-10.0
0.81380206,0.5729167,66,84,1,0,n1,0.813802,2.0
1.5234375,0.09765625,59,41,1,0,n2,1.352213,3.0
1.6575521,0.095052086,61,57,1,0,n3,1.352213,3.0
1.7721354,0.104166664,63,61,1,0,n4,1.352213,3.0
1.890625,0.09765625,64,63,1,0,n5,1.890625,4.0
2.015625,0.100260414,63,62,1,0,n6,1.890625,4.0
2.1367188,0.114583336,64,67,1,0,n7,1.890625,4.0
2.2539062,0.14192708,66,72,1,0,n8,1.890625,4.0
2.376302,0.11328125,68,79,1,0,n9,2.376302,5.0
2.483073,0.076822914,69,81,1,0,n10,2.376302,5.0
2.6028645,0.0546875,71,88,1,0,n11,2.376302,5.0
2.7734375,0.1015625,68,49,1,0,n12,2.376302,5.0
2.8854167,0.43229166,73,89,1,0,n13,2.376302,5.0
2.9023438,0.123697914,64,58,1,0,n14,2.89388,6.0
3.0507812,0.11328125,63,56,1,0,n15,2.89388,6.0
3.170573,0.095052086,64,70,1,0,n16,2.89388,6.0
3.2838542,0.10546875,66,63,1,0,n17,2.89388,6.0
3.420573,0.0625,64,65,1,0,n18,3.420573,7.0
3.5234375,0.09765625,63,55,1,0,n19,3.420573,7.0
3.5429688,0.122395836,66,66,1,0,n20,3.420573,7.0
3.6614583,0.06640625,64,58,1,0,n21,3.420573,7.0
3.670573,0.1171875,68,68,1,0,n22,3.420573,7.0
3.7682292,0.09765625,66,52,1,0,n23,3.420573,7.0
3.779948,0.08984375,70,72,1,0,n24,3.420573,7.0
3.90625,0.052083332,63,55,1,0,n25,3.90625,8.0
3.90625,0.098958336,71,73,1,0,n26,3.90625,8.0
4.0065103,0.102864586,61,49,1,0,n27,3.90625,8.0
4.0299478,0.109375,70,70,1,0,n28,3.90625,8.0
4.1523438,0.063802086,63,53,1,0,n29,3.90625,8.0
4.15625,0.1171875,71,76,1,0,n30,3.90625,8.0
4.2460938,0.118489586,64,56,1,0,n31,3.90625,8.0
4.2669272,0.17317708,73,74,1,0,n32,3.90625,8.0
4.3763022,0.13671875,66,68,1,0,n33,3.90625,8.0
4.3815103,0.16145833,75,80,1,0,n34,4.378906,9.0
4.486979,0.15104167,76,77,1,0,n35,4.378906,9.0
4.5,0.111979164,68,75,1,0,n36,4.378906,9.0
4.6132812,0.18489583,78,87,1,0,n37,4.378906,9.0
4.6158853,0.092447914,69,74,1,0,n38,4.378906,9.0
4.7382812,0.06640625,66,66,1,0,n39,4.378906,9.0
4.7408853,0.14322917,75,79,1,0,n40,4.378906,9.0
4.8671875,0.026041666,68,80,1,0,n41,4.378906,9.0
4.872396,0.09375,71,82,1,0,n42,4.869792,10.0
4.986979,0.114583336,69,73,1,0,n43,4.869792,10.0
5.1158853,0.09375,71,75,1,0,n44,4.869792,10.0
5.1184897,0.029947916,59,90,1,0,n45,4.869792,10.0
5.25,0.13802083,73,63,1,0,n46,4.869792,10.0
5.375,0.60807294,64,88,1,0,n47,4.869792,10.0
5.3893228,0.088541664,71,69,1,0,n48,5.382162,11.0
5.5143228,0.122395836,69,66,1,0,n49,5.382162,11.0
5.638021,0.040364582,52,82,1,0,n50,5.382162,11.0
5.653646,0.079427086,71,67,1,0,n51,5.382162,11.0
5.7539062,0.14322917,73,62,1,0,n52,5.382162,11.0
5.9127603,0.51692706,54,88,1,0,n53,5.382162,11.0
5.9322915,0.063802086,69,69,1,0,n54,5.922526,12.0
6.046875,0.05859375,68,60,1,0,n55,5.922526,12.0
6.1705728,0.088541664,69,62,1,0,n56,5.922526,12.0
6.1796875,0.0546875,63,64,1,0,n57,5.922526,12.0
6.2760415,0.15364583,71,65,1,0,n58,5.922526,12.0
6.440104,0.110677086,69,69,1,0,n59,5.922526,12.0
6.4466147,0.44270834,66,72,1,0,n60,6.443359,13.0
6.5638022,0.11328125,47,60,1,0,n61,6.443359,13.0
6.5716147,0.115885414,68,66,1,0,n62,6.443359,13.0
6.690104,0.13020833,49,65,1,0,n63,6.443359,13.0
6.6940103,0.067708336,69,56,1,0,n64,6.443359,13.0
6.7773438,0.13802083,71,53,1,0,n65,6.443359,13.0
6.8072915,0.119791664,51,79,1,0,n66,6.443359,13.0
6.9283853,0.109375,52,75,1,0,n67,6.443359,13.0
6.9322915,0.095052086,68,64,1,0,n68,6.930338,14.0
7.0351562,0.15885417,66,71,1,0,n69,6.930338,14.0
7.0416665,0.09375,51,74,1,0,n70,6.930338,14.0
7.1679688,0.091145836,52,63,1,0,n71,6.930338,14.0
7.1679688,0.13802083,68,83,1,0,n72,6.930338,14.0
7.171875,0.044270832,59,68,1,0,n73,6.930338,14.0
7.283854,0.140625,70,76,1,0,n74,6.930338,14.0
7.2955728,0.104166664,54,57,1,0,n75,6.930338,14.0
7.4075522,0.098958336,56,67,1,0,n76,6.930338,14.0
7.408854,0.040364582,64,74,1,0,n77,7.40842,15.0
7.408854,1.0013021,71,85,1,0,n78,7.40842,15.0
7.5416665,0.091145836,57,62,1,0,n79,7.40842,15.0
7.6666665,0.069010414,63,85,1,0,n80,7.40842,15.0
7.690104,0.098958336,59,62,1,0,n81,7.40842,15.0
7.7981772,0.12109375,56,61,1,0,n82,7.40842,15.0
7.9440103,0.114583336,52,56,1,0,n83,7.40842,15.0
7.9518228,0.88411456,61,85,1,0,n84,7.947916,16.0
8.084636,0.110677086,51,60,1,0,n85,7.947916,16.0
8.214844,0.095052086,52,57,1,0,n86,7.947916,16.0
8.3255205,0.10546875,54,58,1,0,n87,7.947916,16.0
8.473958,0.078125,52,52,1,0,n88,7.947916,16.0
8.4765625,0.3893229,70,66,1,0,n89,8.47526,17.0
8.587239,0.108072914,51,61,1,0,n90,8.47526,17.0
8.71875,0.095052086,52,55,1,0,n91,8.47526,17.0
8.845052,0.1015625,54,59,1,0,n92,8.47526,17.0
9.001302,0.057291668,51,46,1,0,n93,8.47526,17.0
9.026042,0.041666668,71,65,1,0,n94,9.019965,18.0
9.032552,0.19270833,59,44,1,0,n95,9.019965,18.0
9.113281,0.111979164,49,46,1,0,n96,9.019965,18.0
9.240886,0.069010414,51,47,1,0,n97,9.019965,18.0
9.2838545,0.041666668,83,64,1,0,n98,9.019965,18.0
9.380208,0.076822914,52,37,1,0,n99,9.019965,18.0
9.53125,0.092447914,54,40,1,0,n100,9.019965,18.0
9.5338545,0.029947916,75,81,1,0,n101,9.532552,19.0
9.662761,0.104166664,56,52,1,0,n102,9.532552,19.0
9.792969,0.052083332,78,86,1,0,n103,9.532552,19.0
9.7942705,0.076822914,57,49,1,0,n104,9.532552,19.0
9.910156,0.1015625,54,58,1,0,n105,9.532552,19.0
10.0546875,0.08203125,56,52,1,0,n106,9.532552,19.0
10.061198,0.5026042,71,90,1,0,n107,10.057943,20.0
10.183594,0.091145836,54,48,1,0,n108,10.057943,20.0
10.303386,0.075520836,56,50,1,0,n109,10.057943,20.0
10.311198,0.04296875,76,65,1,0,n110,10.057943,20.0
10.4140625,0.09375,57,57,1,0,n111,10.057943,20.0
10.5546875,0.111979164,59,62,1,0,n112,10.057943,20.0
10.561198,0.05078125,68,77,1,0,n113,10.557943,21.0
10.686198,0.095052086,61,61,1,0,n114,10.557943,21.0
10.813802,0.3997396,71,65,1,0,n115,10.557943,21.0
10.8151045,0.078125,62,55,1,0,n116,10.557943,21.0
10.9375,0.07421875,59,55,1,0,n117,10.557943,21.0
11.0494795,0.091145836,61,52,1,0,n118,10.557943,21.0
11.0807295,0.040364582,64,67,1,0,n119,11.065104,22.0
11.183594,0.111979164,59,56,1,0,n120,11.065104,22.0
11.3151045,0.109375,61,54,1,0,n121,11.065104,22.0
11.324219,0.2565104,66,78,1,0,n122,11.065104,22.0
11.329427,0.055989582,69,75,1,0,n123,11.065104,22.0
11.444011,0.110677086,63,66,1,0,n124,11.065104,22.0
11.5651045,0.049479168,68,87,1,0,n125,11.065104,22.0
11.569011,0.111979164,64,73,1,0,n126,11.567057,23.0
11.694011,0.104166664,63,73,1,0,n127,11.567057,23.0
11.8098955,0.114583336,61,67,1,0,n128,11.567057,23.0
11.824219,0.028645834,64,86,1,0,n129,11.567057,23.0
11.824219,0.048177082,76,92,1,0,n130,11.567057,23.0
11.936198,0.140625,59,69,1,0,n131,11.567057,23.0
12.1015625,0.14192708,57,60,1,0,n132,11.567057,23.0
12.108073,0.38802084,64,66,1,0,n133,11.567057,23.0
12.118489,0.46875,78,93,1,0,n134,12.109375,24.0
12.261719,0.123697914,56,60,1,0,n135,12.109375,24.0
12.385417,0.100260414,57,58,1,0,n136,12.109375,24.0
12.501302,0.055989582,59,61,1,0,n137,12.109375,24.0
12.635417,0.088541664,57,68,1,0,n138,12.109375,24.0
12.636719,0.055989582,63,63,1,0,n139,12.636068,25.0
12.7421875,0.1015625,56,64,1,0,n140,12.636068,25.0
12.755208,0.140625,71,59,1,0,n141,12.636068,25.0
12.868489,0.14322917,73,75,1,0,n142,12.636068,25.0
12.8776045,0.110677086,66,64,1,0,n143,12.636068,25.0
12.886719,0.055989582,57,56,1,0,n144,12.636068,25.0
12.9713545,0.0546875,59,64,1,0,n145,12.636068,25.0
12.980469,0.14192708,75,78,1,0,n146,12.636068,25.0
13.123698,0.076822914,76,74,1,0,n147,12.636068,25.0
13.134114,0.51432294,59,77,1,0,n148,12.636068,25.0
13.147136,0.0390625,56,61,1,0,n149,13.134983,26.0
13.235677,0.118489586,75,72,1,0,n150,13.134983,26.0
13.369792,0.1484375,76,86,1,0,n151,13.134983,26.0
13.3776045,0.032552082,54,80,1,0,n152,13.134983,26.0
13.483073,0.19270833,78,89,1,0,n153,13.134983,26.0
13.621094,0.05078125,52,91,1,0,n154,13.134983,26.0
13.626302,0.17057292,80,85,1,0,n155,13.623698,27.0
13.761719,0.104166664,81,72,1,0,n156,13.623698,27.0
13.875,0.032552082,51,85,1,0,n157,13.623698,27.0
13.8828125,0.049479168,71,91,1,0,n158,13.623698,27.0
13.885417,0.125,83,89,1,0,n159,13.623698,27.0
14.020833,0.088541664,80,70,1,0,n160,13.623698,27.0
14.141927,0.037760418,49,82,1,0,n161,13.623698,27.0
14.145833,0.46484375,73,88,1,0,n162,13.623698,27.0
14.1588545,0.102864586,76,74,1,0,n163,14.148871,28.0
14.28125,0.114583336,75,70,1,0,n164,14.148871,28.0
14.395833,0.040364582,59,80,1,0,n165,14.148871,28.0
14.411458,0.09765625,76,71,1,0,n166,14.148871,28.0
14.527344,0.15234375,78,69,1,0,n167,14.148871,28.0
14.649739,0.065104164,58,70,1,0,n168,14.148871,28.0
14.666667,0.110677086,76,77,1,0,n169,14.658204,29.0
14.772136,0.12760417,75,80,1,0,n170,14.658204,29.0
14.774739,0.057291668,66,64,1,0,n171,14.658204,29.0
14.894531,0.098958336,76,73,1,0,n172,14.658204,29.0
14.897136,0.108072914,68,72,1,0,n173,14.658204,29.0
14.904948,0.049479168,54,58,1,0,n174,14.658204,29.0
15.001302,0.18229167,78,71,1,0,n175,14.658204,29.0
15.014323,0.083333336,70,67,1,0,n176,14.658204,29.0
15.134114,0.46875,59,63,1,0,n177,14.658204,29.0
15.135417,0.4674479,71,74,1,0,n178,14.658204,29.0
15.147136,0.45572916,75,69,1,0,n179,15.138889,30.0
15.2473955,0.35546875,73,68,1,0,n180,15.138889,30.0
15.256511,0.34635416,70,63,1,0,n181,15.138889,30.0
15.3671875,0.23567708,71,64,1,0,n182,15.138889,30.0
15.371094,0.23177083,75,66,1,0,n183,15.138889,30.0
15.496094,0.106770836,76,74,1,0,n184,15.138889,30.0
15.5026045,0.100260414,73,52,1,0,n185,15.138889,30.0
15.623698,0.10546875,75,60,1,0,n186,15.138889,30.0
15.6536455,0.13932292,78,80,1,0,n187,15.638672,31.0
15.755208,0.102864586,76,61,1,0,n188,15.638672,31.0
15.759114,0.17578125,80,79,1,0,n189,15.638672,31.0
15.878906,0.096354164,78,59,1,0,n190,15.638672,31.0
15.8932295,0.44791666,81,83,1,0,n191,15.638672,31.0
16.010416,0.08984375,75,66,1,0,n192,15.638672,31.0
16.143229,0.11328125,71,71,1,0,n193,16.143229,32.0
16.253906,0.092447914,69,71,1,0,n194,16.143229,32.0
16.364584,0.040364582,75,86,1,0,n195,16.143229,32.0
16.394531,0.052083332,71,57,1,0,n196,16.143229,32.0
16.479166,0.1171875,73,60,1,0,n197,16.143229,32.0
16.654947,0.071614586,71,44,1,0,n198,16.143229,32.0
16.657553,0.7369792,80,84,1,0,n199,16.65625,33.0
16.765625,0.102864586,69,47,1,0,n200,16.65625,33.0
16.886719,0.100260414,71,59,1,0,n201,16.65625,33.0
17.005209,0.106770836,73,62,1,0,n202,16.65625,33.0
17.157553,0.088541664,69,53,1,0,n203,17.157553,34.0
17.263021,0.109375,68,57,1,0,n204,17.157553,34.0
17.408854,0.057291668,69,58,1,0,n205,17.157553,34.0
17.408854,0.088541664,78,69,1,0,n206,17.157553,34.0
17.515625,0.13932292,76,62,1,0,n207,17.157553,34.0
17.518229,0.09765625,71,54,1,0,n208,17.157553,34.0
17.648438,0.065104164,69,51,1,0,n209,17.157553,34.0
17.667969,0.328125,75,62,1,0,n210,17.658203,35.0
17.779947,0.08984375,68,59,1,0,n211,17.658203,35.0
17.904947,0.033854168,59,76,1,0,n212,17.658203,35.0
17.945312,0.069010414,69,45,1,0,n213,17.658203,35.0
18.005209,0.122395836,71,53,1,0,n214,17.658203,35.0
18.166666,0.50130206,61,77,1,0,n215,17.658203,35.0
18.178385,0.09765625,68,57,1,0,n216,18.177082,36.0
18.186197,0.087239586,76,53,1,0,n217,18.177082,36.0
18.290365,0.106770836,75,66,1,0,n218,18.177082,36.0
18.421875,0.037760418,64,63,1,0,n219,18.177082,36.0
18.434896,0.080729164,76,61,1,0,n220,18.177082,36.0
18.548178,0.1640625,78,57,1,0,n221,18.177082,36.0
18.697916,1.0247396,69,64,1,0,n222,18.177082,36.0
18.71875,0.088541664,76,58,1,0,n223,18.708334,37.0
18.820312,0.110677086,54,45,1,0,n224,18.708334,37.0
18.828125,0.110677086,75,61,1,0,n225,18.708334,37.0
18.936197,0.102864586,76,58,1,0,n226,18.708334,37.0
18.946615,0.10546875,56,58,1,0,n227,18.708334,37.0
19.039062,0.115885414,78,61,1,0,n228,18.708334,37.0
19.076822,0.092447914,57,54,1,0,n229,18.708334,37.0
19.190104,0.09375,75,57,1,0,n230,18.708334,37.0
19.199219,0.091145836,59,57,1,0,n231,19.194662,38.0
19.302084,0.24088542,73,67,1,0,n232,19.194662,38.0
19.317709,0.055989582,57,53,1,0,n233,19.194662,38.0
19.428385,0.108072914,59,61,1,0,n234,19.194662,38.0
19.429688,0.18489583,75,81,1,0,n235,19.194662,38.0
19.546875,0.1796875,76,74,1,0,n236,19.194662,38.0
19.55599,0.10546875,61,60,1,0,n237,19.194662,38.0
19.683594,0.625,78,87,1,0,n238,19.194662,38.0
19.69401,0.088541664,63,59,1,0,n239,19.688803,39.0
19.8125,0.16927083,72,74,1,0,n240,19.688803,39.0
19.822916,0.091145836,64,61,1,0,n241,19.688803,39.0
19.933594,0.16666667,73,84,1,0,n242,19.688803,39.0
19.9375,0.080729164,63,62,1,0,n243,19.688803,39.0
20.044271,0.16796875,75,81,1,0,n244,19.688803,39.0
20.049479,0.1171875,61,60,1,0,n245,19.688803,39.0
20.167969,0.53776044,68,85,1,0,n246,19.688803,39.0
20.184896,0.106770836,60,64,1,0,n247,20.176432,40.0
20.296875,0.14192708,56,66,1,0,n248,20.176432,40.0
20.43099,0.108072914,58,70,1,0,n249,20.176432,40.0
20.446615,0.13932292,76,83,1,0,n250,20.176432,40.0
20.557291,0.125,60,69,1,0,n251,20.176432,40.0
20.561197,0.14583333,75,85,1,0,n252,20.176432,40.0
20.6875,0.106770836,61,72,1,0,n253,20.176432,40.0
20.704428,0.67057294,76,89,1,0,n254,20.695963,41.0
20.826822,0.096354164,63,68,1,0,n255,20.695963,41.0
20.967447,0.098958336,64,55,1,0,n256,20.695963,41.0
20.967447,0.065104164,73,77,1,0,n257,20.695963,41.0
21.05599,0.14583333,61,59,1,0,n258,20.695963,41.0
21.207031,0.123697914,57,54,1,0,n259,20.695963,41.0
21.227865,1.2929688,66,81,1,0,n260,21.217447,42.0
21.351562,0.109375,56,54,1,0,n261,21.217447,42.0
21.488281,0.10546875,57,62,1,0,n262,21.217447,42.0
21.498697,0.2513021,76,74,1,0,n263,21.217447,42.0
21.611979,0.13151042,59,61,1,0,n264,21.217447,42.0
21.75,0.065104164,75,77,1,0,n265,21.217447,42.0
21.761719,0.08984375,57,64,1,0,n266,21.75586,43.0
21.871094,0.106770836,56,66,1,0,n267,21.75586,43.0
22.002604,0.049479168,73,84,1,0,n268,21.75586,43.0
22.00651,0.052083332,57,63,1,0,n269,21.75586,43.0
22.111979,0.109375,59,64,1,0,n270,21.75586,43.0
22.25,0.08203125,56,62,1,0,n271,22.25,44.0
22.25,0.057291668,72,79,1,0,n272,22.25,44.0
22.376303,0.1015625,52,54,1,0,n273,22.25,44.0
22.49349,0.114583336,54,65,1,0,n274,22.25,44.0
22.505209,0.04296875,68,84,1,0,n275,22.25,44.0
22.632812,0.10546875,56,66,1,0,n276,22.25,44.0
22.766928,0.12109375,57,61,1,0,n277,22.25,44.0
22.776041,0.53776044,73,82,1,0,n278,22.774305,45.0
22.779947,0.046875,64,66,1,0,n279,22.774305,45.0
22.895834,0.098958336,59,67,1,0,n280,22.774305,45.0
23.026041,0.088541664,61,66,1,0,n281,22.774305,45.0
23.028646,0.075520836,69,80,1,0,n282,22.774305,45.0
23.143229,0.13020833,57,67,1,0,n283,22.774305,45.0
23.273438,0.106770836,54,60,1,0,n284,22.774305,45.0
23.277344,0.07421875,63,78,1,0,n285,23.27539,46.0
23.401041,0.09765625,52,44,1,0,n286,23.27539,46.0
23.527344,0.071614586,54,63,1,0,n287,23.27539,46.0
23.536459,0.076822914,75,76,1,0,n288,23.27539,46.0
23.544271,0.040364582,66,68,1,0,n289,23.27539,46.0
23.644531,0.13020833,56,58,1,0,n290,23.27539,46.0
23.789062,0.108072914,54,62,1,0,n291,23.27539,46.0
23.800781,0.28515625,68,74,1,0,n292,23.797743,47.0
23.803385,0.0546875,60,67,1,0,n293,23.797743,47.0
23.907553,0.098958336,52,58,1,0,n294,23.797743,47.0
24.058594,0.07421875,54,57,1,0,n295,23.797743,47.0
24.058594,0.15234375,70,68,1,0,n296,23.797743,47.0
24.072916,0.067708336,63,49,1,0,n297,23.797743,47.0
24.144531,0.0546875,56,67,1,0,n298,23.797743,47.0
24.165365,0.123697914,72,66,1,0,n299,23.797743,47.0
24.296875,0.07421875,73,64,1,0,n300,23.797743,47.0
24.311197,0.5286458,56,64,1,0,n301,23.797743,47.0
24.332031,0.041666668,52,36,1,0,n302,24.313368,48.0
24.441406,0.109375,72,59,1,0,n303,24.313368,48.0
24.558594,0.055989582,51,64,1,0,n304,24.313368,48.0
24.570312,0.108072914,73,61,1,0,n305,24.313368,48.0
24.705729,0.092447914,75,64,1,0,n306,24.313368,48.0
24.81901,0.0546875,49,58,1,0,n307,24.313368,48.0
24.838541,0.07421875,76,61,1,0,n308,24.828775,49.0
24.96224,0.1015625,78,58,1,0,n309,24.828775,49.0
25.078125,0.036458332,52,51,1,0,n310,24.828775,49.0
25.088541,0.119791664,80,65,1,0,n311,24.828775,49.0
25.22526,0.1171875,76,53,1,0,n312,24.828775,49.0
25.326822,0.03515625,46,47,1,0,n313,24.828775,49.0
25.358072,0.0625,73,57,1,0,n314,25.342447,50.0
25.457031,0.110677086,71,56,1,0,n315,25.342447,50.0
25.579428,0.044270832,56,63,1,0,n316,25.342447,50.0
25.583334,0.079427086,73,62,1,0,n317,25.342447,50.0
25.695312,0.14973958,75,64,1,0,n318,25.342447,50.0
25.845053,0.84505206,58,80,1,0,n319,25.342447,50.0
25.852865,0.04296875,55,38,1,0,n320,25.850695,51.0
25.854166,0.072916664,73,59,1,0,n321,25.850695,51.0
25.970053,0.08203125,71,57,1,0,n322,25.850695,51.0
26.095053,0.049479168,51,60,1,0,n323,25.850695,51.0
26.098959,0.076822914,73,54,1,0,n324,25.850695,51.0
26.207031,0.111979164,75,58,1,0,n325,25.850695,51.0
26.35026,0.09375,71,61,1,0,n326,25.850695,51.0
26.367188,0.041666668,44,55,1,0,n327,26.358725,52.0
26.470053,0.111979164,70,66,1,0,n328,26.358725,52.0
26.605469,0.125,71,69,1,0,n329,26.358725,52.0
26.614584,0.067708336,46,52,1,0,n330,26.358725,52.0
26.721354,0.14192708,73,76,1,0,n331,26.358725,52.0
26.863281,0.13411458,75,72,1,0,n332,26.358725,52.0
26.865885,0.065104164,47,58,1,0,n333,26.865885,53.0
26.86849,0.48958334,56,68,1,0,n334,26.865885,53.0
26.985678,0.125,76,67,1,0,n335,26.865885,53.0
27.119791,0.125,78,78,1,0,n336,26.865885,53.0
27.122396,0.05078125,46,59,1,0,n337,26.865885,53.0
27.242188,0.111979164,75,70,1,0,n338,26.865885,53.0
27.372396,0.049479168,44,72,1,0,n339,26.865885,53.0
27.377604,0.091145836,71,67,1,0,n340,27.375,54.0
27.497396,0.098958336,69,62,1,0,n341,27.375,54.0
27.621094,0.053385418,54,72,1,0,n342,27.375,54.0
27.635416,0.08984375,71,68,1,0,n343,27.375,54.0
27.748697,0.13802083,73,58,1,0,n344,27.375,54.0
27.895834,0.86328125,56,70,1,0,n345,27.375,54.0
27.898438,0.049479168,53,51,1,0,n346,27.375,54.0
27.915365,0.075520836,71,56,1,0,n347,27.903212,55.0
28.033854,0.083333336,69,52,1,0,n348,27.903212,55.0
28.165365,0.045572918,49,49,1,0,n349,27.903212,55.0
28.173178,0.091145836,71,54,1,0,n350,27.903212,55.0
28.292969,0.08984375,73,53,1,0,n351,27.903212,55.0
28.417969,0.057291668,42,56,1,0,n352,27.903212,55.0
28.425781,0.0703125,69,53,1,0,n353,28.421875,56.0
28.549479,0.109375,68,51,1,0,n354,28.421875,56.0
28.678385,0.100260414,69,53,1,0,n355,28.421875,56.0
28.69401,0.057291668,44,46,1,0,n356,28.421875,56.0
28.791666,0.122395836,71,61,1,0,n357,28.421875,56.0
28.93099,0.0625,45,48,1,0,n358,28.421875,56.0
28.942709,0.5234375,54,51,1,0,n359,28.938803,57.0
28.942709,0.115885414,73,57,1,0,n360,28.938803,57.0
29.076822,0.14192708,75,54,1,0,n361,28.938803,57.0
29.197916,0.052083332,44,53,1,0,n362,28.938803,57.0
29.205729,0.098958336,76,58,1,0,n363,28.938803,57.0
29.325521,0.123697914,73,64,1,0,n364,28.938803,57.0
29.441406,0.049479168,42,71,1,0,n365,28.938803,57.0
29.464844,0.1171875,75,72,1,0,n366,29.453125,58.0
29.583334,0.15625,73,74,1,0,n367,29.453125,58.0
