xml_id	midi_id	track	channel	pitch	onset
n6-1	n2	1	0	59	1.4348958333333333
n7-1	n3	1	0	61	1.5507812499999998
n8-1	n4	1	0	63	1.669270833333333
n3-1	n0	1	0	64	0.49999999999999994
n4-1	n1	1	0	66	0.8085937499999999
n16-1	n6	1	0	63	1.9049479166666665
n15-1	n5	1	0	64	1.790364583333333
n17-1	n7	1	0	64	2.032552083333333
n18-1	n8	1	0	66	2.1588541666666665
n19-1	n9	1	0	68	2.28125
n22-1	n12	1	0	68	2.6809895833333335
n20-1	n10	1	0	69	2.4049479166666665
n21-1	n11	1	0	71	2.5234375
n10-1	deletion
n24-1	n15	1	0	63	2.941406250000001
n23-1	n14	1	0	64	2.829427083333334
n25-1	n16	1	0	64	3.058593750000001
n26-1	n17	1	0	66	3.179687500000001
n11-1	n13	1	0	73	2.8007812500000004
n28-1	n20	1	0	63	3.4192708333333344
n27-1	n18	1	0	64	3.304687500000001
n29-1	n21	1	0	64	3.5325520833333344
n12-1	n19	1	0	66	3.417968750000001
n30-1	n23	1	0	66	3.661458333333334
n13-1	n22	1	0	68	3.546875000000001
n14-1	n24	1	0	70	3.6718750000000004
n49-1	n27	1	0	61	3.9244791666666674
n48-1	n25	1	0	63	3.805989583333334
n50-1	n29	1	0	63	4.040364583333334
n51-1	n31	1	0	64	4.165364583333333
n33-1	n28	1	0	70	3.929687500000001
n32-1	n26	1	0	71	3.8085937500000004
n34-1	n30	1	0	71	4.065104166666667
n35-1	n32	1	0	73	4.180989583333333
n52-1	n33	1	0	66	4.305989583333333
n55-1	n39	1	0	66	4.667968749999999
n53-1	n35	1	0	68	4.42578125
n54-1	n37	1	0	69	4.559895833333333
n36-1	n34	1	0	75	4.311197916666666
n39-1	n40	1	0	75	4.677083333333332
n37-1	n36	1	0	76	4.42578125
n38-1	n38	1	0	78	4.559895833333333
n57-1	n44	1	0	59	5.092447916666666
n56-1	n41	1	0	68	4.832031249999999
n41-1	n43	1	0	69	4.945312499999999
n40-1	n42	1	0	71	4.834635416666666
n42-1	n45	1	0	71	5.100260416666666
n43-1	n46	1	0	73	5.200520833333333
n62-1	n51	1	0	52	5.622395833333333
n58-1	n47	1	0	64	5.348958333333333
n45-1	n49	1	0	69	5.475260416666666
n44-1	n48	1	0	71	5.359375
n46-1	n50	1	0	71	5.618489583333333
n47-1	deletion
n83-1	n52	1	0	54	5.889322916666666
n77-1	n55	1	0	63	6.140624999999999
n64-1	n54	1	0	68	6.022135416666666
n63-1	n53	1	0	69	5.910156249999999
n65-1	n56	1	0	69	6.153645833333332
n66-1	n57	1	0	71	6.291666666666665
n85-1	n61	1	0	47	6.572916666666666
n86-1	n63	1	0	49	6.697916666666666
n87-1	deletion
n78-1	n58	1	0	66	6.410156249999999
n68-1	n60	1	0	68	6.550781249999999
n67-1	n59	1	0	69	6.424479166666666
n69-1	n62	1	0	69	6.67578125
n70-1	n64	1	0	71	6.809895833333333
n89-1	n69	1	0	51	7.059895833333334
n88-1	n66	1	0	52	6.94140625
n90-1	n70	1	0	52	7.183593750000001
n91-1	n73	1	0	54	7.317708333333335
n80-1	n72	1	0	59	7.205729166666668
n72-1	n68	1	0	66	7.053385416666667
n71-1	n67	1	0	68	6.9453125
n73-1	n71	1	0	68	7.195312500000001
n74-1	n74	1	0	70	7.320312500000002
n92-1	n75	1	0	56	7.450520833333335
n95-1	n81	1	0	56	7.837239583333336
n93-1	n78	1	0	57	7.572916666666669
n94-1	n79	1	0	59	7.705729166666669
n82-1	n80	1	0	63	7.727864583333336
n81-1	n76	1	0	64	7.468750000000002
n75-1	n77	1	0	71	7.468750000000002
n105-1	n84	1	0	51	8.126302083333336
n104-1	n82	1	0	52	7.993489583333336
n106-1	n85	1	0	52	8.247395833333336
n107-1	n86	1	0	54	8.39322916666667
n102-1	n83	1	0	61	8.003906250000002
n109-1	n89	1	0	51	8.653645833333337
n108-1	n87	1	0	52	8.528645833333336
n110-1	n90	1	0	52	8.787760416666671
n111-1	n91	1	0	54	8.902343750000005
n97-1	n88	1	0	70	8.532552083333336
n113-1	n95	1	0	49	9.195312500000004
n112-1	n94	1	0	51	9.059895833333337
n114-1	n96	1	0	51	9.313802083333337
n115-1	n98	1	0	52	9.441406250000005
n103-1	n93	1	0	59	9.055989583333337
n98-1	n92	1	0	71	9.054687500000004
n99-1	n97	1	0	83	9.341145833333337
n116-1	n100	1	0	54	9.571614583333337
n119-1	n104	1	0	54	9.95182291666667
n117-1	n101	1	0	56	9.688802083333337
n118-1	n102	1	0	57	9.817708333333337
n100-1	n99	1	0	75	9.557291666666671
n101-1	n103	1	0	78	9.820312500000004
n132-1	n107	1	0	54	10.240885416666671
n131-1	n106	1	0	56	10.097656250000004
n133-1	n109	1	0	56	10.381510416666671
n134-1	n110	1	0	57	10.509114583333337
n120-1	n105	1	0	71	10.08463541666667
n125-1	n108	1	0	76	10.342447916666671
n135-1	n112	1	0	59	10.622395833333337
n138-1	n116	1	0	59	11.011718750000002
n136-1	n113	1	0	61	10.743489583333337
n137-1	n115	1	0	62	10.87760416666667
n126-1	n111	1	0	68	10.602864583333337
n127-1	n114	1	0	71	10.86979166666667
n140-1	n119	1	0	59	11.283854166666668
n139-1	n118	1	0	61	11.136718750000002
n141-1	n122	1	0	61	11.395833333333336
n142-1	n124	1	0	63	11.527343750000004
n128-1	n117	1	0	64	11.132812500000002
n129-1	n121	1	0	66	11.386718750000002
n122-1	n120	1	0	69	11.385416666666668
n146-1	n131	1	0	59	12.029947916666673
n145-1	n128	1	0	61	11.901041666666671
n144-1	n127	1	0	63	11.773437500000005
n143-1	n126	1	0	64	11.675781250000005
n130-1	n130	1	0	64	11.924479166666671
n123-1	n125	1	0	68	11.643229166666671
n124-1	n129	1	0	76	11.914062500000005
n166-1	n135	1	0	56	12.324218750000007
n165-1	n132	1	0	57	12.18489583333334
n167-1	n136	1	0	57	12.441406250000007
n168-1	n137	1	0	59	12.553385416666675
n159-1	n134	1	0	64	12.20442708333334
n147-1	n133	1	0	78	12.197916666666673
n170-1	n142	1	0	56	12.829427083333343
n169-1	n140	1	0	57	12.73437500000001
n171-1	n145	1	0	57	12.951822916666677
n172-1	n146	1	0	59	13.04687500000001
n160-1	n138	1	0	63	12.695312500000009
n161-1	n143	1	0	66	12.940104166666677
n148-1	n141	1	0	71	12.821614583333343
n149-1	n144	1	0	73	12.942708333333343
n150-1	n147	1	0	75	13.067708333333345
n174-1	n152	1	0	54	13.496093750000009
n173-1	n148	1	0	56	13.218750000000009
n162-1	n149	1	0	59	13.218750000000009
n152-1	n151	1	0	75	13.36328125000001
n151-1	n150	1	0	76	13.227864583333343
n153-1	n153	1	0	76	13.500000000000009
n154-1	n154	1	0	78	13.621093750000009
n176-1	n158	1	0	51	14.018229166666677
n175-1	n156	1	0	52	13.761718750000009
n164-1	n159	1	0	71	14.03125000000001
n155-1	n155	1	0	80	13.757812500000009
n158-1	n161	1	0	80	14.154947916666679
n156-1	n157	1	0	81	13.889322916666677
n157-1	n160	1	0	83	14.03125000000001
n205-1	n162	1	0	49	14.294270833333345
n206-1	n166	1	0	59	14.567708333333346
n192-1	n163	1	0	73	14.303385416666679
n178-1	n165	1	0	75	14.466145833333346
n177-1	n164	1	0	76	14.320312500000012
n179-1	n167	1	0	76	14.57682291666668
n180-1	n168	1	0	78	14.708333333333346
n208-1	n175	1	0	54	15.087239583333348
n207-1	n169	1	0	58	14.841145833333346
n194-1	n171	1	0	66	14.954427083333348
n195-1	n173	1	0	68	15.082031250000016
n196-1	n176	1	0	70	15.222656250000014
n182-1	n172	1	0	75	14.966145833333348
n181-1	n170	1	0	76	14.84244791666668
n183-1	n174	1	0	76	15.084635416666682
n184-1	n177	1	0	78	15.226562500000014
n209-1	n178	1	0	59	15.364583333333348
n198-1	n182	1	0	70	15.515625000000018
n197-1	n180	1	0	71	15.368489583333348
n199-1	n183	1	0	71	15.622395833333352
n186-1	n181	1	0	73	15.500000000000018
n200-1	n186	1	0	73	15.766927083333352
n185-1	n179	1	0	75	15.367187500000014
n187-1	n184	1	0	75	15.626302083333352
n188-1	n185	1	0	76	15.756510416666686
n201-1	n187	1	0	75	15.881510416666684
n204-1	n193	1	0	75	16.23958333333335
n202-1	n190	1	0	76	16.00911458333335
n189-1	n188	1	0	78	15.885416666666684
n203-1	n191	1	0	78	16.13020833333335
n190-1	n189	1	0	80	15.99348958333335
n191-1	n192	1	0	81	16.13020833333335
n220-1	n195	1	0	69	16.472656250000014
n219-1	n194	1	0	71	16.365885416666682
n221-1	n196	1	0	71	16.60286458333335
n222-1	n198	1	0	73	16.71614583333335
n213-1	n197	1	0	75	16.625000000000018
n224-1	n201	1	0	69	17.003906250000018
n223-1	n199	1	0	71	16.867187500000018
n225-1	n202	1	0	71	17.131510416666682
