xml_id	midi_id	track	channel	pitch	onset
n2-1	n0	1	0	60	0.5
n4-1	n1	1	0	62	0.8625
n5-1	n2	1	0	60	1.2135416666666667
n6-1	n3	1	0	58	1.5229166666666667
n8-1	n4	1	0	60	1.8531250000000001
n9-1	n5	1	0	52	2.1833333333333336
n10-1	n6	1	0	53	2.330208333333333
n11-1	n7	1	0	55	2.4968749999999997
n12-1	n8	1	0	57	2.633333333333333
n14-1	n9	1	0	58	2.8187499999999996
n16-1	n11	1	0	58	3.284375
n15-1	n10	1	0	60	3.152083333333333
n18-1	n13	1	0	55	3.572916666666667
n17-1	n12	1	0	57	3.4364583333333334
n23-1	n15	1	0	55	3.8906250000000004
n22-1	n14	1	0	57	3.744791666666667
n24-1	n16	1	0	53	4.040625
n25-1	n17	1	0	55	4.185416666666667
n26-1	n19	1	0	57	4.342708333333333
n27-1	n20	1	0	58	4.482291666666667
n21-1	n18	1	0	65	4.3375
n32-1	n23	1	0	58	4.792708333333334
n31-1	n21	1	0	60	4.638541666666667
n28-1	n22	1	0	69	4.655208333333333
n33-1	n24	1	0	57	4.960416666666667
n34-1	n26	1	0	58	5.0927083333333325
n29-1	n25	1	0	67	4.960416666666667
n35-1	n28	1	0	60	5.258333333333332
n36-1	n29	1	0	62	5.394791666666665
n30-1	n27	1	0	65	5.253124999999999
n42-1	n31	1	0	64	5.57083333333333
n37-1	n30	1	0	67	5.563541666666664
n43-1	n32	1	0	67	5.706249999999996
n38-1	n34	1	0	59	5.874999999999996
n39-1	n35	1	0	60	6.012499999999996
n45-1	n36	1	0	64	6.028124999999996
n44-1	n33	1	0	65	5.857291666666662
n47-1	n39	1	0	60	6.310416666666662
n40-1	n37	1	0	62	6.162499999999996
n46-1	deletion
n41-1	n38	1	0	64	6.301041666666663
n54-1	n42	1	0	59	6.5156249999999964
n56-1	n44	1	0	59	6.674999999999997
n65-1	deletion
n53-1	n40	1	0	60	6.448958333333329
n55-1	n43	1	0	60	6.604166666666663
n48-1	n41	1	0	65	6.472916666666663
n58-1	n47	1	0	59	6.85833333333333
n60-1	n50	1	0	59	7.0364583333333295
n57-1	n46	1	0	60	6.772916666666664
n59-1	n49	1	0	60	6.959374999999996
n50-1	n48	1	0	65	6.9010416666666625
n49-1	n45	1	0	67	6.749999999999997
n63-1	n52	1	0	57	7.145833333333329
n64-1	n55	1	0	59	7.237499999999996
n62-1	deletion
n61-1	n53	1	0	60	7.145833333333329
n52-1	n54	1	0	62	7.169791666666662
n51-1	n51	1	0	64	7.0416666666666625
n72-1	n56	1	0	60	7.353124999999996
n67-1	n58	1	0	62	7.4843749999999964
n66-1	n57	1	0	64	7.353124999999996
n73-1	n59	1	0	58	7.636458333333329
n68-1	n60	1	0	60	7.640624999999996
n69-1	n61	1	0	62	7.774999999999995
n74-1	n63	1	0	57	7.946874999999995
n70-1	n62	1	0	64	7.944791666666662
n71-1	n64	1	0	65	8.069791666666662
n79-1	n67	1	0	57	8.365624999999994
n78-1	n66	1	0	58	8.251041666666662
n75-1	n65	1	0	67	8.245833333333328
n80-1	n68	1	0	55	8.533333333333328
n81-1	n70	1	0	57	8.670833333333327
n76-1	n69	1	0	65	8.555208333333328
n84-1	n71	1	0	48	8.849999999999994
n82-1	n72	1	0	58	8.85416666666666
n83-1	n74	1	0	60	8.986458333333326
n77-1	n73	1	0	64	8.858333333333327
n92-1	n75	1	0	50	9.173958333333326
n95-1	n77	1	0	57	9.18541666666666
n86-1	n78	1	0	64	9.331249999999994
n85-1	n76	1	0	65	9.178124999999993
n93-1	n79	1	0	48	9.485416666666662
n87-1	n80	1	0	62	9.485416666666662
n88-1	n81	1	0	64	9.613541666666663
n94-1	n82	1	0	46	9.771874999999996
n91-1	deletion
n89-1	n83	1	0	65	9.771874999999996
n90-1	n84	1	0	67	9.89583333333333
n105-1	n85	1	0	48	10.062499999999996
n102-1	n87	1	0	64	10.08020833333333
n96-1	n86	1	0	69	10.066666666666663
n97-1	n88	1	0	72	10.192708333333329
n106-1	n89	1	0	40	10.345833333333328
n107-1	n92	1	0	41	10.49270833333333
