xml_id	midi_id	track	channel	pitch	onset
n2-1	n0	1	0	60	0.5
n3-1	n1	1	0	61	1.3520833333333333
n4-1	n2	1	0	60	2.214583333333333
n6-1	n3	1	0	59	3.1010416666666667
n7-1	n4	1	0	64	3.965625
n8-1	n5	1	0	65	4.848958333333334
n9-1	n6	1	0	58	5.717708333333334
n11-1	n7	1	0	57	6.6125
n12-1	n8	1	0	56	7.496875
n13-1	n10	1	0	55	8.66354166666666
n18-1	n16	1	0	53	10.085416666666669
n19-1	n17	1	0	53	10.504166666666672
n20-1	n18	1	0	55	10.693750000000007
n21-1	n20	1	0	56	10.935416666666676
n22-1	n21	1	0	56	11.37500000000001
n23-1	n22	1	0	58	11.534375000000011
n15-1	n19	1	0	65	10.904166666666676
n25-1	n25	1	0	47	11.969791666666678
n26-1	n26	1	0	48	12.137500000000012
n27-1	n27	1	0	50	12.338541666666679
n24-1	n24	1	0	60	11.783333333333344
n16-1	n23	1	0	68	11.75000000000001
n28-1	n29	1	0	51	12.594791666666678
n17-1	n28	1	0	67	12.584375000000012
n33-1	n31	1	0	48	13.676041666666684
n34-1	n32	1	0	50	13.866666666666685
n35-1	n33	1	0	51	14.048958333333351
n29-1	n30	1	0	66	13.465625000000015
n36-1	n35	1	0	53	14.310416666666683
n30-1	n34	1	0	71	14.272916666666683
n37-1	n37	1	0	51	15.334375000000025
n38-1	n38	1	0	53	15.510416666666694
n39-1	n39	1	0	55	15.708333333333362
n31-1	n36	1	0	72	15.130208333333357
n40-1	n41	1	0	56	15.963541666666698
n32-1	n40	1	0	65	15.940625000000031
n46-1	n43	1	0	55	17.00208333333337
n47-1	n44	1	0	57	17.20000000000003
n48-1	n45	1	0	59	17.381250000000033
n41-1	n42	1	0	64	16.809375000000035
n49-1	n46	1	0	60	17.648958333333365
n42-1	n47	1	0	63	17.654166666666697
n52-1	n55	1	0	57	19.052083333333364
n51-1	n52	1	0	59	18.830208333333363
n43-1	n49	1	0	62	18.641666666666698
n53-1	n58	1	0	59	19.39062500000003
n45-1	n60	1	0	59	19.544791666666693
n44-1	n59	1	0	60	19.47187500000003
insertion	n57	1	0	60	19.275000000000027
n66-1	n67	1	0	55	20.412500000000026
n65-1	n61	1	0	60	19.622916666666693
n54-1	n65	1	0	60	19.982291666666697
n55-1	n66	1	0	60	20.400000000000027
n56-1	n68	1	0	62	20.601041666666692
insertion	n56	1	0	62	19.08437500000003
