xml_id	midi_id	track	channel	pitch	onset
n2-1	n0	1	0	60	0.6276041666666666
n3-1	n1	1	0	61	1.56640625
n4-1	n2	1	0	60	2.44140625
n6-1	n3	1	0	59	3.30078125
n7-1	n4	1	0	64	4.1953125
n8-1	n5	1	0	65	5.052083333333333
n9-1	n6	1	0	58	5.90625
n11-1	n7	1	0	57	6.790364583333334
n12-1	n8	1	0	56	7.665364583333334
n13-1	n9	1	0	55	8.555989583333334
n18-1	n10	1	0	53	10.1640625
n19-1	n11	1	0	53	10.545572916666668
n20-1	n12	1	0	55	10.734375000000002
n21-1	n14	1	0	56	10.955729166666668
n22-1	n15	1	0	56	11.324218750000002
n23-1	n16	1	0	58	11.505208333333336
n15-1	n13	1	0	65	10.927083333333334
n25-1	n19	1	0	47	11.851562500000004
n26-1	n20	1	0	48	12.052083333333337
n27-1	n21	1	0	50	12.234375000000005
n24-1	n18	1	0	60	11.684895833333336
n16-1	n17	1	0	68	11.669270833333336
n28-1	n23	1	0	51	12.454427083333337
n17-1	n22	1	0	67	12.447916666666671
n33-1	n25	1	0	48	13.376302083333334
n34-1	n26	1	0	50	13.546875
n35-1	n27	1	0	51	13.739583333333334
n29-1	n24	1	0	66	13.180989583333336
n36-1	n29	1	0	53	13.953125
n30-1	n28	1	0	71	13.9453125
n37-1	n31	1	0	51	14.904947916666668
n38-1	n32	1	0	53	15.102864583333336
n39-1	n33	1	0	55	15.292968750000002
n31-1	n30	1	0	72	14.729166666666668
n40-1	n35	1	0	56	15.492187500000002
n32-1	n34	1	0	65	15.477864583333336
n46-1	n37	1	0	55	16.432291666666668
n47-1	n38	1	0	57	16.631510416666668
n48-1	n39	1	0	59	16.799479166666668
n41-1	n36	1	0	64	16.247395833333336
n49-1	n40	1	0	60	17.010416666666668
n42-1	n41	1	0	63	17.01171875
n52-1	n44	1	0	57	18.395833333333332
n51-1	n43	1	0	59	18.223958333333332
n43-1	n42	1	0	62	17.817708333333332
n53-1	n46	1	0	59	18.678385416666664
n45-1	n48	1	0	59	18.864583333333332
n44-1	n45	1	0	60	18.572916666666664
n66-1	n54	1	0	55	19.755208333333332
n65-1	n51	1	0	60	19.161458333333332
n54-1	n53	1	0	60	19.350260416666664
n55-1	n55	1	0	60	19.764322916666664
n56-1	n56	1	0	62	19.955729166666664
n72-1	n57	1	0	48	20.147135416666664
n68-1	n60	1	0	58	20.546874999999996
n67-1	n59	1	0	60	20.16927083333333
n58-1	n61	1	0	62	20.574218749999996
n57-1	n58	1	0	64	20.162760416666664
n59-1	n62	1	0	64	20.736979166666664
n73-1	n63	1	0	49	20.937499999999996
n61-1	n66	1	0	52	21.12630208333333
n62-1	n67	1	0	53	21.32552083333333
n63-1	n69	1	0	55	21.51041666666666
n69-1	n64	1	0	56	20.94661458333333
n60-1	n65	1	0	65	20.97005208333333
n70-1	n68	1	0	65	21.35026041666666
n74-1	n71	1	0	48	21.738281249999993
n64-1	n70	1	0	56	21.734374999999993
n71-1	n72	1	0	63	22.16666666666666
n95-1	n73	1	0	47	22.54427083333333
n85-1	n75	1	0	53	22.74869791666666
n86-1	n76	1	0	55	22.97135416666666
n87-1	n78	1	0	56	23.144531249999993
n75-1	n74	1	0	62	22.57291666666666
n76-1	n77	1	0	63	22.984374999999993
n77-1	n79	1	0	65	23.18229166666666
n96-1	n80	1	0	52	23.36067708333333
n88-1	n81	1	0	58	23.37239583333333
n81-1	n85	1	0	62	23.997395833333325
n80-1	n84	1	0	64	23.820312499999993
n79-1	n83	1	0	65	23.60416666666666
n78-1	n82	1	0	67	23.39713541666666
n97-1	n86	1	0	53	24.216145833333325
n89-1	n88	1	0	56	24.438802083333325
n90-1	n89	1	0	58	24.648437499999993
n82-1	n87	1	0	60	24.231770833333325
n91-1	n90	1	0	60	24.83854166666666
n98-1	n91	1	0	46	25.046874999999993
n94-1	n95	1	0	55	25.684895833333325
n93-1	n94	1	0	56	25.488281249999993
n92-1	n93	1	0	58	25.278645833333325
n83-1	n92	1	0	61	25.063802083333325
n116-1	n96	1	0	45	25.885416666666657
n108-1	n97	1	0	53	25.897135416666657
n100-1	n98	1	0	60	26.106770833333325
n101-1	n99	1	0	62	26.30859374999999
n102-1	n100	1	0	64	26.490885416666657
n117-1	n101	1	0	44	26.691406249999993
n110-1	n103	1	0	53	26.93229166666666
n111-1	n104	1	0	55	27.13020833333333
n112-1	n105	1	0	56	27.319010416666664
n103-1	n102	1	0	65	26.699218749999993
n118-1	n106	1	0	43	27.532552083333332
n113-1	n107	1	0	58	27.56640625
n106-1	n109	1	0	62	28.141927083333332
n105-1	n108	1	0	64	27.94921875
n115-1	n112	1	0	55	28.94140625
n114-1	n111	1	0	56	28.73828125
n107-1	n110	1	0	64	28.34765625
n134-1	n113	1	0	41	29.165364583333332
n130-1	n114	1	0	56	29.16796875
n119-1	n115	1	0	65	29.171875
n120-1	n116	1	0	65	29.58203125
n121-1	n117	1	0	67	29.744791666666668
n136-1	n120	1	0	53	30.36328125
n137-1	n122	1	0	55	30.537760416666664
n122-1	n118	1	0	68	29.962239583333332
n123-1	n119	1	0	68	30.352864583333332
n124-1	n121	1	0	70	30.528645833333332
n138-1	n123	1	0	56	30.72916666666666
n139-1	n125	1	0	56	31.141927083333332
n140-1	n127	1	0	58	31.3203125
n131-1	n126	1	0	60	31.151041666666664
n132-1	n128	1	0	61	31.326822916666668
n125-1	n124	1	0	72	30.73958333333333
n142-1	n132	1	0	48	31.906249999999996
n141-1	n130	1	0	60	31.532552083333332
n133-1	n129	1	0	63	31.51171875
n129-1	n134	1	0	67	32.092447916666664
n128-1	n133	1	0	68	31.925781249999996
n127-1	n131	1	0	70	31.725260416666664
n160-1	n135	1	0	49	32.30208333333333
n150-1	n137	1	0	61	32.7109375
n151-1	n138	1	0	63	32.899739583333336
n143-1	n136	1	0	65	32.303385416666664
n162-1	n141	1	0	49	33.518229166666664
n163-1	n143	1	0	51	33.67708333333333
n152-1	n139	1	0	65	33.114583333333336
n153-1	n140	1	0	65	33.490885416666664
n154-1	n142	1	0	67	33.674479166666664
n164-1	n145	1	0	53	33.88411458333333
n165-1	n147	1	0	53	34.292968749999986
n166-1	n149	1	0	55	34.48828124999998
n146-1	n146	1	0	56	34.28255208333332
n147-1	n148	1	0	58	34.470052083333314
n155-1	n144	1	0	68	33.87499999999999
n168-1	n153	1	0	44	35.06380208333332
n167-1	n150	1	0	56	34.66276041666664
n148-1	n151	1	0	60	34.673177083333314
n159-1	n155	1	0	63	35.25520833333332
n158-1	n154	1	0	65	35.066406249999986
n157-1	n152	1	0	66	34.860677083333314
n182-1	n156	1	0	46	35.45833333333332
n170-1	n158	1	0	58	35.87369791666665
n171-1	n159	1	0	60	36.079427083333314
n176-1	n157	1	0	61	35.46614583333332
n183-1	n162	1	0	46	36.667968749999986
n184-1	n163	1	0	48	36.845052083333314
n172-1	n160	1	0	61	36.266927083333314
n173-1	n161	1	0	61	36.65494791666665
n174-1	n164	1	0	63	36.845052083333314
n185-1	n165	1	0	49	37.04557291666665
n186-1	n167	1	0	49	37.45182291666665
n187-1	n169	1	0	51	37.62760416666665
n177-1	n168	1	0	53	37.45182291666665
n178-1	n170	1	0	55	37.630208333333314
n175-1	n166	1	0	65	37.05859374999998
n189-1	n173	1	0	41	38.251302083333314
n188-1	n171	1	0	53	37.824218749999986
n179-1	n172	1	0	56	37.83463541666665
n180-1	n174	1	0	56	38.26953124999998
n181-1	n175	1	0	58	38.45052083333331
n209-1	n177	1	0	48	38.67708333333331
n210-1	n178	1	0	48	39.07552083333331
n211-1	n182	1	0	50	39.26171874999997
n201-1	n180	1	0	55	39.08723958333331
n200-1	n176	1	0	60	38.66406249999997
n191-1	n179	1	0	64	39.07552083333331
n192-1	n181	1	0	65	39.25781249999997
n213-1	n188	1	0	50	39.88932291666664
n212-1	n184	1	0	52	39.47656249999997
n214-1	n189	1	0	52	40.06380208333331
n203-1	n187	1	0	58	39.86848958333331
n202-1	n186	1	0	60	39.49348958333331
n196-1	n185	1	0	67	39.48958333333331
n193-1	n183	1	0	72	39.46223958333331
n216-1	n193	1	0	40	40.466145833333314
n217-1	n194	1	0	41	40.661458333333314
n218-1	n196	1	0	43	40.85677083333332
n215-1	n190	1	0	53	40.25781249999998
n204-1	n192	1	0	56	40.28124999999998
n198-1	n195	1	0	65	40.66276041666665
n194-1	n191	1	0	73	40.266927083333314
n219-1	n198	1	0	44	41.078124999999986
n206-1	n199	1	0	48	41.281249999999986
n207-1	n200	1	0	50	41.45963541666666
n208-1	n202	1	0	51	41.65104166666665
n199-1	n201	1	0	63	41.46354166666666
n195-1	n197	1	0	72	41.066406249999986
n242-1	n207	1	0	41	42.04947916666665
n243-1	n209	1	0	43	42.253906249999986
n244-1	n210	1	0	44	42.40755208333332
n233-1	n204	1	0	53	41.859374999999986
n224-1	n205	1	0	62	41.87369791666665
n225-1	n208	1	0	63	42.24869791666665
n226-1	n211	1	0	65	42.445312499999986
n220-1	n203	1	0	71	41.85807291666665
n245-1	n214	1	0	46	42.65755208333332
n235-1	n218	1	0	55	43.042968749999986
n230-1	n219	1	0	62	43.22786458333332
n229-1	n217	1	0	64	43.03776041666665
n228-1	n216	1	0	65	42.824218749999986
n227-1	n213	1	0	67	42.64583333333332
n221-1	n212	1	0	76	42.63020833333332
n246-1	n223	1	0	44	43.627604166666664
n247-1	n224	1	0	46	43.830729166666664
n248-1	n225	1	0	48	44.024739583333336
n236-1	n222	1	0	56	43.43489583333333
n231-1	n221	1	0	60	43.42578124999999
n222-1	n220	1	0	77	43.42187499999999
n249-1	n227	1	0	49	44.227864583333336
n241-1	n231	1	0	55	44.807291666666664
n240-1	n229	1	0	56	44.62890625
n239-1	n228	1	0	58	44.4296875
n232-1	n230	1	0	58	44.643229166666664
n223-1	n226	1	0	70	44.22526041666667
n267-1	n235	1	0	48	45.21744791666666
n268-1	n236	1	0	50	45.41666666666666
n269-1	n237	1	0	52	45.61588541666666
n259-1	n232	1	0	53	45.022135416666664
n253-1	n234	1	0	60	45.03906249999999
n250-1	n233	1	0	69	45.02864583333333
n270-1	n238	1	0	53	45.81380208333332
n260-1	n240	1	0	53	46.03385416666665
n261-1	n242	1	0	55	46.23567708333332
n262-1	n243	1	0	56	46.41927083333332
n254-1	n241	1	0	60	46.230468749999986
n251-1	n239	1	0	68	45.81380208333332
n273-1	n249	1	0	50	47.24739583333333
n272-1	n247	1	0	52	47.06510416666666
n263-1	n246	1	0	58	46.66015624999999
n257-1	n250	1	0	58	47.27343749999999
n256-1	n248	1	0	60	47.07682291666666
n255-1	n245	1	0	61	46.65494791666666
n252-1	n244	1	0	67	46.64322916666666
n274-1	n251	1	0	52	47.45052083333333
n265-1	n254	1	0	55	48.063802083333336
n264-1	n253	1	0	56	47.8671875
n258-1	n252	1	0	60	47.47395833333333
n289-1	n256	1	0	53	48.302083333333336
n281-1	n255	1	0	56	48.28125
n276-1	n257	1	0	65	48.703125
n277-1	n258	1	0	67	48.897135416666664
n291-1	n261	1	0	51	49.69140625
n290-1	n260	1	0	53	49.509114583333336
n278-1	n259	1	0	68	49.102864583333336
n294-1	n265	1	0	48	50.47526041666667
n292-1	n262	1	0	50	49.90625
n293-1	n264	1	0	50	50.30729166666667
n285-1	n266	1	0	63	50.49609375000001
n284-1	n263	1	0	65	50.298177083333336
n295-1	n267	1	0	46	50.67187500000001
n296-1	n270	1	0	48	51.11588541666667
n297-1	n271	1	0	50	51.26041666666667
n288-1	n272	1	0	60	51.29296875000001
n286-1	n268	1	0	62	50.67578125000001
n287-1	n269	1	0	62	51.098958333333336
n312-1	n273	1	0	51	51.49348958333334
n304-1	n278	1	0	56	52.12630208333334
n302-1	n274	1	0	58	51.50781250000001
n303-1	n275	1	0	58	51.90625000000001
n299-1	n276	1	0	67	51.92838541666667
n300-1	n277	1	0	68	52.10937500000001
n314-1	n282	1	0	53	52.93619791666668
n305-1	n280	1	0	55	52.335937500000014
n313-1	n281	1	0	55	52.742187500000014
n301-1	n279	1	0	70	52.31901041666668
n317-1	n286	1	0	50	53.740885416666686
n315-1	n283	1	0	52	53.152343750000014
n316-1	n284	1	0	52	53.545572916666686
n308-1	n287	1	0	65	53.75781250000002
n307-1	n285	1	0	67	53.545572916666686
n318-1	n289	1	0	48	53.95312500000002
n319-1	n290	1	0	50	54.342447916666686
n320-1	n292	1	0	52	54.54036458333335
n311-1	n293	1	0	62	54.554687500000014
n309-1	n288	1	0	64	53.944010416666686
n310-1	n291	1	0	64	54.354166666666686
n335-1	n294	1	0	53	54.75130208333334
n328-1	n300	1	0	58	55.358072916666686
n326-1	n295	1	0	60	54.75781250000001
n327-1	n297	1	0	60	55.14453125000001
n322-1	n296	1	0	67	54.94921875000001
n323-1	n298	1	0	68	55.14583333333334
n324-1	n299	1	0	72	55.332031250000014
n337-1	n304	1	0	48	56.14192708333335
n336-1	n303	1	0	50	55.949218750000014
n329-1	n302	1	0	56	55.562500000000014
n325-1	n301	1	0	77	55.53255208333335
n340-1	n309	1	0	45	56.937500000000014
n338-1	n305	1	0	47	56.35416666666668
n339-1	n306	1	0	47	56.74088541666668
n331-1	n308	1	0	72	56.93619791666668
n330-1	n307	1	0	74	56.74088541666668
n341-1	n310	1	0	43	57.14713541666668
n342-1	n312	1	0	45	57.54947916666668
n343-1	n314	1	0	47	57.75000000000001
n334-1	n315	1	0	69	57.75651041666667
n332-1	n311	1	0	71	57.156250000000014
n333-1	n313	1	0	71	57.56119791666668
n366-1	n316	1	0	48	57.98958333333334
n353-1	n317	1	0	67	57.99869791666668
n354-1	n319	1	0	67	58.429687500000014
n355-1	n320	1	0	69	58.60677083333335
n345-1	n318	1	0	75	58.41536458333335
n363-1	n321	1	0	55	58.82161458333334
n357-1	n325	1	0	69	59.26432291666667
n356-1	n322	1	0	71	58.83333333333334
n358-1	n326	1	0	71	59.46354166666667
n346-1	n323	1	0	74	58.83593750000001
n347-1	n324	1	0	79	59.25000000000001
n364-1	n327	1	0	56	59.67057291666667
n349-1	n329	1	0	71	59.89062500000001
n359-1	n328	1	0	72	59.67187500000001
n350-1	n330	1	0	72	60.10807291666667
n351-1	n331	1	0	74	60.29817708333334
n365-1	n332	1	0	55	60.50911458333334
n361-1	n335	1	0	70	60.96484375000001
n352-1	n333	1	0	75	60.53255208333334
n386-1	n336	1	0	54	61.34635416666667
n375-1	n337	1	0	69	61.38411458333334
n376-1	n340	1	0	71	61.75911458333334
n367-1	n338	1	0	72	61.55729166666668
n377-1	n341	1	0	72	61.95052083333334
n368-1	n339	1	0	74	61.74479166666668
n369-1	n342	1	0	75	61.95052083333334
n387-1	n343	1	0	59	62.14843750000001
n381-1	n348	1	0	69	62.75520833333334
n380-1	n347	1	0	71	62.56119791666668
n379-1	n346	1	0	72	62.371093750000014
n378-1	n344	1	0	74	62.15755208333334
n370-1	n345	1	0	77	62.15755208333334
n388-1	n349	1	0	60	62.95703125000001
n382-1	n350	1	0	67	62.97526041666667
n371-1	n351	1	0	75	63.16666666666667
n372-1	n352	1	0	77	63.356770833333336
n373-1	n353	1	0	79	63.536458333333336
n389-1	n355	1	0	53	63.755208333333336
n385-1	n359	1	0	62	64.36328125
n384-1	n358	1	0	63	64.19010416666667
n383-1	n356	1	0	65	63.97135416666667
n374-1	n354	1	0	80	63.75260416666667
n406-1	n361	1	0	52	64.57682291666666
n399-1	n360	1	0	60	64.56901041666666
n391-1	n362	1	0	79	64.7734375
n392-1	n363	1	0	81	64.984375
n393-1	n364	1	0	83	65.16536458333334
n407-1	n365	1	0	51	65.36588541666667
n400-1	n367	1	0	72	65.57291666666667
n401-1	n368	1	0	74	65.78515625000001
n402-1	n369	1	0	75	65.97135416666669
n394-1	n366	1	0	84	65.36588541666667
n408-1	n371	1	0	50	66.1979166666667
n403-1	n370	1	0	77	66.1940104166667
n397-1	n373	1	0	81	66.79817708333337
n396-1	n372	1	0	83	66.6119791666667
n405-1	n376	1	0	74	67.60156250000004
n404-1	n375	1	0	75	67.4361979166667
n398-1	n374	1	0	83	67.0221354166667
n422-1	n379	1	0	48	67.8697916666667
n419-1	n381	1	0	72	68.24739583333339
n420-1	n382	1	0	74	68.42578125000006
n418-1	n378	1	0	75	67.86458333333337
n410-1	n380	1	0	79	68.24479166666671
n409-1	n377	1	0	84	67.8190104166667
n425-1	n386	1	0	70	69.24348958333339
n424-1	n385	1	0	72	69.04557291666671
n421-1	n384	1	0	75	68.66796875000004
n411-1	n383	1	0	84	68.63932291666671
n428-1	n391	1	0	67	70.0481770833334
n426-1	n387	1	0	69	69.44401041666673
n427-1	n389	1	0	69	69.85026041666673
n414-1	n390	1	0	82	70.0442708333334
n413-1	n388	1	0	84	69.82812500000006
n429-1	n393	1	0	65	70.24218750000007
n430-1	n394	1	0	67	70.62369791666674
n431-1	n397	1	0	69	70.8255208333334
n417-1	n396	1	0	79	70.8098958333334
n415-1	n392	1	0	81	70.22265625000007
n416-1	n395	1	0	81	70.62500000000007
n446-1	n402	1	0	58	71.41666666666674
n445-1	n398	1	0	70	71.01953125000007
n442-1	n401	1	0	70	71.41015625000007
n443-1	n404	1	0	72	71.59244791666674
n432-1	n399	1	0	77	71.0247395833334
n433-1	n400	1	0	79	71.40885416666674
n434-1	n403	1	0	81	71.58203125000007
n448-1	n408	1	0	68	72.40104166666676
n447-1	n407	1	0	70	72.19921875000009
n444-1	n406	1	0	73	71.79036458333341
n435-1	n405	1	0	82	71.78776041666674
n451-1	n413	1	0	65	73.18750000000009
n449-1	n409	1	0	67	72.58854166666676
n450-1	n411	1	0	67	72.99218750000009
n437-1	n412	1	0	80	73.17578125000009
n436-1	n410	1	0	82	72.97916666666676
n452-1	n415	1	0	63	73.40755208333341
n453-1	n416	1	0	65	73.78515625000009
n454-1	n419	1	0	67	73.98437500000009
n440-1	n418	1	0	77	73.97916666666676
n438-1	n414	1	0	79	73.36588541666676
n439-1	n417	1	0	79	73.78515625000009
n470-1	n423	1	0	56	74.59895833333341
n469-1	n421	1	0	68	74.19270833333343
n466-1	n424	1	0	68	74.60286458333341
n467-1	deletion
n455-1	n420	1	0	75	74.19010416666676
n456-1	n422	1	0	77	74.58984375000009
n457-1	n425	1	0	79	74.77343750000009
n472-1	n430	1	0	67	75.54687500000007
n471-1	n429	1	0	68	75.36197916666674
n468-1	n428	1	0	72	75.01562500000009
n458-1	n427	1	0	80	74.97265625000009
n475-1	n434	1	0	63	76.3216145833334
n473-1	n431	1	0	65	75.7473958333334
n474-1	n432	1	0	65	76.1497395833334
n461-1	n435	1	0	79	76.32291666666673
n460-1	n433	1	0	80	76.1497395833334
n478-1	n441	1	0	60	77.13020833333341
n476-1	n436	1	0	61	76.5442708333334
n477-1	n438	1	0	61	76.92968750000007
n464-1	n440	1	0	75	77.12760416666674
n462-1	n437	1	0	77	76.5520833333334
n463-1	n439	1	0	77	76.93750000000007
n493-1	n443	1	0	58	77.3255208333334
n494-1	n445	1	0	60	77.73046875000006
