xml_id	midi_id	track	channel	pitch	onset
n2-1	n0	1	0	60	0.5
n3-1	n1	1	0	61	1.57421875
n4-1	n2	1	0	60	2.65234375
n6-1	n3	1	0	59	3.7526041666666665
n7-1	n4	1	0	64	4.9609375
n8-1	n5	1	0	65	6.010416666666666
n9-1	n6	1	0	58	7.098958333333332
n11-1	n7	1	0	57	8.22265625
n12-1	n8	1	0	56	9.264322916666668
n13-1	n9	1	0	55	10.372395833333336
n18-1	n10	1	0	53	12.519531250000002
n19-1	n11	1	0	53	13.203125
n20-1	n12	1	0	55	13.424479166666666
n21-1	n14	1	0	56	13.6953125
n22-1	n15	1	0	56	14.1953125
n23-1	n16	1	0	58	14.415364583333334
n15-1	n13	1	0	65	13.6875
n25-1	n19	1	0	47	14.90234375
n26-1	n20	1	0	48	15.134114583333334
n27-1	n21	1	0	50	15.369791666666668
n24-1	n18	1	0	60	14.686197916666666
n16-1	n17	1	0	68	14.6640625
n28-1	n22	1	0	51	15.652343750000002
n17-1	n23	1	0	67	15.652343750000002
n33-1	n25	1	0	48	16.88932291666667
n34-1	n26	1	0	50	17.10416666666667
n35-1	n27	1	0	51	17.320312500000004
n29-1	n24	1	0	66	16.683593750000004
n36-1	n29	1	0	53	17.628906250000004
n30-1	n28	1	0	71	17.623697916666668
n37-1	n31	1	0	51	18.86067708333334
n38-1	n32	1	0	53	19.08463541666667
n39-1	n33	1	0	55	19.313802083333336
n31-1	n30	1	0	72	18.63932291666667
n40-1	n35	1	0	56	19.617187500000004
n32-1	n34	1	0	65	19.591145833333336
n46-1	n37	1	0	55	20.802083333333332
n47-1	n38	1	0	57	21.010416666666664
n48-1	n39	1	0	59	21.236979166666664
n41-1	n36	1	0	64	20.57421875
n49-1	n41	1	0	60	21.527343749999996
n42-1	n40	1	0	63	21.498697916666664
n52-1	n44	1	0	57	23.32161458333332
n51-1	n43	1	0	59	23.092447916666657
n43-1	n42	1	0	62	22.59765624999999
n53-1	n45	1	0	59	23.678385416666654
n45-1	deletion
n44-1	deletion
n66-1	n48	1	0	55	25.273437499999982
n65-1	n46	1	0	60	24.765624999999986
n55-1	n47	1	0	60	25.25651041666665
n67-1	n52	1	0	60	25.76692708333331
n54-1	deletion
n56-1	n49	1	0	62	25.47656249999998
n72-1	n51	1	0	48	25.75520833333331
