xml_id	midi_id	track	channel	pitch	onset
n2-1	n0	1	0	60	0.5
n3-1	n1	1	0	61	1.5177083333333339
n4-1	n2	1	0	60	2.56875
n6-1	n3	1	0	59	3.614583333333338
n7-1	n4	1	0	64	4.629166666666673
n8-1	n5	1	0	65	5.663541666666664
n9-1	n6	1	0	58	6.669791666666656
n11-1	n7	1	0	57	7.667708333333314
n12-1	n8	1	0	56	8.655208333333313
n13-1	n9	1	0	55	9.746874999999983
n18-1	n10	1	0	53	11.634374999999986
n19-1	n11	1	0	53	12.13020833333332
n20-1	n12	1	0	55	12.345833333333319
n21-1	n13	1	0	56	12.604166666666652
n22-1	n15	1	0	56	13.063541666666652
n23-1	n16	1	0	58	13.270833333333318
n15-1	n14	1	0	65	12.613541666666652
n25-1	n19	1	0	47	13.714583333333318
n26-1	n20	1	0	48	13.928124999999984
n27-1	n21	1	0	50	14.153124999999985
n24-1	n18	1	0	60	13.524999999999984
n16-1	n17	1	0	68	13.509374999999984
n28-1	n23	1	0	51	14.440624999999985
n17-1	n22	1	0	67	14.416666666666652
n33-1	n25	1	0	48	15.566666666666663
n34-1	n26	1	0	50	15.788541666666662
n35-1	n27	1	0	51	15.989583333333329
n29-1	n24	1	0	66	15.34791666666666
n36-1	n29	1	0	53	16.27708333333333
n30-1	n28	1	0	71	16.267708333333328
n37-1	n31	1	0	51	17.409374999999983
n38-1	n32	1	0	53	17.64062499999998
n39-1	n33	1	0	55	17.851041666666642
n31-1	n30	1	0	72	17.19999999999999
n40-1	n35	1	0	56	18.146874999999977
n32-1	n34	1	0	65	18.137499999999974
n46-1	n37	1	0	55	19.272916666666635
n47-1	n38	1	0	57	19.48749999999996
n48-1	n39	1	0	59	19.70416666666663
n41-1	n36	1	0	64	19.052083333333304
n49-1	n41	1	0	60	20.019791666666634
n42-1	n40	1	0	63	19.996874999999967
n52-1	n44	1	0	57	21.681249999999952
n51-1	n43	1	0	59	21.444791666666617
n43-1	n42	1	0	62	21.016666666666623
n53-1	n46	1	0	59	22.032291666666616
