onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
1.0,1.0,1.0,1.0,16,16,60,2,n2-1,1.0,0.5
2.0,1.0,2.0,1.0,32,16,61,2,n3-1,2.0,1.517708
3.0,1.0,3.0,1.0,48,16,60,2,n4-1,3.0,2.56875
4.0,1.0,4.0,1.0,64,16,59,2,n6-1,4.0,3.614583
5.0,1.0,5.0,1.0,80,16,64,2,n7-1,5.0,4.629167
6.0,1.0,6.0,1.0,96,16,65,2,n8-1,6.0,5.663542
7.0,1.0,7.0,1.0,112,16,58,2,n9-1,7.0,6.669792
8.0,1.0,8.0,1.0,128,16,57,7,n11-1,8.0,7.667708
9.0,1.0,9.0,1.0,144,16,56,7,n12-1,9.0,8.655208
10.0,2.0,10.0,2.0,160,32,55,7,n13-1,10.0,9.746875
12.0,0.5,12.0,0.5,192,8,53,7,n18-1,12.0,11.634375
12.5,0.25,12.5,0.25,200,4,53,7,n19-1,12.0,11.634375
12.75,0.25,12.75,0.25,204,4,55,7,n20-1,12.0,11.634375
13.0,0.5,13.0,0.5,208,8,56,7,n21-1,13.0,12.608854
13.0,1.0,13.0,1.0,208,16,65,1,n15-1,13.0,12.608854
13.5,0.25,13.5,0.25,216,4,56,7,n22-1,13.0,12.608854
13.75,0.25,13.75,0.25,220,4,58,7,n23-1,13.0,12.608854
14.0,0.25,14.0,0.25,224,4,60,7,n24-1,14.0,13.517188
14.0,1.0,14.0,1.0,224,16,68,1,n16-1,14.0,13.517188
14.25,0.25,14.25,0.25,228,4,47,7,n25-1,14.0,13.517188
14.5,0.25,14.5,0.25,232,4,48,7,n26-1,14.0,13.517188
14.75,0.25,14.75,0.25,236,4,50,7,n27-1,14.0,13.517188
15.0,1.0,15.0,1.0,240,16,51,7,n28-1,15.0,14.428646
15.0,1.0,15.0,1.0,240,16,67,1,n17-1,15.0,14.428646
16.0,1.0,16.0,1.0,256,16,66,1,n29-1,16.0,15.347917
16.25,0.25,16.25,0.25,260,4,48,7,n33-1,16.0,15.347917
16.5,0.25,16.5,0.25,264,4,50,7,n34-1,16.0,15.347917
16.75,0.25,16.75,0.25,268,4,51,7,n35-1,16.0,15.347917
17.0,1.0,17.0,1.0,272,16,53,7,n36-1,17.0,16.272394
17.0,1.0,17.0,1.0,272,16,71,1,n30-1,17.0,16.272394
18.0,1.0,18.0,1.0,288,16,72,1,n31-1,18.0,17.2
18.25,0.25,18.25,0.25,292,4,51,7,n37-1,18.0,17.2
18.5,0.25,18.5,0.25,296,4,53,7,n38-1,18.0,17.2
18.75,0.25,18.75,0.25,300,4,55,7,n39-1,18.0,17.2
19.0,1.0,19.0,1.0,304,16,56,7,n40-1,19.0,18.142187
19.0,1.0,19.0,1.0,304,16,65,1,n32-1,19.0,18.142187
20.0,1.0,20.0,1.0,320,16,64,1,n41-1,20.0,19.052082
20.25,0.25,20.25,0.25,324,4,55,7,n46-1,20.0,19.052082
20.5,0.25,20.5,0.25,328,4,57,7,n47-1,20.0,19.052082
20.75,0.25,20.75,0.25,332,4,59,7,n48-1,20.0,19.052082
21.0,1.5,21.0,1.5,336,24,60,7,n49-1,21.0,20.008333
21.0,1.0,21.0,1.0,336,16,63,1,n42-1,21.0,20.008333
22.0,2.0,22.0,2.0,352,32,62,1,n43-1,22.0,21.016666
22.5,0.25,22.5,0.25,360,4,59,7,n51-1,22.0,21.016666
22.75,0.25,22.75,0.25,364,4,57,7,n52-1,22.0,21.016666
23.0,1.0,23.0,1.0,368,16,59,7,n53-1,23.0,21.911015
23.0625,0.0625,23.0625,0.0625,369,1,60,6,n44-1,23.0,21.911015
23.125,0.875,23.125,0.875,370,14,59,6,n45-1,23.0,21.911015
24.0,0.5,24.0,0.5,384,8,60,2,n65-1,24.0,22.8554
24.0,0.5,24.0,0.5,384,8,60,1,n54-1,24.0,22.8554
24.5,0.5,24.5,0.5,392,8,55,2,n66-1,24.0,22.8554
24.5,0.25,24.5,0.25,392,4,60,1,n55-1,24.0,22.8554
24.75,0.25,24.75,0.25,396,4,62,1,n56-1,24.0,22.8554
25.0,1.0,25.0,1.0,400,16,48,5,n72-1,25.0,23.8
25.0,0.5,25.0,0.5,400,8,60,2,n67-1,25.0,23.8
25.0,0.5,25.0,0.5,400,8,64,1,n57-1,25.0,23.8
25.5,0.5,25.5,0.5,408,8,58,2,n68-1,25.0,23.8
25.5,0.25,25.5,0.25,408,4,62,1,n58-1,25.0,23.8
25.75,0.25,25.75,0.25,412,4,64,1,n59-1,25.0,23.8
26.0,1.0,26.0,1.0,416,16,49,5,n73-1,26.0,24.710417
26.0,0.5,26.0,0.5,416,8,56,2,n69-1,26.0,24.710417
26.0,0.25,26.0,0.25,416,4,65,1,n60-1,26.0,24.710417
26.25,0.25,26.25,0.25,420,4,52,1,n61-1,26.0,24.710417
26.5,0.25,26.5,0.25,424,4,53,1,n62-1,26.0,24.710417
26.5,1.0,26.5,1.0,424,16,65,2,n70-1,26.0,24.710417
26.75,0.25,26.75,0.25,428,4,55,1,n63-1,26.0,24.710417
27.0,1.0,27.0,1.0,432,16,48,5,n74-1,27.0,25.616146
27.0,1.0,27.0,1.0,432,16,56,1,n64-1,27.0,25.616146
27.5,0.5,27.5,0.5,440,8,63,2,n71-1,27.0,25.616146
28.0,1.0,28.0,1.0,448,16,47,6,n95-1,28.0,26.529688
28.0,0.5,28.0,0.5,448,8,62,1,n75-1,28.0,26.529688
28.25,0.25,28.25,0.25,452,4,53,5,n85-1,28.0,26.529688
28.5,0.25,28.5,0.25,456,4,55,5,n86-1,28.0,26.529688
28.5,0.25,28.5,0.25,456,4,63,1,n76-1,28.0,26.529688
28.75,0.25,28.75,0.25,460,4,56,5,n87-1,28.0,26.529688
28.75,0.25,28.75,0.25,460,4,65,1,n77-1,28.0,26.529688
29.0,1.0,29.0,1.0,464,16,52,6,n96-1,29.0,27.414236
29.0,1.0,29.0,1.0,464,16,58,5,n88-1,29.0,27.414236
29.0,0.25,29.0,0.25,464,4,67,1,n78-1,29.0,27.414236
29.25,0.25,29.25,0.25,468,4,65,1,n79-1,29.0,27.414236
29.5,0.25,29.5,0.25,472,4,64,1,n80-1,29.0,27.414236
29.75,0.25,29.75,0.25,476,4,62,1,n81-1,29.0,27.414236
30.0,1.0,30.0,1.0,480,16,53,6,n97-1,30.0,28.310938
30.0,1.0,30.0,1.0,480,16,60,1,n82-1,30.0,28.310938
30.25,0.25,30.25,0.25,484,4,56,5,n89-1,30.0,28.310938
30.5,0.25,30.5,0.25,488,4,58,5,n90-1,30.0,28.310938
30.75,0.25,30.75,0.25,492,4,60,5,n91-1,30.0,28.310938
31.0,1.0,31.0,1.0,496,16,46,6,n98-1,31.0,29.201042
31.0,1.0,31.0,1.0,496,16,61,1,n83-1,31.0,29.201042
31.25,0.25,31.25,0.25,500,4,58,5,n92-1,31.0,29.201042
31.5,0.25,31.5,0.25,504,4,56,5,n93-1,31.0,29.201042
31.75,0.25,31.75,0.25,508,4,55,5,n94-1,31.0,29.201042
32.0,1.0,32.0,1.0,512,16,45,6,n116-1,32.0,30.080208
32.0,1.0,32.0,1.0,512,16,53,5,n108-1,32.0,30.080208
32.25,0.25,32.25,0.25,516,4,60,1,n100-1,32.0,30.080208
32.5,0.25,32.5,0.25,520,4,62,1,n101-1,32.0,30.080208
32.75,0.25,32.75,0.25,524,4,64,1,n102-1,32.0,30.080208
33.0,1.0,33.0,1.0,528,16,44,6,n117-1,33.0,30.935417
33.0,1.5,33.0,1.5,528,24,65,1,n103-1,33.0,30.935417
33.25,0.25,33.25,0.25,532,4,53,5,n110-1,33.0,30.935417
33.5,0.25,33.5,0.25,536,4,55,5,n111-1,33.0,30.935417
33.75,0.25,33.75,0.25,540,4,56,5,n112-1,33.0,30.935417
34.0,2.0,34.0,2.0,544,32,43,6,n118-1,34.0,31.86927
34.0,1.5,34.0,1.5,544,24,58,5,n113-1,34.0,31.86927
34.5,0.25,34.5,0.25,552,4,64,1,n105-1,34.0,31.86927
34.75,0.25,34.75,0.25,556,4,62,1,n106-1,34.0,31.86927
35.0,1.0,35.0,1.0,560,16,64,1,n107-1,35.0,32.8125
35.5,0.25,35.5,0.25,568,4,56,5,n114-1,35.0,32.8125
