onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,1.1604167,60,47,1,0,n0,0.5,1.0
1.5177083,1.1833333,61,58,1,0,n1,1.517708,2.0
2.56875,1.1322917,60,55,1,0,n2,2.56875,3.0
3.6145833,1.0864583,59,57,1,0,n3,3.614583,4.0
4.6291666,1.13125,64,62,1,0,n4,3.614583,4.0
5.663542,1.1583333,65,63,1,0,n5,5.663542,6.0
6.6697917,1.090625,58,52,1,0,n6,5.663542,6.0
7.6677084,1.0333333,57,57,1,0,n7,7.667708,8.0
8.655209,1.2052083,56,62,1,0,n8,8.655208,9.0
9.746875,1.8541666,55,53,1,0,n9,9.746875,10.0
11.634375,0.29270834,53,37,1,0,n10,11.634375,12.0
12.130208,0.25729167,53,43,1,0,n11,11.634375,12.0
12.345834,0.24375,55,49,1,0,n12,11.634375,12.0
12.604167,0.28958333,56,45,1,0,n13,11.634375,12.0
12.613542,0.56145835,65,49,1,0,n14,12.608854,13.0
13.063541,0.23854166,56,61,1,0,n15,12.608854,13.0
13.270833,0.2,58,59,1,0,n16,12.608854,13.0
13.509375,0.503125,68,68,1,0,n17,12.608854,13.0
13.525,0.072916664,60,44,1,0,n18,13.517188,14.0
13.714583,0.26354167,47,58,1,0,n19,13.517188,14.0
13.928125,0.26041666,48,66,1,0,n20,13.517188,14.0
14.153125,0.30208334,50,67,1,0,n21,13.517188,14.0
14.416667,1.0489583,67,58,1,0,n22,13.517188,14.0
14.440625,1.025,51,48,1,0,n23,14.428646,15.0
15.347917,0.5520833,66,61,1,0,n24,15.347917,16.0
15.566667,0.24895833,48,52,1,0,n25,15.347917,16.0
15.788542,0.25208333,50,67,1,0,n26,15.347917,16.0
15.989583,0.28541666,51,67,1,0,n27,15.347917,16.0
16.267708,1.05625,71,73,1,0,n28,15.347917,16.0
16.277082,1.046875,53,50,1,0,n29,16.272394,17.0
17.2,0.49166667,72,75,1,0,n30,17.2,18.0
17.409374,0.2875,51,56,1,0,n31,17.2,18.0
17.640625,0.19791667,53,64,1,0,n32,17.2,18.0
17.851042,0.3375,55,64,1,0,n33,17.2,18.0
18.1375,1.0239583,65,61,1,0,n34,17.2,18.0
18.146875,1.0145833,56,48,1,0,n35,18.142187,19.0
19.052084,0.51666665,64,67,1,0,n36,19.052082,20.0
19.272917,0.2875,55,58,1,0,n37,19.052082,20.0
19.4875,0.26875,57,70,1,0,n38,19.052082,20.0
19.704166,0.371875,59,72,1,0,n39,19.052082,20.0
19.996876,1.1458334,63,62,1,0,n40,19.052082,20.0
20.019793,1.1822916,60,52,1,0,n41,20.008333,21.0
21.016666,1.353125,62,63,1,0,n42,21.016666,22.0
21.444792,0.225,59,49,1,0,n43,21.016666,22.0
21.68125,0.21458334,57,52,1,0,n44,21.016666,22.0
21.911459,0.11145833,60,51,1,0,n45,21.911015,23.0
22.032291,0.078125,59,62,1,0,n46,21.911015,23.0
22.136457,0.084375,60,56,1,0,n47,21.911015,23.0
22.222918,0.071875,59,68,1,0,n48,21.911015,23.0
22.315624,0.063541666,60,56,1,0,n49,21.911015,23.0
22.375,0.060416665,59,54,1,0,n50,21.911015,23.0
22.472918,0.110416666,60,63,1,0,n51,21.911015,23.0
22.597918,0.278125,59,54,1,0,n52,21.911015,23.0
22.8625,0.49895832,60,55,1,0,n53,22.8554,24.0
23.33125,0.23854166,60,52,1,0,n54,22.8554,24.0
23.340626,0.484375,55,44,1,0,n55,22.8554,24.0
23.54375,0.28020832,62,64,1,0,n56,22.8554,24.0
23.789583,0.47395834,64,62,1,0,n57,22.8554,24.0
23.805208,0.9166667,48,69,1,0,n58,23.8,25.0
23.805208,0.57916665,60,64,1,0,n59,23.8,25.0
24.252083,0.46979168,62,54,1,0,n60,23.8,25.0
24.266666,0.45520833,58,52,1,0,n61,23.8,25.0
24.472918,0.26458332,64,66,1,0,n62,23.8,25.0
24.698957,0.92395836,49,80,1,0,n63,23.8,25.0
24.715626,0.42604166,65,66,1,0,n64,24.710417,26.0
24.716667,0.196875,56,56,1,0,n65,24.710417,26.0
24.927084,0.21458334,52,65,1,0,n66,24.710417,26.0
25.151041,0.17708333,53,64,1,0,n67,24.710417,26.0
25.152082,0.5833333,65,75,1,0,n68,24.710417,26.0
25.360416,0.27604166,55,69,1,0,n69,24.710417,26.0
25.615625,0.96666664,56,78,1,0,n70,24.710417,26.0
25.616667,0.965625,48,70,1,0,n71,25.616146,27.0
26.08125,0.50104165,63,67,1,0,n72,25.616146,27.0
26.523958,0.65,47,70,1,0,n73,25.616146,27.0
26.535418,0.60729164,62,66,1,0,n74,26.529688,28.0
26.751041,0.19166666,53,67,1,0,n75,26.529688,28.0
26.961458,0.21979167,55,65,1,0,n76,26.529688,28.0
26.961458,0.5416667,63,69,1,0,n77,26.529688,28.0
27.176043,0.32708332,56,67,1,0,n78,26.529688,28.0
27.214582,0.28854167,65,47,1,0,n79,26.529688,28.0
27.413542,0.9479167,52,72,1,0,n80,26.529688,28.0
27.414583,0.53125,58,76,1,0,n81,27.414236,29.0
27.414583,0.26145834,67,71,1,0,n82,27.414236,29.0
27.613543,0.32291666,65,60,1,0,n83,27.414236,29.0
27.870832,0.490625,64,69,1,0,n84,27.414236,29.0
28.090626,0.27083334,62,68,1,0,n85,27.414236,29.0
28.302084,0.9604167,53,69,1,0,n86,27.414236,29.0
28.319792,0.32708332,60,64,1,0,n87,28.310938,30.0
28.540625,0.721875,56,67,1,0,n88,28.310938,30.0
28.763542,0.49895832,58,70,1,0,n89,28.310938,30.0
28.963541,0.29895833,60,76,1,0,n90,28.310938,30.0
29.201042,0.90208334,46,66,1,0,n91,29.201042,31.0
29.201042,0.90208334,61,77,1,0,n92,29.201042,31.0
29.419792,0.68333334,58,62,1,0,n93,29.201042,31.0
29.6375,0.465625,56,68,1,0,n94,29.201042,31.0
29.845833,0.25729167,55,65,1,0,n95,29.201042,31.0
30.080208,0.884375,45,58,1,0,n96,30.080208,32.0
30.080208,0.31145832,53,66,1,0,n97,30.080208,32.0
30.2875,0.6770833,60,72,1,0,n98,30.080208,32.0
30.502083,0.4625,62,77,1,0,n99,30.080208,32.0
30.709375,0.26041666,64,80,1,0,n100,30.080208,32.0
30.930208,0.9927083,44,71,1,0,n101,30.080208,32.0
30.940624,1.390625,65,81,1,0,n102,30.935417,33.0
31.16875,0.75625,53,63,1,0,n103,30.935417,33.0
31.366667,0.55625,55,68,1,0,n104,30.935417,33.0
31.56875,0.35416666,56,75,1,0,n105,30.935417,33.0
31.867708,1.9125,58,71,1,0,n106,30.935417,33.0
31.870832,1.9125,43,55,1,0,n107,31.86927,34.0
32.329166,0.22916667,64,64,1,0,n108,31.86927,34.0
32.534374,0.26979166,62,64,1,0,n109,31.86927,34.0
32.8125,0.96770835,64,62,1,0,n110,32.8125,35.0
33.263542,0.51666665,56,50,1,0,n111,32.8125,35.0
33.485416,0.29479167,55,48,1,0,n112,32.8125,35.0
33.746876,0.21145834,65,55,1,0,n113,32.8125,35.0
33.75625,0.68333334,41,40,1,0,n114,32.8125,35.0
33.795834,0.64375,56,38,1,0,n115,33.76632,36.0
34.260418,0.259375,65,50,1,0,n116,33.76632,36.0
34.466667,0.25,67,50,1,0,n117,33.76632,36.0
34.722916,0.61875,68,52,1,0,n118,34.722916,37.0
35.175,0.26354167,68,52,1,0,n119,34.722916,37.0
35.18125,0.20625,53,43,1,0,n120,34.722916,37.0
35.380207,0.30520833,70,70,1,0,n121,34.722916,37.0
35.402084,0.24479167,55,47,1,0,n122,34.722916,37.0
35.651043,1.3697916,72,68,1,0,n123,34.722916,37.0
35.66875,0.45208332,56,49,1,0,n124,35.659897,38.0
36.088543,0.221875,56,55,1,0,n125,35.659897,38.0
36.096874,0.21770833,60,51,1,0,n126,35.659897,38.0
36.31875,0.24270834,58,52,1,0,n127,35.659897,38.0
36.321877,0.23958333,61,55,1,0,n128,35.659897,38.0
36.553123,1.0729166,63,59,1,0,n129,35.659897,38.0
36.557293,0.46354166,60,46,1,0,n130,36.555206,39.0
36.7625,0.25833333,70,73,1,0,n131,36.555206,39.0
36.975,0.6822917,48,49,1,0,n132,36.555206,39.0
36.985416,0.20416667,68,73,1,0,n133,36.555206,39.0
37.209373,0.41145834,67,61,1,0,n134,36.555206,39.0
37.528126,0.70104164,65,61,1,0,n135,36.555206,39.0
37.541668,0.95520836,49,53,1,0,n136,37.534897,40.0
38.00729,0.31875,61,47,1,0,n137,37.534897,40.0
38.213543,0.26145834,63,56,1,0,n138,37.534897,40.0
38.473957,0.4875,65,47,1,0,n139,38.473957,41.0
38.916668,0.234375,65,55,1,0,n140,38.473957,41.0
38.919792,0.19791667,49,47,1,0,n141,38.473957,41.0
39.13229,0.28125,67,65,1,0,n142,38.473957,41.0
39.140625,0.21770833,51,49,1,0,n143,38.473957,41.0
39.369793,0.43229166,53,45,1,0,n144,38.473957,41.0
39.388542,1.3333334,68,69,1,0,n145,39.379166,42.0
39.807293,0.196875,56,57,1,0,n146,39.379166,42.0
39.821877,0.20416667,53,39,1,0,n147,39.379166,42.0
40.034374,0.20729166,55,51,1,0,n148,39.379166,42.0
40.036457,0.20520833,58,56,1,0,n149,39.379166,42.0
40.271873,1.0145833,60,53,1,0,n150,39.379166,42.0
40.27396,0.47395834,56,51,1,0,n151,40.27292,43.0
40.459373,0.2625,66,65,1,0,n152,40.27292,43.0
40.683334,0.5385417,65,71,1,0,n153,40.27292,43.0
40.696877,0.58229166,44,49,1,0,n154,40.27292,43.0
40.90729,0.43958333,63,72,1,0,n155,40.27292,43.0
41.205208,1.0489583,46,50,1,0,n156,40.27292,43.0
41.20729,0.6822917,61,60,1,0,n157,41.20625,44.0
41.670834,0.19270833,58,49,1,0,n158,41.20625,44.0
41.889584,0.246875,60,52,1,0,n159,41.20625,44.0
42.14479,0.45625,61,56,1,0,n160,42.14479,45.0
42.6,0.31041667,61,51,1,0,n161,42.14479,45.0
42.602085,0.24270834,46,42,1,0,n162,42.14479,45.0
42.807293,0.22291666,48,46,1,0,n163,42.14479,45.0
42.809376,0.28333333,63,62,1,0,n164,42.14479,45.0
43.059376,0.41875,49,47,1,0,n165,42.14479,45.0
43.079166,1.8,65,62,1,0,n166,43.06927,46.0
43.504166,0.41458333,49,42,1,0,n167,43.06927,46.0
43.51146,0.08125,53,55,1,0,n168,43.06927,46.0
43.728127,0.19375,51,47,1,0,n169,43.06927,46.0
43.735416,0.21770833,55,57,1,0,n170,43.06927,46.0
43.977085,0.44895834,53,41,1,0,n171,43.06927,46.0
43.979168,0.43958333,56,58,1,0,n172,43.978127,47.0
44.39896,0.48020834,56,57,1,0,n173,43.978127,47.0
44.434376,0.44479167,41,39,1,0,n174,43.978127,47.0
44.619793,0.259375,58,57,1,0,n175,43.978127,47.0
44.877083,0.48125,60,57,1,0,n176,43.978127,47.0
44.889584,0.11354167,48,40,1,0,n177,44.88333,48.0
45.315624,0.15208334,48,50,1,0,n178,44.88333,48.0
45.316666,0.58229166,64,59,1,0,n179,44.88333,48.0
45.35,0.123958334,55,38,1,0,n180,44.88333,48.0
45.520832,0.378125,65,69,1,0,n181,44.88333,48.0
45.539585,0.359375,50,55,1,0,n182,44.88333,48.0
45.835415,0.86354166,72,87,1,0,n183,44.88333,48.0
45.84271,0.20208333,52,45,1,0,n184,44.88333,48.0
45.852085,0.846875,60,45,1,0,n185,45.846874,49.0
45.857292,1.4822917,67,55,1,0,n186,45.846874,49.0
46.31146,0.3875,50,57,1,0,n187,45.846874,49.0
46.321877,0.37708333,58,53,1,0,n188,45.846874,49.0
46.51979,0.17916666,52,69,1,0,n189,45.846874,49.0
46.734375,0.91875,73,83,1,0,n190,45.846874,49.0
46.745834,0.05,56,58,1,0,n191,46.743053,50.0
46.74896,0.05,53,63,1,0,n192,46.743053,50.0
