xml_id	midi_id	track	channel	pitch	onset
n2-1	n0	1	0	60	0.5
n3-1	n1	1	0	61	1.4552083333333332
n4-1	n2	1	0	60	2.40625
n6-1	n3	1	0	59	3.3552083333333336
n7-1	n4	1	0	64	4.305208333333334
n8-1	n5	1	0	65	5.263541666666667
n9-1	n6	1	0	58	6.264583333333334
n11-1	n7	1	0	57	7.233333333333334
n12-1	n8	1	0	56	8.196875
n13-1	n9	1	0	55	9.248958333333334
n18-1	n10	1	0	53	11.126041666666667
n19-1	n11	1	0	53	11.542708333333334
n20-1	n12	1	0	55	11.760416666666666
n21-1	n13	1	0	56	12.046875
n22-1	n15	1	0	56	12.472916666666666
n23-1	n16	1	0	58	12.689583333333335
n15-1	n14	1	0	65	12.046875
n25-1	n19	1	0	47	13.137500000000003
n26-1	n20	1	0	48	13.377083333333337
n27-1	n21	1	0	50	13.590625000000005
n24-1	n18	1	0	60	12.94166666666667
n16-1	n17	1	0	68	12.937500000000004
n28-1	n23	1	0	51	13.845833333333339
n17-1	n22	1	0	67	13.836458333333338
n33-1	n25	1	0	48	15.022916666666681
n34-1	n26	1	0	50	15.247916666666681
n35-1	n27	1	0	51	15.447916666666682
n29-1	n24	1	0	66	14.794791666666677
n36-1	n29	1	0	53	15.718750000000016
n30-1	n28	1	0	71	15.691666666666682
n37-1	n31	1	0	51	16.836458333333354
n38-1	n32	1	0	53	17.055208333333354
n39-1	n33	1	0	55	17.265625000000018
n31-1	n30	1	0	72	16.608333333333352
n40-1	n35	1	0	56	17.516666666666683
n32-1	n34	1	0	65	17.51458333333335
n46-1	n37	1	0	55	18.687500000000014
n47-1	n38	1	0	57	18.914583333333347
n48-1	n39	1	0	59	19.130208333333346
n41-1	n36	1	0	64	18.45729166666668
n49-1	n41	1	0	60	19.40000000000001
n42-1	n40	1	0	63	19.367708333333344
n52-1	n44	1	0	57	20.941666666666677
n51-1	n43	1	0	59	20.71875000000001
n43-1	n42	1	0	62	20.28125000000001
n53-1	n45	1	0	59	21.204166666666676
n45-1	n47	1	0	59	21.52812500000001
n44-1	n46	1	0	60	21.430208333333344
n66-1	n53	1	0	55	22.431250000000016
n65-1	n48	1	0	60	21.618750000000013
n54-1	n52	1	0	60	22.028125000000014
n55-1	n54	1	0	60	22.44479166666668
n56-1	n55	1	0	62	22.64791666666668
n72-1	n56	1	0	48	22.909375000000015
n68-1	n60	1	0	58	23.384375000000016
