xml_id	midi_id	track	channel	pitch	onset
n2-1	n0	1	0	60	0.5
n3-1	n1	1	0	61	1.5416666666666667
n4-1	n2	1	0	60	2.580208333333333
n6-1	n3	1	0	59	3.555208333333333
n7-1	n4	1	0	64	4.548958333333333
n8-1	n5	1	0	65	5.591666666666666
n9-1	n6	1	0	58	6.595833333333332
n11-1	n7	1	0	57	7.548958333333332
n12-1	n8	1	0	56	8.521875
n13-1	n9	1	0	55	9.615625
n18-1	n10	1	0	53	11.505208333333332
n19-1	n11	1	0	53	11.963541666666666
n20-1	n12	1	0	55	12.183333333333334
n21-1	n14	1	0	56	12.429166666666667
n22-1	n15	1	0	56	12.844791666666666
n23-1	n16	1	0	58	13.080208333333333
n15-1	n13	1	0	65	12.409375
n25-1	n19	1	0	47	13.485416666666667
n26-1	n20	1	0	48	13.713541666666668
n27-1	n21	1	0	50	13.901041666666668
n24-1	n18	1	0	60	13.293750000000001
n16-1	n17	1	0	68	13.282291666666667
n28-1	n23	1	0	51	14.161458333333336
n17-1	n22	1	0	67	14.150000000000002
n33-1	n25	1	0	48	15.250000000000002
n34-1	n26	1	0	50	15.453125000000002
n35-1	n27	1	0	51	15.629166666666668
n29-1	n24	1	0	66	15.028125000000001
n36-1	n29	1	0	53	15.892708333333333
n30-1	n28	1	0	71	15.878125
n37-1	n31	1	0	51	16.990625
n38-1	n32	1	0	53	17.207291666666666
n39-1	n33	1	0	55	17.413541666666667
n31-1	n30	1	0	72	16.798958333333335
n40-1	n35	1	0	56	17.69375
n32-1	n34	1	0	65	17.658333333333335
n46-1	n37	1	0	55	18.778125
n47-1	n38	1	0	57	18.990624999999998
n48-1	n39	1	0	59	19.18645833333333
n41-1	n36	1	0	64	18.586458333333333
n49-1	n40	1	0	60	19.456249999999997
n42-1	n41	1	0	63	19.459374999999998
n52-1	n44	1	0	57	21.036458333333332
n51-1	n43	1	0	59	20.83020833333333
n43-1	n42	1	0	62	20.390624999999996
n53-1	n46	1	0	59	21.37291666666667
n45-1	n48	1	0	59	21.565625
n44-1	n45	1	0	60	21.260416666666668
n66-1	n54	1	0	55	22.505208333333332
n65-1	n49	1	0	60	21.66875
n54-1	n53	1	0	60	22.06458333333333
n55-1	n55	1	0	60	22.520833333333332
n56-1	n56	1	0	62	22.706249999999997
n72-1	n57	1	0	48	22.968749999999996
n68-1	n60	1	0	58	23.422916666666666
n67-1	n59	1	0	60	23.012499999999996
n58-1	n61	1	0	62	23.429166666666667
n57-1	n58	1	0	64	22.98020833333333
n59-1	n62	1	0	64	23.62916666666667
n73-1	n63	1	0	49	23.840625000000003
n61-1	n66	1	0	52	24.056250000000002
n62-1	n67	1	0	53	24.26979166666667
n63-1	n69	1	0	55	24.48854166666667
n69-1	n65	1	0	56	23.870833333333337
n60-1	n64	1	0	65	23.855208333333337
n70-1	n68	1	0	65	24.306250000000002
n74-1	n71	1	0	48	24.730208333333337
n64-1	n70	1	0	56	24.714583333333337
n71-1	n72	1	0	63	25.167708333333337
n95-1	n73	1	0	47	25.586458333333336
n85-1	n75	1	0	53	25.789583333333333
n86-1	n76	1	0	55	26.019791666666666
n87-1	n78	1	0	56	26.210416666666667
n75-1	n74	1	0	62	25.604166666666668
n76-1	n77	1	0	63	26.032291666666666
n77-1	n79	1	0	65	26.217708333333334
n96-1	n82	1	0	52	26.482291666666665
n88-1	n81	1	0	58	26.46770833333333
n81-1	n85	1	0	62	27.12499999999999
n80-1	n84	1	0	64	26.902083333333326
n79-1	n83	1	0	65	26.690624999999994
n78-1	n80	1	0	67	26.466666666666665
n97-1	n86	1	0	53	27.32812499999999
n89-1	n88	1	0	56	27.554166666666656
n90-1	n89	1	0	58	27.770833333333325
n82-1	n87	1	0	60	27.351041666666656
n91-1	n90	1	0	60	27.973958333333325
n98-1	n91	1	0	46	28.191666666666656
n94-1	n95	1	0	55	28.843749999999993
n93-1	n94	1	0	56	28.633333333333326
n92-1	n93	1	0	58	28.44166666666666
n83-1	n92	1	0	61	28.213541666666657
n116-1	n96	1	0	45	29.063541666666662
n108-1	n97	1	0	53	29.063541666666662
n100-1	n98	1	0	60	29.271874999999994
n101-1	n99	1	0	62	29.474999999999994
n102-1	n100	1	0	64	29.668749999999996
n117-1	n101	1	0	44	29.892708333333328
n110-1	n103	1	0	53	30.10416666666666
n111-1	n104	1	0	55	30.315624999999994
n112-1	n105	1	0	56	30.50729166666666
n103-1	n102	1	0	65	29.893749999999994
n118-1	n106	1	0	43	30.76979166666666
n113-1	n107	1	0	58	30.789583333333326
n106-1	n109	1	0	62	31.42812499999999
n105-1	n108	1	0	64	31.230208333333326
n115-1	n112	1	0	55	32.31979166666667
n114-1	n111	1	0	56	32.137499999999996
n107-1	n110	1	0	64	31.706249999999994
n134-1	n113	1	0	41	32.628125000000004
n130-1	n115	1	0	56	32.634375
n119-1	n114	1	0	65	32.63125
n120-1	n116	1	0	65	33.14791666666667
n121-1	n117	1	0	67	33.359375
n136-1	n119	1	0	53	34.01666666666667
n137-1	n122	1	0	55	34.24375000000001
n122-1	n118	1	0	68	33.58854166666667
n123-1	n120	1	0	68	34.029166666666676
n124-1	n121	1	0	70	34.22916666666668
n138-1	n124	1	0	56	34.46875000000002
n139-1	n126	1	0	56	34.90729166666669
n140-1	n127	1	0	58	35.11458333333336
n131-1	n125	1	0	60	34.90000000000002
n132-1	n128	1	0	61	35.15416666666669
n125-1	n123	1	0	72	34.45625000000002
n142-1	n132	1	0	48	35.77187500000002
n141-1	n130	1	0	60	35.36458333333336
n133-1	n129	1	0	63	35.35520833333336
n129-1	n134	1	0	67	35.98229166666669
n128-1	n133	1	0	68	35.79479166666669
n127-1	n131	1	0	70	35.561458333333356
n160-1	n135	1	0	49	36.24062500000002
n150-1	n137	1	0	61	36.709375000000016
n151-1	n138	1	0	63	36.91979166666668
n143-1	n136	1	0	65	36.248958333333356
n162-1	n140	1	0	49	37.59166666666668
n163-1	n142	1	0	51	37.798958333333346
n152-1	n139	1	0	65	37.15208333333335
n153-1	n141	1	0	65	37.593750000000014
n154-1	n143	1	0	67	37.80625000000001
n164-1	n144	1	0	53	38.01354166666668
n165-1	n146	1	0	53	38.48958333333335
n166-1	n148	1	0	55	38.69270833333335
n146-1	n147	1	0	56	38.49270833333335
n147-1	n149	1	0	58	38.70104166666668
n155-1	n145	1	0	68	38.05937500000002
n168-1	n153	1	0	44	39.334375000000016
n167-1	n151	1	0	56	38.92187500000002
n148-1	n150	1	0	60	38.918750000000024
n159-1	n155	1	0	63	39.544791666666676
n158-1	n154	1	0	65	39.34479166666668
n157-1	n152	1	0	66	39.133333333333354
n182-1	n156	1	0	46	39.81770833333334
n170-1	n158	1	0	58	40.29375
n171-1	n159	1	0	60	40.507291666666674
n176-1	n157	1	0	61	39.835416666666674
n183-1	n161	1	0	46	41.18750000000001
n184-1	n164	1	0	48	41.41875
n172-1	n160	1	0	61	40.74687500000001
n173-1	n162	1	0	61	41.206250000000004
n174-1	n163	1	0	63	41.409375000000004
n185-1	n166	1	0	49	41.66145833333334
n186-1	n167	1	0	49	42.081250000000004
n187-1	n170	1	0	51	42.306250000000006
n177-1	n168	1	0	53	42.08854166666667
n178-1	n169	1	0	55	42.29166666666667
n175-1	n165	1	0	65	41.65729166666667
n189-1	n174	1	0	41	42.98854166666667
n188-1	n171	1	0	53	42.54791666666667
n179-1	n172	1	0	56	42.54791666666667
n180-1	n173	1	0	56	42.98541666666667
n181-1	n175	1	0	58	43.203125
n209-1	n176	1	0	48	43.442708333333336
n210-1	n178	1	0	48	43.9125
n211-1	n182	1	0	50	44.13645833333334
n201-1	n180	1	0	55	43.93958333333334
n200-1	n177	1	0	60	43.47708333333333
n191-1	n179	1	0	64	43.91875
n192-1	n181	1	0	65	44.11979166666667
n213-1	n187	1	0	50	44.855208333333344
n212-1	n183	1	0	52	44.382291666666674
n214-1	n189	1	0	52	45.06354166666668
n203-1	n188	1	0	58	44.88333333333335
n202-1	n184	1	0	60	44.388541666666676
n196-1	n186	1	0	67	44.47291666666668
n193-1	n185	1	0	72	44.44791666666668
n216-1	n193	1	0	40	45.55104166666667
n217-1	n195	1	0	41	45.77500000000001
n218-1	n196	1	0	43	45.98229166666669
n215-1	n190	1	0	53	45.29375000000001
n204-1	n191	1	0	56	45.31458333333334
n198-1	n194	1	0	65	45.76875000000001
n194-1	n192	1	0	73	45.328125
n219-1	n197	1	0	44	46.19895833333335
n206-1	n199	1	0	48	46.43645833333337
n207-1	n200	1	0	50	46.65416666666672
n208-1	n202	1	0	51	46.867708333333404
n199-1	n201	1	0	63	46.661458333333385
n195-1	n198	1	0	72	46.21041666666669
n242-1	n206	1	0	41	47.32500000000008
n243-1	n207	1	0	43	47.55000000000008
n244-1	n209	1	0	44	47.762500000000095
n233-1	n203	1	0	53	47.0958333333334
n224-1	n205	1	0	62	47.108333333333405
n225-1	n208	1	0	63	47.55104166666675
n226-1	n210	1	0	65	47.76354166666676
n220-1	n204	1	0	71	47.10104166666674
n245-1	n212	1	0	46	48.00625000000009
n235-1	n216	1	0	55	48.46354166666677
n230-1	n217	1	0	62	48.65312500000011
n229-1	n215	1	0	64	48.44895833333344
n228-1	n214	1	0	65	48.22708333333343
n227-1	n213	1	0	67	48.01145833333342
n221-1	n211	1	0	76	48.00104166666676
n246-1	n221	1	0	44	49.1447916666668
n247-1	n222	1	0	46	49.38541666666681
n248-1	n223	1	0	48	49.585416666666816
n236-1	n218	1	0	56	48.88437500000011
n231-1	n219	1	0	60	48.912500000000115
n222-1	n220	1	0	77	48.916666666666785
n249-1	n224	1	0	49	49.78958333333348
n241-1	n229	1	0	55	50.458333333333535
n240-1	n227	1	0	56	50.240625000000186
n239-1	n226	1	0	58	50.04062500000017
n232-1	n228	1	0	58	50.26875000000019
n223-1	n225	1	0	70	49.80312500000015
n267-1	n233	1	0	48	50.93854166666688
n268-1	n234	1	0	50	51.15937500000021
n269-1	n235	1	0	52	51.390625000000206
n259-1	n230	1	0	53	50.691666666666876
n253-1	n232	1	0	60	50.72812500000021
n250-1	n231	1	0	69	50.707291666666876
n270-1	n237	1	0	53	51.620833333333536
n260-1	n238	1	0	53	51.817708333333535
n261-1	n240	1	0	55	52.065625000000196
n262-1	n241	1	0	56	52.280208333333526
n254-1	n239	1	0	60	52.0625000000002
n251-1	n236	1	0	68	51.6125000000002
n273-1	n247	1	0	50	53.30208333333353
n272-1	n245	1	0	52	53.08125000000019
n263-1	n242	1	0	58	52.5718750000002
n257-1	n248	1	0	58	53.31041666666686
n256-1	n246	1	0	60	53.08750000000019
n255-1	n244	1	0	61	52.623958333333526
n252-1	n243	1	0	67	52.59791666666686
n274-1	n249	1	0	52	53.530208333333526
n265-1	n252	1	0	55	54.21979166666686
n264-1	n251	1	0	56	53.99375000000019
n258-1	n250	1	0	60	53.54062500000019
n289-1	n254	1	0	53	54.463541666666856
n281-1	n253	1	0	56	54.44895833333352
n276-1	n255	1	0	65	54.93645833333352
n277-1	n256	1	0	67	55.15416666666685
n291-1	n259	1	0	51	56.05729166666685
n290-1	n258	1	0	53	55.85625000000018
n278-1	n257	1	0	68	55.39375000000018
n294-1	n264	1	0	48	56.98854166666684
n292-1	n260	1	0	50	56.310416666666846
n293-1	n261	1	0	50	56.75833333333351
n285-1	n263	1	0	63	56.983333333333505
n284-1	n262	1	0	65	56.78333333333351
n295-1	n266	1	0	46	57.231250000000166
n296-1	n268	1	0	48	57.67708333333349
n297-1	n270	1	0	50	57.88645833333349
n288-1	n269	1	0	60	57.879166666666826
n286-1	n265	1	0	62	57.213541666666835
n287-1	n267	1	0	62	57.65937500000016
n312-1	n271	1	0	51	58.1208333333335
n304-1	n276	1	0	56	58.82395833333349
n302-1	n272	1	0	58	58.1302083333335
n303-1	n273	1	0	58	58.576041666666825
n299-1	n274	1	0	67	58.59062500000016
n300-1	n275	1	0	68	58.801041666666826
n314-1	n280	1	0	53	59.75416666666682
n305-1	n277	1	0	55	59.05000000000016
n313-1	n279	1	0	55	59.527083333333486
n301-1	n278	1	0	70	59.076041666666825
n317-1	n284	1	0	50	60.66041666666681
n315-1	n281	1	0	52	59.98854166666682
n316-1	n282	1	0	52	60.43541666666682
n308-1	n285	1	0	65	60.66666666666681
n307-1	n283	1	0	67	60.44687500000015
