onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,1.2989583,60,43,1,0,n0,0.5,1.0
1.5416666,1.2364583,61,52,1,0,n1,0.5,1.0
2.5802083,1.1927084,60,44,1,0,n2,2.580208,3.0
3.5552084,1.2989583,59,42,1,0,n3,3.555208,4.0
4.5489583,1.1729167,64,59,1,0,n4,4.548958,5.0
5.5916667,1.2208333,65,46,1,0,n5,4.548958,5.0
6.5958333,1.121875,58,40,1,0,n6,6.595833,7.0
7.5489583,1.1375,57,41,1,0,n7,7.548958,8.0
8.521875,1.2916666,56,41,1,0,n8,8.521875,9.0
9.615625,2.04375,55,36,1,0,n9,9.615625,10.0
11.505208,0.296875,53,29,1,0,n10,11.505208,12.0
11.963542,0.18854167,53,45,1,0,n11,11.505208,12.0
12.183333,0.35,55,42,1,0,n12,11.505208,12.0
12.409375,0.9583333,65,65,1,0,n13,11.505208,12.0
12.429167,0.24375,56,39,1,0,n14,12.419271,13.0
12.844791,0.23229167,56,47,1,0,n15,12.419271,13.0
13.080209,0.128125,58,50,1,0,n16,12.419271,13.0
13.282291,0.9625,68,72,1,0,n17,12.419271,13.0
13.29375,0.16145833,60,44,1,0,n18,13.288021,14.0
13.485416,0.37291667,47,54,1,0,n19,13.288021,14.0
13.713542,0.24791667,48,49,1,0,n20,13.288021,14.0
13.901042,0.32916668,50,54,1,0,n21,13.288021,14.0
14.15,0.9322917,67,62,1,0,n22,13.288021,14.0
14.161458,0.93958336,51,42,1,0,n23,14.155729,15.0
15.028125,0.9302083,66,59,1,0,n24,15.028125,16.0
15.25,0.35729167,48,49,1,0,n25,15.028125,16.0
15.453125,0.240625,50,64,1,0,n26,15.028125,16.0
15.629167,0.33541667,51,61,1,0,n27,15.028125,16.0
15.878125,0.9770833,71,72,1,0,n28,15.028125,16.0
15.892709,0.9458333,53,52,1,0,n29,15.885416,17.0
16.798958,0.9302083,72,80,1,0,n30,16.798958,18.0
16.990625,0.375,51,53,1,0,n31,16.798958,18.0
17.207293,0.2125,53,59,1,0,n32,16.798958,18.0
17.413542,0.3125,55,49,1,0,n33,16.798958,18.0
17.658333,0.98229164,65,56,1,0,n34,16.798958,18.0
17.69375,0.87291664,56,43,1,0,n35,17.676043,19.0
18.586458,0.94166666,64,49,1,0,n36,18.586458,20.0
18.778126,0.234375,55,44,1,0,n37,18.586458,20.0
18.990625,0.17916666,57,41,1,0,n38,18.586458,20.0
19.186459,0.31666666,59,46,1,0,n39,18.586458,20.0
19.45625,1.4645833,60,33,1,0,n40,18.586458,20.0
19.459375,0.9375,63,40,1,0,n41,19.457813,21.0
20.390625,1.665625,62,45,1,0,n42,20.390625,22.0
20.830208,0.184375,59,40,1,0,n43,20.390625,22.0
21.036459,0.175,57,43,1,0,n44,20.390625,22.0
21.260416,0.092708334,60,42,1,0,n45,21.257263,23.0
21.372917,0.06458333,59,52,1,0,n46,21.257263,23.0
21.489584,0.055208333,60,44,1,0,n47,21.257263,23.0
21.565624,0.05625,59,56,1,0,n48,21.257263,23.0
21.66875,0.053125,60,53,1,0,n49,21.257263,23.0
21.739584,0.051041666,59,57,1,0,n50,21.257263,23.0
21.81875,0.15833333,57,54,1,0,n51,21.257263,23.0
21.916666,0.1,59,57,1,0,n52,21.257263,23.0
22.064583,0.29895833,60,51,1,0,n53,22.064312,24.0
22.505209,0.65625,55,54,1,0,n54,22.064312,24.0
22.520834,0.225,60,53,1,0,n55,22.064312,24.0
22.70625,0.328125,62,57,1,0,n56,22.064312,24.0
22.96875,1.0541667,48,69,1,0,n57,22.064312,24.0
22.980207,0.44166666,64,56,1,0,n58,22.064312,24.0
23.0125,0.434375,60,33,1,0,n59,22.987152,25.0
23.422916,0.25625,58,60,1,0,n60,22.987152,25.0
23.429167,0.278125,62,59,1,0,n61,22.987152,25.0
23.629168,0.25416666,64,64,1,0,n62,22.987152,25.0
23.840626,0.94895834,49,72,1,0,n63,22.987152,25.0
23.855207,0.18333334,65,61,1,0,n64,22.987152,25.0
23.870832,0.146875,56,47,1,0,n65,23.855555,26.0
24.05625,0.14375,52,68,1,0,n66,23.855555,26.0
24.269793,0.19583334,53,53,1,0,n67,23.855555,26.0
24.30625,1.4229167,65,76,1,0,n68,23.855555,26.0
24.488543,0.22291666,55,60,1,0,n69,23.855555,26.0
24.714582,0.9427083,56,73,1,0,n70,23.855555,26.0
24.730207,0.8645833,48,65,1,0,n71,24.722395,27.0
25.167707,0.640625,63,63,1,0,n72,24.722395,27.0
25.586458,0.99375,47,69,1,0,n73,24.722395,27.0
25.604166,0.221875,62,50,1,0,n74,25.595312,28.0
