xml_id	midi_id	track	channel	pitch	onset
n10-1	n0	1	0	73	0.5
n15-1	n5	1	0	75	2.964583333333333
n12-1	n2	1	0	77	1.6
n14-1	n4	1	0	77	2.6979166666666665
n11-1	n1	1	0	78	1.0375
n13-1	n3	1	0	78	2.1635416666666667
n17-1	n11	1	0	71	3.9895833333333326
n16-1	n6	1	0	73	3.217708333333333
n4-1	n8	1	0	73	3.6208333333333327
n6-1	deletion
n8-1	n10	1	0	73	3.8687499999999995
n18-1	n12	1	0	73	4.109374999999999
n2-1	deletion
n3-1	n7	1	0	75	3.4843749999999996
n7-1	n9	1	0	75	3.7437499999999995
n1-1	deletion
n5-1	deletion
n20-1	n13	1	0	75	4.296874999999999
n21-1	n14	1	0	73	5.933333333333333
n23-1	n16	1	0	70	7.065625
n22-1	n15	1	0	71	6.491666666666666
n24-1	n17	1	0	68	7.630208333333333
n25-1	n18	1	0	73	8.212499999999999
n42-1	n20	1	0	66	9.335416666666667
n28-1	deletion
n27-1	n19	1	0	70	8.791666666666666
n29-1	n21	1	0	78	9.58125
n44-1	n26	1	0	72	10.355208333333334
n43-1	n22	1	0	73	9.836458333333335
n33-1	n27	1	0	75	10.602083333333335
n30-1	n23	1	0	77	9.852083333333335
n31-1	n24	1	0	78	10.084375
n32-1	n25	1	0	80	10.354166666666666
n47-1	n33	1	0	70	11.621875000000001
n46-1	n31	1	0	72	11.372916666666667
n45-1	n28	1	0	73	10.867708333333335
n34-1	n29	1	0	77	10.871875000000001
n35-1	n30	1	0	78	11.114583333333334
n36-1	n32	1	0	80	11.395833333333334
n49-1	n41	1	0	66	12.622916666666672
n48-1	n34	1	0	68	11.86875
n56-1	n37	1	0	68	12.273958333333335
n58-1	n40	1	0	68	12.492708333333336
n50-1	n43	1	0	68	12.747916666666672
n52-1	deletion
n54-1	deletion
n53-1	n35	1	0	70	12.136458333333334
n57-1	n39	1	0	70	12.403125000000003
n51-1	deletion
n55-1	deletion
n40-1	n42	1	0	75	12.632291666666672
n39-1	n38	1	0	77	12.38541666666667
n38-1	n36	1	0	78	12.141666666666667
n72-1	n44	1	0	70	12.881250000000005
n63-1	n48	1	0	72	13.629166666666672
n60-1	n45	1	0	73	12.881250000000005
n61-1	n46	1	0	75	13.151041666666671
n62-1	n47	1	0	77	13.395833333333337
n74-1	n51	1	0	68	14.361458333333337
n64-1	n49	1	0	73	13.894791666666672
n67-1	n53	1	0	73	14.621875000000003
n65-1	n50	1	0	75	14.13854166666667
n66-1	n52	1	0	77	14.390625000000004
n76-1	n58	1	0	65	15.455208333333337
n75-1	n55	1	0	66	14.91666666666667
n68-1	n54	1	0	70	14.913541666666669
n69-1	n56	1	0	72	15.156250000000004
n70-1	n57	1	0	73	15.45104166666667
n77-1	n59	1	0	63	15.995833333333337
n78-1	n61	1	0	68	16.562500000000004
n71-1	n60	1	0	72	16.55416666666667
n100-1	n64	1	0	49	17.626041666666673
