idx,matchtype,partid,ppartid
0,0,n10-1,n0
1,0,n15-1,n5
2,0,n12-1,n2
3,0,n14-1,n4
4,0,n11-1,n1
5,0,n13-1,n3
6,0,n17-1,n11
7,0,n16-1,n6
8,0,n4-1,n8
9,1,n6-1,undefined
10,0,n8-1,n10
11,0,n18-1,n12
12,1,n2-1,undefined
13,0,n3-1,n7
14,0,n7-1,n9
15,1,n1-1,undefined
16,1,n5-1,undefined
17,0,n20-1,n13
18,0,n21-1,n14
19,0,n23-1,n16
20,0,n22-1,n15
21,0,n24-1,n17
22,0,n25-1,n18
23,0,n42-1,n20
24,1,n28-1,undefined
25,0,n27-1,n19
26,0,n29-1,n21
27,0,n44-1,n26
28,0,n43-1,n22
29,0,n33-1,n27
30,0,n30-1,n23
31,0,n31-1,n24
32,0,n32-1,n25
33,0,n47-1,n33
34,0,n46-1,n31
35,0,n45-1,n28
36,0,n34-1,n29
37,0,n35-1,n30
38,0,n36-1,n32
39,0,n49-1,n41
40,0,n48-1,n34
41,0,n56-1,n37
42,0,n58-1,n40
43,0,n50-1,n43
44,1,n52-1,undefined
45,1,n54-1,undefined
46,0,n53-1,n35
47,0,n57-1,n39
48,1,n51-1,undefined
49,1,n55-1,undefined
50,0,n40-1,n42
51,0,n39-1,n38
52,0,n38-1,n36
53,0,n72-1,n44
54,0,n63-1,n48
55,0,n60-1,n45
56,0,n61-1,n46
57,0,n62-1,n47
58,0,n74-1,n51
59,0,n64-1,n49
60,0,n67-1,n53
61,0,n65-1,n50
62,0,n66-1,n52
63,0,n76-1,n58
64,0,n75-1,n55
65,0,n68-1,n54
66,0,n69-1,n56
67,0,n70-1,n57
68,0,n77-1,n59
69,0,n78-1,n61
70,0,n71-1,n60
71,0,n100-1,n64
72,0,n86-1,n65
73,0,n85-1,n62
74,0,n87-1,n66
75,0,n80-1,n63
76,0,n102-1,n70
77,0,n101-1,n67
78,1,n91-1,undefined
79,0,n88-1,n68
80,0,n89-1,n69
81,0,n90-1,n71
82,0,n105-1,n78
83,0,n104-1,n75
84,0,n103-1,n72
85,0,n92-1,n73
86,0,n93-1,n74
87,0,n82-1,n76
88,1,n94-1,undefined
89,0,n83-1,n77
90,0,n107-1,n88
91,0,n106-1,n80
92,0,n114-1,n83
93,0,n116-1,n86
94,0,n108-1,n89
95,1,n110-1,undefined
96,1,n112-1,undefined
97,0,n111-1,n82
98,1,n113-1,undefined
99,0,n115-1,n85
100,1,n109-1,undefined
101,0,n98-1,n87
102,0,n97-1,n84
103,0,n96-1,n81
104,0,n84-1,n79
105,0,n137-1,n90
106,0,n128-1,n95
107,0,n125-1,n92
108,0,n126-1,n93
109,0,n127-1,n94
110,0,n117-1,n91
111,0,n139-1,n98
112,0,n129-1,n96
113,0,n132-1,n100
114,0,n130-1,n97
115,0,n131-1,n99
116,1,n119-1,undefined
117,0,n141-1,n106
118,0,n140-1,n102
119,0,n133-1,n103
120,0,n134-1,n104
121,0,n135-1,n107
122,0,n120-1,n101
123,0,n121-1,n105
124,0,n142-1,n108
125,0,n143-1,n111
126,0,n136-1,n112
127,0,n124-1,n113
128,0,n123-1,n110
129,0,n122-1,n109
130,0,n160-1,n114
131,0,n161-1,n118
132,0,n155-1,n115
133,0,n144-1,n116
134,0,n147-1,n120
135,0,n145-1,n117
136,0,n146-1,n119
137,0,n163-1,n125
138,0,n162-1,n121
139,0,n156-1,n126
140,0,n148-1,n122
141,0,n151-1,n127
142,0,n149-1,n123
143,0,n150-1,n124
144,0,n164-1,n130
145,0,n167-1,n134
146,0,n165-1,n131
147,0,n166-1,n132
148,0,n157-1,n129
149,0,n152-1,n128
150,0,n153-1,n133
