xml_id	midi_id	track	channel	pitch	onset
n10-1	n0	1	0	73	0.5
n15-1	n5	1	0	75	2.677083333333333
n12-1	n2	1	0	77	1.454427083333333
n14-1	n4	1	0	77	2.4557291666666665
n11-1	n1	1	0	78	0.9895833333333333
n13-1	n3	1	0	78	1.966145833333333
n17-1	n11	1	0	71	3.513020833333333
n16-1	n6	1	0	73	2.90234375
n6-1	n8	1	0	73	3.2421874999999996
n8-1	n10	1	0	73	3.423177083333333
n4-1	deletion
n18-1	n12	1	0	73	3.6328124999999996
n2-1	deletion
n3-1	n7	1	0	75	3.11328125
n7-1	n9	1	0	75	3.317708333333333
n20-1	n13	1	0	75	3.727864583333333
n5-1	deletion
n1-1	deletion
n21-1	n14	1	0	73	5.286458333333333
n23-1	n16	1	0	70	6.2578125
n22-1	n15	1	0	71	5.760416666666666
n24-1	n17	1	0	68	6.731770833333333
n25-1	n18	1	0	73	7.256510416666666
n42-1	n20	1	0	66	8.2421875
n28-1	deletion
n27-1	n19	1	0	70	7.733072916666666
n29-1	n21	1	0	78	8.46875
n44-1	n25	1	0	72	9.161458333333334
n43-1	n22	1	0	73	8.696614583333334
n33-1	n27	1	0	75	9.371093750000002
n30-1	n23	1	0	77	8.69921875
n31-1	n24	1	0	78	8.938802083333334
n32-1	n26	1	0	80	9.170572916666668
n47-1	n33	1	0	70	10.31119791666667
n46-1	n31	1	0	72	10.074218750000002
n45-1	n28	1	0	73	9.613281250000002
n34-1	n29	1	0	77	9.623697916666668
n35-1	n30	1	0	78	9.878906250000002
n36-1	n32	1	0	80	10.091145833333336
n49-1	n41	1	0	66	11.149739583333337
n48-1	n34	1	0	68	10.527343750000004
n52-1	deletion
n56-1	n37	1	0	68	10.856770833333337
n54-1	deletion
n58-1	n40	1	0	68	11.059895833333337
n50-1	n43	1	0	68	11.279947916666671
n53-1	n35	1	0	70	10.752604166666671
n57-1	n39	1	0	70	10.960937500000004
n72-1	n45	1	0	70	11.381510416666671
n55-1	deletion
n51-1	deletion
n40-1	n42	1	0	75	11.162760416666671
n39-1	n38	1	0	77	10.95572916666667
n38-1	n36	1	0	78	10.755208333333337
n63-1	n48	1	0	72	12.063802083333337
n60-1	n44	1	0	73	11.380208333333337
n61-1	n46	1	0	75	11.630208333333337
n62-1	n47	1	0	77	11.848958333333337
n74-1	n51	1	0	68	12.743489583333337
n64-1	n49	1	0	73	12.305989583333337
n67-1	n53	1	0	73	12.990885416666671
n65-1	n50	1	0	75	12.539062500000005
n66-1	n52	1	0	77	12.743489583333337
n76-1	n58	1	0	65	13.686197916666675
n75-1	n55	1	0	66	13.226562500000007
n68-1	n54	1	0	70	13.217447916666673
n69-1	n56	1	0	72	13.438802083333341
n70-1	n57	1	0	73	13.680989583333341
n77-1	n59	1	0	63	14.180989583333343
n78-1	n61	1	0	68	14.709635416666675
n71-1	n60	1	0	72	14.690104166666675
n100-1	n64	1	0	49	15.647135416666677
n86-1	n65	1	0	61	15.657552083333343
n85-1	n62	1	0	65	15.188802083333343
n87-1	n66	1	0	71	15.907552083333343
n80-1	n63	1	0	73	15.191406250000009
n102-1	n70	1	0	53	16.58463541666668
n101-1	n67	1	0	54	16.131510416666675
n91-1	n72	1	0	68	16.82031250000001
n88-1	n68	1	0	70	16.139322916666675
n89-1	n69	1	0	71	16.360677083333343
n90-1	n71	1	0	73	16.587239583333346
n105-1	n78	1	0	51	17.74088541666668
n104-1	n76	1	0	53	17.516927083333343
n103-1	n73	1	0	54	17.04947916666668
n92-1	n74	1	0	70	17.05859375000001
n93-1	n75	1	0	71	17.313802083333343
n82-1	n77	1	0	73	17.53776041666668
n94-1	deletion
n83-1	n79	1	0	75	17.751302083333343
n107-1	n88	1	0	47	18.587239583333336
n106-1	n80	1	0	49	17.96875000000001
n110-1	deletion
n112-1	n84	1	0	49	18.292968750000007
n114-1	deletion
n116-1	n87	1	0	49	18.494791666666668
n108-1	n90	1	0	49	18.70703125
n111-1	n82	1	0	51	18.17578125000001
n115-1	n86	1	0	51	18.398437500000004
n137-1	n91	1	0	51	18.828125
n113-1	deletion
n109-1	deletion
n98-1	n89	1	0	68	18.592447916666668
n97-1	n85	1	0	70	18.38541666666667
n96-1	n83	1	0	71	18.200520833333343
n84-1	n81	1	0	77	17.97135416666668
n128-1	n96	1	0	65	19.514322916666668
n125-1	n93	1	0	66	18.852864583333336
n126-1	n94	1	0	68	19.080729166666668
n127-1	n95	1	0	70	19.299479166666668
n117-1	n92	1	0	78	18.830729166666668
n139-1	n100	1	0	49	20.225260416666668
n129-1	n97	1	0	66	19.7578125
n132-1	n101	1	0	66	20.451822916666668
n130-1	n98	1	0	68	20.013020833333336
n131-1	n99	1	0	70	20.221354166666668
n119-1	deletion
n141-1	n108	1	0	46	21.17838541666667
n140-1	n103	1	0	47	20.6875
n133-1	n104	1	0	63	20.694010416666668
n134-1	n105	1	0	65	20.9296875
n135-1	n107	1	0	66	21.169270833333336
n120-1	n102	1	0	68	20.684895833333332
n121-1	n106	1	0	70	21.166666666666668
n142-1	n110	1	0	44	21.63541666666667
n143-1	n111	1	0	49	22.11848958333334
n136-1	n112	1	0	65	22.132812500000007
n124-1	n114	1	0	68	22.360677083333343
n123-1	n113	1	0	70	22.140625000000007
n122-1	n109	1	0	71	21.628906250000004
n160-1	n117	1	0	42	22.627604166666675
n161-1	n119	1	0	54	23.074218750000007
n155-1	n116	1	0	66	22.613281250000007
n144-1	n115	1	0	70	22.60677083333334
n147-1	n121	1	0	70	23.29947916666667
n145-1	n118	1	0	73	22.834635416666675
n146-1	n120	1	0	73	23.07552083333334
