onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,0.58463544,73,54,1,0,n0,-10.0,-10.0
0.9895833,0.54817706,78,70,1,0,n1,0.989583,1.0
1.4544271,0.60546875,77,78,1,0,n2,0.989583,1.0
1.9661459,0.60546875,78,77,1,0,n3,0.989583,1.0
2.4557292,0.28515625,77,79,1,0,n4,1.966146,2.0
2.6770833,0.23567708,75,79,1,0,n5,1.966146,2.0
2.9023438,0.21744792,73,72,1,0,n6,1.966146,2.0
3.1132812,0.118489586,75,63,1,0,n7,2.902344,3.0
3.2421875,0.059895832,73,68,1,0,n8,2.902344,3.0
3.3177083,0.108072914,75,67,1,0,n9,2.902344,3.0
3.423177,0.07421875,73,70,1,0,n10,2.902344,3.0
3.5130208,0.1171875,71,60,1,0,n11,2.902344,3.0
3.6328125,0.106770836,73,67,1,0,n12,2.902344,3.0
3.7278645,1.0585938,75,61,1,0,n13,2.902344,3.0
5.2864585,0.53125,73,44,1,0,n14,4.744141,5.0
5.7604165,0.5572917,71,60,1,0,n15,4.744141,5.0
6.2578125,0.53776044,70,65,1,0,n16,5.760417,6.0
6.731771,0.23958333,68,61,1,0,n17,6.731771,7.0
7.2565103,0.20442708,73,60,1,0,n18,6.731771,7.0
7.7330728,0.5130208,70,52,1,0,n19,6.731771,7.0
8.2421875,0.5520833,66,52,1,0,n20,7.733073,8.0
8.46875,0.26953125,78,63,1,0,n21,7.733073,8.0
8.696614,0.5026042,73,73,1,0,n22,7.733073,8.0
8.699219,0.2799479,77,70,1,0,n23,8.697917,9.0
8.938802,0.28385416,78,77,1,0,n24,8.697917,9.0
9.161458,0.2877604,72,69,1,0,n25,8.697917,9.0
9.170573,0.3294271,80,75,1,0,n26,8.697917,9.0
9.371094,0.2955729,75,74,1,0,n27,8.697917,9.0
9.613281,0.4830729,73,75,1,0,n28,8.697917,9.0
9.623698,0.2721354,77,67,1,0,n29,9.618489,10.0
9.878906,0.265625,78,65,1,0,n30,9.618489,10.0
10.074219,0.25390625,72,56,1,0,n31,9.618489,10.0
10.0911455,0.9140625,80,63,1,0,n32,9.618489,10.0
10.311198,0.21354167,70,64,1,0,n33,9.618489,10.0
10.527344,0.20833333,68,59,1,0,n34,10.527344,11.0
10.7526045,0.072916664,70,59,1,0,n35,10.527344,11.0
10.755208,0.26171875,78,62,1,0,n36,10.527344,11.0
10.8567705,0.069010414,68,57,1,0,n37,10.527344,11.0
10.9557295,0.24609375,77,72,1,0,n38,10.527344,11.0
10.9609375,0.088541664,70,64,1,0,n39,10.527344,11.0
11.0598955,0.069010414,68,62,1,0,n40,10.527344,11.0
11.149739,0.109375,66,59,1,0,n41,10.527344,11.0
11.162761,0.2265625,75,71,1,0,n42,10.527344,11.0
11.279948,0.09375,68,56,1,0,n43,10.527344,11.0
11.380208,0.3033854,73,61,1,0,n44,10.527344,11.0
11.381511,0.78125,70,63,1,0,n45,11.380859,12.0
