xml_id	midi_id	track	channel	pitch	onset
n4-1	n3	1	0	66	1.0846354166666667
n1-1	n0	1	0	67	0.5
n3-1	n2	1	0	67	0.953125
n5-1	n4	1	0	67	1.2096354166666667
n2-1	n1	1	0	69	0.828125
n6-1	n5	1	0	69	1.3554687500000002
n9-1	n8	1	0	67	1.9453125000000002
n8-1	n7	1	0	69	1.8125000000000002
n10-1	n9	1	0	69	2.0703125
n7-1	n6	1	0	71	1.686197916666667
n11-1	n10	1	0	71	2.2174479166666665
n14-1	n13	1	0	62	3.1276041666666665
n13-1	n12	1	0	67	2.8203124999999996
n12-1	n11	1	0	69	2.532552083333333
n16-1	n15	1	0	71	4.114583333333333
n15-1	n14	1	0	72	3.46484375
n19-1	n18	1	0	66	5.033854166666666
n18-1	n17	1	0	67	4.729166666666666
n17-1	n16	1	0	69	4.429687499999999
n21-1	n20	1	0	74	6.019531249999999
n20-1	n19	1	0	76	5.385416666666666
n26-1	n25	1	0	69	6.897135416666666
n25-1	n24	1	0	71	6.743489583333332
n24-1	n23	1	0	72	6.613281249999999
n23-1	n22	1	0	74	6.473958333333332
n22-1	n21	1	0	76	6.341145833333332
n37-1	n30	1	0	62	7.795572916666667
n31-1	n31	1	0	66	7.80078125
n30-1	n29	1	0	67	7.62109375
n29-1	n28	1	0	69	7.49609375
n28-1	n27	1	0	71	7.358072916666666
n27-1	n26	1	0	72	7.221354166666666
n40-1	n35	1	0	61	8.40234375
n39-1	n34	1	0	62	8.263020833333334
n41-1	n37	1	0	62	8.532552083333334
n38-1	n33	1	0	64	8.12109375
n42-1	n38	1	0	64	8.6953125
n32-1	n32	1	0	67	8.118489583333334
n34-1	n39	1	0	67	8.717447916666666
n33-1	n36	1	0	69	8.404947916666666
n45-1	n43	1	0	62	9.296875000000002
n44-1	n42	1	0	64	9.144531250000002
n46-1	n45	1	0	64	9.424479166666668
n43-1	n40	1	0	66	9.005208333333334
n59-1	n46	1	0	66	9.574218750000002
n35-1	n41	1	0	69	9.010416666666668
n48-1	n47	1	0	69	9.589843750000002
n36-1	n44	1	0	71	9.300781250000002
n62-1	n54	1	0	57	10.493489583333336
n61-1	n52	1	0	62	10.207031250000002
n60-1	n48	1	0	64	9.915364583333336
n49-1	n49	1	0	71	9.930989583333336
n52-1	n53	1	0	71	10.341145833333336
n54-1	n56	1	0	71	10.65494791666667
n50-1	n50	1	0	73	10.044270833333336
n53-1	n55	1	0	73	10.509114583333336
n51-1	n51	1	0	74	10.199218750000002
n77-1	n62	1	0	66	11.40494791666667
n63-1	n58	1	0	67	10.820312500000004
n55-1	n57	1	0	73	10.816406250000004
n58-1	n61	1	0	73	11.242187500000004
n66-1	n64	1	0	73	11.548177083333337
n56-1	n59	1	0	74	10.954427083333337
n65-1	n63	1	0	74	11.40494791666667
n57-1	n60	1	0	76	11.10026041666667
n80-1	n71	1	0	61	12.296875000000004
n79-1	n69	1	0	62	12.016927083333336
n78-1	n66	1	0	64	11.714843750000004
