onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,0.07421875,67,71,1,0,n0,0.5,0.0
0.828125,0.106770836,69,73,1,0,n1,0.5,0.0
0.953125,0.10546875,67,70,1,0,n2,0.5,0.0
1.0846354,0.10546875,66,70,1,0,n3,0.5,0.0
1.2096354,0.096354164,67,71,1,0,n4,0.5,0.0
1.3554688,0.092447914,69,79,1,0,n5,0.5,0.0
1.6861979,0.13020833,71,82,1,0,n6,1.355469,3.0
1.8125,0.12630208,69,80,1,0,n7,1.355469,3.0
1.9453125,0.12760417,67,82,1,0,n8,1.355469,3.0
2.0703125,0.10546875,69,86,1,0,n9,1.355469,3.0
2.217448,0.076822914,71,86,1,0,n10,2.217448,6.0
2.532552,0.0703125,69,76,1,0,n11,2.217448,6.0
2.8203125,0.075520836,67,84,1,0,n12,2.217448,6.0
3.1276042,0.09375,62,82,1,0,n13,3.127604,9.0
3.4648438,0.6744792,72,81,1,0,n14,3.127604,9.0
4.1145835,0.084635414,71,79,1,0,n15,4.114583,12.0
4.4296875,0.069010414,69,82,1,0,n16,4.114583,12.0
4.7291665,0.07421875,67,83,1,0,n17,4.114583,12.0
5.033854,0.0859375,66,92,1,0,n18,5.033854,15.0
5.3854165,0.6484375,76,89,1,0,n19,5.033854,15.0
6.0195312,0.09375,74,77,1,0,n20,6.019531,18.0
6.341146,0.1640625,76,78,1,0,n21,6.019531,18.0
6.4739585,0.14453125,74,74,1,0,n22,6.019531,18.0
6.6132812,0.108072914,72,73,1,0,n23,6.019531,18.0
6.7434897,0.104166664,71,72,1,0,n24,6.019531,18.0
6.8971353,0.087239586,69,69,1,0,n25,6.897135,21.0
7.221354,0.19401042,72,71,1,0,n26,6.897135,21.0
7.3580728,0.14192708,71,64,1,0,n27,6.897135,21.0
7.4960938,0.123697914,69,66,1,0,n28,6.897135,21.0
7.6210938,0.16015625,67,64,1,0,n29,6.897135,21.0
7.7955728,0.109375,62,65,1,0,n30,6.897135,21.0
7.8007812,0.09375,66,64,1,0,n31,7.798177,24.0
8.118489,0.057291668,67,61,1,0,n32,7.798177,24.0
8.121094,0.110677086,64,71,1,0,n33,7.798177,24.0
8.2630205,0.119791664,62,68,1,0,n34,7.798177,24.0
8.402344,0.12890625,61,76,1,0,n35,7.798177,24.0
8.404948,0.059895832,69,68,1,0,n36,7.798177,24.0
8.532552,0.12890625,62,83,1,0,n37,7.798177,24.0
8.6953125,0.092447914,64,82,1,0,n38,7.798177,24.0
8.717448,0.087239586,67,70,1,0,n39,8.70638,27.0
9.005208,0.12630208,66,83,1,0,n40,8.70638,27.0
9.010417,0.07421875,69,73,1,0,n41,8.70638,27.0
9.144531,0.14583333,64,79,1,0,n42,8.70638,27.0
9.296875,0.12760417,62,77,1,0,n43,8.70638,27.0
9.300781,0.05859375,71,73,1,0,n44,8.70638,27.0
9.4244795,0.12630208,64,83,1,0,n45,8.70638,27.0
9.574219,0.106770836,66,88,1,0,n46,8.70638,27.0
9.589844,0.30859375,69,74,1,0,n47,9.582031,30.0
9.915364,0.080729164,64,83,1,0,n48,9.582031,30.0
9.930989,0.100260414,71,64,1,0,n49,9.582031,30.0
10.0442705,0.15234375,73,71,1,0,n50,9.582031,30.0
10.199219,0.12109375,74,75,1,0,n51,9.582031,30.0
10.207031,0.0546875,62,81,1,0,n52,9.582031,30.0
10.3411455,0.16536458,71,73,1,0,n53,9.582031,30.0
10.493489,0.083333336,57,78,1,0,n54,9.582031,30.0
10.509114,0.118489586,73,70,1,0,n55,10.501302,33.0
10.654948,0.16145833,71,74,1,0,n56,10.501302,33.0
10.816406,0.13802083,73,67,1,0,n57,10.501302,33.0
10.8203125,0.58984375,67,83,1,0,n58,10.501302,33.0
10.954427,0.13932292,74,62,1,0,n59,10.501302,33.0
11.100261,0.078125,76,73,1,0,n60,10.501302,33.0
11.2421875,0.14322917,73,76,1,0,n61,10.501302,33.0
11.404948,0.080729164,66,80,1,0,n62,11.404948,36.0
11.404948,0.12630208,74,78,1,0,n63,11.404948,36.0
11.548177,0.15234375,73,74,1,0,n64,11.404948,36.0
11.712239,0.14322917,74,77,1,0,n65,11.404948,36.0
11.714844,0.084635414,64,79,1,0,n66,11.404948,36.0
11.852864,0.15755208,76,78,1,0,n67,11.404948,36.0
12.009114,0.296875,78,78,1,0,n68,11.404948,36.0
12.016927,0.2890625,62,81,1,0,n69,11.404948,36.0
12.149739,0.16927083,74,81,1,0,n70,11.404948,36.0
12.296875,0.075520836,61,85,1,0,n71,11.404948,36.0
12.317708,0.108072914,76,80,1,0,n72,12.307291,39.0
12.447917,0.17447917,74,82,1,0,n73,12.307291,39.0
12.605469,0.6171875,71,85,1,0,n74,12.307291,39.0
12.6223955,0.14713542,76,75,1,0,n75,12.307291,39.0
12.7682295,0.16276042,78,79,1,0,n76,12.307291,39.0
12.923177,0.17447917,79,82,1,0,n77,12.307291,39.0
13.0651045,0.18359375,76,79,1,0,n78,12.307291,39.0
13.225261,0.15104167,78,87,1,0,n79,12.307291,39.0
13.2265625,0.16796875,69,77,1,0,n80,13.225911,42.0
13.5625,0.203125,79,79,1,0,n81,13.225911,42.0
13.563802,0.1328125,71,73,1,0,n82,13.225911,42.0
13.697917,0.16276042,69,74,1,0,n83,13.225911,42.0
13.709636,0.171875,78,80,1,0,n84,13.225911,42.0
13.848958,0.119791664,76,81,1,0,n85,13.225911,42.0
13.859375,0.091145836,67,70,1,0,n86,13.225911,42.0
13.977864,0.13411458,66,72,1,0,n87,13.225911,42.0
13.988281,0.17838542,74,80,1,0,n88,13.225911,42.0
14.136719,0.14192708,64,72,1,0,n89,13.225911,42.0
14.144531,1.0807291,79,81,1,0,n90,14.140625,45.0
14.473958,0.123697914,67,72,1,0,n91,14.140625,45.0
14.614583,0.19401042,66,69,1,0,n92,14.140625,45.0
14.78125,0.09375,64,62,1,0,n93,14.140625,45.0
14.901042,0.17708333,62,65,1,0,n94,14.140625,45.0
15.067708,0.075520836,61,69,1,0,n95,15.067708,48.0
15.2265625,0.14453125,78,67,1,0,n96,15.067708,48.0
15.381511,0.069010414,76,71,1,0,n97,15.067708,48.0
15.389323,0.044270832,67,63,1,0,n98,15.067708,48.0
15.520833,0.15885417,79,66,1,0,n99,15.067708,48.0
15.6796875,0.067708336,74,70,1,0,n100,15.067708,48.0
15.704427,0.052083332,66,61,1,0,n101,15.067708,48.0
15.826823,0.15885417,79,71,1,0,n102,15.067708,48.0
