xml_id	midi_id	track	channel	pitch	onset
n4-1	n3	1	0	66	1.1328125
n1-1	n0	1	0	67	0.5
n3-1	n2	1	0	67	0.9908854166666666
n5-1	n4	1	0	67	1.2825520833333333
n2-1	n1	1	0	69	0.8528645833333333
n6-1	n5	1	0	69	1.46484375
n9-1	n8	1	0	67	2.079427083333333
n8-1	n7	1	0	69	1.930989583333333
n10-1	n9	1	0	69	2.2252604166666665
n7-1	n6	1	0	71	1.790364583333333
n11-1	n10	1	0	71	2.399739583333333
n14-1	n13	1	0	62	3.3906249999999996
n13-1	n12	1	0	67	3.055989583333333
n12-1	n11	1	0	69	2.727864583333333
n16-1	n15	1	0	71	4.407552083333333
n15-1	n14	1	0	72	3.7552083333333326
n19-1	n18	1	0	66	5.388020833333333
n18-1	n17	1	0	67	5.049479166666667
n17-1	n16	1	0	69	4.72265625
n21-1	n20	1	0	74	6.420572916666667
n20-1	n19	1	0	76	5.755208333333333
n26-1	n25	1	0	69	7.34375
n25-1	n24	1	0	71	7.196614583333334
n24-1	n23	1	0	72	7.042968750000001
n23-1	n22	1	0	74	6.886718750000001
n22-1	n21	1	0	76	6.738281250000001
n37-1	n30	1	0	62	8.270833333333332
n31-1	n31	1	0	66	8.273437499999998
n30-1	n29	1	0	67	8.09375
n29-1	n28	1	0	69	7.967447916666668
n28-1	n27	1	0	71	7.809895833333334
n27-1	n26	1	0	72	7.666666666666667
n40-1	n35	1	0	61	8.908854166666664
n39-1	n34	1	0	62	8.753906249999998
n41-1	n37	1	0	62	9.04817708333333
n38-1	n32	1	0	64	8.610677083333332
n42-1	n39	1	0	64	9.233072916666663
n32-1	n33	1	0	67	8.610677083333332
n34-1	n38	1	0	67	9.230468749999996
n33-1	n36	1	0	69	8.920572916666664
n45-1	n43	1	0	62	9.869791666666664
n44-1	n42	1	0	64	9.710937499999996
n46-1	n45	1	0	64	10.009114583333332
n43-1	n41	1	0	66	9.572916666666663
n59-1	n46	1	0	66	10.179687499999998
n35-1	n40	1	0	69	9.569010416666663
n48-1	n47	1	0	69	10.186197916666664
n36-1	n44	1	0	71	9.874999999999998
n62-1	n54	1	0	57	11.123697916666666
n61-1	n51	1	0	62	10.819010416666666
n60-1	n48	1	0	64	10.515624999999998
n49-1	n49	1	0	71	10.516927083333332
n52-1	n53	1	0	71	10.94921875
n54-1	n56	1	0	71	11.274739583333332
n50-1	n50	1	0	73	10.662760416666666
n53-1	n55	1	0	73	11.1328125
n51-1	n52	1	0	74	10.819010416666666
n77-1	n62	1	0	66	12.054687499999998
n63-1	n58	1	0	67	11.462239583333332
