onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,1.0,0.0,0.5,0,4,67,1,n1-1,0.0,0.5
1.0,0.5,0.5,0.25,4,2,69,1,n2-1,0.0,0.5
1.5,0.5,0.75,0.25,6,2,67,1,n3-1,0.0,0.5
2.0,0.5,1.0,0.25,8,2,66,1,n4-1,0.0,0.5
2.5,0.5,1.25,0.25,10,2,67,1,n5-1,0.0,0.5
3.0,1.0,1.5,0.5,12,4,69,1,n6-1,3.0,1.436458
4.0,0.5,2.0,0.25,16,2,71,1,n7-1,3.0,1.436458
4.5,0.5,2.25,0.25,18,2,69,1,n8-1,3.0,1.436458
5.0,0.5,2.5,0.25,20,2,67,1,n9-1,3.0,1.436458
5.5,0.5,2.75,0.25,22,2,69,1,n10-1,3.0,1.436458
6.0,1.0,3.0,0.5,24,4,71,1,n11-1,6.0,2.365625
7.0,1.0,3.5,0.5,28,4,69,1,n12-1,6.0,2.365625
8.0,1.0,4.0,0.5,32,4,67,1,n13-1,6.0,2.365625
9.0,1.0,4.5,0.5,36,4,62,1,n14-1,9.0,3.339583
10.0,2.0,5.0,1.0,40,8,72,1,n15-1,9.0,3.339583
12.0,1.0,6.0,0.5,48,4,71,1,n16-1,12.0,4.373958
13.0,1.0,6.5,0.5,52,4,69,1,n17-1,12.0,4.373958
14.0,1.0,7.0,0.5,56,4,67,1,n18-1,12.0,4.373958
15.0,1.0,7.5,0.5,60,4,66,1,n19-1,15.0,5.359375
16.0,2.0,8.0,1.0,64,8,76,1,n20-1,15.0,5.359375
18.0,1.0,9.0,0.5,72,4,74,1,n21-1,18.0,6.378125
19.0,0.5,9.5,0.25,76,2,76,1,n22-1,18.0,6.378125
19.5,0.5,9.75,0.25,78,2,74,1,n23-1,18.0,6.378125
20.0,0.5,10.0,0.25,80,2,72,1,n24-1,18.0,6.378125
20.5,0.5,10.25,0.25,82,2,71,1,n25-1,18.0,6.378125
21.0,1.0,10.5,0.5,84,4,69,1,n26-1,21.0,7.353125
22.0,0.5,11.0,0.25,88,2,72,1,n27-1,21.0,7.353125
22.5,0.5,11.25,0.25,90,2,71,1,n28-1,21.0,7.353125
23.0,0.5,11.5,0.25,92,2,69,1,n29-1,21.0,7.353125
23.5,0.5,11.75,0.25,94,2,67,1,n30-1,21.0,7.353125
24.0,1.0,12.0,0.5,96,4,62,2,n37-1,24.0,8.279687
24.0,1.0,12.0,0.5,96,4,66,1,n31-1,24.0,8.279687
25.0,0.5,12.5,0.25,100,2,64,2,n38-1,24.0,8.279687
25.0,1.0,12.5,0.5,100,4,67,1,n32-1,24.0,8.279687
25.5,0.5,12.75,0.25,102,2,62,2,n39-1,24.0,8.279687
26.0,0.5,13.0,0.25,104,2,61,2,n40-1,24.0,8.279687
26.0,1.0,13.0,0.5,104,4,69,1,n33-1,24.0,8.279687
26.5,0.5,13.25,0.25,106,2,62,2,n41-1,24.0,8.279687
27.0,1.0,13.5,0.5,108,4,64,2,n42-1,27.0,9.217187
27.0,1.0,13.5,0.5,108,4,67,1,n34-1,27.0,9.217187
28.0,0.5,14.0,0.25,112,2,66,2,n43-1,27.0,9.217187
28.0,1.0,14.0,0.5,112,4,69,1,n35-1,27.0,9.217187
28.5,0.5,14.25,0.25,114,2,64,2,n44-1,27.0,9.217187
29.0,0.5,14.5,0.25,116,2,62,2,n45-1,27.0,9.217187
29.0,1.0,14.5,0.5,116,4,71,1,n36-1,27.0,9.217187
29.5,0.5,14.75,0.25,118,2,64,2,n46-1,27.0,9.217187
30.0,1.0,15.0,0.5,120,4,66,2,n59-1,30.0,10.165625
30.0,1.0,15.0,0.5,120,4,69,1,n48-1,30.0,10.165625
31.0,1.0,15.5,0.5,124,4,64,2,n60-1,30.0,10.165625
31.0,0.5,15.5,0.25,124,2,71,1,n49-1,30.0,10.165625
31.5,0.5,15.75,0.25,126,2,73,1,n50-1,30.0,10.165625
32.0,1.0,16.0,0.5,128,4,62,2,n61-1,30.0,10.165625
32.0,0.5,16.0,0.25,128,2,74,1,n51-1,30.0,10.165625
32.5,0.5,16.25,0.25,130,2,71,1,n52-1,30.0,10.165625
33.0,1.0,16.5,0.5,132,4,57,2,n62-1,33.0,11.1
33.0,0.5,16.5,0.25,132,2,73,1,n53-1,33.0,11.1
33.5,0.5,16.75,0.25,134,2,71,1,n54-1,33.0,11.1
34.0,2.0,17.0,1.0,136,8,67,2,n63-1,33.0,11.1
34.0,0.5,17.0,0.25,136,2,73,1,n55-1,33.0,11.1
34.5,0.5,17.25,0.25,138,2,74,1,n56-1,33.0,11.1
35.0,0.5,17.5,0.25,140,2,76,1,n57-1,33.0,11.1
35.5,0.5,17.75,0.25,142,2,73,1,n58-1,33.0,11.1
36.0,1.0,18.0,0.5,144,4,66,2,n77-1,36.0,12.04427
36.0,0.5,18.0,0.25,144,2,74,1,n65-1,36.0,12.04427
36.5,0.5,18.25,0.25,146,2,73,1,n66-1,36.0,12.04427
37.0,1.0,18.5,0.5,148,4,64,2,n78-1,36.0,12.04427
37.0,0.5,18.5,0.25,148,2,74,1,n67-1,36.0,12.04427
37.5,0.5,18.75,0.25,150,2,76,1,n68-1,36.0,12.04427
38.0,1.0,19.0,0.5,152,4,62,2,n79-1,36.0,12.04427
38.0,0.5,19.0,0.25,152,2,78,1,n69-1,36.0,12.04427
38.5,0.5,19.25,0.25,154,2,74,1,n70-1,36.0,12.04427
39.0,1.0,19.5,0.5,156,4,61,2,n80-1,39.0,12.931771
39.0,0.5,19.5,0.25,156,2,76,1,n71-1,39.0,12.931771
39.5,0.5,19.75,0.25,158,2,74,1,n72-1,39.0,12.931771
40.0,2.0,20.0,1.0,160,8,71,2,n81-1,39.0,12.931771
40.0,0.5,20.0,0.25,160,2,76,1,n73-1,39.0,12.931771
40.5,0.5,20.25,0.25,162,2,78,1,n74-1,39.0,12.931771
41.0,0.5,20.5,0.25,164,2,79,1,n75-1,39.0,12.931771
41.5,0.5,20.75,0.25,166,2,76,1,n76-1,39.0,12.931771
42.0,1.0,21.0,0.5,168,4,69,2,n89-1,42.0,13.860416
42.0,1.0,21.0,0.5,168,4,78,1,n83-1,42.0,13.860416
43.0,0.5,21.5,0.25,172,2,71,2,n90-1,42.0,13.860416
43.0,0.5,21.5,0.25,172,2,79,1,n84-1,42.0,13.860416
43.5,0.5,21.75,0.25,174,2,69,2,n91-1,42.0,13.860416
43.5,0.5,21.75,0.25,174,2,78,1,n85-1,42.0,13.860416
44.0,0.5,22.0,0.25,176,2,67,2,n92-1,42.0,13.860416
44.0,0.5,22.0,0.25,176,2,76,1,n86-1,42.0,13.860416
