onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,0.21666667,67,39,1,0,n0,0.5,0.0
0.81666666,0.2,69,61,1,0,n1,0.5,0.0
0.9739583,0.14479166,67,63,1,0,n2,0.5,0.0
1.1270833,0.1,66,68,1,0,n3,0.5,0.0
1.259375,0.17604166,67,65,1,0,n4,0.5,0.0
1.4364583,0.228125,69,64,1,0,n5,1.436458,3.0
1.7822917,0.20208333,71,69,1,0,n6,1.436458,3.0
1.9260417,0.15520833,69,76,1,0,n7,1.436458,3.0
2.0760417,0.123958334,67,73,1,0,n8,1.436458,3.0
2.209375,0.05625,69,77,1,0,n9,1.436458,3.0
2.365625,0.032291666,71,77,1,0,n10,2.365625,6.0
2.690625,0.034375,69,67,1,0,n11,2.365625,6.0
3.0114584,0.042708334,67,59,1,0,n12,2.365625,6.0
3.3395834,0.041666668,62,57,1,0,n13,3.339583,9.0
3.7010417,0.68854165,72,68,1,0,n14,3.339583,9.0
4.373958,0.04375,71,70,1,0,n15,4.373958,12.0
4.703125,0.05625,69,74,1,0,n16,4.373958,12.0
5.016667,0.051041666,67,69,1,0,n17,4.373958,12.0
5.359375,0.036458332,66,70,1,0,n18,5.359375,15.0
5.719792,0.65833336,76,69,1,0,n19,5.359375,15.0
6.378125,0.07395833,74,54,1,0,n20,6.378125,18.0
6.741667,0.36979166,76,63,1,0,n21,6.378125,18.0
6.884375,0.31770834,74,69,1,0,n22,6.378125,18.0
7.0270834,0.25625,72,72,1,0,n23,6.378125,18.0
7.1739583,0.221875,71,76,1,0,n24,6.378125,18.0
7.353125,0.33333334,69,66,1,0,n25,7.353125,21.0
7.671875,0.315625,72,70,1,0,n26,7.353125,21.0
7.8166666,0.20520833,71,74,1,0,n27,7.353125,21.0
7.975,0.10625,69,74,1,0,n28,7.353125,21.0
8.102083,0.19375,67,60,1,0,n29,7.353125,21.0
8.279166,0.06666667,66,58,1,0,n30,7.353125,21.0
8.280209,0.13854167,62,53,1,0,n31,8.279687,24.0
