onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,0.059375,67,71,1,0,n0,0.5,0.0
0.8,0.103125,69,70,1,0,n1,0.5,0.0
0.9145833,0.075,67,76,1,0,n2,0.5,0.0
1.040625,0.08541667,66,73,1,0,n3,0.5,0.0
1.1666666,0.092708334,67,72,1,0,n4,0.5,0.0
1.31875,0.05625,69,82,1,0,n5,1.31875,3.0
1.6208333,0.07604167,71,83,1,0,n6,1.31875,3.0
1.746875,0.104166664,69,77,1,0,n7,1.31875,3.0
1.8895833,0.06979167,67,75,1,0,n8,1.31875,3.0
2.0020833,0.078125,69,73,1,0,n9,1.31875,3.0
2.1552083,0.038541667,71,84,1,0,n10,2.155208,6.0
2.4614584,0.045833334,69,74,1,0,n11,2.155208,6.0
2.746875,0.053125,67,72,1,0,n12,2.155208,6.0
3.0520833,0.06666667,62,76,1,0,n13,3.052083,9.0
3.3927083,0.45,72,85,1,0,n14,3.052083,9.0
4.0104165,0.071875,71,79,1,0,n15,3.052083,9.0
4.3020835,0.06666667,69,74,1,0,n16,4.010417,12.0
4.602083,0.06458333,67,82,1,0,n17,4.010417,12.0
4.905208,0.083333336,66,81,1,0,n18,4.905208,15.0
5.228125,0.41458333,76,88,1,0,n19,4.905208,15.0
5.804167,0.08020833,74,78,1,0,n20,5.804167,18.0
6.109375,0.14166667,76,83,1,0,n21,5.804167,18.0
6.235417,0.14270833,74,78,1,0,n22,5.804167,18.0
6.378125,0.094791666,72,82,1,0,n23,5.804167,18.0
6.501042,0.09791667,71,80,1,0,n24,5.804167,18.0
6.6520834,0.08645833,69,72,1,0,n25,6.652083,21.0
6.9489584,0.10104167,72,80,1,0,n26,6.652083,21.0
7.0822916,0.08020833,71,76,1,0,n27,6.652083,21.0
7.219792,0.07604167,69,68,1,0,n28,6.652083,21.0
7.351042,0.12604167,67,63,1,0,n29,6.652083,21.0
7.4885416,0.045833334,62,72,1,0,n30,6.652083,21.0
7.490625,0.067708336,66,72,1,0,n31,7.489584,24.0
7.78125,0.088541664,64,71,1,0,n32,7.489584,24.0
7.7927084,0.057291668,67,72,1,0,n33,7.489584,24.0
7.90625,0.104166664,62,73,1,0,n34,7.489584,24.0
8.0375,0.1375,61,72,1,0,n35,7.489584,24.0
8.071875,0.058333334,69,75,1,0,n36,7.489584,24.0
8.1625,0.13229166,62,76,1,0,n37,7.489584,24.0
8.3125,0.06666667,67,77,1,0,n38,7.489584,24.0
8.328125,0.06666667,64,87,1,0,n39,8.320313,27.0
8.610416,0.07395833,66,80,1,0,n40,8.320313,27.0
8.615625,0.054166667,69,78,1,0,n41,8.320313,27.0
8.7375,0.10208333,64,82,1,0,n42,8.320313,27.0
8.877084,0.0875,62,79,1,0,n43,8.320313,27.0
8.897917,0.04375,71,83,1,0,n44,8.320313,27.0
9.017709,0.08645833,64,80,1,0,n45,8.320313,27.0
9.160417,0.067708336,69,77,1,0,n46,8.320313,27.0
9.165625,0.042708334,66,82,1,0,n47,9.163021,30.0
9.457292,0.052083332,64,78,1,0,n48,9.163021,30.0
9.458333,0.1125,71,79,1,0,n49,9.163021,30.0
9.591666,0.15833333,73,80,1,0,n50,9.163021,30.0
9.735416,0.108333334,74,81,1,0,n51,9.163021,30.0
9.738542,0.040625,62,72,1,0,n52,9.163021,30.0
9.865625,0.13125,71,77,1,0,n53,9.163021,30.0
10.007292,0.048958335,57,79,1,0,n54,9.163021,30.0
10.020833,0.114583336,73,80,1,0,n55,10.014062,33.0
10.139584,0.15625,71,73,1,0,n56,10.014062,33.0
10.291667,0.409375,67,85,1,0,n57,10.014062,33.0
10.307292,0.14895834,73,76,1,0,n58,10.014062,33.0
10.463542,0.14479166,74,74,1,0,n59,10.014062,33.0
10.608334,0.13645834,76,81,1,0,n60,10.014062,33.0
10.744792,0.098958336,73,78,1,0,n61,10.014062,33.0
10.894792,0.059375,66,75,1,0,n62,10.894792,36.0
10.894792,0.10520833,74,78,1,0,n63,10.894792,36.0
11.030209,0.10104167,73,77,1,0,n64,10.894792,36.0
11.16875,0.092708334,74,81,1,0,n65,10.894792,36.0
11.170834,0.0625,64,79,1,0,n66,10.894792,36.0
11.308333,0.13020833,76,80,1,0,n67,10.894792,36.0
11.44375,0.047916666,62,80,1,0,n68,10.894792,36.0
11.453125,0.10729167,78,86,1,0,n69,10.894792,36.0
11.582292,0.119791664,74,73,1,0,n70,10.894792,36.0
11.726042,0.06979167,61,83,1,0,n71,10.894792,36.0
11.736459,0.10520833,76,86,1,0,n72,11.73125,39.0
11.863542,0.12291667,74,70,1,0,n73,11.73125,39.0
12.019792,0.36979166,71,92,1,0,n74,11.73125,39.0
12.03125,0.14270833,76,83,1,0,n75,11.73125,39.0
12.164583,0.153125,78,81,1,0,n76,11.73125,39.0
12.308333,0.11875,79,86,1,0,n77,11.73125,39.0
12.43125,0.1625,76,83,1,0,n78,11.73125,39.0
12.578125,0.057291668,69,73,1,0,n79,11.73125,39.0
12.584375,0.088541664,78,87,1,0,n80,12.58125,42.0
12.861459,0.09166667,71,76,1,0,n81,12.58125,42.0
12.866667,0.14583333,79,87,1,0,n82,12.58125,42.0
12.995833,0.16875,78,89,1,0,n83,12.58125,42.0
13.0,0.109375,69,71,1,0,n84,12.58125,42.0
13.134375,0.09791667,67,73,1,0,n85,12.58125,42.0
13.134375,0.13333334,76,86,1,0,n86,12.58125,42.0
13.267709,0.10625,66,69,1,0,n87,12.58125,42.0
13.267709,0.1875,74,82,1,0,n88,12.58125,42.0
13.415625,0.07395833,64,69,1,0,n89,12.58125,42.0
13.435416,0.9625,79,93,1,0,n90,13.425521,45.0
13.708333,0.12604167,67,76,1,0,n91,13.425521,45.0
13.84375,0.09166667,66,75,1,0,n92,13.425521,45.0
13.96875,0.1125,64,77,1,0,n93,13.425521,45.0
14.103125,0.114583336,62,78,1,0,n94,13.425521,45.0
14.2375,0.053125,61,76,1,0,n95,14.2375,48.0
14.386458,0.13229166,78,78,1,0,n96,14.2375,48.0
14.527083,0.054166667,67,68,1,0,n97,14.2375,48.0
14.527083,0.08125,76,77,1,0,n98,14.2375,48.0
14.664583,0.09583333,79,73,1,0,n99,14.2375,48.0
14.802083,0.046875,66,64,1,0,n100,14.2375,48.0
14.802083,0.088541664,74,73,1,0,n101,14.2375,48.0
14.926042,0.12083333,79,70,1,0,n102,14.2375,48.0
15.071875,0.057291668,64,65,1,0,n103,14.2375,48.0
15.080209,0.09583333,73,70,1,0,n104,15.076041,51.0
15.20625,0.104166664,79,65,1,0,n105,15.076041,51.0
15.340625,0.104166664,71,63,1,0,n106,15.076041,51.0
15.347917,0.051041666,62,57,1,0,n107,15.076041,51.0
15.482291,0.11145833,79,60,1,0,n108,15.076041,51.0
15.623959,0.039583333,61,54,1,0,n109,15.076041,51.0
15.626041,0.08541667,69,58,1,0,n110,15.076041,51.0
15.755208,0.07604167,79,60,1,0,n111,15.076041,51.0
15.883333,0.1,62,61,1,0,n112,15.076041,51.0
15.89375,0.047916666,78,68,1,0,n113,15.888541,54.0
16.025,0.090625,64,65,1,0,n114,15.888541,54.0
16.158333,0.08020833,66,71,1,0,n115,15.888541,54.0
16.165625,0.054166667,74,70,1,0,n116,15.888541,54.0
16.283333,0.115625,62,70,1,0,n117,15.888541,54.0
16.432291,0.08541667,67,73,1,0,n118,15.888541,54.0
16.432291,0.053125,76,80,1,0,n119,15.888541,54.0
16.560417,0.103125,62,74,1,0,n120,15.888541,54.0
16.703125,0.09166667,69,77,1,0,n121,15.888541,54.0
16.707293,0.077083334,78,88,1,0,n122,16.70521,57.0
16.829166,0.11354167,62,79,1,0,n123,16.70521,57.0
16.972918,0.10104167,71,80,1,0,n124,16.70521,57.0
16.972918,0.083333336,79,94,1,0,n125,16.70521,57.0
17.09375,0.075,62,79,1,0,n126,16.70521,57.0
17.25,0.33854166,81,89,1,0,n127,16.70521,57.0
17.25625,0.094791666,72,79,1,0,n128,16.70521,57.0
17.395834,0.051041666,62,68,1,0,n129,16.70521,57.0
17.535418,0.5989583,71,87,1,0,n130,16.70521,57.0
17.542707,0.103125,55,79,1,0,n131,17.539062,60.0
17.826042,0.0875,57,79,1,0,n132,17.539062,60.0
17.834375,0.083333336,74,84,1,0,n133,17.539062,60.0
17.960417,0.1,55,72,1,0,n134,17.539062,60.0
18.09375,0.077083334,54,78,1,0,n135,17.539062,60.0
18.107292,0.275,79,93,1,0,n136,17.539062,60.0
18.219791,0.13020833,55,75,1,0,n137,17.539062,60.0
18.378124,0.08125,57,83,1,0,n138,17.539062,60.0
18.382292,0.8677083,72,91,1,0,n139,18.380209,63.0
18.679167,0.08229167,59,80,1,0,n140,18.380209,63.0
18.690624,0.12291667,78,87,1,0,n141,18.380209,63.0
18.809376,0.094791666,57,78,1,0,n142,18.380209,63.0
18.940624,0.098958336,55,74,1,0,n143,18.380209,63.0
18.959375,0.057291668,76,89,1,0,n144,18.380209,63.0
19.095833,0.08541667,57,73,1,0,n145,18.380209,63.0
19.240625,0.04375,59,77,1,0,n146,18.380209,63.0
19.245832,0.055208333,74,80,1,0,n147,19.243229,66.0
19.528126,0.047916666,57,64,1,0,n148,19.243229,66.0
19.532291,0.06458333,66,65,1,0,n149,19.243229,66.0
19.532291,0.078125,72,72,1,0,n150,19.243229,66.0
19.825,0.036458332,55,53,1,0,n151,19.243229,66.0
19.825,0.07083333,71,68,1,0,n152,19.243229,66.0
19.840626,0.5677083,67,49,1,0,n153,19.243229,66.0
20.11875,0.054166667,50,67,1,0,n154,19.243229,66.0
20.126041,0.29166666,69,66,1,0,n155,20.122396,69.0
20.408333,0.37395832,60,81,1,0,n156,20.122396,69.0
20.43125,0.094791666,66,68,1,0,n157,20.122396,69.0
20.558332,0.08541667,67,66,1,0,n158,20.122396,69.0
20.694792,0.10520833,69,72,1,0,n159,20.122396,69.0
20.816668,0.098958336,66,71,1,0,n160,20.122396,69.0
20.95625,0.052083332,59,69,1,0,n161,20.122396,69.0
20.973959,0.075,67,74,1,0,n162,20.965103,72.0
21.110416,0.08958333,66,75,1,0,n163,20.965103,72.0
21.234375,0.051041666,57,70,1,0,n164,20.965103,72.0
21.234375,0.090625,67,77,1,0,n165,20.965103,72.0
21.370832,0.075,69,74,1,0,n166,20.965103,72.0
21.510416,0.051041666,55,70,1,0,n167,20.965103,72.0
21.510416,0.553125,74,91,1,0,n168,20.965103,72.0
21.515625,0.078125,71,83,1,0,n169,20.965103,72.0
21.647917,0.06666667,67,65,1,0,n170,20.965103,72.0
21.795834,0.08020833,69,79,1,0,n171,20.965103,72.0
21.8,0.041666668,54,77,1,0,n172,21.797916,75.0
21.920834,0.088541664,67,67,1,0,n173,21.797916,75.0
22.058332,0.34791666,64,88,1,0,n174,21.797916,75.0
22.067709,0.052083332,69,83,1,0,n175,21.797916,75.0
22.075,0.07395833,72,86,1,0,n176,21.797916,75.0
22.195833,0.07604167,71,81,1,0,n177,21.797916,75.0
22.3375,0.45416668,81,92,1,0,n178,21.797916,75.0
22.341667,0.06458333,72,85,1,0,n179,21.797916,75.0
22.457293,0.083333336,69,79,1,0,n180,21.797916,75.0
22.610416,0.14895834,71,85,1,0,n181,21.797916,75.0
22.6125,0.08645833,62,73,1,0,n182,22.61146,78.0
22.897917,0.088541664,64,68,1,0,n183,22.61146,78.0
22.902082,0.09583333,72,84,1,0,n184,22.61146,78.0
22.914583,0.54791665,79,82,1,0,n185,22.61146,78.0
23.019793,0.098958336,71,80,1,0,n186,22.61146,78.0
23.033333,0.128125,62,71,1,0,n187,22.61146,78.0
23.16875,0.103125,60,72,1,0,n188,22.61146,78.0
23.172916,0.075,69,81,1,0,n189,22.61146,78.0
23.2875,0.08020833,67,86,1,0,n190,22.61146,78.0
23.304167,0.09583333,59,73,1,0,n191,22.61146,78.0
23.439583,0.82604164,72,92,1,0,n192,22.61146,78.0
23.45625,0.08645833,57,79,1,0,n193,23.447916,81.0
23.715626,0.092708334,60,69,1,0,n194,23.447916,81.0
23.735416,0.13958333,81,84,1,0,n195,23.447916,81.0
23.847918,0.08645833,59,71,1,0,n196,23.447916,81.0
23.861458,0.11666667,79,91,1,0,n197,23.447916,81.0
23.983334,0.10208333,57,78,1,0,n198,23.447916,81.0
23.996876,0.125,78,85,1,0,n199,23.447916,81.0
24.114584,0.061458334,76,83,1,0,n200,23.447916,81.0
24.13125,0.11145833,55,71,1,0,n201,23.447916,81.0
24.263542,0.2375,54,74,1,0,n202,23.447916,81.0
24.265625,1.275,74,89,1,0,n203,24.264584,84.0
24.409374,0.108333334,71,80,1,0,n204,24.264584,84.0
24.539583,0.123958334,69,68,1,0,n205,24.264584,84.0
24.677084,0.10520833,72,74,1,0,n206,24.264584,84.0
24.795834,0.054166667,52,70,1,0,n207,24.264584,84.0
24.820833,0.08541667,67,69,1,0,n208,24.264584,84.0
24.938541,0.09166667,72,69,1,0,n209,24.264584,84.0
25.073957,0.072916664,50,69,1,0,n210,24.264584,84.0
25.076042,0.09583333,66,66,1,0,n211,25.075,87.0
25.197916,0.10520833,72,63,1,0,n212,25.075,87.0
25.209375,0.06875,52,67,1,0,n213,25.075,87.0
25.336458,0.088541664,50,65,1,0,n214,25.075,87.0
25.345833,0.10208333,64,72,1,0,n215,25.075,87.0
25.472918,0.063541666,48,56,1,0,n216,25.075,87.0
25.482292,0.088541664,72,73,1,0,n217,25.075,87.0
