xml_id	midi_id	track	channel	pitch	onset
n4-1	n3	1	0	66	1.2070312499999998
n1-1	n0	1	0	67	0.5
n3-1	n2	1	0	67	1.0377604166666665
n5-1	n4	1	0	67	1.345052083333333
n2-1	n1	1	0	69	0.8763020833333333
n6-1	n5	1	0	69	1.5156249999999998
n9-1	n8	1	0	67	2.138020833333333
n8-1	n7	1	0	69	1.977864583333333
n10-1	n9	1	0	69	2.282552083333333
n7-1	n6	1	0	71	1.8541666666666663
n11-1	n10	1	0	71	2.462239583333333
n14-1	n13	1	0	62	3.43359375
n13-1	n12	1	0	67	3.1028645833333335
n12-1	n11	1	0	69	2.7786458333333335
n16-1	n15	1	0	71	4.4609375
n15-1	n14	1	0	72	3.80078125
n19-1	n18	1	0	66	5.430989583333335
n18-1	n17	1	0	67	5.128906250000001
n17-1	n16	1	0	69	4.795572916666667
n21-1	n20	1	0	74	6.437500000000003
n20-1	n19	1	0	76	5.787760416666669
n26-1	n25	1	0	69	7.430989583333336
n25-1	n24	1	0	71	7.263020833333336
n24-1	n23	1	0	72	7.102864583333336
n23-1	n22	1	0	74	6.941406250000003
n22-1	n21	1	0	76	6.78776041666667
n37-1	n31	1	0	62	8.419270833333337
n31-1	n30	1	0	66	8.411458333333337
n30-1	n29	1	0	67	8.220052083333337
n29-1	n28	1	0	69	8.050781250000004
n28-1	n27	1	0	71	7.914062500000003
n27-1	n26	1	0	72	7.761718750000003
n40-1	n35	1	0	61	9.050781250000005
n39-1	n34	1	0	62	8.89973958333334
n41-1	n37	1	0	62	9.218750000000005
n38-1	n32	1	0	64	8.734375000000005
n42-1	n38	1	0	64	9.389322916666671
n32-1	n33	1	0	67	8.750000000000005
n34-1	n39	1	0	67	9.404947916666671
n33-1	n36	1	0	69	9.07552083333334
n45-1	n43	1	0	62	10.002604166666673
n44-1	n42	1	0	64	9.85286458333334
n46-1	n45	1	0	64	10.156250000000005
n43-1	n41	1	0	66	9.722656250000005
n59-1	n46	1	0	66	10.332031250000005
n35-1	n40	1	0	69	9.717447916666671
n48-1	n47	1	0	69	10.365885416666671
n36-1	n44	1	0	71	10.02473958333334
n62-1	n54	1	0	57	11.269531250000005
n61-1	n52	1	0	62	10.963541666666671
n60-1	n48	1	0	64	10.658854166666671
n49-1	n49	1	0	71	10.691406250000005
n52-1	n53	1	0	71	11.119791666666671
n54-1	n56	1	0	71	11.429687500000005
n50-1	n50	1	0	73	10.803385416666671
n53-1	n55	1	0	73	11.291666666666671
n51-1	n51	1	0	74	10.955729166666671
n77-1	n62	1	0	66	12.24739583333334
n63-1	n57	1	0	67	11.611979166666671
n55-1	n58	1	0	73	11.623697916666671
n58-1	n61	1	0	73	12.097656250000005
n66-1	n64	1	0	73	12.416666666666673
n56-1	n59	1	0	74	11.787760416666671
n65-1	n63	1	0	74	12.26302083333334
n57-1	n60	1	0	76	11.936197916666671
n80-1	n71	1	0	61	13.165364583333341
n79-1	n68	1	0	62	12.852864583333341
n78-1	n65	1	0	64	12.548177083333341
n67-1	n66	1	0	74	12.557291666666675
n70-1	n70	1	0	74	13.007812500000007
n72-1	n73	1	0	74	13.334635416666673
n68-1	n67	1	0	76	12.710937500000009
n71-1	n72	1	0	76	13.179687500000007
n69-1	n69	1	0	78	12.859375000000007
n89-1	n80	1	0	69	14.152343750000007
n81-1	n75	1	0	71	13.511718750000007
n73-1	n74	1	0	76	13.510416666666673
n76-1	n78	1	0	76	13.963541666666673
n74-1	n76	1	0	78	13.673177083333341
n83-1	n79	1	0	78	14.147135416666673
n75-1	n77	1	0	79	13.821614583333341
n94-1	n90	1	0	64	15.143229166666675
n93-1	n88	1	0	66	14.947916666666675
n92-1	n86	1	0	67	14.808593750000009
n91-1	n84	1	0	69	14.649739583333341
n90-1	n81	1	0	71	14.484375000000007
n87-1	n87	1	0	74	14.932291666666675
n86-1	n85	1	0	76	14.783854166666675
n85-1	n83	1	0	78	14.635416666666675
n84-1	n82	1	0	79	14.489583333333341
n88-1	n89	1	0	79	15.119791666666675
n112-1	n95	1	0	61	16.126302083333343
n98-1	n94	1	0	62	15.942708333333341
n97-1	n93	1	0	64	15.774739583333341
n96-1	n92	1	0	66	15.638020833333341
n95-1	n91	1	0	67	15.476562500000007
n101-1	n96	1	0	78	16.30468750000001
n115-1	n103	1	0	64	17.055989583333332
