onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,0.057291668,67,52,1,0,n0,0.5,0.0
0.87630206,0.17447917,69,47,1,0,n1,0.5,0.0
1.0377604,0.16015625,67,59,1,0,n2,0.5,0.0
1.2070312,0.125,66,65,1,0,n3,0.5,0.0
1.3450521,0.1953125,67,64,1,0,n4,0.5,0.0
1.515625,0.088541664,69,62,1,0,n5,1.515625,3.0
1.8541666,0.16927083,71,66,1,0,n6,1.515625,3.0
1.9778646,0.16666667,69,68,1,0,n7,1.515625,3.0
2.1380208,0.171875,67,70,1,0,n8,1.515625,3.0
2.282552,0.20052083,69,68,1,0,n9,1.515625,3.0
2.4622395,0.061197918,71,66,1,0,n10,1.515625,3.0
2.7786458,0.059895832,69,58,1,0,n11,2.46224,6.0
3.1028645,0.0546875,67,63,1,0,n12,2.46224,6.0
3.4335938,0.032552082,62,52,1,0,n13,2.46224,6.0
3.8007812,0.6458333,72,60,1,0,n14,3.433594,9.0
4.4609375,0.065104164,71,57,1,0,n15,3.433594,9.0
4.7955728,0.049479168,69,70,1,0,n16,4.460938,12.0
5.1289062,0.041666668,67,69,1,0,n17,4.460938,12.0
5.4309897,0.041666668,66,72,1,0,n18,4.460938,12.0
5.7877603,0.64713544,76,74,1,0,n19,5.43099,15.0
6.4375,0.09375,74,58,1,0,n20,6.4375,18.0
6.7877603,0.1328125,76,59,1,0,n21,6.4375,18.0
6.9414062,0.16536458,74,55,1,0,n22,6.4375,18.0
7.1028647,0.13932292,72,60,1,0,n23,6.4375,18.0
7.263021,0.1640625,71,54,1,0,n24,6.4375,18.0
7.4309897,0.0859375,69,50,1,0,n25,6.4375,18.0
7.7617188,0.12760417,72,56,1,0,n26,7.43099,21.0
7.9140625,0.111979164,71,51,1,0,n27,7.43099,21.0
8.050781,0.1328125,69,49,1,0,n28,7.43099,21.0
8.220052,0.16276042,67,47,1,0,n29,7.43099,21.0
8.411458,0.048177082,66,56,1,0,n30,7.43099,21.0
8.4192705,0.053385418,62,47,1,0,n31,8.415364,24.0
8.734375,0.14192708,64,48,1,0,n32,8.415364,24.0
8.75,0.048177082,67,57,1,0,n33,8.415364,24.0
8.899739,0.13671875,62,51,1,0,n34,8.415364,24.0
9.050781,0.16796875,61,57,1,0,n35,8.415364,24.0
9.0755205,0.04296875,69,62,1,0,n36,8.415364,24.0
9.21875,0.17838542,62,52,1,0,n37,8.415364,24.0
9.389323,0.061197918,64,56,1,0,n38,8.415364,24.0
9.404948,0.045572918,67,57,1,0,n39,9.397135,27.0
9.717448,0.045572918,69,64,1,0,n40,9.397135,27.0
9.722656,0.13020833,66,63,1,0,n41,9.397135,27.0
9.852864,0.1484375,64,58,1,0,n42,9.397135,27.0
10.0026045,0.17057292,62,63,1,0,n43,9.397135,27.0
10.024739,0.057291668,71,65,1,0,n44,9.397135,27.0
10.15625,0.19791667,64,65,1,0,n45,9.397135,27.0
10.332031,0.095052086,66,69,1,0,n46,9.397135,27.0
10.365886,0.037760418,69,65,1,0,n47,10.348958,30.0
10.6588545,0.04296875,64,67,1,0,n48,10.348958,30.0
10.691406,0.088541664,71,48,1,0,n49,10.348958,30.0
10.803386,0.12760417,73,55,1,0,n50,10.348958,30.0
10.9557295,0.13020833,74,55,1,0,n51,10.348958,30.0
10.963542,0.052083332,62,60,1,0,n52,10.348958,30.0
11.119792,0.140625,71,44,1,0,n53,10.348958,30.0
11.269531,0.045572918,57,57,1,0,n54,10.348958,30.0
11.291667,0.08203125,73,55,1,0,n55,11.280599,33.0
11.4296875,0.1953125,71,54,1,0,n56,11.280599,33.0
11.6119795,0.66276044,67,64,1,0,n57,11.280599,33.0
11.623698,0.12630208,73,57,1,0,n58,11.280599,33.0
11.787761,0.140625,74,53,1,0,n59,11.280599,33.0
11.936198,0.14583333,76,57,1,0,n60,11.280599,33.0
12.097656,0.15104167,73,57,1,0,n61,11.280599,33.0
12.2473955,0.075520836,66,65,1,0,n62,11.280599,33.0
12.2630205,0.14583333,74,64,1,0,n63,12.255209,36.0
12.416667,0.114583336,73,67,1,0,n64,12.255209,36.0
12.548177,0.083333336,64,71,1,0,n65,12.255209,36.0
12.557292,0.17578125,74,73,1,0,n66,12.255209,36.0
12.7109375,0.1875,76,67,1,0,n67,12.255209,36.0
12.852864,0.071614586,62,75,1,0,n68,12.255209,36.0
12.859375,0.123697914,78,73,1,0,n69,12.255209,36.0
13.0078125,0.17708333,74,64,1,0,n70,12.255209,36.0
13.165364,0.0546875,61,76,1,0,n71,12.255209,36.0
13.1796875,0.14453125,76,69,1,0,n72,13.172527,39.0
13.334636,0.20833333,74,69,1,0,n73,13.172527,39.0
13.510417,0.22395833,76,71,1,0,n74,13.172527,39.0
13.511719,0.6614583,71,74,1,0,n75,13.172527,39.0
13.673177,0.15625,78,71,1,0,n76,13.172527,39.0
13.821614,0.13932292,79,65,1,0,n77,13.172527,39.0
13.963542,0.22135417,76,62,1,0,n78,13.172527,39.0
14.147136,0.091145836,78,70,1,0,n79,13.172527,39.0
14.152344,0.059895832,69,60,1,0,n80,14.149739,42.0
14.484375,0.14322917,71,51,1,0,n81,14.149739,42.0
14.489583,0.16927083,79,63,1,0,n82,14.149739,42.0
14.635417,0.14973958,78,66,1,0,n83,14.149739,42.0
14.649739,0.13671875,69,54,1,0,n84,14.149739,42.0
14.7838545,0.140625,76,58,1,0,n85,14.149739,42.0
14.808594,0.19140625,67,42,1,0,n86,14.149739,42.0
14.932292,0.2265625,74,56,1,0,n87,14.149739,42.0
14.947917,0.24479167,66,46,1,0,n88,14.149739,42.0
15.119792,1.2760416,79,64,1,0,n89,14.149739,42.0
15.1432295,0.055989582,64,54,1,0,n90,15.131511,45.0
15.4765625,0.18489583,67,54,1,0,n91,15.131511,45.0
15.6380205,0.1328125,66,57,1,0,n92,15.131511,45.0
15.774739,0.15234375,64,54,1,0,n93,15.131511,45.0
15.942708,0.22265625,62,48,1,0,n94,15.131511,45.0
16.126303,0.092447914,61,56,1,0,n95,16.126303,48.0
16.304688,0.14453125,78,58,1,0,n96,16.126303,48.0
16.436197,0.049479168,67,63,1,0,n97,16.126303,48.0
16.441406,0.16276042,76,69,1,0,n98,16.126303,48.0
16.595053,0.14322917,79,63,1,0,n99,16.126303,48.0
