xml_id	midi_id	track	channel	pitch	onset
n3-1	n1	1	0	55	1.5364583333333333
n2-1	n0	1	0	56	0.5
n4-1	n2	1	0	56	2.076041666666667
n5-1	n3	1	0	58	2.308333333333333
n7-1	n5	1	0	58	3.1260416666666666
n6-1	n4	1	0	59	2.605208333333333
n8-1	n6	1	0	56	3.642708333333333
n9-1	n7	1	0	62	4.148958333333333
n11-1	n9	1	0	54	5.194791666666665
n10-1	n8	1	0	63	4.678124999999999
n12-1	n10	1	0	56	5.728124999999999
n13-1	n11	1	0	56	6.220833333333332
n14-1	n12	1	0	58	6.740624999999999
n15-1	n13	1	0	58	7.265624999999999
n23-1	n14	1	0	51	7.7854166666666655
n24-1	n15	1	0	53	8.309375
n25-1	n17	1	0	54	8.916666666666666
n17-1	n16	1	0	63	8.889583333333333
n27-1	n20	1	0	52	10.377083333333333
n28-1	n22	1	0	54	10.613541666666666
n18-1	n18	1	0	60	9.880208333333332
n19-1	n19	1	0	61	10.371875
n20-1	n21	1	0	63	10.609375
n30-1	n26	1	0	55	11.426041666666665
n29-1	n23	1	0	56	10.894791666666666
n31-1	n27	1	0	56	11.651041666666666
n22-1	n25	1	0	63	11.399999999999999
n21-1	n24	1	0	64	10.896875
n41-1	n31	1	0	56	12.421874999999998
n40-1	n29	1	0	58	11.936458333333333
n42-1	n32	1	0	58	12.647916666666664
n32-1	n28	1	0	61	11.916666666666666
n33-1	n30	1	0	67	12.406249999999998
n44-1	n35	1	0	56	13.454166666666667
n43-1	n34	1	0	59	12.959375
n35-1	n36	1	0	59	13.459375000000001
n34-1	n33	1	0	68	12.947916666666666
n45-1	n38	1	0	58	13.97916666666667
n36-1	n37	1	0	61	13.977083333333336
n37-1	n39	1	0	61	14.467708333333336
n47-1	n41	1	0	55	14.990625000000003
n38-1	n40	1	0	63	14.98854166666667
n39-1	n42	1	0	63	15.521875000000003
n64-1	n44	1	0	54	16.552083333333336
n55-1	n43	1	0	56	16.008333333333336
n63-1	deletion
n65-1	n47	1	0	52	17.072916666666668
n56-1	n45	1	0	61	17.059375000000003
n49-1	n46	1	0	68	17.059375000000003
n66-1	n48	1	0	51	18.03229166666667
n67-1	n52	1	0	56	18.53750000000001
n58-1	n50	1	0	59	18.528125000000006
n59-1	n54	1	0	61	18.78437500000001
n50-1	n49	1	0	67	18.03854166666667
n51-1	n51	1	0	68	18.53020833333334
n52-1	n53	1	0	70	18.761458333333344
n68-1	n57	1	0	58	19.57708333333334
n61-1	n59	1	0	62	19.594791666666676
n60-1	n56	1	0	63	19.092708333333345
n62-1	n60	1	0	63	19.84270833333334
n54-1	n58	1	0	70	19.589583333333344
n53-1	n55	1	0	71	19.073958333333344
n84-1	n62	1	0	59	20.11562500000001
n78-1	n65	1	0	63	20.62083333333334
n77-1	n63	1	0	65	20.133333333333344
n79-1	n66	1	0	65	20.83645833333334
n69-1	n61	1	0	68	20.113541666666674
n70-1	n64	1	0	74	20.611458333333342
n85-1	n68	1	0	58	21.156250000000014
n81-1	n70	1	0	63	21.68333333333334
n80-1	n69	1	0	66	21.161458333333346
n72-1	n71	1	0	66	21.68333333333334
n71-1	n67	1	0	75	21.145833333333346
n86-1	n73	1	0	56	22.200000000000006
n82-1	n74	1	0	65	22.20520833333334
n73-1	n72	1	0	68	22.19583333333334
n74-1	n75	1	0	68	22.72395833333334
n83-1	n77	1	0	62	23.21145833333334
n75-1	n76	1	0	70	23.190625000000008
n76-1	n78	1	0	70	23.713541666666675
n106-1	n81	1	0	54	24.752083333333342
n107-1	n82	1	0	56	24.99062500000001
n96-1	n79	1	0	63	24.250000000000007
n87-1	deletion
n88-1	n80	1	0	65	24.739583333333343
n108-1	n83	1	0	51	25.279166666666676
n101-1	n86	1	0	54	25.806250000000006
n100-1	n85	1	0	58	25.312500000000007
n97-1	n87	1	0	58	25.810416666666672
n89-1	n84	1	0	66	25.283333333333342
n109-1	n88	1	0	48	26.276041666666675
n110-1	n92	1	0	49	26.75416666666667
n102-1	n90	1	0	51	26.332291666666674
n111-1	n94	1	0	51	26.99166666666667
n103-1	deletion
n98-1	n89	1	0	56	26.281250000000007
n91-1	n93	1	0	64	26.762500000000003
n92-1	n95	1	0	66	27.000000000000004
n113-1	n98	1	0	51	27.773958333333336
n112-1	n96	1	0	52	27.296875000000004
n104-1	n99	1	0	59	27.78854166666667
n99-1	n101	1	0	63	27.80416666666667
n94-1	n100	1	0	67	27.800000000000004
n93-1	n97	1	0	68	27.296875000000004
n95-1	n102	1	0	68	28.042708333333337
n131-1	n103	1	0	49	28.31875
n132-1	n108	1	0	55	28.815625000000004
n129-1	n106	1	0	61	28.41979166666667
n122-1	deletion
n121-1	n105	1	0	64	28.343750000000004
n115-1	n107	1	0	68	28.81354166666667
n114-1	n104	1	0	70	28.322916666666668
n116-1	n109	1	0	70	29.05729166666667
n134-1	n114	1	0	47	29.88854166666667
n133-1	n110	1	0	56	29.350000000000005
n130-1	n112	1	0	63	29.364583333333336
n124-1	deletion
n118-1	n113	1	0	68	29.871875000000003
n117-1	n111	1	0	71	29.355208333333337
n135-1	n115	1	0	49	30.388541666666665
n136-1	n119	1	0	49	30.90625
n125-1	n117	1	0	61	30.395833333333332
n126-1	n118	1	0	64	30.395833333333332
n119-1	n116	1	0	70	30.393749999999997
n137-1	n120	1	0	51	31.4375
n138-1	n124	1	0	51	31.95625
n127-1	n121	1	0	58	31.439583333333335
n128-1	n123	1	0	63	31.444791666666667
n120-1	n122	1	0	67	31.439583333333335
n155-1	n126	1	0	44	32.48020833333333
n146-1	n127	1	0	59	32.484375
n147-1	n128	1	0	63	32.4875
n139-1	n125	1	0	68	32.47083333333333
n140-1	n129	1	0	70	32.99270833333333
n157-1	n131	1	0	51	33.98854166666666
n149-1	n133	1	0	59	33.99791666666667
n150-1	n132	1	0	66	33.99375
n141-1	n130	1	0	71	33.51145833333333
n158-1	n136	1	0	52	34.54687500000003
n159-1	n138	1	0	52	35.03333333333336
n151-1	n137	1	0	64	34.56145833333336
n152-1	n135	1	0	68	34.54166666666669
n142-1	n134	1	0	73	34.530208333333356
n160-1	n140	1	0	54	35.53750000000004
n161-1	n143	1	0	54	36.02604166666671
n153-1	n142	1	0	61	35.54166666666671
n154-1	n141	1	0	66	35.53750000000004
n144-1	n139	1	0	70	35.5229166666667
n178-1	n144	1	0	47	36.53020833333338
n170-1	n145	1	0	63	36.55625000000004
n171-1	n146	1	0	66	36.56041666666671
n162-1	n147	1	0	71	36.56562500000005
n164-1	n149	1	0	74	37.26145833333337
n163-1	n148	1	0	75	37.03229166666671
n180-1	n153	1	0	54	38.0260416666667
n172-1	n152	1	0	63	38.025000000000034
n173-1	n151	1	0	70	38.00625000000004
n165-1	n150	1	0	75	37.54791666666671
n181-1	n154	1	0	56	38.50937500000005
n182-1	n158	1	0	56	39.029166666666725
n174-1	n156	1	0	68	38.52916666666672
n175-1	n157	1	0	71	38.54166666666672
n166-1	n155	1	0	77	38.50937500000005
n183-1	n159	1	0	58	39.53854166666673
n184-1	n163	1	0	58	40.07187500000006
n176-1	n162	1	0	65	39.564583333333395
n177-1	n161	1	0	70	39.55625000000006
n168-1	n160	1	0	74	39.53854166666673
n203-1	n167	1	0	51	40.564583333333395
n194-1	n165	1	0	63	40.5614583333334
n201-1	n166	1	0	66	40.5614583333334
n202-1	n169	1	0	68	41.0458333333334
n185-1	n164	1	0	75	40.546875000000064
n186-1	n168	1	0	77	41.04166666666673
n204-1	n170	1	0	63	41.53125000000007
n195-1	n172	1	0	70	41.55416666666673
