onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,1.1625,56,52,1,0,n0,0.5,1.0
1.5364584,0.6041667,55,41,1,0,n1,1.536458,2.0
2.0760417,0.31145832,56,48,1,0,n2,1.536458,2.0
2.3083334,0.36875,58,57,1,0,n3,1.536458,2.0
2.6052084,0.62291664,59,54,1,0,n4,2.605208,3.0
3.1260417,0.59375,58,57,1,0,n5,2.605208,3.0
3.6427083,0.6145833,56,58,1,0,n6,3.642708,4.0
4.148958,0.596875,62,67,1,0,n7,3.642708,4.0
4.678125,0.6010417,63,62,1,0,n8,4.678125,5.0
5.194792,0.5625,54,56,1,0,n9,4.678125,5.0
5.728125,0.20833333,56,58,1,0,n10,5.728125,6.0
6.2208333,0.23125,56,56,1,0,n11,5.728125,6.0
6.740625,0.24583334,58,46,1,0,n12,6.740625,7.0
7.265625,0.23645833,58,41,1,0,n13,6.740625,7.0
7.7854166,0.625,51,47,1,0,n14,6.740625,7.0
8.309375,0.66770834,53,56,1,0,n15,7.785417,8.0
8.889584,1.0895833,63,68,1,0,n16,7.785417,8.0
8.916667,1.4604167,54,42,1,0,n17,8.903125,9.0
9.880208,0.8677083,60,50,1,0,n18,9.880208,10.0
10.371875,0.3375,61,60,1,0,n19,9.880208,10.0
10.377084,0.23645833,52,48,1,0,n20,9.880208,10.0
10.609375,0.36041668,63,68,1,0,n21,9.880208,10.0
10.613542,0.340625,54,54,1,0,n22,9.880208,10.0
10.894792,0.52708334,56,51,1,0,n23,9.880208,10.0
10.896875,0.57708335,64,72,1,0,n24,10.895834,11.0
11.4,0.584375,63,66,1,0,n25,10.895834,11.0
11.426042,0.25104168,55,46,1,0,n26,10.895834,11.0
11.651042,0.30520833,56,54,1,0,n27,10.895834,11.0
11.916667,0.64479166,61,60,1,0,n28,10.895834,11.0
11.936459,0.47916666,58,51,1,0,n29,11.926562,12.0
12.40625,0.596875,67,69,1,0,n30,11.926562,12.0
12.421875,0.25416666,56,47,1,0,n31,11.926562,12.0
