onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
1.0,1.0,1.0,1.0,4,4,56,7,n2-1,1.0,0.5
2.0,0.5,2.0,0.5,8,2,55,7,n3-1,2.0,1.769792
2.5,0.25,2.5,0.25,10,1,56,7,n4-1,2.0,1.769792
2.75,0.25,2.75,0.25,11,1,58,7,n5-1,2.0,1.769792
3.0,0.5,3.0,0.5,12,2,59,7,n6-1,3.0,2.914583
3.5,0.5,3.5,0.5,14,2,58,7,n7-1,3.0,2.914583
4.0,0.5,4.0,0.5,16,2,56,7,n8-1,4.0,4.047917
4.5,0.5,4.5,0.5,18,2,62,7,n9-1,4.0,4.047917
5.0,0.5,5.0,0.5,20,2,63,7,n10-1,5.0,5.232292
5.5,0.5,5.5,0.5,22,2,54,7,n11-1,5.0,5.232292
6.0,0.5,6.0,0.5,24,2,56,7,n12-1,6.0,6.370833
6.5,0.5,6.5,0.5,26,2,56,7,n13-1,6.0,6.370833
7.0,0.5,7.0,0.5,28,2,58,7,n14-1,7.0,7.508333
7.5,0.5,7.5,0.5,30,2,58,7,n15-1,7.0,7.508333
8.0,0.5,8.0,0.5,32,2,51,7,n23-1,8.0,8.663542
8.5,0.5,8.5,0.5,34,2,53,7,n24-1,8.0,8.663542
9.0,1.5,9.0,1.5,36,6,54,7,n25-1,9.0,9.929167
9.0,1.0,9.0,1.0,36,4,63,3,n17-1,9.0,9.929167
10.0,0.5,10.0,0.5,40,2,60,3,n18-1,10.0,11.092708
10.5,0.25,10.5,0.25,42,1,52,7,n27-1,10.0,11.092708
10.5,0.25,10.5,0.25,42,1,61,3,n19-1,10.0,11.092708
10.75,0.25,10.75,0.25,43,1,54,7,n28-1,10.0,11.092708
10.75,0.25,10.75,0.25,43,1,63,3,n20-1,10.0,11.092708
11.0,0.5,11.0,0.5,44,2,56,7,n29-1,11.0,12.16875
11.0,0.5,11.0,0.5,44,2,64,3,n21-1,11.0,12.16875
11.5,0.25,11.5,0.25,46,1,55,7,n30-1,11.0,12.16875
11.5,0.5,11.5,0.5,46,2,63,3,n22-1,11.0,12.16875
11.75,0.25,11.75,0.25,47,1,56,7,n31-1,11.0,12.16875
12.0,0.5,12.0,0.5,48,2,58,7,n40-1,12.0,13.258334
12.0,0.5,12.0,0.5,48,2,61,3,n32-1,12.0,13.258334
12.5,0.25,12.5,0.25,50,1,56,7,n41-1,12.0,13.258334
12.5,0.5,12.5,0.5,50,2,67,3,n33-1,12.0,13.258334
12.75,0.25,12.75,0.25,51,1,58,7,n42-1,12.0,13.258334
13.0,0.5,13.0,0.5,52,2,59,7,n43-1,13.0,14.367188
13.0,0.5,13.0,0.5,52,2,68,3,n34-1,13.0,14.367188
13.5,0.5,13.5,0.5,54,2,56,7,n44-1,13.0,14.367188
13.5,0.5,13.5,0.5,54,2,59,3,n35-1,13.0,14.367188
14.0,0.5,14.0,0.5,56,2,58,7,n45-1,14.0,15.461458
14.0,0.5,14.0,0.5,56,2,61,3,n36-1,14.0,15.461458
14.5,0.5,14.5,0.5,58,2,61,3,n37-1,14.0,15.461458
15.0,0.5,15.0,0.5,60,2,55,7,n47-1,15.0,16.571354
15.0,0.5,15.0,0.5,60,2,63,3,n38-1,15.0,16.571354
15.5,0.5,15.5,0.5,62,2,63,3,n39-1,15.0,16.571354
16.0,1.0,16.0,1.0,64,4,56,2,n55-1,16.0,17.6875
16.0,0.5,16.0,0.5,64,2,56,7,n63-1,16.0,17.6875
16.5,0.5,16.5,0.5,66,2,54,7,n64-1,16.0,17.6875
17.0,1.0,17.0,1.0,68,4,52,7,n65-1,17.0,18.840973
17.0,1.5,17.0,1.5,68,6,61,2,n56-1,17.0,18.840973
17.0,1.0,17.0,1.0,68,4,68,1,n49-1,17.0,18.840973
18.0,0.5,18.0,0.5,72,2,51,7,n66-1,18.0,19.934895
18.0,0.5,18.0,0.5,72,2,67,1,n50-1,18.0,19.934895
18.5,1.0,18.5,1.0,74,4,56,7,n67-1,18.0,19.934895
18.5,0.25,18.5,0.25,74,1,59,2,n58-1,18.0,19.934895
18.5,0.25,18.5,0.25,74,1,68,1,n51-1,18.0,19.934895
18.75,0.25,18.75,0.25,75,1,61,2,n59-1,18.0,19.934895
18.75,0.25,18.75,0.25,75,1,70,1,n52-1,18.0,19.934895
