idx,matchtype,partid,ppartid
0,0,n1-1,n0
1,0,n2-1,n1
2,0,n4-1,n3
3,0,n3-1,n2
4,0,n17-1,n7
5,0,n6-1,n5
6,0,n5-1,n4
7,0,n8-1,n6
8,0,n9-1,n8
9,0,n11-1,n10
10,0,n10-1,n9
11,0,n21-1,n11
12,0,n23-1,n15
13,0,n22-1,n14
14,0,n13-1,n13
15,0,n12-1,n12
16,0,n25-1,n19
17,0,n24-1,n17
18,0,n35-1,n20
19,0,n15-1,n16
20,0,n16-1,n18
21,0,n27-1,n21
22,0,n36-1,n22
23,0,n38-1,n26
24,0,n37-1,n24
25,0,n28-1,n23
26,0,n30-1,n27
27,0,n29-1,n25
28,0,n40-1,n29
29,0,n32-1,n31
30,0,n39-1,n28
31,0,n31-1,n30
32,0,n60-1,n36
33,0,n53-1,n37
34,0,n42-1,n32
35,0,n43-1,n35
36,0,n34-1,n34
37,0,n33-1,n33
38,0,n55-1,n41
39,0,n56-1,n42
40,0,n54-1,n39
41,0,n46-1,n38
42,0,n47-1,n40
43,0,n48-1,n43
44,0,n64-1,n44
45,0,n66-1,n48
46,0,n65-1,n46
47,0,n49-1,n45
48,0,n57-1,n49
49,0,n50-1,n47
50,0,n68-1,n53
51,0,n67-1,n50
52,0,n83-1,n56
53,0,n58-1,n52
54,0,n75-1,n57
55,0,n59-1,n54
56,0,n52-1,n51
57,0,n69-1,n55
58,0,n84-1,n58
59,0,n86-1,n63
60,0,n85-1,n60
61,0,n77-1,n62
62,0,n76-1,n59
63,0,n71-1,n64
64,0,n70-1,n61
65,0,n88-1,n67
66,0,n87-1,n65
67,0,n80-1,n70
68,0,n79-1,n66
69,0,n72-1,n68
70,0,n73-1,n69
71,0,n109-1,n76
72,0,n90-1,n71
73,0,n91-1,n74
74,0,n98-1,n77
75,0,n81-1,n73
76,0,n82-1,n75
77,0,n74-1,n72
78,0,n100-1,n81
79,0,n99-1,n78
80,0,n95-1,n82
81,0,n93-1,n79
82,0,n94-1,n80
83,0,n113-1,n83
84,0,n115-1,n90
85,0,n114-1,n88
86,0,n106-1,n91
87,0,n105-1,n89
88,0,n103-1,n85
