onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,0.57708335,69,63,1,0,n0,0.5,0.0
1.7135416,0.296875,68,63,1,0,n1,1.423437,3.0
2.025,0.3,73,73,1,0,n2,1.423437,3.0
2.346875,0.26354167,69,71,1,0,n3,2.346875,6.0
2.63125,0.24895833,74,70,1,0,n4,2.346875,6.0
2.915625,0.26875,71,65,1,0,n5,2.346875,6.0
3.2052083,0.24583334,76,66,1,0,n6,2.346875,6.0
3.2125,0.53229165,64,54,1,0,n7,3.208854,9.0
3.4822917,0.26979166,73,76,1,0,n8,3.208854,9.0
3.765625,0.28125,78,75,1,0,n9,3.208854,9.0
4.0427084,0.26666668,76,75,1,0,n10,4.042708,12.0
4.3395834,0.2625,61,52,1,0,n11,4.042708,12.0
4.3395834,0.24375,81,63,1,0,n12,4.042708,12.0
4.617708,0.515625,74,69,1,0,n13,4.042708,12.0
4.6229167,0.265625,66,55,1,0,n14,4.042708,12.0
4.907292,0.26666668,64,62,1,0,n15,4.907292,15.0
5.18125,0.271875,73,73,1,0,n16,4.907292,15.0
5.1916666,0.25729167,69,57,1,0,n17,4.907292,15.0
5.4583335,0.2875,75,81,1,0,n18,4.907292,15.0
5.4625,0.24375,66,66,1,0,n19,4.907292,15.0
5.734375,0.28125,71,70,1,0,n20,4.907292,15.0
5.7458334,0.27395833,80,83,1,0,n21,5.740104,18.0
6.0041666,0.31145832,68,80,1,0,n22,5.740104,18.0
6.021875,0.28020832,76,84,1,0,n23,5.740104,18.0
6.304167,0.29479167,73,83,1,0,n24,5.740104,18.0
6.311458,0.27395833,81,74,1,0,n25,5.740104,18.0
6.594792,0.26145834,71,77,1,0,n26,6.594792,21.0
6.594792,0.55104166,80,76,1,0,n27,6.594792,21.0
6.86875,0.28229168,76,76,1,0,n28,6.594792,21.0
7.1510415,0.496875,69,53,1,0,n29,6.594792,21.0
7.164583,0.23229167,78,67,1,0,n30,6.594792,21.0
7.4322915,0.24791667,71,64,1,0,n31,6.594792,21.0
7.7083335,0.21145834,68,49,1,0,n32,7.432292,24.0
7.717708,0.278125,76,62,1,0,n33,7.432292,24.0
7.9958334,0.534375,74,62,1,0,n34,7.432292,24.0
8.00625,0.21770833,71,60,1,0,n35,7.432292,24.0
8.282291,0.5229167,57,69,1,0,n36,7.432292,24.0
8.291667,0.2625,64,63,1,0,n37,8.28698,27.0
8.563541,0.25833333,73,65,1,0,n38,8.28698,27.0
8.569792,0.228125,69,52,1,0,n39,8.28698,27.0
8.841666,0.21041666,75,67,1,0,n40,8.28698,27.0
8.858334,0.22604166,66,55,1,0,n41,8.28698,27.0
9.132292,0.52916664,68,59,1,0,n42,8.28698,27.0
9.14375,0.246875,76,60,1,0,n43,9.138021,30.0
9.425,0.30625,56,72,1,0,n44,9.138021,30.0
9.432292,0.2625,71,56,1,0,n45,9.138021,30.0
9.709375,0.315625,61,70,1,0,n46,9.138021,30.0
9.729167,0.5572917,76,67,1,0,n47,9.138021,30.0
10.00625,0.28958333,57,78,1,0,n48,9.138021,30.0
10.014584,0.253125,73,65,1,0,n49,10.010416,33.0
10.290625,0.27708334,62,76,1,0,n50,10.010416,33.0
10.295834,0.55,78,79,1,0,n51,10.010416,33.0
10.307292,0.234375,69,59,1,0,n52,10.010416,33.0
10.572917,0.28020832,59,82,1,0,n53,10.010416,33.0
10.586458,0.24895833,74,66,1,0,n54,10.010416,33.0
10.860416,0.57395834,80,76,1,0,n55,10.010416,33.0
10.864583,0.32291666,64,83,1,0,n56,10.010416,33.0
