onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,0.114583336,57,46,1,0,n0,-10.0,-10.0
0.6354167,0.17317708,56,53,1,0,n1,-10.0,-10.0
0.81901044,0.14192708,57,60,1,0,n2,0.81901,1.0
1.1757812,0.15885417,59,64,1,0,n3,0.81901,1.0
1.5338541,0.20052083,60,64,1,0,n4,1.533854,2.0
1.8919271,0.13932292,60,63,1,0,n5,1.533854,2.0
2.045573,0.203125,59,66,1,0,n6,1.533854,2.0
2.2252605,0.22265625,60,71,1,0,n7,2.22526,3.0
2.576823,0.17578125,62,73,1,0,n8,2.22526,3.0
2.9244792,0.17708333,64,69,1,0,n9,2.924479,4.0
3.0742188,0.18619792,62,68,1,0,n10,2.924479,4.0
3.2408855,0.1875,60,74,1,0,n11,2.924479,4.0
3.3958333,0.203125,62,80,1,0,n12,2.924479,4.0
3.5755208,0.17838542,64,83,1,0,n13,2.924479,4.0
3.9283855,0.17057292,65,80,1,0,n14,3.575521,5.0
4.2747397,0.20963542,56,75,1,0,n15,3.575521,5.0
4.653646,0.2109375,52,52,1,0,n16,4.27474,6.0
5.3828125,0.15494792,57,45,1,0,n17,5.002605,7.0
5.7304688,0.13411458,59,54,1,0,n18,5.002605,7.0
5.8841147,0.16276042,60,59,1,0,n19,5.730469,8.0
6.0611978,0.15885417,57,62,1,0,n20,5.730469,8.0
6.216146,0.1875,59,73,1,0,n21,5.730469,8.0
6.3893228,0.17057292,60,78,1,0,n22,5.730469,8.0
6.5390625,0.18489583,62,74,1,0,n23,6.389323,9.0
6.7070312,0.171875,59,76,1,0,n24,6.389323,9.0
6.8359375,0.234375,60,78,1,0,n25,6.389323,9.0
7.033854,0.20572917,62,75,1,0,n26,7.033854,10.0
7.4231772,0.15364583,60,62,1,0,n27,7.033854,10.0
7.778646,0.17708333,59,58,1,0,n28,7.778646,11.0
8.130208,0.17838542,64,53,1,0,n29,7.778646,11.0
8.483073,0.3997396,57,54,1,0,n30,8.483073,12.0
8.847656,0.13802083,64,58,1,0,n31,8.483073,12.0
8.980469,0.19401042,63,64,1,0,n32,8.483073,12.0
9.157552,0.18098958,64,64,1,0,n33,8.483073,12.0
9.1640625,0.19401042,55,50,1,0,n34,9.160807,13.0
9.506511,0.20833333,66,70,1,0,n35,9.160807,13.0
9.5078125,0.24739583,54,58,1,0,n36,9.160807,13.0
9.852864,0.19921875,67,73,1,0,n37,9.160807,13.0
9.860677,0.19010417,52,54,1,0,n38,9.856771,14.0
10.1901045,0.13411458,60,58,1,0,n39,9.856771,14.0
10.191406,0.18098958,67,73,1,0,n40,9.856771,14.0
10.34375,0.203125,66,74,1,0,n41,9.856771,14.0
10.509114,0.20963542,67,82,1,0,n42,9.856771,14.0
10.524739,0.140625,59,59,1,0,n43,10.516927,15.0
10.838542,0.21223958,69,75,1,0,n44,10.516927,15.0
10.859375,0.095052086,57,52,1,0,n45,10.516927,15.0
11.1744795,0.13932292,55,57,1,0,n46,11.174479,16.0
11.1744795,0.19661458,71,73,1,0,n47,11.174479,16.0
11.3359375,0.16927083,69,76,1,0,n48,11.174479,16.0
11.348958,0.123697914,54,50,1,0,n49,11.174479,16.0
11.483073,0.15755208,67,73,1,0,n50,11.174479,16.0
11.4973955,0.12890625,52,44,1,0,n51,11.174479,16.0
11.621094,0.22395833,69,83,1,0,n52,11.174479,16.0
11.640625,0.16015625,54,57,1,0,n53,11.174479,16.0
11.8046875,0.19270833,71,80,1,0,n54,11.174479,16.0
11.828125,0.13151042,55,53,1,0,n55,11.816406,17.0
12.139323,0.14973958,72,80,1,0,n56,11.816406,17.0
12.1536455,0.1328125,57,55,1,0,n57,11.816406,17.0
12.494792,0.18880208,63,73,1,0,n58,11.816406,17.0
12.510417,0.07421875,59,50,1,0,n59,12.502605,18.0
12.644531,0.13411458,57,46,1,0,n60,12.502605,18.0
12.828125,0.12630208,59,59,1,0,n61,12.502605,18.0
12.832031,0.106770836,55,43,1,0,n62,12.502605,18.0
12.970052,0.1796875,57,54,1,0,n63,12.502605,18.0
13.167969,0.119791664,59,51,1,0,n64,13.167969,19.0
13.503906,0.17317708,64,50,1,0,n65,13.167969,19.0
13.522136,0.6666667,60,47,1,0,n66,13.167969,19.0
13.8463545,0.15885417,66,56,1,0,n67,13.846354,20.0
13.996094,0.13411458,67,60,1,0,n68,13.846354,20.0
14.1640625,0.19010417,64,61,1,0,n69,13.846354,20.0
14.192708,0.1171875,59,48,1,0,n70,13.846354,20.0
14.322917,0.20182292,66,70,1,0,n71,13.846354,20.0
14.3307295,0.1640625,57,52,1,0,n72,13.846354,20.0
14.485677,0.1640625,67,73,1,0,n73,13.846354,20.0
14.498698,0.080729164,59,56,1,0,n74,14.492188,21.0
14.626302,0.20833333,69,77,1,0,n75,14.492188,21.0
14.786458,0.17578125,66,76,1,0,n76,14.492188,21.0
14.7890625,0.72265625,64,55,1,0,n77,14.492188,21.0
14.925781,0.24088542,67,78,1,0,n78,14.492188,21.0
15.114583,0.20052083,69,79,1,0,n79,15.114583,22.0
15.463542,0.119791664,67,64,1,0,n80,15.114583,22.0
15.489583,0.095052086,62,43,1,0,n81,15.114583,22.0
15.610677,0.083333336,61,50,1,0,n82,15.114583,22.0
15.805989,0.18619792,66,62,1,0,n83,15.114583,22.0
15.816406,1.03125,62,48,1,0,n84,15.811198,23.0
16.158854,0.1796875,71,59,1,0,n85,15.811198,23.0
16.513021,0.31770834,64,57,1,0,n86,16.513021,24.0
16.84375,0.21223958,66,58,1,0,n87,16.513021,24.0
16.863281,0.110677086,60,49,1,0,n88,16.513021,24.0
16.994791,0.15885417,68,69,1,0,n89,16.513021,24.0
16.998697,0.0625,59,52,1,0,n90,16.513021,24.0
17.15625,0.16276042,69,71,1,0,n91,16.513021,24.0
17.167969,0.55078125,60,53,1,0,n92,17.16211,25.0
17.300781,0.19140625,71,72,1,0,n93,17.16211,25.0
17.476562,0.16796875,72,75,1,0,n94,17.16211,25.0
17.615885,0.20833333,74,75,1,0,n95,17.16211,25.0
17.782553,0.13151042,76,72,1,0,n96,17.782553,26.0
17.9375,0.091145836,69,65,1,0,n97,17.782553,26.0
18.121094,0.111979164,67,59,1,0,n98,17.782553,26.0
18.121094,0.084635414,69,59,1,0,n99,17.782553,26.0
18.255209,0.15104167,65,63,1,0,n100,17.782553,26.0
18.436197,0.62890625,68,62,1,0,n101,17.782553,26.0
18.453125,0.122395836,64,56,1,0,n102,18.444662,27.0
18.606771,0.123697914,62,56,1,0,n103,18.444662,27.0
18.769531,0.092447914,60,55,1,0,n104,18.444662,27.0
18.901041,0.14973958,59,53,1,0,n105,18.444662,27.0
19.082031,0.119791664,69,58,1,0,n106,18.444662,27.0
19.084635,0.104166664,60,63,1,0,n107,19.083332,28.0
19.209635,0.03125,59,68,1,0,n108,19.083332,28.0
19.402344,0.40234375,60,64,1,0,n109,19.083332,28.0
19.403646,0.14453125,69,68,1,0,n110,19.083332,28.0
19.411459,0.13541667,45,70,1,0,n111,19.083332,28.0
19.541666,0.21744792,44,77,1,0,n112,19.083332,28.0
19.727865,0.17447917,45,84,1,0,n113,19.727865,29.0
19.727865,0.14973958,67,75,1,0,n114,19.727865,29.0
20.088541,0.14973958,65,67,1,0,n115,19.727865,29.0
20.089844,0.17838542,47,86,1,0,n116,19.727865,29.0
20.089844,0.13411458,62,64,1,0,n117,19.727865,29.0
20.4375,0.13932292,64,76,1,0,n118,19.727865,29.0
20.438803,0.18229167,48,86,1,0,n119,20.43815,30.0
20.597656,0.098958336,62,75,1,0,n120,20.43815,30.0
20.772135,0.16536458,48,83,1,0,n121,20.43815,30.0
20.773438,0.4596354,64,72,1,0,n122,20.43815,30.0
20.773438,0.140625,72,74,1,0,n123,20.43815,30.0
20.903646,0.22005208,47,82,1,0,n124,20.43815,30.0
21.085938,0.20572917,48,87,1,0,n125,20.43815,30.0
21.091146,0.18880208,71,78,1,0,n126,21.088543,31.0
21.446615,0.18359375,50,82,1,0,n127,21.088543,31.0
21.454428,0.40104166,65,71,1,0,n128,21.088543,31.0
21.457031,0.13541667,69,71,1,0,n129,21.088543,31.0
21.791666,0.15104167,68,71,1,0,n130,21.088543,31.0
21.800781,0.18098958,52,86,1,0,n131,21.796225,32.0
21.946615,0.18359375,50,82,1,0,n132,21.796225,32.0
21.955729,0.072916664,66,71,1,0,n133,21.796225,32.0
22.105469,0.1796875,48,84,1,0,n134,21.796225,32.0
22.119791,0.080729164,76,77,1,0,n135,21.796225,32.0
22.126303,0.3111979,64,72,1,0,n136,21.796225,32.0
22.246094,0.2421875,50,83,1,0,n137,21.796225,32.0
22.266928,0.24609375,66,79,1,0,n138,21.796225,32.0
22.451822,0.171875,52,92,1,0,n139,21.796225,32.0
22.458334,0.18359375,74,71,1,0,n140,22.457464,33.0
22.46224,0.13020833,68,74,1,0,n141,22.457464,33.0
22.804688,0.17317708,53,91,1,0,n142,22.457464,33.0
22.809896,0.1015625,72,70,1,0,n143,22.457464,33.0
22.8125,0.15364583,69,68,1,0,n144,22.457464,33.0
23.15625,0.19140625,44,79,1,0,n145,22.457464,33.0
23.167969,0.16666667,71,69,1,0,n146,23.16211,34.0
23.346354,0.13411458,72,65,1,0,n147,23.16211,34.0
23.520834,0.15494792,40,51,1,0,n148,23.16211,34.0
23.539062,0.15234375,74,52,1,0,n149,23.16211,34.0
23.701822,0.15104167,71,56,1,0,n150,23.16211,34.0
23.878906,0.125,72,59,1,0,n151,23.878906,35.0
24.014322,0.14322917,71,61,1,0,n152,23.878906,35.0
24.175781,0.087239586,45,50,1,0,n153,23.878906,35.0
24.184896,0.095052086,69,59,1,0,n154,23.878906,35.0
24.333334,0.14453125,72,62,1,0,n155,23.878906,35.0
24.513021,0.125,47,55,1,0,n156,23.878906,35.0
24.513021,0.5677083,67,49,1,0,n157,23.878906,35.0
24.518229,0.13802083,74,56,1,0,n158,24.514757,36.0
24.648438,0.18489583,48,61,1,0,n159,24.514757,36.0
24.678385,0.17578125,76,59,1,0,n160,24.514757,36.0
24.820312,0.16927083,45,65,1,0,n161,24.514757,36.0
24.835938,0.14192708,77,62,1,0,n162,24.514757,36.0
24.96224,0.20703125,47,74,1,0,n163,24.514757,36.0
24.988281,0.140625,74,62,1,0,n164,24.514757,36.0
25.143229,0.19661458,49,81,1,0,n165,24.514757,36.0
25.170572,1.0390625,76,67,1,0,n166,25.1569,37.0
25.300781,0.1953125,50,79,1,0,n167,25.1569,37.0
25.316406,0.052083332,65,63,1,0,n168,25.1569,37.0
25.467447,0.18229167,47,80,1,0,n169,25.1569,37.0
25.485678,0.109375,64,66,1,0,n170,25.1569,37.0
25.606771,0.22135417,49,77,1,0,n171,25.1569,37.0
25.634115,0.2109375,67,69,1,0,n172,25.1569,37.0
25.799479,0.17447917,50,79,1,0,n173,25.1569,37.0
25.835938,0.3450521,66,60,1,0,n174,25.817709,38.0
26.153646,0.110677086,69,65,1,0,n175,25.817709,38.0
26.16276,0.111979164,48,67,1,0,n176,25.817709,38.0
26.480469,0.1015625,47,64,1,0,n177,25.817709,38.0
26.489584,0.14192708,71,62,1,0,n178,26.486979,39.0
26.490885,0.37890625,68,55,1,0,n179,26.486979,39.0
26.627604,0.106770836,72,63,1,0,n180,26.486979,39.0
26.81901,0.453125,74,58,1,0,n181,26.486979,39.0
26.821615,0.14192708,52,62,1,0,n182,26.486979,39.0
27.1875,0.13020833,69,53,1,0,n183,26.486979,39.0
27.195312,0.16536458,45,55,1,0,n184,27.191406,40.0
27.528646,0.16666667,52,63,1,0,n185,27.191406,40.0
27.536459,0.122395836,72,61,1,0,n186,27.191406,40.0
27.544271,0.3372396,47,52,1,0,n187,27.191406,40.0
27.549479,0.108072914,69,50,1,0,n188,27.191406,40.0
27.671875,0.20963542,51,75,1,0,n189,27.191406,40.0
27.83724,0.11328125,49,70,1,0,n190,27.191406,40.0
27.838541,0.22005208,52,75,1,0,n191,27.191406,40.0
27.847656,0.15755208,71,67,1,0,n192,27.844727,41.0
27.855469,0.13411458,67,61,1,0,n193,27.844727,41.0
28.190104,0.22265625,51,72,1,0,n194,27.844727,41.0
28.19401,0.20182292,54,85,1,0,n195,27.844727,41.0
28.195312,0.140625,66,68,1,0,n196,27.844727,41.0
28.208334,0.13151042,69,67,1,0,n197,27.844727,41.0
28.539062,0.22005208,55,87,1,0,n198,27.844727,41.0
28.539062,0.109375,64,71,1,0,n199,27.844727,41.0
28.542969,0.12890625,67,70,1,0,n200,28.541992,42.0
28.546875,0.18359375,52,79,1,0,n201,28.541992,42.0
28.876303,0.13411458,76,71,1,0,n202,28.541992,42.0
28.884115,0.16666667,55,85,1,0,n203,28.541992,42.0
28.886719,0.15885417,72,71,1,0,n204,28.541992,42.0
28.891928,0.15104167,52,68,1,0,n205,28.541992,42.0
29.013021,0.21484375,54,85,1,0,n206,28.541992,42.0
29.014322,0.2513021,51,70,1,0,n207,28.541992,42.0
29.191406,0.125,52,78,1,0,n208,28.541992,42.0
29.192709,0.22265625,55,85,1,0,n209,28.541992,42.0
29.197916,0.17057292,74,73,1,0,n210,29.195312,43.0
29.199219,0.1640625,71,72,1,0,n211,29.195312,43.0
