xml_id	midi_id	track	channel	pitch	onset
n2-1	n1	1	0	56	0.6588541666666667
n1-1	n0	1	0	57	0.49999999999999994
n3-1	n2	1	0	57	0.8333333333333334
n4-1	n3	1	0	59	1.203125
n7-1	n6	1	0	59	2.072916666666666
n5-1	n4	1	0	60	1.5729166666666663
n6-1	n5	1	0	60	1.930989583333333
n8-1	n7	1	0	60	2.2539062499999996
n9-1	n8	1	0	62	2.584635416666666
n12-1	n11	1	0	60	3.248697916666666
n11-1	n10	1	0	62	3.0716145833333326
n13-1	n12	1	0	62	3.397135416666666
n10-1	n9	1	0	64	2.912760416666666
n14-1	n13	1	0	64	3.546874999999999
n15-1	n14	1	0	65	3.881510416666666
n17-1	n16	1	0	52	4.566406249999999
n16-1	n15	1	0	56	4.214843749999999
n18-1	n17	1	0	57	5.278645833333332
n21-1	n20	1	0	57	5.916666666666665
n19-1	n18	1	0	59	5.595052083333332
n22-1	n21	1	0	59	6.066406249999999
n20-1	n19	1	0	60	5.756510416666665
n25-1	n24	1	0	59	6.578124999999998
n23-1	n22	1	0	60	6.251302083333332
n26-1	n25	1	0	60	6.738281249999998
n24-1	n23	1	0	62	6.415364583333332
n28-1	n27	1	0	60	7.266927083333332
n27-1	n26	1	0	62	6.917968749999998
n29-1	n28	1	0	59	7.604166666666665
n30-1	n29	1	0	64	7.944010416666665
n41-1	n30	1	0	57	8.312499999999998
n33-1	n32	1	0	63	8.78125
n32-1	n31	1	0	64	8.657552083333332
n43-1	n35	1	0	54	9.315104166666668
n42-1	n33	1	0	55	8.955729166666666
n34-1	n34	1	0	64	8.955729166666666
n35-1	n36	1	0	66	9.320312500000002
n44-1	n38	1	0	52	9.686197916666668
n45-1	n39	1	0	60	10.005208333333336
n38-1	n41	1	0	66	10.147135416666668
n36-1	n37	1	0	67	9.669270833333336
n37-1	n40	1	0	67	10.009114583333336
n47-1	n44	1	0	57	10.678385416666668
n46-1	n43	1	0	59	10.339843750000002
n39-1	n42	1	0	67	10.330729166666668
n40-1	n45	1	0	69	10.679687500000002
n60-1	n50	1	0	52	11.312500000000005
n59-1	n49	1	0	54	11.169270833333337
n61-1	n52	1	0	54	11.46223958333334
n58-1	n47	1	0	55	11.019531250000004
n50-1	n51	1	0	67	11.324218750000005
n49-1	n48	1	0	69	11.165364583333337
n51-1	n53	1	0	69	11.472656250000005
n48-1	n46	1	0	71	11.01041666666667
n62-1	n55	1	0	55	11.654947916666671
n63-1	n57	1	0	57	11.992187500000007
n52-1	n54	1	0	71	11.645833333333337
n53-1	n56	1	0	72	11.983072916666673
n66-1	n61	1	0	55	12.660156250000007
n65-1	n60	1	0	57	12.489583333333341
n67-1	n63	1	0	57	12.828125000000007
n64-1	n58	1	0	59	12.347656250000007
n55-1	n62	1	0	59	12.670572916666673
n54-1	n59	1	0	63	12.347656250000007
n68-1	n64	1	0	59	13.010416666666673
n69-1	n66	1	0	60	13.36067708333334
n57-1	n65	1	0	64	13.350260416666673
n84-1	n72	1	0	57	14.165364583333337
n83-1	n70	1	0	59	14.028645833333337
n72-1	n69	1	0	64	14.020833333333337
n70-1	n67	1	0	66	13.70052083333334
n73-1	n71	1	0	66	14.162760416666671
n71-1	n68	1	0	67	13.839843750000005
n85-1	n74	1	0	59	14.35026041666667
n86-1	n76	1	0	64	14.675781250000004
n76-1	n77	1	0	66	14.68229166666667
n74-1	n73	1	0	67	14.34244791666667
n77-1	n78	1	0	67	14.832031250000002
n75-1	n75	1	0	69	14.505208333333337
n89-1	n82	1	0	61	15.516927083333336
n88-1	n81	1	0	62	15.37369791666667
n79-1	n80	1	0	67	15.352864583333336
n78-1	n79	1	0	69	15.02213541666667
n90-1	n84	1	0	62	15.684895833333334
n80-1	n83	1	0	66	15.675781250000002
n81-1	n85	1	0	71	16.022135416666668
