xml_id	midi_id	track	channel	pitch	onset
n2-1	n1	1	0	56	0.6656249999999999
n1-1	n0	1	0	57	0.5
n3-1	n2	1	0	57	0.8218749999999999
n4-1	n3	1	0	59	1.15
n7-1	n6	1	0	59	1.9697916666666666
n5-1	n4	1	0	60	1.4979166666666668
n6-1	n5	1	0	60	1.815625
n8-1	n7	1	0	60	2.145833333333333
n9-1	n8	1	0	62	2.473958333333333
n12-1	n11	1	0	60	3.135416666666666
n11-1	n10	1	0	62	2.979166666666666
n13-1	n12	1	0	62	3.276041666666666
n10-1	n9	1	0	64	2.8197916666666663
n14-1	n13	1	0	64	3.4343749999999993
n15-1	n14	1	0	65	3.757291666666666
n17-1	n16	1	0	52	4.476041666666665
n16-1	n15	1	0	56	4.102083333333333
n18-1	n17	1	0	57	5.169791666666666
n21-1	n20	1	0	57	5.829166666666666
n19-1	n18	1	0	59	5.5197916666666655
n22-1	n21	1	0	59	5.9885416666666655
n20-1	n19	1	0	60	5.666666666666666
n25-1	n24	1	0	59	6.484374999999998
n23-1	n22	1	0	60	6.1604166666666655
n26-1	n25	1	0	60	6.636458333333332
n24-1	n23	1	0	62	6.320833333333332
n28-1	n27	1	0	60	7.152083333333332
n27-1	n26	1	0	62	6.812499999999998
n29-1	n28	1	0	59	7.482291666666665
n30-1	n29	1	0	64	7.836458333333332
n41-1	n30	1	0	57	8.188541666666666
n33-1	n32	1	0	63	8.685416666666667
n32-1	n31	1	0	64	8.541666666666666
n43-1	n36	1	0	54	9.169791666666665
n42-1	n33	1	0	55	8.840625
n34-1	n34	1	0	64	8.848958333333332
n35-1	n35	1	0	66	9.162499999999998
n44-1	n38	1	0	52	9.498958333333333
n45-1	n39	1	0	60	9.826041666666665
n38-1	n41	1	0	66	9.992708333333331
n36-1	n37	1	0	67	9.490625
n37-1	n40	1	0	67	9.843749999999998
n47-1	n44	1	0	57	10.482291666666667
n46-1	n42	1	0	59	10.141666666666666
n39-1	n43	1	0	67	10.166666666666666
n40-1	n45	1	0	69	10.482291666666667
n60-1	n51	1	0	52	11.132291666666672
n59-1	n49	1	0	54	10.973958333333336
n61-1	n52	1	0	54	11.284375000000006
n58-1	n46	1	0	55	10.816666666666668
n50-1	n50	1	0	67	11.127083333333339
n49-1	n48	1	0	69	10.965625000000003
n51-1	n53	1	0	69	11.284375000000006
n48-1	n47	1	0	71	10.816666666666668
n62-1	n55	1	0	55	11.466666666666672
n63-1	n57	1	0	57	11.810416666666672
n52-1	n54	1	0	71	11.448958333333339
n53-1	n56	1	0	72	11.798958333333339
n66-1	n62	1	0	55	12.475000000000003
n65-1	n60	1	0	57	12.29479166666667
n67-1	n63	1	0	57	12.62916666666667
n64-1	n58	1	0	59	12.118750000000004
n55-1	n61	1	0	59	12.46354166666667
n54-1	n59	1	0	63	12.136458333333337
n68-1	n64	1	0	59	12.818750000000003
n69-1	n65	1	0	60	13.136458333333337
n57-1	n66	1	0	64	13.13854166666667
n84-1	n72	1	0	57	13.980208333333337
n83-1	n69	1	0	59	13.80729166666667
n72-1	n70	1	0	64	13.812500000000004
n70-1	n67	1	0	66	13.490625000000003
n73-1	n71	1	0	66	13.958333333333337
n71-1	n68	1	0	67	13.64479166666667
n85-1	n74	1	0	59	14.134375000000006
n86-1	n77	1	0	64	14.460416666666672
n76-1	n76	1	0	66	14.45208333333334
n74-1	n73	1	0	67	14.133333333333338
n77-1	n78	1	0	67	14.607291666666672
n75-1	n75	1	0	69	14.287500000000005
n89-1	n82	1	0	61	15.297916666666671
n88-1	n81	1	0	62	15.13854166666667
n79-1	n80	1	0	67	15.125000000000004
n78-1	n79	1	0	69	14.78854166666667
n90-1	n84	1	0	62	15.458333333333337
n80-1	n83	1	0	66	15.456250000000004
n81-1	n85	1	0	71	15.80104166666667
n103-1	n90	1	0	59	16.694791666666667
n102-1	n88	1	0	60	16.558333333333334
n91-1	n86	1	0	64	16.177083333333336
n92-1	n87	1	0	66	16.517708333333335
n93-1	n89	1	0	68	16.671875
n104-1	n92	1	0	60	16.857291666666665
n94-1	n91	1	0	69	16.85625
n95-1	n93	1	0	71	17.009375
n96-1	n94	1	0	72	17.169791666666665
n97-1	n95	1	0	74	17.323958333333334
n108-1	n100	1	0	65	17.99166666666667
n107-1	n99	1	0	67	17.83020833333334
n106-1	n97	1	0	69	17.661458333333336
n99-1	n98	1	0	69	17.81979166666667
n98-1	n96	1	0	76	17.491666666666667
n112-1	n108	1	0	59	18.65416666666668
n111-1	n107	1	0	60	18.47916666666668
n110-1	n106	1	0	62	18.306250000000013
n109-1	n103	1	0	64	18.175000000000008
n100-1	n102	1	0	68	18.16770833333334
n131-1	n115	1	0	44	19.29895833333335
n130-1	n112	1	0	45	19.146875000000016
n122-1	n111	1	0	59	18.971875000000015
n121-1	n110	1	0	60	18.811458333333345
n123-1	n113	1	0	60	19.16145833333335
n113-1	n109	1	0	69	18.80937500000001
n114-1	n114	1	0	69	19.169791666666683
n132-1	n116	1	0	45	19.46770833333335
n133-1	n118	1	0	47	19.804166666666685
n124-1	deletion
n116-1	n119	1	0	65	19.830208333333353
n115-1	n117	1	0	67	19.47708333333335
n136-1	n126	1	0	47	20.631250000000026
n134-1	n120	1	0	48	20.136458333333355
n135-1	n124	1	0	48	20.483333333333356
n126-1	n122	1	0	62	20.31354166666669
n125-1	n121	1	0	64	20.15104166666669
n127-1	n125	1	0	64	20.48541666666669
n117-1	deletion
n118-1	n123	1	0	72	20.48229166666669
n137-1	n127	1	0	48	20.821875000000027
n138-1	n129	1	0	50	21.17395833333336
n128-1	deletion
n120-1	n130	1	0	69	21.178125000000026
n119-1	n128	1	0	71	20.83020833333336
n162-1	n135	1	0	48	21.846875000000022
n161-1	n133	1	0	50	21.675000000000022
n163-1	n139	1	0	50	22.013541666666686
n160-1	n131	1	0	52	21.510416666666693
n153-1	n136	1	0	64	21.85937500000002
n152-1	n134	1	0	66	21.683333333333355
n154-1	n138	1	0	66	22.00937500000002
n139-1	n132	1	0	68	21.531250000000025
n140-1	n137	1	0	76	21.894791666666688
n164-1	n141	1	0	52	22.185416666666686
n165-1	n143	1	0	53	22.523958333333354
n155-1	n140	1	0	68	22.180208333333354
n156-1	n145	1	0	69	22.544791666666686
n142-1	n144	1	0	72	22.523958333333354
n141-1	n142	1	0	74	22.188541666666687
n167-1	n149	1	0	40	23.205208333333353
n166-1	n146	1	0	44	22.852083333333354
n157-1	n147	1	0	71	22.88854166666669
n146-1	n151	1	0	71	23.389583333333352
n143-1	deletion
n144-1	n148	1	0	72	23.044791666666686
n145-1	n150	1	0	74	23.229166666666686
n169-1	n154	1	0	45	23.869791666666686
n159-1	n155	1	0	69	23.88333333333335
n149-1	deletion
n148-1	n153	1	0	71	23.701041666666686
n147-1	n152	1	0	72	23.55833333333335
n150-1	n156	1	0	72	24.03854166666668
n189-1	n162	1	0	45	24.53333333333335
n187-1	n157	1	0	47	24.200000000000017
n190-1	n165	1	0	47	24.701041666666686
n188-1	n160	1	0	48	24.36458333333335
n180-1	n158	1	0	67	24.225000000000016
n170-1	n159	1	0	74	24.229166666666682
n173-1	n164	1	0	74	24.69895833333335
n171-1	n161	1	0	76	24.37395833333335
n172-1	n163	1	0	77	24.551041666666684
n193-1	n170	1	0	47	25.19166666666669
n191-1	n166	1	0	49	24.863541666666688
n194-1	n172	1	0	49	25.35000000000003
n192-1	n168	1	0	50	25.025000000000023
n183-1	n171	1	0	64	25.229166666666693
n182-1	n169	1	0	65	25.05833333333336
n184-1	n173	1	0	67	25.369791666666696
n174-1	n167	1	0	76	24.879166666666688
n196-1	n176	1	0	48	25.87708333333336
n195-1	n174	1	0	50	25.538541666666696
n185-1	n175	1	0	66	25.55520833333336
n176-1	n177	1	0	69	25.887500000000028
n197-1	n178	1	0	47	26.226041666666696
n198-1	n182	1	0	52	26.569791666666696
n186-1	n180	1	0	68	26.25312500000003
n177-1	n179	1	0	71	26.245833333333362
n178-1	n181	1	0	72	26.4104166666667
n179-1	n183	1	0	74	26.59687500000003
n224-1	n185	1	0	45	26.933333333333362
n225-1	n187	1	0	47	27.295833333333363
n216-1	n189	1	0	51	27.44583333333336
n215-1	n186	1	0	52	27.28958333333336
n207-1	n184	1	0	69	26.92812500000003
n208-1	deletion
n200-1	n188	1	0	72	27.309375000000028
n226-1	n192	1	0	49	27.631250000000026
n227-1	n197	1	0	51	27.98333333333336
n217-1	n190	1	0	52	27.622916666666693
n218-1	n194	1	0	54	27.965625000000028
n210-1	n196	1	0	66	27.982291666666693
n209-1	n193	1	0	67	27.67083333333336
