xml_id	midi_id	track	channel	pitch	onset
n6-1	n4	0	0	62	3.47115714375
n2-1	n0	0	0	65	2.091882329166667
n4-1	n2	0	0	65	2.7916693187500004
n3-1	n1	0	0	67	2.438036504166667
n5-1	n3	0	0	70	3.1228662145833335
n7-1	n5	0	0	60	3.831200220833334
n9-1	n7	0	0	67	4.348294729166667
n8-1	n6	0	0	69	4.191243297916667
n13-1	n11	0	0	65	4.95833804375
n12-1	n10	0	0	67	4.80449174375
n11-1	n9	0	0	69	4.646371935416666
n10-1	n8	0	0	70	4.49679914375
n15-1	n13	0	0	63	5.4871847
n14-1	n12	0	0	72	5.129278377083334
n16-1	n14	0	0	62	5.865390187500001
n17-1	n15	0	0	70	6.229706772916668
n18-1	n16	0	0	72	6.381416318750001
n19-1	n17	0	0	69	6.542741258333335
n20-1	n18	0	0	70	6.715818345833334
n21-1	n19	0	0	72	6.897442450000001
n22-1	n20	0	0	74	7.044878487500001
n25-1	n23	0	0	72	7.530990060416667
n24-1	n22	0	0	74	7.365391612500001
n23-1	n21	0	0	75	7.209408558333334
n26-1	n24	0	0	75	7.676289343750001
n29-1	n27	0	0	70	8.173084687500001
n28-1	n26	0	0	72	8.014964879166667
n30-1	n28	0	0	72	8.330136118750001
n27-1	n25	0	0	74	7.860050202083334
n31-1	n29	0	0	69	8.49252943541667
n32-1	n30	0	0	70	8.645307358333337
n33-1	n31	0	0	72	8.826931462500005
n34-1	n32	0	0	74	8.980777762500004
n37-1	n35	0	0	72	9.465820958333339
n36-1	n34	0	0	74	9.303427641666671
n35-1	n33	0	0	75	9.148512964583338
n38-1	n36	0	0	75	9.605778356250005
n47-1	n38	0	0	58	10.163471193750006
n40-1	n39	0	0	72	10.323727756250005
n39-1	n37	0	0	74	9.801291362500006
n49-1	n43	0	0	58	10.800223935416673
n48-1	n40	0	0	62	10.476505679166673
n42-1	n42	0	0	69	10.65492465208334
n41-1	n41	0	0	70	10.494668089583339
n43-1	n44	0	0	70	10.800223935416673
n44-1	n45	0	0	72	10.94979672708334
n51-1	n48	0	0	57	11.463686104166673
n50-1	n47	0	0	65	11.11646355208334
n45-1	n46	0	0	74	11.112190043750006
n46-1	n49	0	0	77	11.476506629166673
n58-1	n50	0	0	55	11.85364373958334
n60-1	n53	0	0	62	12.347233952083338
n59-1	n51	0	0	64	12.199797914583339
n53-1	n52	0	0	70	12.215823570833338
n64-1	n59	0	0	60	12.963687529166673
n63-1	n57	0	0	62	12.832277147916672
n62-1	n56	0	0	64	12.678430847916673
n61-1	n54	0	0	65	12.512832400000004
n54-1	n55	0	0	69	12.528858056250005
n55-1	n58	0	0	70	12.836550656250006
n66-1	n62	0	0	58	13.500012825000008
n65-1	n60	0	0	67	13.13249110833334
n56-1	n61	0	0	76	13.13890137083334
n57-1	n63	0	0	79	13.506423087500007
n74-1	n64	0	0	57	13.88249182083334
n75-1	n66	0	0	65	14.23826138958334
n76-1	n68	0	0	67	14.377150410416675
n68-1	n65	0	0	69	14.237193012500006
n69-1	n67	0	0	70	14.373945279166675
n77-1	n69	0	0	64	14.532065087500008
n78-1	n71	0	0	65	14.69232165000001
n79-1	n72	0	0	67	14.878219262500009
n80-1	n74	0	0	69	15.023518545833342
n70-1	n70	0	0	72	14.541680481250008
n71-1	n73	0	0	72	14.882492770833343
n83-1	n78	0	0	67	15.510698495833342
n82-1	n77	0	0	69	15.33762140833334
n81-1	n75	0	0	70	15.191253747916674
n84-1	n80	0	0	70	15.64104050000001
n72-1	n76	0	0	72	15.203005895833341
n73-1	n79	0	0	72	15.514972004166676
n95-1	n86	0	0	65	16.14104097500001
n94-1	n83	0	0	67	15.978647658333344
n96-1	n87	0	0	67	16.28313512708334
n93-1	n81	0	0	69	15.83014324375001
n87-1	n85	0	0	69	16.138904220833343
n86-1	n84	0	0	70	15.979716035416677
n88-1	n88	0	0	70	16.28634025833334
n85-1	n82	0	0	72	15.841895391666677
n97-1	n89	0	0	64	16.45407546041667
n98-1	n91	0	0	65	16.607921760416673
n99-1	n92	0	0	67	16.797024504166675
n100-1	n94	0	0	69	16.93484514791668
n89-1	n90	0	0	72	16.464759231250003
n90-1	n93	0	0	72	16.799161258333342
n103-1	n98	0	0	67	17.44125588541668
n102-1	n97	0	0	69	17.260700158333346
n101-1	n95	0	0	70	17.113264120833346
n104-1	n100	0	0	70	17.571597889583348
n91-1	n96	0	0	72	17.114332497916678
n92-1	n99	0	0	72	17.443392639583347
n119-1	n103	0	0	53	18.22437628750001
n111-1	n104	0	0	67	18.39104311250001
n110-1	n101	0	0	69	17.808777602083346
n105-1	n102	0	0	72	17.824803258333347
n121-1	n108	0	0	53	18.879291439583348
n120-1	n105	0	0	55	18.549162920833346
n114-1	n109	0	0	62	18.88997521041668
n113-1	n107	0	0	63	18.733992156250014
n115-1	n110	0	0	63	19.03420611666668
n112-1	n106	0	0	65	18.574803970833347
n123-1	n114	0	0	50	19.53206983750001
n122-1	n111	0	0	58	19.20407807291668
n116-1	n112	0	0	65	19.209419958333346
n108-1	n115	0	0	70	19.533138214583342
n117-1	deletion
n107-1	n113	0	0	74	19.369676520833345
n109-1	n116	0	0	74	19.688052891666675
n136-1	n118	0	0	48	19.899591554166676
n138-1	n121	0	0	55	20.396386897916667
n137-1	n120	0	0	57	20.26177138541667
n131-1	n119	0	0	63	20.25322436875
n124-1	n117	0	0	75	19.893181291666675
n142-1	n127	0	0	53	21.021387491666665
n141-1	n125	0	0	55	20.8654044375
n140-1	n124	0	0	57	20.713694891666666
n139-1	n123	0	0	58	20.563053722916667
n132-1	n122	0	0	62	20.550233197916665
n133-1	n126	0	0	63	20.87501983125
n144-1	n131	0	0	51	21.488268277083332
n143-1	n128	0	0	60	21.175233791666663
n134-1	n129	0	0	69	21.182712431249996
n135-1	n132	0	0	72	21.494678539583333
n128-1	deletion
n127-1	n130	0	0	75	21.322669829166664
n129-1	n133	0	0	75	21.642114577083333
n159-1	n134	0	0	50	21.835490829166666
n160-1	n137	0	0	58	22.208354431249994
n161-1	n139	0	0	60	22.344038320833327
n153-1	n136	0	0	62	22.197670660416662
n154-1	n138	0	0	63	22.34083318958333
n145-1	n135	0	0	77	21.8525848625
n162-1	n140	0	0	57	22.519252162499996
n163-1	n142	0	0	58	22.679508724999998
n164-1	n143	0	0	60	22.860064452083332
n165-1	n146	0	0	62	23.00109022708333
n155-1	n141	0	0	65	22.522457293749994
n156-1	n145	0	0	65	22.87288497708333
n146-1	n144	0	0	69	22.870748222916664
n147-1	n147	0	0	70	23.02352614583333
n168-1	n153	0	0	60	23.48506504583333
n167-1	n151	0	0	62	23.31305633541666
n166-1	n148	0	0	63	23.16562029791666
n169-1	n156	0	0	63	23.635706214583326
n157-1	n149	0	0	65	23.17523569166666
n158-1	n155	0	0	65	23.495748816666662
n150-1	n154	0	0	69	23.49468043958333
n149-1	n152	0	0	70	23.329081991666662
n148-1	n150	0	0	72	23.179509199999995
n151-1	n157	0	0	72	23.638911345833325
n187-1	n163	0	0	58	24.126091295833323
n186-1	n161	0	0	60	23.970108241666658
n188-1	n165	0	0	60	24.26925382499999
n185-1	n158	0	0	62	23.818398695833324
n179-1	n164	0	0	62	24.133569935416656
n178-1	n162	0	0	63	23.97438174999999
n180-1	n166	0	0	63	24.283142727083323
n177-1	n159	0	0	65	23.824808958333325
n170-1	n160	0	0	70	23.828014089583323
n189-1	n167	0	0	57	24.448741174999988
n190-1	n169	0	0	58	24.605792606249985
n191-1	n170	0	0	60	24.794895349999987
n192-1	n173	0	0	62	24.93592112499999
n181-1	n168	0	0	65	24.454083060416654
n182-1	n172	0	0	65	24.813057760416655
n171-1	n171	0	0	69	24.80878425208332
n172-1	n174	0	0	70	24.95194678124999
n195-1	n181	0	0	60	25.434853222916658
n194-1	n178	0	0	62	25.261776135416657
n193-1	n175	0	0	63	25.11220334374999
n196-1	n183	0	0	63	25.567331981249993
n183-1	n177	0	0	65	25.12181873749999
n184-1	n182	0	0	65	25.44233186249999
n175-1	n180	0	0	69	25.430579714583324
n174-1	n179	0	0	70	25.26604964374999
n173-1	n176	0	0	72	25.11327172083332
n176-1	n184	0	0	72	25.58015250624999
n207-1	n190	0	0	48	26.310922431249995
n206-1	n188	0	0	50	26.16028126249999
n205-1	n186	0	0	62	25.776733889583323
n203-1	n187	0	0	65	25.792759545833324
n197-1	n185	0	0	70	25.76925524999999
n198-1	n189	0	0	70	26.168828279166657
n209-1	n193	0	0	45	26.633572310416664
n208-1	n191	0	0	46	26.487204649999995
n210-1	n194	0	0	46	26.806649397916665
n211-1	n196	0	0	48	26.960495697916663
n200-1	n195	0	0	70	26.816264791666665
n199-1	n192	0	0	74	26.489341404166662
n215-1	n197	0	0	50	27.127162522916663
n213-1	n200	0	0	53	27.45408591041666
n216-1	deletion
n212-1	n199	0	0	57	27.291692593749993
n214-1	n202	0	0	57	27.60900058749999
n202-1	n201	0	0	69	27.46370130416666
n201-1	n198	0	0	77	27.130367654166662
n231-1	n206	0	0	46	28.162419916666654
n226-1	n203	0	0	58	27.80771872499999
n217-1	n204	0	0	67	27.81092385624999
n219-1	n207	0	0	74	28.304514068749988
n218-1	n205	0	0	76	28.157078031249988
n232-1	n208	0	0	45	28.454086860416655
n233-1	n211	0	0	46	28.775668362499985
n223-1	n213	0	0	72	28.93378817083332
n222-1	n212	0	0	74	28.785283756249985
n221-1	n210	0	0	76	28.616480177083318
n220-1	n209	0	0	77	28.46904413958332
n234-1	n214	0	0	52	29.098318241666657
