onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.5,0.5,0.5,0.5,2,2,65,1,n2-1,-10.0,-10.0
1.0,0.5,1.0,0.5,4,2,67,1,n3-1,1.0,2.43804
1.5,0.5,1.5,0.5,6,2,65,1,n4-1,1.0,2.43804
2.0,0.5,2.0,0.5,8,2,70,1,n5-1,2.0,3.12287
2.5,0.5,2.5,0.5,10,2,62,1,n6-1,2.0,3.12287
3.0,0.5,3.0,0.5,12,2,60,1,n7-1,3.0,3.8312
3.5,0.25,3.5,0.25,14,1,69,1,n8-1,3.0,3.8312
3.75,0.25,3.75,0.25,15,1,67,1,n9-1,3.0,3.8312
4.0,0.25,4.0,0.25,16,1,70,1,n10-1,4.0,4.4968
4.25,0.25,4.25,0.25,17,1,69,1,n11-1,4.0,4.4968
4.5,0.25,4.5,0.25,18,1,67,1,n12-1,4.0,4.4968
4.75,0.25,4.75,0.25,19,1,65,1,n13-1,4.0,4.4968
5.0,0.5,5.0,0.5,20,2,72,1,n14-1,5.0,5.12928
5.5,0.5,5.5,0.5,22,2,63,1,n15-1,5.0,5.12928
6.0,0.5,6.0,0.5,24,2,62,1,n16-1,6.0,5.86539
6.5,0.25,6.5,0.25,26,1,70,1,n17-1,6.0,5.86539
6.75,0.25,6.75,0.25,27,1,72,1,n18-1,6.0,5.86539
7.0,0.25,7.0,0.25,28,1,69,1,n19-1,7.0,6.54274
7.25,0.25,7.25,0.25,29,1,70,1,n20-1,7.0,6.54274
7.5,0.25,7.5,0.25,30,1,72,1,n21-1,7.0,6.54274
7.75,0.25,7.75,0.25,31,1,74,1,n22-1,7.0,6.54274
8.0,0.25,8.0,0.25,32,1,75,1,n23-1,8.0,7.20941
8.25,0.25,8.25,0.25,33,1,74,1,n24-1,8.0,7.20941
8.5,0.25,8.5,0.25,34,1,72,1,n25-1,8.0,7.20941
8.75,0.25,8.75,0.25,35,1,75,1,n26-1,8.0,7.20941
9.0,0.25,9.0,0.25,36,1,74,1,n27-1,9.0,7.86005
9.25,0.25,9.25,0.25,37,1,72,1,n28-1,9.0,7.86005
9.5,0.25,9.5,0.25,38,1,70,1,n29-1,9.0,7.86005
9.75,0.25,9.75,0.25,39,1,72,1,n30-1,9.0,7.86005
10.0,0.25,10.0,0.25,40,1,69,1,n31-1,10.0,8.49253
10.25,0.25,10.25,0.25,41,1,70,1,n32-1,10.0,8.49253
10.5,0.25,10.5,0.25,42,1,72,1,n33-1,10.0,8.49253
10.75,0.25,10.75,0.25,43,1,74,1,n34-1,10.0,8.49253
11.0,0.25,11.0,0.25,44,1,75,1,n35-1,11.0,9.14851
11.25,0.25,11.25,0.25,45,1,74,1,n36-1,11.0,9.14851
11.5,0.25,11.5,0.25,46,1,72,1,n37-1,11.0,9.14851
11.75,0.25,11.75,0.25,47,1,75,1,n38-1,11.0,9.14851
12.0,0.75,12.0,0.75,48,3,74,1,n39-1,12.0,9.80129
12.5,0.5,12.5,0.5,50,2,58,2,n47-1,12.0,9.80129
12.75,0.25,12.75,0.25,51,1,72,1,n40-1,12.0,9.80129
13.0,0.5,13.0,0.5,52,2,62,2,n48-1,13.0,10.4856
13.0,0.25,13.0,0.25,52,1,70,1,n41-1,13.0,10.4856
13.25,0.25,13.25,0.25,53,1,69,1,n42-1,13.0,10.4856
13.5,0.5,13.5,0.5,54,2,58,2,n49-1,13.0,10.4856
13.5,0.25,13.5,0.25,54,1,70,1,n43-1,13.0,10.4856
13.75,0.25,13.75,0.25,55,1,72,1,n44-1,13.0,10.4856
14.0,0.5,14.0,0.5,56,2,65,2,n50-1,14.0,11.11435
14.0,0.5,14.0,0.5,56,2,74,1,n45-1,14.0,11.11435
14.5,0.5,14.5,0.5,58,2,57,2,n51-1,14.0,11.11435
14.5,1.0,14.5,1.0,58,4,77,1,n46-1,14.0,11.11435
15.0,0.5,15.0,0.5,60,2,55,2,n58-1,15.0,11.8536
15.5,0.25,15.5,0.25,62,1,64,2,n59-1,15.0,11.8536
15.5,0.5,15.5,0.5,62,2,70,1,n53-1,15.0,11.8536
15.75,0.25,15.75,0.25,63,1,62,2,n60-1,15.0,11.8536
16.0,0.25,16.0,0.25,64,1,65,2,n61-1,16.0,12.52085
16.0,0.5,16.0,0.5,64,2,69,1,n54-1,16.0,12.52085
16.25,0.25,16.25,0.25,65,1,64,2,n62-1,16.0,12.52085
16.5,0.25,16.5,0.25,66,1,62,2,n63-1,16.0,12.52085
16.5,0.5,16.5,0.5,66,2,70,1,n55-1,16.0,12.52085
16.75,0.25,16.75,0.25,67,1,60,2,n64-1,16.0,12.52085
17.0,0.5,17.0,0.5,68,2,67,2,n65-1,17.0,13.1357
17.0,0.5,17.0,0.5,68,2,76,1,n56-1,17.0,13.1357
17.5,0.5,17.5,0.5,70,2,58,2,n66-1,17.0,13.1357
17.5,1.0,17.5,1.0,70,4,79,1,n57-1,17.0,13.1357
18.0,0.5,18.0,0.5,72,2,57,2,n74-1,18.0,13.8825
18.5,0.25,18.5,0.25,74,1,65,2,n75-1,18.0,13.8825
18.5,0.25,18.5,0.25,74,1,69,1,n68-1,18.0,13.8825
18.75,0.25,18.75,0.25,75,1,67,2,n76-1,18.0,13.8825
18.75,0.25,18.75,0.25,75,1,70,1,n69-1,18.0,13.8825
19.0,0.25,19.0,0.25,76,1,64,2,n77-1,19.0,14.5369
19.0,0.5,19.0,0.5,76,2,72,1,n70-1,19.0,14.5369
19.25,0.25,19.25,0.25,77,1,65,2,n78-1,19.0,14.5369
19.5,0.25,19.5,0.25,78,1,67,2,n79-1,19.0,14.5369
19.5,0.5,19.5,0.5,78,2,72,1,n71-1,19.0,14.5369
19.75,0.25,19.75,0.25,79,1,69,2,n80-1,19.0,14.5369
20.0,0.25,20.0,0.25,80,1,70,2,n81-1,20.0,15.19715
20.0,0.5,20.0,0.5,80,2,72,1,n72-1,20.0,15.19715
20.25,0.25,20.25,0.25,81,1,69,2,n82-1,20.0,15.19715
20.5,0.25,20.5,0.25,82,1,67,2,n83-1,20.0,15.19715
20.5,0.5,20.5,0.5,82,2,72,1,n73-1,20.0,15.19715
20.75,0.25,20.75,0.25,83,1,70,2,n84-1,20.0,15.19715
21.0,0.25,21.0,0.25,84,1,69,2,n93-1,21.0,15.836
21.0,0.25,21.0,0.25,84,1,72,1,n85-1,21.0,15.836
21.25,0.25,21.25,0.25,85,1,67,2,n94-1,21.0,15.836
21.25,0.25,21.25,0.25,85,1,70,1,n86-1,21.0,15.836
21.5,0.25,21.5,0.25,86,1,65,2,n95-1,21.0,15.836
21.5,0.25,21.5,0.25,86,1,69,1,n87-1,21.0,15.836
21.75,0.25,21.75,0.25,87,1,67,2,n96-1,21.0,15.836
21.75,0.25,21.75,0.25,87,1,70,1,n88-1,21.0,15.836
22.0,0.25,22.0,0.25,88,1,64,2,n97-1,22.0,16.45945
22.0,0.5,22.0,0.5,88,2,72,1,n89-1,22.0,16.45945
22.25,0.25,22.25,0.25,89,1,65,2,n98-1,22.0,16.45945
22.5,0.25,22.5,0.25,90,1,67,2,n99-1,22.0,16.45945
22.5,0.5,22.5,0.5,90,2,72,1,n90-1,22.0,16.45945
22.75,0.25,22.75,0.25,91,1,69,2,n100-1,22.0,16.45945
23.0,0.25,23.0,0.25,92,1,70,2,n101-1,23.0,17.1138
23.0,0.5,23.0,0.5,92,2,72,1,n91-1,23.0,17.1138
23.25,0.25,23.25,0.25,93,1,69,2,n102-1,23.0,17.1138
23.5,0.25,23.5,0.25,94,1,67,2,n103-1,23.0,17.1138
23.5,0.5,23.5,0.5,94,2,72,1,n92-1,23.0,17.1138
23.75,0.25,23.75,0.25,95,1,70,2,n104-1,23.0,17.1138
24.0,0.75,24.0,0.75,96,3,69,2,n110-1,24.0,17.8168
24.0,1.0,24.0,1.0,96,4,72,1,n105-1,24.0,17.8168
24.5,0.5,24.5,0.5,98,2,53,5,n119-1,24.0,17.8168
24.75,0.25,24.75,0.25,99,1,67,2,n111-1,24.0,17.8168
25.0,0.5,25.0,0.5,100,2,55,5,n120-1,25.0,18.562
25.0,0.25,25.0,0.25,100,1,65,2,n112-1,25.0,18.562
25.25,0.25,25.25,0.25,101,1,63,2,n113-1,25.0,18.562
25.5,0.5,25.5,0.5,102,2,53,5,n121-1,25.0,18.562
25.5,0.25,25.5,0.25,102,1,62,2,n114-1,25.0,18.562
25.75,0.25,25.75,0.25,103,1,63,2,n115-1,25.0,18.562
26.0,0.5,26.0,0.5,104,2,58,5,n122-1,26.0,19.20675
26.0,0.5,26.0,0.5,104,2,65,2,n116-1,26.0,19.20675
26.25,0.25,26.25,0.25,105,1,74,1,n107-1,26.0,19.20675
26.5,0.5,26.5,0.5,106,2,50,5,n123-1,26.0,19.20675
26.5,0.25,26.5,0.25,106,1,70,1,n108-1,26.0,19.20675
26.5,1.0,26.5,1.0,106,4,70,2,n117-1,26.0,19.20675
26.75,0.25,26.75,0.25,107,1,74,1,n109-1,26.0,19.20675
27.0,0.5,27.0,0.5,108,2,48,5,n136-1,27.0,19.8964
27.0,0.5,27.0,0.5,108,2,75,1,n124-1,27.0,19.8964
27.5,0.25,27.5,0.25,110,1,57,5,n137-1,27.0,19.8964
27.5,0.5,27.5,0.5,110,2,63,2,n131-1,27.0,19.8964
27.75,0.25,27.75,0.25,111,1,55,5,n138-1,27.0,19.8964
28.0,0.25,28.0,0.25,112,1,58,5,n139-1,28.0,20.55665
28.0,0.5,28.0,0.5,112,2,62,2,n132-1,28.0,20.55665
28.25,0.25,28.25,0.25,113,1,57,5,n140-1,28.0,20.55665
28.5,0.25,28.5,0.25,114,1,55,5,n141-1,28.0,20.55665
28.5,0.5,28.5,0.5,114,2,63,2,n133-1,28.0,20.55665
28.75,0.25,28.75,0.25,115,1,53,5,n142-1,28.0,20.55665
29.0,0.5,29.0,0.5,116,2,60,5,n143-1,29.0,21.17895
29.0,0.5,29.0,0.5,116,2,69,2,n134-1,29.0,21.17895
29.25,0.25,29.25,0.25,117,1,75,1,n127-1,29.0,21.17895
29.5,0.5,29.5,0.5,118,2,51,5,n144-1,29.0,21.17895
29.5,1.0,29.5,1.0,118,4,72,2,n135-1,29.0,21.17895
29.5,0.25,29.5,0.25,118,1,72,1,n128-1,29.0,21.17895
29.75,0.25,29.75,0.25,119,1,75,1,n129-1,29.0,21.17895
30.0,0.5,30.0,0.5,120,2,50,5,n159-1,30.0,21.84405
30.0,0.5,30.0,0.5,120,2,77,1,n145-1,30.0,21.84405
30.5,0.25,30.5,0.25,122,1,58,5,n160-1,30.0,21.84405
30.5,0.25,30.5,0.25,122,1,62,2,n153-1,30.0,21.84405
30.75,0.25,30.75,0.25,123,1,60,5,n161-1,30.0,21.84405
30.75,0.25,30.75,0.25,123,1,63,2,n154-1,30.0,21.84405
31.0,0.25,31.0,0.25,124,1,57,5,n162-1,31.0,22.5209
31.0,0.5,31.0,0.5,124,2,65,2,n155-1,31.0,22.5209
31.25,0.25,31.25,0.25,125,1,58,5,n163-1,31.0,22.5209
31.5,0.25,31.5,0.25,126,1,60,5,n164-1,31.0,22.5209
31.5,0.5,31.5,0.5,126,2,65,2,n156-1,31.0,22.5209
31.5,0.25,31.5,0.25,126,1,69,1,n146-1,31.0,22.5209
31.75,0.25,31.75,0.25,127,1,62,5,n165-1,31.0,22.5209
31.75,0.25,31.75,0.25,127,1,70,1,n147-1,31.0,22.5209
32.0,0.25,32.0,0.25,128,1,63,5,n166-1,32.0,23.173433
32.0,0.5,32.0,0.5,128,2,65,2,n157-1,32.0,23.173433
32.0,0.25,32.0,0.25,128,1,72,1,n148-1,32.0,23.173433
32.25,0.25,32.25,0.25,129,1,62,5,n167-1,32.0,23.173433
32.25,0.25,32.25,0.25,129,1,70,1,n149-1,32.0,23.173433
32.5,0.25,32.5,0.25,130,1,60,5,n168-1,32.0,23.173433
32.5,0.5,32.5,0.5,130,2,65,2,n158-1,32.0,23.173433
32.5,0.25,32.5,0.25,130,1,69,1,n150-1,32.0,23.173433
32.75,0.25,32.75,0.25,131,1,63,5,n169-1,32.0,23.173433
32.75,0.25,32.75,0.25,131,1,72,1,n151-1,32.0,23.173433
33.0,0.25,33.0,0.25,132,1,62,5,n185-1,33.0,23.823732
33.0,0.25,33.0,0.25,132,1,65,2,n177-1,33.0,23.823732
33.0,1.0,33.0,1.0,132,4,70,1,n170-1,33.0,23.823732
