idx,matchtype,partid,ppartid
0,0,n4-1,n1
1,0,n3-1,n0
2,0,n5-1,n2
3,0,n6-1,n3
4,0,n7-1,n4
5,0,n8-1,n5
6,0,n9-1,n6
7,0,n43-1,n7
8,0,n44-1,n8
9,0,n45-1,n9
10,0,n47-1,n11
11,0,n46-1,n10
12,0,n48-1,n12
13,1,n12-1,undefined
14,0,n18-1,n14
15,0,n22-1,n16
16,1,n20-1,undefined
17,0,n26-1,n18
18,1,n24-1,undefined
19,1,n14-1,undefined
20,1,n16-1,undefined
21,0,n15-1,n13
22,1,n17-1,undefined
23,0,n19-1,n15
24,1,n21-1,undefined
25,0,n23-1,n17
26,0,n27-1,n19
27,1,n25-1,undefined
28,1,n11-1,undefined
29,1,n13-1,undefined
30,0,n28-1,n20
31,0,n32-1,n22
32,0,n36-1,n24
33,1,n38-1,undefined
34,0,n40-1,n26
35,1,n42-1,undefined
36,1,n34-1,undefined
37,1,n30-1,undefined
38,0,n31-1,n21
39,1,n29-1,undefined
40,0,n35-1,n23
41,1,n33-1,undefined
42,0,n39-1,n25
43,1,n37-1,undefined
44,1,n41-1,undefined
45,0,n57-1,n27
46,0,n50-1,n28
47,0,n59-1,n32
48,0,n58-1,n31
49,0,n51-1,n29
50,0,n52-1,n30
51,0,n63-1,n37
52,0,n62-1,n36
53,0,n61-1,n35
54,0,n60-1,n34
55,0,n53-1,n33
56,0,n64-1,n38
57,0,n54-1,n39
58,0,n65-1,n41
59,0,n55-1,n40
60,0,n56-1,n42
61,0,n72-1,n44
62,0,n73-1,n45
63,0,n74-1,n48
64,0,n66-1,n43
65,0,n67-1,n46
66,0,n68-1,n47
67,0,n75-1,n50
68,0,n76-1,n51
69,0,n77-1,n53
70,0,n70-1,n52
71,0,n69-1,n49
72,0,n80-1,n60
73,0,n79-1,n57
74,0,n71-1,n54
75,0,n82-1,n67
76,0,n81-1,n64
77,0,n83-1,n70
78,0,n102-1,n76
79,0,n91-1,n74
80,0,n84-1,n75
81,0,n104-1,n79
82,0,n103-1,n78
83,0,n94-1,n82
84,0,n93-1,n81
85,0,n85-1,n77
86,0,n86-1,n80
87,0,n107-1,n89
88,0,n106-1,n87
89,0,n98-1,n88
90,0,n97-1,n86
91,0,n96-1,n85
92,0,n95-1,n83
93,0,n87-1,n84
94,0,n99-1,n91
95,1,n108-1,undefined
96,0,n109-1,n93
97,0,n88-1,n90
98,0,n100-1,n94
99,0,n89-1,n92
100,0,n90-1,n95
101,0,n129-1,n98
102,0,n116-1,n97
103,0,n117-1,n99
104,0,n118-1,n102
105,0,n110-1,n96
106,0,n111-1,n100
107,0,n112-1,n101
108,0,n132-1,n109
109,0,n119-1,n104
110,0,n131-1,n108
111,0,n120-1,n105
112,0,n121-1,n107
113,0,n114-1,n106
114,0,n113-1,n103
115,0,n134-1,n113
116,0,n133-1,n111
117,0,n124-1,n114
118,0,n123-1,n112
119,0,n115-1,n110
120,0,n137-1,n120
121,0,n136-1,n118
122,0,n128-1,n119
123,0,n125-1,n115
124,0,n127-1,n117
125,0,n126-1,n116
126,0,n165-1,n123
127,1,n160-1,undefined
128,0,n159-1,n122
129,0,n150-1,n121
130,0,n140-1,n125
131,0,n139-1,n124
132,0,n166-1,n126
133,0,n167-1,n129
134,0,n162-1,n131
135,1,n161-1,undefined
136,0,n151-1,n130
137,0,n141-1,n127
138,0,n143-1,n132
139,0,n142-1,n128
140,0,n168-1,n134
141,1,n163-1,undefined
142,0,n154-1,n139
143,0,n153-1,n137
144,0,n147-1,n138
145,0,n146-1,n136
146,0,n145-1,n135
147,0,n144-1,n133
148,0,n169-1,n140
149,0,n170-1,n144
150,0,n171-1,n146
151,0,n148-1,n141
152,1,n155-1,undefined
153,0,n156-1,n142
154,0,n157-1,n145
155,0,n158-1,n147
156,0,n149-1,n143
157,0,n192-1,n148
158,0,n193-1,n151
159,0,n194-1,n153
160,0,n182-1,n150
161,0,n172-1,n149
162,0,n173-1,n152
163,0,n174-1,n154
164,0,n196-1,n158
165,0,n195-1,n155
166,0,n185-1,n161
167,0,n175-1,n156
168,0,n184-1,n159
169,0,n176-1,n157
170,0,n177-1,n160
171,0,n197-1,n163
172,0,n187-1,n167
173,0,n186-1,n162
174,0,n180-1,n171
175,0,n179-1,n166
176,0,n191-1,n183
177,0,n190-1,n180
178,0,n189-1,n177
179,0,n181-1,n174
180,0,n214-1,n187
181,0,n206-1,n186
182,0,n200-1,n189
183,0,n199-1,n188
184,0,n198-1,n185
185,0,n210-1,n194
186,0,n209-1,n193
187,0,n208-1,n191
188,0,n201-1,n190
189,0,n202-1,n192
190,0,n217-1,n197
191,0,n218-1,n198
192,0,n211-1,n196
193,0,n203-1,n195
194,0,n222-1,n206
195,0,n221-1,n205
196,0,n220-1,n202
197,0,n219-1,n200
198,0,n212-1,n201
199,0,n213-1,n204
200,0,n204-1,n199
201,0,n205-1,n203
202,0,n239-1,n208
203,0,n240-1,n211
204,0,n234-1,n209
205,0,n224-1,n210
206,0,n223-1,n207
207,0,n225-1,n212
208,0,n226-1,n213
209,0,n241-1,n215
210,0,n242-1,n217
211,0,n230-1,n219
212,0,n229-1,n218
213,0,n228-1,n216
214,0,n227-1,n214
215,0,n244-1,n223
216,0,n245-1,n224
217,0,n236-1,n222
218,0,n243-1,n221
219,0,n231-1,n220
220,0,n249-1,n232
221,0,n248-1,n231
222,0,n247-1,n228
223,0,n246-1,n227
224,0,n237-1,n226
225,0,n238-1,n230
226,0,n232-1,n225
227,0,n233-1,n229
228,0,n273-1,n236
229,0,n272-1,n234
230,0,n274-1,n239
231,0,n275-1,n240
232,0,n262-1,n235
233,0,n263-1,n238
234,0,n250-1,n233
235,0,n251-1,n237
236,0,n279-1,n248
237,0,n278-1,n246
238,0,n277-1,n244
239,0,n276-1,n242
240,0,n264-1,n243
241,0,n265-1,n247
242,0,n252-1,n241
243,0,n253-1,n245
244,0,n280-1,n249
245,0,n269-1,n254
246,0,n266-1,n251
247,0,n257-1,n255
248,0,n254-1,n250
249,0,n256-1,n253
250,0,n255-1,n252
251,0,n270-1,n257
252,0,n271-1,n260
253,0,n261-1,n261
254,0,n260-1,n259
255,0,n259-1,n258
256,0,n258-1,n256
257,0,n308-1,n265
258,0,n299-1,n262
259,0,n283-1,n263
260,0,n284-1,n264
261,0,n285-1,n266
262,0,n309-1,n268
263,0,n310-1,n272
264,0,n300-1,n267
265,0,n311-1,n274
266,0,n301-1,n270
267,0,n302-1,n273
268,1,n292-1,undefined
269,0,n287-1,n271
270,0,n286-1,n269
271,0,n312-1,n276
272,0,n303-1,n275
273,0,n304-1,n279
274,0,n293-1,n278
275,0,n305-1,n281
276,0,n294-1,n280
277,0,n295-1,n282
278,0,n288-1,n277
279,0,n313-1,n288
280,0,n307-1,n287
281,0,n306-1,n283
282,0,n296-1,n284
283,0,n297-1,n286
284,1,n298-1,undefined
285,0,n290-1,n285
286,0,n291-1,n289
287,0,n335-1,n291
288,0,n333-1,n290
289,0,n326-1,n296
290,0,n325-1,n294
291,0,n314-1,n292
292,0,n315-1,n293
293,0,n316-1,n295
294,0,n336-1,n298
295,0,n327-1,n297
296,0,n319-1,n300
297,0,n318-1,n299
298,0,n339-1,n306
299,0,n338-1,n304
300,0,n334-1,n302
301,1,n337-1,undefined
302,0,n330-1,n305
303,0,n329-1,n303
304,0,n320-1,n301
305,0,n340-1,n308
306,0,n341-1,n312
307,0,n331-1,n307
308,0,n332-1,n311
309,0,n323-1,n313
310,0,n322-1,n310
311,0,n321-1,n309
312,0,n365-1,n316
313,0,n357-1,n317
314,0,n358-1,n318
315,0,n346-1,n315
316,0,n342-1,n314
317,0,n366-1,n326
318,0,n362-1,n327
319,0,n361-1,n323
320,0,n360-1,n322
321,0,n359-1,n320
322,0,n347-1,n321
323,0,n348-1,n325
324,0,n343-1,n319
325,0,n344-1,n324
326,0,n368-1,n333
327,0,n367-1,n331
328,0,n363-1,n329
329,0,n350-1,n332
330,0,n349-1,n330
331,0,n351-1,n334
332,0,n352-1,n335
333,0,n345-1,n328
334,0,n369-1,n336
335,0,n370-1,n340
336,0,n356-1,n341
337,0,n355-1,n339
338,0,n354-1,n338
339,0,n353-1,n337
340,0,n400-1,n343
341,0,n386-1,n345
342,0,n387-1,n346
343,0,n379-1,n342
344,0,n372-1,n344
345,0,n402-1,n352
346,0,n391-1,n354
347,0,n390-1,n353
348,0,n389-1,n349
349,1,n388-1,undefined
350,0,n380-1,n348
351,0,n381-1,n351
352,0,n373-1,n347
353,0,n374-1,n350
354,0,n403-1,n358
355,0,n393-1,n359
356,0,n392-1,n357
357,0,n394-1,n362
358,0,n395-1,n363
359,0,n383-1,n361
360,0,n382-1,n356
361,0,n376-1,n360
362,0,n375-1,n355
363,0,n399-1,n371
364,0,n398-1,n370
365,0,n397-1,n367
366,0,n396-1,n366
367,0,n384-1,n365
368,0,n385-1,n369
369,0,n377-1,n364
370,0,n378-1,n368
371,0,n422-1,n375
372,0,n414-1,n373
373,0,n423-1,n377
374,0,n424-1,n378
375,0,n406-1,n374
376,0,n407-1,n376
377,0,n404-1,n372
378,0,n428-1,n384
379,0,n427-1,n383
380,0,n426-1,n381
381,0,n425-1,n380
382,0,n408-1,n379
383,0,n409-1,n382
384,0,n429-1,n386
385,0,n430-1,n388
386,0,n418-1,n389
387,0,n410-1,n385
388,0,n405-1,n387
389,0,n432-1,n395
390,0,n431-1,n392
391,0,n420-1,n394
392,0,n419-1,n391
393,0,n411-1,n390
394,0,n412-1,n393
395,0,n413-1,n396
396,0,n464-1,n399
397,0,n454-1,n398
398,0,n445-1,n397
399,0,n446-1,n400
400,0,n447-1,n402
401,0,n434-1,n401
402,0,n435-1,n403
403,0,n465-1,n408
404,0,n458-1,n412
405,0,n457-1,n410
406,0,n456-1,n407
407,0,n449-1,n411
408,0,n448-1,n405
409,0,n436-1,n404
410,0,n437-1,n406
411,0,n438-1,n409
412,0,n467-1,n420
413,0,n466-1,n414
414,0,n462-1,n422
