xml_id	midi_id	track	channel	pitch	onset
n4-1	n3	1	0	60	1.0541666666666667
n2-1	n1	1	0	65	0.6020833333333333
n1-1	n0	1	0	67	0.5
n3-1	n2	1	0	67	0.7541666666666667
n8-1	n5	1	0	67	1.3510416666666667
n6-1	n4	1	0	69	1.3041666666666667
n9-1	n6	1	0	69	1.3854166666666667
n7-1	n7	1	0	67	1.9427083333333335
n12-1	n9	1	0	64	2.8770833333333337
n11-1	n8	1	0	65	2.7458333333333336
n15-1	n12	1	0	64	3.261458333333333
n13-1	n10	1	0	65	3.0052083333333335
n16-1	n13	1	0	65	3.3906249999999996
n14-1	n11	1	0	67	3.1333333333333333
n18-1	n14	1	0	62	3.536458333333333
n20-1	n16	1	0	64	3.817708333333333
n19-1	n15	1	0	65	3.6760416666666664
n21-1	n17	1	0	65	3.9468749999999995
n24-1	n20	1	0	65	4.3531249999999995
n22-1	n18	1	0	67	4.088541666666666
n25-1	n21	1	0	67	4.492708333333333
n23-1	n19	1	0	69	4.220833333333333
n33-1	n23	1	0	62	4.761458333333333
n32-1	n22	1	0	64	4.630208333333333
n34-1	n24	1	0	64	4.904166666666667
n35-1	n27	1	0	65	5.048958333333332
n29-1	n26	1	0	71	5.029166666666666
n28-1	n25	1	0	72	4.908333333333333
n38-1	n32	1	0	62	5.476041666666667
n36-1	n29	1	0	64	5.1812499999999995
n39-1	n33	1	0	64	5.602083333333333
n37-1	n30	1	0	65	5.327083333333333
n31-1	n31	1	0	67	5.451041666666667
n30-1	n28	1	0	72	5.169791666666666
n44-1	n38	1	0	59	5.853125
n43-1	n35	1	0	60	5.747916666666667
n45-1	n39	1	0	60	6.009375
n46-1	n40	1	0	62	6.152083333333334
n51-1	n36	1	0	74	5.747916666666667
n41-1	n34	1	0	76	5.709375
n52-1	n37	1	0	76	5.805208333333334
n49-1	n44	1	0	59	6.580208333333333
n47-1	n41	1	0	60	6.298958333333333
n50-1	n45	1	0	60	6.710416666666666
n48-1	n43	1	0	62	6.447916666666666
n42-1	n42	1	0	74	6.3218749999999995
n60-1	n46	1	0	57	6.856249999999999
n61-1	n47	1	0	59	6.993749999999999
n62-1	n49	1	0	60	7.133333333333331
n63-1	n51	1	0	62	7.273958333333331
n55-1	n50	1	0	71	7.261458333333331
n54-1	n48	1	0	72	7.126041666666665
n64-1	n53	1	0	64	7.410416666666665
n65-1	n55	1	0	66	7.532291666666664
n66-1	n56	1	0	67	7.672916666666663
n58-1	n57	1	0	71	7.679166666666663
n56-1	n52	1	0	72	7.394791666666665
n59-1	n58	1	0	72	7.817708333333329
n57-1	n54	1	0	74	7.524999999999998
n78-1	n63	1	0	64	8.352083333333331
n77-1	n62	1	0	66	8.234374999999996
n68-1	n59	1	0	69	7.955208333333329
n70-1	n61	1	0	71	8.23020833333333
n69-1	n60	1	0	72	8.092708333333329
n71-1	n64	1	0	72	8.360416666666664
n79-1	n65	1	0	66	8.446874999999997
n74-1	n70	1	0	72	8.756249999999998
n72-1	n66	1	0	74	8.47395833333333
n75-1	n71	1	0	74	8.883333333333331
n73-1	n69	1	0	76	8.599999999999998
n92-1	n77	1	0	53	9.438541666666666
n91-1	n75	1	0	55	9.314583333333331
n89-1	n73	1	0	67	9.051041666666665
n82-1	n74	1	0	69	9.187499999999998
n81-1	n72	1	0	71	9.039583333333331
n83-1	n76	1	0	71	9.321874999999999
n84-1	n78	1	0	72	9.456249999999999
n94-1	n82	1	0	48	9.872916666666667
n93-1	n79	1	0	55	9.584375
n87-1	n83	1	0	69	9.872916666666667
n85-1	n80	1	0	71	9.588541666666666
n88-1	n84	1	0	71	9.995833333333334
n86-1	n81	1	0	72	9.733333333333334
n107-1	n87	1	0	55	10.193750000000001
n105-1	n85	1	0	57	10.148958333333335
n108-1	n88	1	0	57	10.246875000000001
n100-1	n89	1	0	64	10.286458333333334
n101-1	n90	1	0	65	10.460416666666669
n96-1	n91	1	0	69	10.620833333333335
n95-1	n86	1	0	72	10.148958333333335
n106-1	n92	1	0	55	10.734375000000002
n103-1	n94	1	0	62	10.906250000000002
n104-1	n95	1	0	64	11.038541666666669
n98-1	n96	1	0	67	11.170833333333336
n97-1	n93	1	0	70	10.76666666666667
n117-1	n100	1	0	52	11.708333333333337
n116-1	n98	1	0	53	11.587500000000004
n113-1	n99	1	0	62	11.598958333333337
n109-1	n97	1	0	69	11.312500000000004
n120-1	n106	1	0	52	12.131250000000005
n118-1	n101	1	0	53	11.85104166666667
n121-1	n107	1	0	53	12.265625000000004
n119-1	n104	1	0	55	11.993750000000004
n114-1	n102	1	0	67	11.85104166666667
n110-1	n103	1	0	71	11.85104166666667
n111-1	n105	1	0	72	12.121875000000005
n130-1	n109	1	0	50	12.415625000000004
n132-1	n114	1	0	52	12.690625000000006
n131-1	n111	1	0	53	12.550000000000004
n133-1	n116	1	0	53	12.828125000000005
n125-1	n108	1	0	65	12.41041666666667
n127-1	n112	1	0	67	12.68645833333334
n126-1	n110	1	0	69	12.54479166666667
n128-1	n115	1	0	69	12.805208333333338
n123-1	n113	1	0	72	12.68645833333334
n136-1	n120	1	0	53	13.246875000000006
n134-1	n118	1	0	55	12.971875000000006
n137-1	n122	1	0	55	13.376041666666673
n135-1	n119	1	0	57	13.106250000000006
n129-1	n117	1	0	62	12.96770833333334
n124-1	n121	1	0	71	13.246875000000006
n147-1	n126	1	0	50	13.65833333333334
n146-1	n123	1	0	52	13.516666666666673
n148-1	n127	1	0	52	13.804166666666672
n149-1	n130	1	0	53	13.937500000000005
n143-1	n124	1	0	60	13.52083333333334
n138-1	n125	1	0	72	13.52083333333334
n140-1	n129	1	0	77	13.933333333333339
n139-1	n128	1	0	79	13.808333333333339
n152-1	n134	1	0	50	14.359375000000005
n150-1	n132	1	0	52	14.087500000000004
n153-1	n136	1	0	52	14.493750000000006
n151-1	n133	1	0	53	14.227083333333338
n142-1	n135	1	0	72	14.359375000000005
n141-1	n131	1	0	79	14.07604166666667
n161-1	n139	1	0	52	14.810416666666672
n160-1	n138	1	0	53	14.646875000000007
n162-1	n141	1	0	53	14.937500000000005
n163-1	n143	1	0	55	15.06458333333334
n157-1	n142	1	0	71	15.050000000000006
n156-1	n140	1	0	72	14.933333333333339
n154-1	n137	1	0	81	14.641666666666673
