xml_id	midi_id	track	channel	pitch	onset
n4-1	n3	1	0	60	0.9973958333333334
n2-1	n1	1	0	65	0.6015625
n1-1	n0	1	0	67	0.5
n3-1	n2	1	0	67	0.7096354166666667
n8-1	n6	1	0	67	1.299479166666667
n6-1	n5	1	0	69	1.2382812500000002
n9-1	deletion
n7-1	n7	1	0	67	1.7825520833333337
n12-1	n9	1	0	64	2.7070312500000004
n11-1	n8	1	0	65	2.579427083333334
n15-1	n12	1	0	64	3.071614583333334
n13-1	n10	1	0	65	2.821614583333334
n16-1	n13	1	0	65	3.196614583333334
n14-1	n11	1	0	67	2.9401041666666674
n18-1	n14	1	0	62	3.3320312500000004
n20-1	n16	1	0	64	3.5664062500000004
n19-1	n15	1	0	65	3.4492187500000004
n21-1	n17	1	0	65	3.6848958333333335
n24-1	n20	1	0	65	4.071614583333333
n22-1	n18	1	0	67	3.8216145833333335
n25-1	n21	1	0	67	4.1796875
n23-1	n19	1	0	69	3.9309895833333335
n33-1	n23	1	0	62	4.423177083333334
n32-1	n22	1	0	64	4.30859375
n34-1	n24	1	0	64	4.550781250000001
n35-1	n27	1	0	65	4.673177083333334
n29-1	n26	1	0	71	4.653645833333334
n28-1	n25	1	0	72	4.567708333333334
n38-1	n32	1	0	62	5.046875000000002
n36-1	n29	1	0	64	4.789062500000002
n39-1	n33	1	0	64	5.179687500000002
n37-1	n30	1	0	65	4.916666666666669
n31-1	n31	1	0	67	5.022135416666669
n30-1	n28	1	0	72	4.768229166666668
n44-1	n38	1	0	59	5.417968750000002
n43-1	n35	1	0	60	5.305989583333336
n45-1	n39	1	0	60	5.544270833333335
n46-1	n40	1	0	62	5.662760416666669
n51-1	n36	1	0	74	5.325520833333336
n41-1	n34	1	0	76	5.278645833333336
n52-1	n37	1	0	76	5.372395833333336
n49-1	n44	1	0	59	6.032552083333337
n47-1	n41	1	0	60	5.783854166666669
n50-1	n45	1	0	60	6.161458333333337
n48-1	n43	1	0	62	5.898437500000003
n42-1	n42	1	0	74	5.795572916666669
n60-1	n46	1	0	57	6.302083333333336
n61-1	n47	1	0	59	6.416666666666669
n62-1	n48	1	0	60	6.549479166666669
n63-1	n50	1	0	62	6.664062500000002
n55-1	n51	1	0	71	6.671875000000002
n54-1	n49	1	0	72	6.559895833333336
n64-1	n52	1	0	64	6.782552083333335
n65-1	n54	1	0	66	6.912760416666669
n66-1	n57	1	0	67	7.032552083333336
n58-1	n56	1	0	71	7.029947916666669
n56-1	n53	1	0	72	6.800781250000002
n59-1	n58	1	0	72	7.15494791666667
n57-1	n55	1	0	74	6.914062500000002
n78-1	n63	1	0	64	7.645833333333337
n77-1	n61	1	0	66	7.52604166666667
n68-1	n59	1	0	69	7.28385416666667
n70-1	n62	1	0	71	7.528645833333337
n69-1	n60	1	0	72	7.388020833333337
n71-1	n64	1	0	72	7.649739583333337
n79-1	n65	1	0	66	7.7421875000000036
n74-1	n70	1	0	72	7.97916666666667
n72-1	n66	1	0	74	7.786458333333337
n75-1	n73	1	0	74	8.106770833333336
n73-1	n68	1	0	76	7.8854166666666705
n92-1	n80	1	0	53	8.605468750000002
n91-1	n77	1	0	55	8.481770833333336
n89-1	n74	1	0	67	8.243489583333336
n82-1	n76	1	0	69	8.345052083333336
n81-1	n75	1	0	71	8.243489583333336
n83-1	n78	1	0	71	8.489583333333336
n84-1	n79	1	0	72	8.596354166666668
n94-1	n84	1	0	48	8.984375000000002
n93-1	n82	1	0	55	8.729166666666668
n87-1	n85	1	0	69	9.009114583333336
n85-1	n81	1	0	71	8.721354166666668
n88-1	n86	1	0	71	9.12760416666667
n86-1	n83	1	0	72	8.863281250000002
n107-1	n89	1	0	55	9.325520833333336
n105-1	n87	1	0	57	9.26432291666667
n108-1	n91	1	0	57	9.393229166666668
n100-1	n90	1	0	64	9.368489583333336
n101-1	n92	1	0	65	9.509114583333336
n96-1	n93	1	0	69	9.632812500000002
n95-1	n88	1	0	72	9.27604166666667
n106-1	n95	1	0	55	9.773437500000002
n103-1	n96	1	0	62	9.877604166666668
n104-1	n97	1	0	64	10.005208333333334
n98-1	n98	1	0	67	10.123697916666668
n97-1	n94	1	0	70	9.770833333333336
n117-1	n102	1	0	52	10.652343750000002
n116-1	n100	1	0	53	10.526041666666668
n113-1	n101	1	0	62	10.536458333333334
n109-1	n99	1	0	69	10.276041666666668
n120-1	n108	1	0	52	11.02994791666667
n118-1	n103	1	0	53	10.761718750000002
n121-1	n109	1	0	53	11.15885416666667
n119-1	n106	1	0	55	10.886718750000004
n114-1	n105	1	0	67	10.78385416666667
n110-1	n104	1	0	71	10.774739583333336
n111-1	n107	1	0	72	11.02604166666667
n130-1	n110	1	0	50	11.296875000000004
n132-1	n115	1	0	52	11.531250000000004
n131-1	n113	1	0	53	11.411458333333337
n133-1	n118	1	0	53	11.639322916666671
n125-1	n111	1	0	65	11.300781250000004
n127-1	n116	1	0	67	11.532552083333337
n126-1	n112	1	0	69	11.391927083333337
n128-1	n117	1	0	69	11.630208333333337
n123-1	n114	1	0	72	11.528645833333337
n136-1	n123	1	0	53	12.037760416666671
n134-1	n120	1	0	55	11.781250000000005
n137-1	n124	1	0	55	12.136718750000005
n135-1	n121	1	0	57	11.898437500000005
n129-1	n119	1	0	62	11.77083333333334
n124-1	n122	1	0	71	12.014322916666671
n147-1	n128	1	0	50	12.395833333333341
n146-1	n125	1	0	52	12.277343750000005
n148-1	n129	1	0	52	12.522135416666673
n149-1	n131	1	0	53	12.639322916666673
n143-1	n127	1	0	60	12.283854166666673
