xml_id	midi_id	track	channel	pitch	onset
n3-1	n1	0	0	48	1.4529928333333333
n2-1	n0	0	0	49	1.3354713541666667
n4-1	n2	0	0	49	1.5651724270833334
n5-1	n3	0	0	51	1.6773520208333335
n8-1	n6	0	0	44	2.055557508333334
n6-1	n4	0	0	49	1.8012837625000002
n7-1	n5	0	0	51	1.9241471270833337
n9-1	n7	0	0	46	2.180557627083334
n10-1	n8	0	0	48	2.302352614583334
n11-1	n9	0	0	49	2.4134638312500005
n12-1	n10	0	0	51	2.540600704166667
n13-1	n11	0	0	52	2.6559854291666674
n21-1	n12	0	0	54	2.771370154166667
n24-1	n15	0	0	51	3.1495756416666665
n22-1	n13	0	0	52	2.9177378145833335
n23-1	n14	0	0	54	3.029917408333333
n27-1	n19	0	0	52	3.51602898125
n26-1	n17	0	0	54	3.3953023708333334
n25-1	n16	0	0	56	3.2745757604166665
n15-1	n18	0	0	68	3.5138922270833333
n30-1	n24	0	0	49	3.8717985499999994
n28-1	n20	0	0	51	3.6175248041666666
n29-1	n22	0	0	52	3.7435932999999997
n16-1	n21	0	0	67	3.619661558333333
n17-1	n23	0	0	68	3.7596189562499998
n18-1	n25	0	0	70	3.8760720583333326
n31-1	n28	0	0	63	4.247867283333332
n19-1	n26	0	0	68	3.9946619145833324
n20-1	n27	0	0	70	4.122867164583332
n44-1	n31	0	0	47	4.604705229166665
n32-1	n29	0	0	65	4.381414418749999
n33-1	n30	0	0	67	4.511756422916665
n34-1	n32	0	0	68	4.621799262499999
n45-1	n36	0	0	46	5.01603040625
n35-1	n33	0	0	70	4.746799381249999
n36-1	n34	0	0	71	4.854705466666665
n37-1	n35	0	0	73	4.9978679958333325
n46-1	n40	0	0	55	5.415603435416666
n40-1	n39	0	0	70	5.3910307625
n38-1	n37	0	0	71	5.120731360416666
n39-1	n38	0	0	73	5.255346872916666
n59-1	n44	0	0	44	5.789535414583333
n47-1	n43	0	0	71	5.773509758333333
n42-1	n42	0	0	73	5.641031
n41-1	n41	0	0	75	5.518167635416666
n60-1	n48	0	0	52	6.184834935416667
n50-1	n47	0	0	68	6.174151164583334
n48-1	n45	0	0	70	5.9177406645833335
n49-1	n46	0	0	71	6.036330520833333
n53-1	n51	0	0	69	6.581202833333334
n52-1	n50	0	0	71	6.430561664583334
n51-1	n49	0	0	73	6.318382070833334
n61-1	n55	0	0	51	6.966886960416666
n56-1	n54	0	0	66	6.963681829166666
n54-1	n52	0	0	68	6.7147499687500005
n55-1	n53	0	0	69	6.8525706125
n77-1	n60	0	0	52	7.369665120833333
n65-1	n59	0	0	61	7.35898135
n62-1	n58	0	0	68	7.351502710416666
n58-1	n57	0	0	69	7.201929918749999
n57-1	n56	0	0	71	7.094023833333332
n78-1	n65	0	0	48	7.736118460416665
n66-1	n61	0	0	60	7.476502829166666
n67-1	n62	0	0	61	7.599366193749999
n68-1	n63	0	0	63	7.727571443749999
n63-1	n64	0	0	66	7.727571443749999
n79-1	n68	0	0	49	8.114323947916667
n71-1	n69	0	0	56	8.11859745625
n69-1	n66	0	0	61	7.852571562499999
n70-1	n67	0	0	63	7.986118697916665
n72-1	n70	0	0	58	8.245734329166666
n73-1	n71	0	0	60	8.38141821875
n74-1	n72	0	0	61	8.520307239583332
n80-1	deletion
n64-1	n73	0	0	64	8.520307239583332
n75-1	n74	0	0	63	8.643170604166665
n81-1	deletion
n76-1	n75	0	0	64	8.76389721458333
n85-1	n76	0	0	66	8.89851272708333
n98-1	n81	0	0	60	9.314111412499999
n88-1	n80	0	0	63	9.300222510416665
n86-1	n77	0	0	64	9.012829074999997
n87-1	n78	0	0	66	9.166675374999999
n82-1	n79	0	0	75	9.290607116666665
n99-1	n86	0	0	61	9.711547687499998
n91-1	n84	0	0	64	9.679496374999998
n90-1	n83	0	0	66	9.536333845833331
n89-1	n82	0	0	68	9.424154252083332
n83-1	n85	0	0	68	9.685906637499997
n100-1	n90	0	0	54	10.112189093749997
n94-1	n91	0	0	61	10.116462602083331
n92-1	n87	0	0	63	9.833342674999997
n93-1	n88	0	0	64	9.947659022916664
n84-1	n89	0	0	69	10.095095060416664
n116-1	n94	0	0	59	10.49787322083333
n104-1	n95	0	0	63	10.505351860416663
n96-1	n93	0	0	64	10.352573937499997
n95-1	n92	0	0	66	10.252146491666664
n117-1	n100	0	0	52	10.90813002083333
n107-1	n99	0	0	59	10.89210436458333
n105-1	n96	0	0	61	10.636762241666663
n106-1	n97	0	0	63	10.762830737499996
n102-1	n98	0	0	68	10.887830856249996
n118-1	n104	0	0	57	11.306634672916662
n110-1	n103	0	0	61	11.286335508333329
n109-1	n102	0	0	63	11.149583241666663
n108-1	n101	0	0	64	11.032061762499996
n111-1	n105	0	0	63	11.425224529166663
n113-1	n108	0	0	63	11.709412833333328
n112-1	n106	0	0	64	11.532062237499996
n103-1	n107	0	0	66	11.672019635416662
n129-1	n112	0	0	56	12.116464502083328
n126-1	n111	0	0	60	12.087618320833329
n115-1	n110	0	0	61	11.942319037499995
n114-1	n109	0	0	64	11.820524049999996
n120-1	n113	0	0	68	12.217960324999995
n122-1	n115	0	0	68	12.489328104166662
n121-1	n114	0	0	69	12.339755312499994
n125-1	n118	0	0	64	12.867533591666662
n124-1	n117	0	0	66	12.723302685416662
n123-1	n116	0	0	69	12.604712829166662
n133-1	n122	0	0	52	13.269243374999997
n131-1	n119	0	0	54	12.946593495833328
n132-1	n120	0	0	56	13.114328697916662
n128-1	n121	0	0	61	13.264969866666663
n146-1	n125	0	0	54	13.659201010416663
n135-1	n124	0	0	56	13.505354710416663
n134-1	n123	0	0	57	13.387833231249997
n136-1	n126	0	0	63	13.67095315833333
n149-1	n130	0	0	51	14.130355304166663
n147-1	n127	0	0	52	13.813047310416662
n148-1	n128	0	0	54	13.958346593749996
n144-1	n129	0	0	60	14.085483466666663
n152-1	n135	0	0	52	14.507492414583329
n151-1	n132	0	0	54	14.391039312499995
n150-1	n131	0	0	56	14.24146652083333
n145-1	n134	0	0	61	14.498945397916662
n137-1	n133	0	0	68	14.486124872916662
n155-1	n141	0	0	49	14.88890303333333
n153-1	n137	0	0	51	14.623945516666662
n154-1	n138	0	0	52	14.755355897916662
n140-1	n140	0	0	64	14.88569790208333
n138-1	n136	0	0	66	14.620740385416662
