xml_id	midi_id	track	channel	pitch	onset
n14-1	n5	0	0	52	4.987184225000001
n6-1	n3	0	0	55	2.7606863833333333
n16-1	n7	0	0	55	5.815176464583331
n15-1	n6	0	0	57	5.404919664583332
n7-1	n4	0	0	59	3.6965847083333334
n3-1	n0	0	0	62	1.4626082270833334
n4-1	n1	0	0	62	1.9049163395833326
n5-1	n2	0	0	62	2.3066261229166662
n18-1	n10	0	0	50	6.996801518749997
n17-1	n8	0	0	54	6.215817870833331
n10-1	n9	0	0	69	6.646373835416664
n11-1	n11	0	0	69	7.023510945833331
n12-1	n12	0	0	69	7.40812669583333
n26-1	n14	0	0	54	8.219024902083326
n28-1	n17	0	0	57	9.014965829166659
n27-1	n15	0	0	59	8.594025258333327
n19-1	n13	0	0	62	7.818383495833329
n20-1	n16	0	0	66	8.644238981249993
n29-1	n18	0	0	56	9.399581579166659
n22-1	n19	0	0	59	9.811975133333325
n24-1	n21	0	0	62	10.606847683333323
n23-1	n20	0	0	64	10.195522506249992
n36-1	n22	0	0	57	11.010694220833319
n30-1	n23	0	0	61	11.025651499999986
n37-1	n26	0	0	61	11.815182164583318
n31-1	n24	0	0	64	11.399583479166653
n33-1	n27	0	0	67	12.180567127083314
n32-1	n25	0	0	69	11.804498393749984
n39-1	n29	0	0	57	12.975439677083312
n41-1	n32	0	0	61	13.758560079166646
n40-1	n30	0	0	62	13.349371656249978
n34-1	n28	0	0	66	12.583345287499979
n35-1	n31	0	0	69	13.381422968749979
n55-1	n33	0	0	59	14.148517714583313
n49-1	n35	0	0	62	14.599372843749979
n51-1	n39	0	0	66	15.36433083541664
n50-1	n37	0	0	67	14.98505697083331
n43-1	n34	0	0	74	14.572663416666646
n44-1	n36	0	0	74	14.965826183333311
n45-1	n38	0	0	74	15.339758162499974
n57-1	n42	0	0	59	16.100442645833304
n59-1	n47	0	0	62	16.875016031250002
n52-1	n41	0	0	64	15.754288470833306
n58-1	n44	0	0	64	16.494673789583324
n53-1	n43	0	0	66	16.10471615416664
n46-1	n40	0	0	67	15.730784174999972
n54-1	n46	0	0	67	16.52245159374999
n47-1	n45	0	0	71	16.502152429166657
n74-1	n49	0	0	57	17.682709106250023
n75-1	n51	0	0	57	18.11540182500004
n76-1	n54	0	0	57	18.48612867291672
n70-1	n48	0	0	61	17.271383929166685
n61-1	n50	0	0	64	17.756427125000027
n67-1	n55	0	0	64	18.502154329166718
n66-1	n53	0	0	66	18.13463261250004
n63-1	n56	0	0	67	18.505359460416717
