xml_id	midi_id	track	channel	pitch	onset
n14-1	n5	1	0	52	4.799479166666666
n6-1	n3	1	0	55	2.3802083333333335
n16-1	n7	1	0	55	5.665364583333332
n15-1	n6	1	0	57	5.229166666666666
n7-1	n4	1	0	59	3.3177083333333335
n3-1	n0	1	0	62	1.0091145833333333
n4-1	n1	1	0	62	1.454427083333333
n5-1	n2	1	0	62	1.9296874999999998
n18-1	n10	1	0	50	6.923177083333331
n17-1	n8	1	0	54	6.101562499999998
n10-1	n9	1	0	69	6.505208333333331
n11-1	n11	1	0	69	6.928385416666664
n12-1	n12	1	0	69	7.342447916666664
n26-1	n14	1	0	54	8.210937499999998
n28-1	n17	1	0	57	9.07161458333333
n27-1	n15	1	0	59	8.639322916666664
n19-1	n13	1	0	62	7.807291666666664
n20-1	n16	1	0	66	8.654947916666664
n29-1	n18	1	0	56	9.506510416666663
n22-1	n19	1	0	59	9.932291666666663
n24-1	n21	1	0	62	10.807291666666663
n23-1	n20	1	0	64	10.369791666666663
n36-1	n23	1	0	57	11.22526041666666
n30-1	n22	1	0	61	11.207031249999995
n37-1	n25	1	0	61	12.06510416666666
n31-1	n24	1	0	64	11.624999999999995
n33-1	n27	1	0	67	12.509114583333329
n32-1	n26	1	0	69	12.097656249999995
n39-1	n29	1	0	57	13.360677083333327
n41-1	n32	1	0	61	14.20182291666666
n40-1	n30	1	0	62	13.794270833333327
n34-1	n28	1	0	66	12.94401041666666
n35-1	n31	1	0	69	13.79947916666666
n55-1	n33	1	0	59	14.63151041666666
n49-1	n35	1	0	62	15.10416666666666
n51-1	n39	1	0	66	15.91666666666666
n50-1	n37	1	0	67	15.519531249999993
n43-1	n34	1	0	74	15.066406249999995
n44-1	n36	1	0	74	15.501302083333327
n45-1	n38	1	0	74	15.91276041666666
n57-1	n42	1	0	59	16.76432291666666
n59-1	n47	1	0	62	17.60937499999999
n52-1	n41	1	0	64	16.34635416666666
n58-1	n45	1	0	64	17.194010416666654
n53-1	n43	1	0	66	16.765624999999993
n46-1	n40	1	0	67	16.33072916666666
n54-1	n46	1	0	67	17.19661458333332
n47-1	n44	1	0	71	17.18098958333332
n74-1	n49	1	0	57	18.44140624999999
n75-1	n52	1	0	57	18.86718749999999
n76-1	n56	1	0	57	19.290364583333325
n70-1	n48	1	0	61	18.03124999999999
n61-1	n50	1	0	64	18.45703124999999
n67-1	n55	1	0	64	19.287760416666657
n66-1	n53	1	0	66	18.873697916666657
n63-1	n54	1	0	67	19.28515624999999
n62-1	n51	1	0	69	18.85937499999999
n77-1	n57	1	0	50	19.70182291666666
n78-1	n61	1	0	54	20.545572916666664
n71-1	n60	1	0	57	20.124999999999996
n73-1	n63	1	0	61	20.981770833333332
n68-1	n58	1	0	62	19.72005208333333
n72-1	n62	1	0	62	20.559895833333332
n64-1	n59	1	0	66	19.72005208333333
n92-1	n66	1	0	47	21.78515625
n94-1	n68	1	0	50	22.639322916666664
n93-1	n67	1	0	52	22.234375
n86-1	n65	1	0	59	21.399739583333332
n82-1	n69	1	0	59	22.647135416666664
n79-1	n64	1	0	68	21.3984375
n97-1	n76	1	0	45	23.919270833333332
n96-1	n73	1	0	47	23.490885416666664
n95-1	n70	1	0	49	23.062499999999996
n88-1	n74	1	0	52	23.490885416666664
n90-1	n80	1	0	55	24.35026041666666
n89-1	n78	1	0	57	23.964843749999996
n85-1	n77	1	0	61	23.947916666666664
n84-1	n75	1	0	62	23.505208333333332
n83-1	n72	1	0	64	23.080729166666664
n81-1	n79	1	0	64	24.347656249999996
n80-1	n71	1	0	69	23.065104166666664
n117-1	n83	1	0	45	25.18489583333333
n119-1	n88	1	0	49	26.005208333333325
n111-1	n86	1	0	50	25.592447916666654
n118-1	deletion
n110-1	n85	1	0	52	25.199218749999993
n109-1	n82	1	0	54	24.769531249999996
n105-1	n89	1	0	57	26.016927083333325
n100-1	n87	1	0	66	25.59505208333332
n99-1	n84	1	0	67	25.19401041666666
n98-1	n81	1	0	69	24.76692708333333
n122-1	n95	1	0	43	27.249999999999982
n121-1	n92	1	0	45	26.822916666666654
n120-1	n91	1	0	47	26.451822916666657
n113-1	n93	1	0	50	26.83723958333332
n115-1	n99	1	0	54	27.661458333333307
n114-1	n98	1	0	55	27.287760416666647
n108-1	n97	1	0	59	27.283854166666647
n107-1	n94	1	0	61	26.846354166666654
n106-1	n90	1	0	62	26.444010416666657
n103-1	n100	1	0	62	27.680989583333307
n102-1	n96	1	0	64	27.259114583333314
n136-1	n104	1	0	42	28.531249999999968
n139-1	n109	1	0	45	29.520833333333293
n137-1	n108	1	0	47	29.046874999999964
n140-1	n111	1	0	49	29.536458333333293
n138-1	n106	1	0	50	29.045572916666632
n131-1	n101	1	0	52	28.10026041666664
n133-1	n110	1	0	54	29.53124999999996
n132-1	n107	1	0	56	29.045572916666632
n130-1	n102	1	0	57	28.10416666666664
n123-1	n103	1	0	61	28.10416666666664
n124-1	n105	1	0	62	29.041666666666632
n141-1	n114	1	0	44	29.996093749999957
n142-1	n113	1	0	47	29.990885416666625
n134-1	n112	1	0	52	29.98046874999996
n129-1	n118	1	0	62	31.243489583333286
n127-1	n116	1	0	69	30.600260416666618
n126-1	n115	1	0	71	30.415364583333286
n128-1	n117	1	0	71	30.839843749999954
n158-1	n122	1	0	43	32.45963541666663
n157-1	deletion
n152-1	n120	1	0	52	31.647135416666618
n143-1	n119	1	0	61	31.64062499999995
n147-1	n121	1	0	64	32.05078124999995
n148-1	n123	1	0	64	32.48567708333329
n149-1	n124	1	0	64	32.89713541666662
n159-1	n125	1	0	42	33.30989583333329
n156-1	n133	1	0	52	34.52994791666666
n155-1	n132	1	0	54	34.13802083333331
n154-1	n127	1	0	55	33.6888020833333
n150-1	n126	1	0	57	33.31770833333329
n151-1	n130	1	0	60	34.11328124999997
n144-1	n128	1	0	64	33.694010416666636
n146-1	n134	1	0	67	34.54296874999999
n145-1	n131	1	0	69	34.12109374999997
n176-1	n135	1	0	47	34.92968749999999
n172-1	n136	1	0	51	34.93749999999999
n165-1	n138	1	0	54	35.36328124999999
n167-1	n140	1	0	57	36.20312499999999
n166-1	n139	1	0	59	35.78255208333333
n160-1	n137	1	0	66	34.94921874999999
n174-1	n144	1	0	50	37.052083333333336
n173-1	n142	1	0	52	36.63671875
n168-1	n141	1	0	55	36.6328125
n175-1	n147	1	0	55	37.477864583333336
n169-1	n145	1	0	59	37.0625
n171-1	n150	1	0	62	37.888020833333336
n170-1	n148	1	0	64	37.47916666666667
n161-1	n143	1	0	71	37.044270833333336
n162-1	n146	1	0	71	37.473958333333336
n163-1	n149	1	0	71	37.868489583333336
n192-1	n155	1	0	49	39.13671875
n193-1	n157	1	0	50	39.549479166666664
n185-1	n156	1	0	58	39.138020833333336
n184-1	n153	1	0	59	38.684895833333336
n186-1	n158	1	0	59	39.56380208333333
n183-1	n152	1	0	61	38.305989583333336
n177-1	n151	1	0	64	38.28776041666667
n178-1	n154	1	0	67	39.134114583333336
n198-1	n165	1	0	46	40.824218750000014
n194-1	n159	1	0	52	39.96223958333333
n196-1	n167	1	0	54	40.83072916666668
n195-1	n162	1	0	55	40.390625
n187-1	n160	1	0	61	39.994791666666664
n180-1	n161	1	0	61	40.380208333333336
n190-1	n168	1	0	61	41.230468750000014
n189-1	n166	1	0	62	40.82682291666668
n188-1	n163	1	0	64	40.395833333333336
n182-1	n169	1	0	64	41.234375000000014
n181-1	n164	1	0	66	40.812500000000014
n213-1	n171	1	0	47	41.64583333333336
n211-1	n177	1	0	54	42.917968750000036
n210-1	n175	1	0	56	42.493489583333364
n209-1	n174	1	0	57	42.0963541666667
n207-1	n172	1	0	59	41.65885416666669
n199-1	n170	1	0	62	41.63802083333336
n200-1	n173	1	0	66	42.0729166666667
n202-1	n178	1	0	69	42.937500000000036
n201-1	n176	1	0	71	42.497395833333364
n218-1	n186	1	0	47	44.62630208333337
n217-1	n183	1	0	49	44.1979166666667
n216-1	n182	1	0	50	43.778645833333364
n212-1	n180	1	0	52	43.360677083333364
n203-1	n179	1	0	68	43.339843750000036
n204-1	n181	1	0	71	43.7721354166667
n206-1	n185	1	0	74	44.60677083333337
n205-1	n184	1	0	76	44.199218750000036
n238-1	n187	1	0	45	45.03255208333337
n240-1	n193	1	0	45	46.27083333333338
n232-1	n189	1	0	52	45.43880208333337
n234-1	n195	1	0	55	46.28906250000005
n233-1	n191	1	0	57	45.86588541666671
n226-1	n190	1	0	69	45.44401041666671
n227-1	n192	1	0	69	45.87369791666671
n228-1	n194	1	0	69	46.272135416666714
n219-1	n188	1	0	73	45.04036458333337
n241-1	n196	1	0	47	46.67708333333339
n243-1	n205	1	0	47	47.941406250000085
n237-1	n201	1	0	50	47.50260416666674
n236-1	n200	1	0	52	47.1263020833334
n235-1	n197	1	0	54	46.69791666666673
n229-1	n198	1	0	62	46.70312500000006
n230-1	n203	1	0	66	47.51822916666674
n222-1	n199	1	0	74	47.121093750000064
n223-1	n202	1	0	74	47.50390625000008
n224-1	n204	1	0	74	47.921875000000085
n262-1	n206	1	0	40	48.315104166666764
n255-1	n208	1	0	52	48.33072916666677
n264-1	n214	1	0	52	49.558593750000114
n256-1	n210	1	0	54	48.760416666666785
n257-1	n212	1	0	55	49.174479166666785
n251-1	n209	1	0	59	48.744791666666785
n253-1	n215	1	0	62	49.574218750000114
n252-1	n213	1	0	64	49.186197916666785
n244-1	n207	1	0	67	48.3203125000001
n245-1	n211	1	0	71	49.17187500000012
n265-1	n216	1	0	45	49.99869791666678
n267-1	deletion
n261-1	n223	1	0	52	51.252604166666785
n260-1	n221	1	0	54	50.846354166666785
n259-1	n219	1	0	55	50.404947916666785
n254-1	n217	1	0	61	50.003906250000114
n247-1	n220	1	0	64	50.41536458333345
n249-1	n224	1	0	67	51.272135416666785
n248-1	n222	1	0	69	50.85546875000012
n282-1	n225	1	0	38	51.66276041666679
n281-1	n227	1	0	50	51.67057291666679
n274-1	n228	1	0	57	52.10546875000014
n276-1	n230	1	0	60	52.950520833333485
n275-1	n229	1	0	62	52.53385416666681
n268-1	n226	1	0	66	51.66927083333346
n269-1	n231	1	0	69	52.95963541666682
n277-1	n232	1	0	59	53.36979166666682
n278-1	n235	1	0	62	53.79687500000015
n280-1	n239	1	0	66	54.63151041666681
n279-1	n237	1	0	67	54.22656250000015
n272-1	n236	1	0	71	54.20963541666681
n271-1	n234	1	0	72	53.794270833333485
n270-1	n233	1	0	74	53.36979166666682
n273-1	n238	1	0	74	54.61588541666681
n298-1	n243	1	0	52	55.5091145833335
n300-1	n247	1	0	55	56.342447916666835
n299-1	n245	1	0	57	55.9309895833335
n294-1	n246	1	0	61	55.94531250000017
n293-1	n242	1	0	62	55.50781250000016
n292-1	n241	1	0	64	55.08463541666682
n287-1	n248	1	0	76	56.34765625000017
n286-1	n244	1	0	78	55.9231770833335
n285-1	n240	1	0	79	55.063802083333485
n301-1	n249	1	0	54	56.76432291666684
n302-1	n252	1	0	57	57.17578125000018
n304-1	n259	1	0	61	58.06119791666686
n295-1	n251	1	0	62	56.77473958333351
n303-1	n256	1	0	62	57.628906250000185
n296-1	n254	1	0	64	57.17708333333351
n297-1	n257	1	0	66	57.648437500000185
n291-1	n258	1	0	76	58.04557291666686
n290-1	n255	1	0	78	57.621093750000185
n289-1	n253	1	0	79	57.17578125000018
n288-1	n250	1	0	81	56.76822916666684
n320-1	n262	1	0	47	58.87369791666687
n322-1	n267	1	0	50	59.699218750000234
n321-1	n264	1	0	52	59.29296875000022
n317-1	n261	1	0	59	58.46223958333353
n313-1	n266	1	0	68	59.333333333333556
n307-1	n268	1	0	71	59.699218750000234
n306-1	n265	1	0	73	59.30078125000022
n305-1	n260	1	0	74	58.45182291666686
n323-1	n270	1	0	49	60.117187500000234
n324-1	n273	1	0	52	60.56250000000025
n326-1	n279	1	0	56	61.38281250000025
n325-1	n275	1	0	57	60.97395833333358
n318-1	n272	1	0	59	60.54427083333358
n319-1	n277	1	0	61	60.99348958333358
n316-1	n281	1	0	64	61.391927083333584
n315-1	n278	1	0	69	60.99739583333358
n311-1	n280	1	0	71	61.38281250000025
n310-1	n276	1	0	73	60.98958333333358
n309-1	n271	1	0	74	60.53906250000024
n308-1	n269	1	0	76	60.105468750000234
n349-1	n288	1	0	50	62.62109375000027
n348-1	n286	1	0	52	62.234375000000256
n347-1	n283	1	0	54	61.81901041666692
n341-1	n284	1	0	57	62.21744791666692
n343-1	n292	1	0	61	63.06640625000028
n342-1	n290	1	0	62	62.645833333333606
n336-1	n291	1	0	66	62.64713541666694
n335-1	deletion
n327-1	n282	1	0	69	61.81119791666692
n330-1	n293	1	0	69	63.06770833333361
n334-1	deletion
n329-1	n289	1	0	71	62.63671875000027
n328-1	n285	1	0	73	62.218750000000256
n351-1	n297	1	0	49	63.87369791666696
n353-1	n303	1	0	52	64.75000000000027
