onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,0.15104167,62,33,1,0,n0,0.5,0.0
0.67604166,0.14583333,64,43,1,0,n1,0.5,0.0
0.8520833,0.16041666,65,42,1,0,n2,0.5,0.0
1.03125,0.17395833,67,44,1,0,n3,0.5,0.0
1.1979166,0.14791666,65,45,1,0,n4,0.5,0.0
1.36875,0.140625,64,56,1,0,n5,0.5,0.0
1.5520834,0.13854167,65,47,1,0,n6,1.552083,1.0
1.7125,0.196875,67,62,1,0,n7,1.552083,1.0
1.8947917,0.19791667,69,67,1,0,n8,1.552083,1.0
2.0625,0.21666667,70,69,1,0,n9,1.552083,1.0
2.228125,0.19270833,69,74,1,0,n10,1.552083,1.0
2.3875,0.190625,67,65,1,0,n11,1.552083,1.0
2.5802083,0.328125,69,70,1,0,n12,2.580208,2.0
3.1895833,0.66041666,74,62,1,0,n13,2.580208,2.0
3.7885416,0.65520835,73,65,1,0,n14,2.580208,2.0
4.3697915,0.59583336,72,61,1,0,n15,3.788542,3.0
4.954167,0.62916666,71,54,1,0,n16,4.954167,4.0
5.5260415,0.603125,70,56,1,0,n17,4.954167,4.0
6.115625,0.725,69,50,1,0,n18,6.115625,5.0
6.764583,1.2833333,67,39,1,0,n19,6.115625,5.0
7.9395833,0.6458333,65,33,1,0,n20,7.336458,6.0
8.557292,0.25833333,64,36,1,0,n21,8.557292,7.0
9.126041,0.18333334,69,45,1,0,n22,8.557292,7.0
9.6875,0.18645833,69,50,1,0,n23,8.557292,7.0
9.694792,0.25416666,65,38,1,0,n24,9.691146,8.0
9.867708,0.18229167,71,58,1,0,n25,9.691146,8.0
10.046875,0.203125,72,61,1,0,n26,9.691146,8.0
10.23125,0.16666667,62,44,1,0,n27,9.691146,8.0
10.23125,0.21354167,74,58,1,0,n28,9.691146,8.0
10.402083,0.17916666,72,69,1,0,n29,9.691146,8.0
10.561459,0.18541667,71,69,1,0,n30,9.691146,8.0
10.748959,0.20208333,72,68,1,0,n31,9.691146,8.0
10.763541,0.42916667,69,47,1,0,n32,10.75625,9.0
10.93125,0.21041666,74,69,1,0,n33,10.75625,9.0
11.091666,0.20104167,76,75,1,0,n34,10.75625,9.0
11.258333,0.21145834,77,74,1,0,n35,10.75625,9.0
11.416667,0.19479166,76,79,1,0,n36,10.75625,9.0
11.584375,0.225,74,70,1,0,n37,10.75625,9.0
11.791667,0.28020832,76,71,1,0,n38,11.791667,10.0
12.072917,0.36875,59,49,1,0,n39,11.791667,10.0
12.353125,0.59479165,81,74,1,0,n40,11.791667,10.0
12.375,0.30625,60,37,1,0,n41,11.791667,10.0
12.626041,0.25,62,43,1,0,n42,11.791667,10.0
12.885417,0.6041667,80,73,1,0,n43,11.791667,10.0
12.905209,0.25416666,64,43,1,0,n44,12.895312,11.0
13.167708,0.28020832,66,52,1,0,n45,12.895312,11.0
13.429167,0.58958334,79,68,1,0,n46,12.895312,11.0
13.45,0.309375,67,38,1,0,n47,12.895312,11.0
13.701041,0.21979167,64,50,1,0,n48,12.895312,11.0
13.960417,0.54895836,78,66,1,0,n49,12.895312,11.0
13.982291,0.265625,69,45,1,0,n50,13.971355,12.0
14.241667,0.31875,68,61,1,0,n51,13.971355,12.0
14.496875,0.5864583,77,71,1,0,n52,13.971355,12.0
14.50625,0.30520833,69,67,1,0,n53,13.971355,12.0
14.763541,0.3125,71,66,1,0,n54,13.971355,12.0
15.030209,0.653125,76,72,1,0,n55,13.971355,12.0
15.039583,0.265625,72,57,1,0,n56,15.034895,13.0
15.309375,0.30625,66,47,1,0,n57,15.034895,13.0
15.591666,1.06875,74,59,1,0,n58,15.034895,13.0
15.609375,0.209375,71,49,1,0,n59,15.034895,13.0
