xml_id	midi_id	track	channel	pitch	onset
n3-1	n1	0	0	64	268.81008442916664
n2-1	n0	0	0	65	268.63166545625
n4-1	n2	0	0	65	268.9628623520833
n6-1	n3	0	0	72	269.1530334729166
n8-1	n4	0	0	69	269.67333311249996
n9-1	n5	0	0	67	269.8261110354166
n10-1	n6	0	0	69	269.9831624666666
n12-1	n7	0	0	74	270.18081222708327
n14-1	n8	0	0	72	270.7171375229166
n15-1	n9	0	0	74	270.9008983812499
n16-1	n10	0	0	76	271.0494027958332
n18-1	n11	0	0	77	271.2203431291665
n21-1	n14	0	0	72	271.7310273749998
n20-1	n13	0	0	74	271.5579502874998
n19-1	n12	0	0	76	271.3827364458332
n25-1	n17	0	0	69	272.2256859645832
n23-1	n16	0	0	70	272.05795076249984
n22-1	n15	0	0	74	271.89235231458315
n30-1	n21	0	0	60	272.7288915708332
n28-1	n20	0	0	64	272.71820779999985
n27-1	n19	0	0	65	272.5526093520832
n26-1	n18	0	0	67	272.3870109041665
n31-1	n22	0	0	58	272.89769514999983
n32-1	n24	0	0	60	273.0579517124998
n38-1	n25	0	0	65	273.2449177020831
n34-1	n26	0	0	69	273.2609433583331
n29-1	n23	0	0	70	273.05688333541644
n40-1	n28	0	0	64	273.80047378541644
n36-1	n29	0	0	67	273.80047378541644
n35-1	n27	0	0	74	273.6028240249998
n41-1	n30	0	0	62	273.95859359374975
n42-1	n31	0	0	64	274.11778177916636
n48-1	n33	0	0	69	274.3079528999997
n44-1	n34	0	0	72	274.315431539583
n37-1	n32	0	0	74	274.13060230416636
n50-1	n36	0	0	67	274.84107306458304
n46-1	n37	0	0	71	274.85709872083305
n45-1	n35	0	0	77	274.64983356666636
n51-1	n38	0	0	69	274.99491936458304
n52-1	n40	0	0	71	275.155175927083
n59-1	n41	0	0	72	275.341073539583
n54-1	n42	0	0	76	275.36137270416634
n47-1	n39	0	0	77	275.14983404166634
n62-1	n48	0	0	67	275.8506894083329
n61-1	n46	0	0	69	275.6850909604163
n60-1	n43	0	0	71	275.51842413541635
n56-1	n45	0	0	72	275.67761232083296
n55-1	n44	0	0	74	275.539791677083
n57-1	n47	0	0	79	275.8389372604163
n70-1	n53	0	0	64	276.3517582604162
n64-1	n50	0	0	65	276.1776127958329
n63-1	n49	0	0	69	276.00880921666624
n58-1	n51	0	0	71	276.2107324854162
n66-1	n52	0	0	72	276.3432112437495
n72-1	n55	0	0	60	276.7096645833328
n71-1	n54	0	0	62	276.53017723333284
n73-1	n56	0	0	62	276.87098952291615
n74-1	n58	0	0	64	277.04406661041617
n75-1	n60	0	0	66	277.18509238541617
n81-1	n61	0	0	67	277.36778486666617
n69-1	n59	0	0	69	277.1765453687495
n68-1	n57	0	0	70	277.0194939374995
n77-1	n62	0	0	70	277.3688532437495
n78-1	n63	0	0	72	277.55047734791617
n79-1	n64	0	0	74	277.70005013958286
n80-1	n65	0	0	75	277.8838109979162
n84-1	n67	0	0	63	278.20646087708286
n83-1	n66	0	0	65	278.04834106874955
n92-1	n68	0	0	65	278.3741960791662
n93-1	n69	0	0	67	278.5365893958329
n94-1	n71	0	0	69	278.6850938104163
n95-1	n73	0	0	70	278.86244440624967
n88-1	n72	0	0	72	278.70218784374964
n87-1	n70	0	0	74	278.5397945270829
n89-1	n74	0	0	74	278.873128177083
n90-1	n75	0	0	76	279.04193175624965
n91-1	n76	0	0	77	279.1915045479163
n97-1	n77	0	0	79	279.37099189791627
