onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
268.63165,0.14743604,65,43,0,0,n0,-10.0,-10.0
268.8101,0.10363258,64,47,0,0,n1,268.632,3.0
268.96286,0.04059833,65,63,0,0,n2,268.632,3.0
269.15305,0.2980772,72,62,0,0,n3,269.153,6.0
269.67334,0.15064117,69,60,0,0,n4,269.673,9.0
269.8261,0.1356839,67,65,0,0,n5,269.673,9.0
269.98315,0.0512821,69,77,0,0,n6,269.673,9.0
270.18082,0.35683796,74,68,0,0,n7,269.673,9.0
270.71713,0.17948735,72,66,0,0,n8,270.717,15.0
270.9009,0.1538463,74,77,0,0,n9,270.717,15.0
271.0494,0.09294881,76,81,0,0,n10,270.717,15.0
271.22034,0.16453007,77,78,0,0,n11,271.22,18.0
271.38275,0.14957279,76,70,0,0,n12,271.22,18.0
271.55795,0.1025642,74,59,0,0,n13,271.22,18.0
271.73102,0.15170954,72,52,0,0,n14,271.731,21.0
271.89236,0.17200871,74,65,0,0,n15,271.731,21.0
272.05795,0.11004284,70,65,0,0,n16,271.731,21.0
272.22568,0.14316253,69,67,0,0,n17,271.731,21.0
272.38702,0.118589856,67,61,0,0,n18,272.226,24.0
272.5526,0.10576933,65,60,0,0,n19,272.226,24.0
272.7182,0.2660259,64,60,0,0,n20,272.226,24.0
272.72888,0.18055573,60,55,0,0,n21,272.7235,27.0
272.8977,0.15918818,58,72,0,0,n22,272.7235,27.0
273.0569,0.1025642,70,63,0,0,n23,272.7235,27.0
273.05795,0.054487232,60,77,0,0,n24,272.7235,27.0
273.2449,0.3076926,65,73,0,0,n25,272.7235,27.0
273.26096,0.34401742,69,62,0,0,n26,273.253,30.0
273.6028,0.15811981,74,63,0,0,n27,273.253,30.0
273.80048,0.17414546,64,70,0,0,n28,273.8,33.0
273.80048,0.25961563,67,69,0,0,n29,273.8,33.0
273.9586,0.12393174,62,81,0,0,n30,273.8,33.0
274.11777,0.045940213,64,84,0,0,n31,273.8,33.0
274.1306,0.15811981,74,64,0,0,n32,273.8,33.0
274.30795,0.31089774,69,79,0,0,n33,273.8,33.0
274.31543,0.38141063,72,62,0,0,n34,274.3115,36.0
274.64984,0.28205156,77,67,0,0,n35,274.3115,36.0
274.84106,0.17414546,67,71,0,0,n36,274.3115,36.0
274.8571,0.2051284,71,70,0,0,n37,274.849,39.0
274.99493,0.15277793,69,83,0,0,n38,274.849,39.0
275.14984,0.21367541,77,56,0,0,n39,274.849,39.0
275.15518,0.16025656,71,84,0,0,n40,274.849,39.0
275.34106,0.1816241,72,73,0,0,n41,274.849,39.0
275.36136,0.18269248,76,69,0,0,n42,275.351,42.0
275.51843,0.16239332,71,78,0,0,n43,275.351,42.0
275.5398,0.11965823,74,70,0,0,n44,275.351,42.0
275.6776,0.14529929,72,66,0,0,n45,275.351,42.0
275.6851,0.15064117,69,70,0,0,n46,275.351,42.0
275.83893,0.54380393,79,58,0,0,n47,275.351,42.0
275.85068,0.12927362,67,68,0,0,n48,275.845,45.0
276.00882,0.15170954,69,67,0,0,n49,275.845,45.0
276.1776,0.17094034,65,69,0,0,n50,275.845,45.0
276.21072,0.106837705,71,51,0,0,n51,275.845,45.0
276.3432,0.72008616,72,62,0,0,n52,275.845,45.0
276.35175,0.16666682,64,65,0,0,n53,276.3475,48.0
276.53018,0.16239332,62,60,0,0,n54,276.3475,48.0
276.70966,0.16132493,60,57,0,0,n55,276.3475,48.0
276.871,0.14102578,62,60,0,0,n56,276.871,51.0
277.0195,0.13782065,70,42,0,0,n57,276.871,51.0
277.04407,0.12820525,64,60,0,0,n58,276.871,51.0
277.17654,0.19230787,69,50,0,0,n59,276.871,51.0
277.1851,0.17414546,66,56,0,0,n60,276.871,51.0
277.3678,0.6784195,67,62,0,0,n61,276.871,51.0
277.36887,0.14529929,70,52,0,0,n62,277.3685,54.0
277.55048,0.13675226,72,57,0,0,n63,277.3685,54.0
277.70004,0.08119666,74,71,0,0,n64,277.3685,54.0
277.88382,0.6805562,75,71,0,0,n65,277.3685,54.0
278.04834,0.12713687,65,64,0,0,n66,277.884,57.0
278.20645,0.099359065,63,70,0,0,n67,277.884,57.0
278.3742,0.13354714,65,76,0,0,n68,278.374,60.0
278.5366,0.15491468,67,71,0,0,n69,278.374,60.0
278.5398,0.1816241,74,68,0,0,n70,278.374,60.0
278.6851,0.041666705,69,75,0,0,n71,278.374,60.0
278.70218,0.15491468,72,64,0,0,n72,278.374,60.0
278.86246,0.68803483,70,75,0,0,n73,278.374,60.0
278.87314,0.16453007,74,72,0,0,n74,278.8675,63.0
279.04193,0.10576933,76,77,0,0,n75,278.8675,63.0
279.1915,0.074786395,77,80,0,0,n76,278.8675,63.0
279.371,0.6645306,79,81,0,0,n77,279.371,66.0
279.53232,0.15064117,69,73,0,0,n78,279.371,66.0
279.7011,0.07585477,67,77,0,0,n79,279.371,66.0
279.82718,0.054487232,67,47,0,0,n80,279.371,66.0
279.87634,0.16559845,69,77,0,0,n81,279.876,69.0
280.01202,0.19337626,77,73,0,0,n82,279.876,69.0
280.05048,0.12072661,71,75,0,0,n83,279.876,69.0
280.1947,0.06623938,73,85,0,0,n84,279.876,69.0
280.19577,0.15170954,76,78,0,0,n85,279.876,69.0
280.36887,0.70299214,74,80,0,0,n86,279.876,69.0
280.371,0.17841898,77,79,0,0,n87,280.37,72.0
280.53445,0.12500012,79,81,0,0,n88,280.37,72.0
280.6947,0.07371802,81,83,0,0,n89,280.37,72.0
280.89343,0.74786395,82,81,0,0,n90,280.893,75.0
281.06436,0.2094019,72,76,0,0,n91,280.893,75.0
281.23532,0.14636765,70,80,0,0,n92,280.893,75.0
281.40625,0.15918818,72,83,0,0,n93,281.406,78.0
281.57397,0.1634617,74,79,0,0,n94,281.406,78.0
281.59537,0.20299165,81,74,0,0,n95,281.406,78.0
281.78445,0.26495752,79,81,0,0,n96,281.406,78.0
281.78766,0.25320536,76,76,0,0,n97,281.406,78.0
282.0131,0.25534213,53,75,0,0,n98,281.406,78.0
282.02698,0.6794878,77,73,0,0,n99,282.02335,81.0
282.03018,0.24038485,81,71,0,0,n100,282.02335,81.0
282.22998,0.17841898,52,78,0,0,n101,282.02335,81.0
282.25134,0.15277793,82,69,0,0,n102,282.02335,81.0
282.40305,0.06944451,53,86,0,0,n103,282.02335,81.0
282.42548,0.18482924,81,70,0,0,n104,282.02335,81.0
282.59003,0.27777803,60,75,0,0,n105,282.02335,81.0
282.5975,0.75641096,79,67,0,0,n106,282.5935,84.0
