onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
3.0,1.0,0.75,0.25,6,2,65,1,n2-1,3.0,0.5
4.0,1.0,1.0,0.25,8,2,64,1,n3-1,3.0,0.5
5.0,1.0,1.25,0.25,10,2,65,1,n4-1,3.0,0.5
6.0,2.0,1.5,0.5,12,4,72,1,n6-1,6.0,1.015625
9.0,1.0,2.25,0.25,18,2,69,1,n8-1,9.0,1.519531
10.0,1.0,2.5,0.25,20,2,67,1,n9-1,9.0,1.519531
11.0,1.0,2.75,0.25,22,2,69,1,n10-1,9.0,1.519531
12.0,2.0,3.0,0.5,24,4,74,1,n12-1,12.0,2.035156
15.0,1.0,3.75,0.25,30,2,72,1,n14-1,15.0,2.541667
16.0,1.0,4.0,0.25,32,2,74,1,n15-1,15.0,2.541667
17.0,1.0,4.25,0.25,34,2,76,1,n16-1,15.0,2.541667
18.0,1.0,4.5,0.25,36,2,77,1,n18-1,18.0,3.045573
19.0,1.0,4.75,0.25,38,2,76,1,n19-1,18.0,3.045573
20.0,1.0,5.0,0.25,40,2,74,1,n20-1,18.0,3.045573
21.0,1.0,5.25,0.25,42,2,72,1,n21-1,21.0,3.566406
22.0,1.0,5.5,0.25,44,2,74,1,n22-1,21.0,3.566406
23.0,1.0,5.75,0.25,46,2,70,1,n23-1,21.0,3.566406
24.0,1.0,6.0,0.25,48,2,69,1,n25-1,24.0,4.067708
25.0,1.0,6.25,0.25,50,2,67,1,n26-1,24.0,4.067708
26.0,1.0,6.5,0.25,52,2,65,1,n27-1,24.0,4.067708
27.0,1.0,6.75,0.25,54,2,60,2,n30-1,27.0,4.533203
27.0,2.0,6.75,0.5,54,4,64,1,n28-1,27.0,4.533203
28.0,1.0,7.0,0.25,56,2,58,2,n31-1,27.0,4.533203
29.0,1.0,7.25,0.25,58,2,60,2,n32-1,27.0,4.533203
29.0,1.0,7.25,0.25,58,2,70,1,n29-1,27.0,4.533203
30.0,2.0,7.5,0.5,60,4,65,2,n38-1,30.0,5.038411
30.0,2.0,7.5,0.5,60,4,69,1,n34-1,30.0,5.038411
32.0,1.0,8.0,0.25,64,2,74,1,n35-1,30.0,5.038411
33.0,1.0,8.25,0.25,66,2,64,2,n40-1,33.0,5.529297
33.0,2.0,8.25,0.5,66,4,67,1,n36-1,33.0,5.529297
34.0,1.0,8.5,0.25,68,2,62,2,n41-1,33.0,5.529297
35.0,1.0,8.75,0.25,70,2,64,2,n42-1,33.0,5.529297
35.0,1.0,8.75,0.25,70,2,74,1,n37-1,33.0,5.529297
36.0,2.0,9.0,0.5,72,4,69,2,n48-1,36.0,6.041016
36.0,2.0,9.0,0.5,72,4,72,1,n44-1,36.0,6.041016
38.0,1.0,9.5,0.25,76,2,77,1,n45-1,36.0,6.041016
39.0,1.0,9.75,0.25,78,2,67,2,n50-1,39.0,6.522786
39.0,2.0,9.75,0.5,78,4,71,1,n46-1,39.0,6.522786
40.0,1.0,10.0,0.25,80,2,69,2,n51-1,39.0,6.522786
41.0,1.0,10.25,0.25,82,2,71,2,n52-1,39.0,6.522786
41.0,1.0,10.25,0.25,82,2,77,1,n47-1,39.0,6.522786
42.0,1.0,10.5,0.25,84,2,72,2,n59-1,42.0,7.011719
42.0,1.0,10.5,0.25,84,2,76,1,n54-1,42.0,7.011719
43.0,1.0,10.75,0.25,86,2,71,2,n60-1,42.0,7.011719
43.0,1.0,10.75,0.25,86,2,74,1,n55-1,42.0,7.011719
44.0,1.0,11.0,0.25,88,2,69,2,n61-1,42.0,7.011719
44.0,1.0,11.0,0.25,88,2,72,1,n56-1,42.0,7.011719
45.0,1.0,11.25,0.25,90,2,67,2,n62-1,45.0,7.509766
45.0,2.0,11.25,0.5,90,4,79,1,n57-1,45.0,7.509766
46.0,1.0,11.5,0.25,92,2,69,2,n63-1,45.0,7.509766
