onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
1.5,0.5,1.5,0.5,12,4,61,5,n4-1,-10.0,-10.0
2.0,0.5,2.0,0.5,16,4,57,5,n5-1,2.0,0.970833
2.5,0.5,2.5,0.5,20,4,54,5,n6-1,2.0,0.970833
3.0,1.5,3.0,1.5,24,12,62,5,n7-1,3.0,1.942708
4.5,0.25,4.5,0.25,36,2,61,5,n10-1,4.0,2.934896
4.75,0.25,4.75,0.25,38,2,59,5,n11-1,4.0,2.934896
5.0,1.5,5.0,1.5,40,12,61,5,n12-1,5.0,3.927083
6.5,0.5,6.5,0.5,52,4,66,5,n14-1,6.0,4.925
7.0,1.5,7.0,1.5,56,12,59,5,n15-1,7.0,5.922917
8.5,0.25,8.5,0.25,68,2,57,5,n18-1,8.0,6.886979
8.75,0.25,8.75,0.25,70,2,56,5,n19-1,8.0,6.886979
9.0,0.5,9.0,0.5,72,4,57,5,n20-1,9.0,7.851042
9.5,0.5,9.5,0.5,76,4,54,5,n21-1,9.0,7.851042
10.0,2.0,10.0,2.0,80,16,56,5,n22-1,10.0,8.787588
12.0,0.5,12.0,0.5,96,4,54,5,n29-1,12.0,10.582292
12.5,0.5,12.5,0.5,100,4,56,5,n30-1,12.0,10.582292
13.0,0.5,13.0,0.5,104,4,57,5,n31-1,13.0,11.56875
13.5,0.5,13.5,0.5,108,4,59,5,n32-1,13.0,11.56875
13.5,0.5,13.5,0.5,108,4,66,1,n25-1,13.0,11.56875
14.0,1.0,14.0,1.0,112,8,61,5,n33-1,14.0,12.558854
14.0,0.5,14.0,0.5,112,4,64,1,n26-1,14.0,12.558854
14.5,0.5,14.5,0.5,116,4,61,1,n27-1,14.0,12.558854
15.0,1.5,15.0,1.5,120,12,69,1,n28-1,15.0,13.566667
15.5,0.5,15.5,0.5,124,4,63,5,n34-1,15.0,13.566667
16.0,1.0,16.0,1.0,128,8,64,2,n42-1,16.0,14.579167
16.5,0.25,16.5,0.25,132,2,68,1,n36-1,16.0,14.579167
16.75,0.25,16.75,0.25,134,2,66,1,n37-1,16.0,14.579167
17.0,1.5,17.0,1.5,136,12,68,1,n38-1,17.0,15.502083
17.5,0.5,17.5,0.5,140,4,64,2,n43-1,17.0,15.502083
18.0,1.0,18.0,1.0,144,8,58,5,n45-1,18.0,16.45
18.5,0.5,18.5,0.5,148,4,73,1,n40-1,18.0,16.45
19.0,1.5,19.0,1.5,152,12,66,1,n41-1,19.0,17.365625
19.5,0.5,19.5,0.5,156,4,60,5,n46-1,19.0,17.365625
20.0,1.0,20.0,1.0,160,8,61,5,n53-1,20.0,18.327084
20.5,0.25,20.5,0.25,164,2,64,1,n48-1,20.0,18.327084
20.75,0.25,20.75,0.25,166,2,63,1,n49-1,20.0,18.327084
21.0,0.5,21.0,0.5,168,4,64,1,n50-1,21.0,19.248959
21.5,1.0,21.5,1.0,172,8,61,5,n54-1,21.0,19.248959
21.5,0.5,21.5,0.5,172,4,61,1,n51-1,21.0,19.248959
22.0,2.0,22.0,2.0,176,16,63,1,n52-1,22.0,20.197554
22.5,0.25,22.5,0.25,180,2,60,5,n56-1,22.0,20.197554
22.75,0.25,22.75,0.25,182,2,58,5,n57-1,22.0,20.197554
23.0,0.5,23.0,0.5,184,4,60,5,n58-1,23.0,21.043484
23.5,0.5,23.5,0.5,188,4,56,5,n59-1,23.0,21.043484
24.0,0.5,24.0,0.5,192,4,61,1,n60-1,24.0,22.018314
24.0,1.5,24.0,1.5,192,12,64,2,n66-1,24.0,22.018314
24.5,0.5,24.5,0.5,196,4,73,1,n61-1,24.0,22.018314
25.0,1.5,25.0,1.5,200,12,66,1,n62-1,25.0,23.0
25.5,0.5,25.5,0.5,204,4,57,2,n67-1,25.0,23.0
26.0,1.5,26.0,1.5,208,12,62,2,n68-1,26.0,23.984375
26.5,0.5,26.5,0.5,212,4,71,1,n64-1,26.0,23.984375
27.0,1.5,27.0,1.5,216,12,64,1,n65-1,27.0,24.936459
27.5,0.5,27.5,0.5,220,4,56,2,n69-1,27.0,24.936459
28.0,1.0,28.0,1.0,224,8,61,5,n75-1,28.0,25.888542
28.5,1.0,28.5,1.0,228,8,69,1,n71-1,28.0,25.888542
