xml_id	midi_id	track	channel	pitch	onset
n6-1	n2	0	0	54	2.0876088208333337
n5-1	n1	0	0	57	1.7307708750000002
n4-1	n0	0	0	61	1.3568388958333335
n7-1	n3	0	0	62	2.466882685416667
n11-1	n5	0	0	59	3.7767129895833333
n10-1	n4	0	0	61	3.601499147916667
n12-1	n6	0	0	61	3.9989354229166665
n14-1	n7	0	0	66	5.118594606249999
n15-1	n8	0	0	59	5.522441143749999
n19-1	n10	0	0	56	6.769237199999999
n18-1	n9	0	0	57	6.6132541458333325
n21-1	n12	0	0	54	7.319451397916667
n20-1	n11	0	0	57	6.972228845833333
n22-1	n13	0	0	56	7.649579916666666
n29-1	n28	0	0	54	9.065179552083329
n30-1	n29	0	0	56	9.428427760416664
n31-1	n30	0	0	57	9.801291362499997
n32-1	n32	0	0	59	10.185907112499999
n25-1	n31	0	0	66	10.160266062499998
n33-1	n34	0	0	61	10.528856156249999
n27-1	n35	0	0	61	10.887830856249998
n26-1	n33	0	0	64	10.52244589375
n34-1	n37	0	0	63	11.605780256249998
n28-1	n36	0	0	69	11.256420949999999
n42-1	n38	0	0	64	11.998943022916665
n37-1	n40	0	0	66	12.5064221375
n36-1	n39	0	0	68	12.334413427083332
n43-1	n42	0	0	64	13.091892779166669
n38-1	n41	0	0	68	12.701935143750001
n45-1	n43	0	0	58	13.455140987500002
n40-1	n44	0	0	73	13.797021654166668
n46-1	n46	0	0	60	14.544885612500003
n41-1	n45	0	0	66	14.175227141666669
n53-1	n47	0	0	61	14.913475706250004
n49-1	n49	0	0	63	15.432706968750004
n48-1	n48	0	0	64	15.282065800000003
n54-1	n51	0	0	61	15.977579281250005
n51-1	n69	0	0	61	17.338691685416663
n50-1	n50	0	0	64	15.638903745833337
n57-1	n58	0	0	58	16.755357797916666
n56-1	n55	0	0	60	16.584417464583336
n52-1	n52	0	0	63	16.313049685416672
n59-1	n68	0	0	56	17.247879633333334
n58-1	n62	0	0	60	16.938050279166664
n60-1	n72	0	0	61	17.602580825
n66-1	n71	0	0	64	17.600444070833333
n61-1	n73	0	0	73	17.967965787500003
n67-1	n75	0	0	57	18.696598958333336
n62-1	n74	0	0	66	18.344034520833336
n68-1	n76	0	0	62	19.08548821666667
n64-1	n77	0	0	71	19.433779145833334
n69-1	n79	0	0	56	20.1602755625
n65-1	n78	0	0	64	19.79809573125
n75-1	n80	0	0	61	20.52886565625
n71-1	n81	0	0	69	20.882498470833337
n76-1	n82	0	0	59	21.27459286041667
n72-1	n83	0	0	68	21.627157297916675
n77-1	n84	0	0	57	22.023525195833344
n73-1	n85	0	0	66	22.38143151875001
n80-1	n87	0	0	49	23.08762877083334
n78-1	n86	0	0	56	22.732927579166674
n74-1	n88	0	0	65	23.09724416458334
n93-1	n92	0	0	42	23.81946707291667
n92-1	n90	0	0	45	23.465834258333338
n88-1	n91	0	0	54	23.46690263541667
n81-1	n89	0	0	66	23.46262912708334
n94-1	n93	0	0	50	24.198740937500006
n83-1	n94	0	0	71	24.551305375000005
n97-1	n98	0	0	47	25.43698997708334
n96-1	n96	0	0	49	25.272459906250006
n85-1	n97	0	0	64	25.273528283333338
n84-1	n95	0	0	68	24.915621960416672
n98-1	n100	0	0	49	25.63570811458334
n91-1	n99	0	0	52	25.631434606250007
n87-1	n101	0	0	69	26.000024700000008
n113-1	n104	0	0	54	26.719042477083335
n107-1	n102	0	0	57	26.37288830208334
n100-1	n105	0	0	63	26.719042477083335
n99-1	n103	0	0	66	26.389982335416672
n114-1	n106	0	0	47	27.09511121041667
n106-1	n109	0	0	59	27.462632927083334
n105-1	n107	0	0	62	27.107931735416667
n101-1	n108	0	0	68	27.460496172916667
n117-1	n114	0	0	44	28.310924331250003
n116-1	n112	0	0	45	28.145325883333335
n109-1	n111	0	0	56	27.805581970833337
n103-1	n113	0	0	61	28.161351539583336
n102-1	n110	0	0	65	27.80024008541667
n119-1	n119	0	0	42	28.88143769375001
n118-1	n117	0	0	45	28.521394616666672
n111-1	n118	0	0	57	28.860070152083342
n104-1	n115	0	0	66	28.509642468750005
n134-1	n121	0	0	44	29.22545511458334
n126-1	n120	0	0	59	29.221181606250006
n127-1	n125	0	0	62	29.568404158333337
n129-1	n133	0	0	56	30.245755229166672
n121-1	n129	0	0	65	29.923105350000004
n135-1	n139	0	0	42	30.61968720833334
n130-1	n138	0	0	57	30.618618831250007
n131-1	n141	0	0	61	30.97332002291667
n122-1	n137	0	0	66	30.607935060416676
n123-1	n140	0	0	69	30.96690976041667
n136-1	n143	0	0	50	31.349388756250004
n133-1	n144	0	0	54	31.683790783333336
n124-1	n142	0	0	71	31.340841739583336
n125-1	n145	0	0	74	31.685927537500003
n146-1	n146	0	0	56	32.07374841875
n147-1	n148	0	0	59	32.423107725
n138-1	n147	0	0	68	32.39639829791667
n153-1	n150	0	0	49	32.777808916666665
n149-1	n152	0	0	57	33.141057124999996
n139-1	n149	0	0	69	32.77353540833333
n140-1	n151	0	0	73	33.13678361666666
n154-1	n154	0	0	47	33.51392072708333
n150-1	n153	0	0	62	33.51071559583333
n141-1	n155	0	0	66	33.867553541666666
n142-1	n156	0	0	68	34.0320836125
n155-1	n163	0	0	52	34.554520006249994
n151-1	n158	0	0	59	34.244690652083335
n144-1	n165	0	0	66	34.67204148541666
n143-1	n159	0	0	68	34.30558814583333
n145-1	n166	0	0	68	34.742554372916665
n169-1	n171	0	0	45	35.228665945833335
n168-1	n169	0	0	49	34.87503313125
n162-1	n170	0	0	61	35.223324060416665
n161-1	n167	0	0	64	34.86434936041666
n156-1	n168	0	0	69	34.865417737499996
n170-1	n172	0	0	54	35.59191415416667
n163-1	n173	0	0	63	35.59298253125001
n164-1	n175	0	0	66	35.96264100208334
