onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.356839,0.1442309,61,49,0,0,n0,-10.0,-10.0
1.7307708,0.17414546,57,53,0,0,n1,1.73077,2.0
2.0876088,0.14102578,54,66,0,0,n2,1.73077,2.0
2.4668827,1.147437,62,65,0,0,n3,2.46688,3.0
3.601499,0.1634617,61,53,0,0,n4,3.23291,4.0
3.776713,0.26709428,59,55,0,0,n5,3.23291,4.0
3.9989355,0.79380417,61,57,0,0,n6,3.23291,4.0
5.1185946,0.17094034,66,70,0,0,n7,4.76069,6.0
5.522441,1.113249,59,72,0,0,n8,5.52244,7.0
6.613254,0.1634617,57,54,0,0,n9,6.247335,8.0
6.769237,0.2051284,56,61,0,0,n10,6.247335,8.0
6.972229,0.16559845,57,64,0,0,n11,6.247335,8.0
7.3194513,0.14957279,54,58,0,0,n12,6.97223,9.0
7.64958,0.13782065,56,60,0,0,n13,7.64958,10.0
7.831204,0.057692364,57,52,0,0,n14,7.64958,10.0
7.9209476,0.060897496,56,58,0,0,n15,7.64958,10.0
8.01817,0.047008593,57,65,0,0,n16,7.64958,10.0
8.087614,0.05876074,56,65,0,0,n17,7.64958,10.0
8.174153,0.052350476,57,66,0,0,n18,7.64958,10.0
8.257486,0.053418852,56,52,0,0,n19,7.64958,10.0
8.344025,0.049145345,57,65,0,0,n20,7.64958,10.0
8.423085,0.07051289,56,64,0,0,n21,8.397294,11.0
8.520308,0.053418852,57,61,0,0,n22,8.397294,11.0
8.598299,0.055555608,56,62,0,0,n23,8.397294,11.0
8.691248,0.04807697,57,67,0,0,n24,8.397294,11.0
8.756418,0.060897496,56,65,0,0,n25,8.397294,11.0
8.836547,0.099359065,54,63,0,0,n26,8.397294,11.0
8.961547,0.10363258,56,66,0,0,n27,8.397294,11.0
9.06518,0.21260704,54,67,0,0,n28,9.06518,12.0
9.428428,0.19017112,56,58,0,0,n29,9.06518,12.0
9.801291,0.2094019,57,54,0,0,n30,9.80129,13.0
10.160266,0.22863269,66,67,0,0,n31,9.80129,13.0
10.185907,0.14636765,59,42,0,0,n32,9.80129,13.0
10.522446,0.25000024,64,71,0,0,n33,9.80129,13.0
10.528856,0.19551301,61,48,0,0,n34,10.52565,14.0
10.887831,0.22115405,61,65,0,0,n35,10.52565,14.0
11.256421,1.113249,69,71,0,0,n36,11.2564,15.0
11.605781,0.18803437,63,53,0,0,n37,11.2564,15.0
11.998943,0.7927358,64,60,0,0,n38,11.9989,16.0
12.334414,0.19658138,68,58,0,0,n39,11.9989,16.0
12.506422,0.25000024,66,63,0,0,n40,11.9989,16.0
12.701935,0.9188043,68,63,0,0,n41,12.7019,17.0
13.091893,0.130342,64,64,0,0,n42,12.7019,17.0
13.455141,0.8910265,58,64,0,0,n43,13.4551,18.0
13.797022,0.18696599,73,73,0,0,n44,13.4551,18.0
14.175227,1.0790609,66,72,0,0,n45,14.1752,19.0
