xml_id	midi_id	track	channel	pitch	onset
n6-1	n2	0	0	54	2.423079225
n5-1	n1	0	0	57	2.1217968875
n4-1	n0	0	0	61	1.8397453375000001
n7-1	n3	0	0	62	2.74679748125
n11-1	n5	0	0	59	3.7970121541666666
n10-1	n4	0	0	61	3.6720120354166665
n12-1	n6	0	0	61	3.954063585416667
n14-1	n7	0	0	66	4.9326969937500005
n15-1	n8	0	0	59	5.2617571354166675
n19-1	n10	0	0	56	6.380347941666667
n18-1	n9	0	0	57	6.2489375604166675
n21-1	n12	0	0	54	6.832271447916667
n20-1	n11	0	0	57	6.53526261875
n22-1	n14	0	0	56	7.40064805625
n29-1	n25	0	0	54	8.283127527083332
n30-1	n26	0	0	56	8.580136356249998
n31-1	n27	0	0	57	8.884623824999998
n32-1	n29	0	0	59	9.16453862083333
n25-1	n28	0	0	66	9.160265112499996
n33-1	n31	0	0	61	9.470094466666664
n27-1	n32	0	0	61	9.750009262499997
n26-1	n30	0	0	64	9.466889335416663
n34-1	n34	0	0	63	10.339753412499995
n28-1	n33	0	0	69	10.040607829166662
n42-1	n35	0	0	64	10.644240881249996
n37-1	n37	0	0	66	11.085480616666663
n36-1	n36	0	0	68	10.956206989583329
n43-1	n39	0	0	64	11.553429779166665
n38-1	n38	0	0	68	11.229711522916665
n45-1	n40	0	0	58	11.84295996875
n40-1	n41	0	0	73	12.123943141666667
n46-1	n43	0	0	60	12.71475566875
n41-1	n42	0	0	66	12.422020347916666
n53-1	n44	0	0	61	13.0192431375
n49-1	n46	0	0	63	13.436978577083336
n48-1	n45	0	0	64	13.3141152125
n54-1	n48	0	0	61	13.903859362500004
n51-1	deletion
n50-1	n47	0	0	64	13.59509838541667
n57-1	n54	0	0	58	14.555569383333337
n56-1	n52	0	0	60	14.43163764166667
n52-1	n50	0	0	63	14.310911031250004
n59-1	n61	0	0	56	14.982920216666669
n58-1	n57	0	0	60	14.711552437500002
n60-1	n66	0	0	61	15.290612816666671
n66-1	n65	0	0	64	15.277792291666671
n61-1	n67	0	0	73	15.564117350000005
n67-1	n69	0	0	57	16.161340139583338
n62-1	n68	0	0	66	15.867536441666672
n68-1	n70	0	0	62	16.461554100000004
n64-1	n71	0	0	71	16.759631306250004
n69-1	n73	0	0	56	17.358990850000005
n65-1	n72	0	0	64	17.06839228333334
n75-1	n74	0	0	61	17.660273187500007
n71-1	n75	0	0	69	17.96262390208334
n76-1	n76	0	0	59	18.25108571458334
n72-1	n77	0	0	68	18.55557318333334
n77-1	n78	0	0	57	18.848308504166674
n73-1	n79	0	0	66	19.15172759583334
n80-1	n81	0	0	49	19.727582843750007
n78-1	n80	0	0	56	19.463693704166673
n74-1	n82	0	0	65	19.73826661458334
n93-1	n86	0	0	42	20.313053485416674
n92-1	n83	0	0	45	20.025660050000003
n88-1	n84	0	0	54	20.026728427083334
n81-1	n85	0	0	66	20.034207066666667
n94-1	n87	0	0	50	20.61326744583334
n83-1	n88	0	0	71	20.91241302916667
n97-1	n92	0	0	47	21.606858133333333
n96-1	n90	0	0	49	21.481858014583334
n85-1	n91	0	0	64	21.49574691666667
n84-1	n89	0	0	68	21.220105629166667
n98-1	n93	0	0	49	21.767114695833335
n91-1	n94	0	0	52	21.767114695833335
n87-1	n95	0	0	69	22.061986770833336
n113-1	n99	0	0	54	22.64104715
n107-1	n97	0	0	57	22.357927222916665
n100-1	n98	0	0	63	22.63891039583333
n99-1	n96	0	0	66	22.352585337500003
n114-1	n100	0	0	47	22.939124356249998
n106-1	n102	0	0	59	23.228654545833326
n105-1	n101	0	0	62	22.94980812708333
n101-1	n103	0	0	68	23.230791299999993
n117-1	n108	0	0	44	23.927373158333324
n116-1	n107	0	0	45	23.80450979374999
n109-1	n104	0	0	56	23.517116358333322
n103-1	n106	0	0	61	23.79596277708332
n102-1	n105	0	0	65	23.522458243749988
n119-1	n111	0	0	42	24.368612893750008
n118-1	n109	0	0	45	24.080151081249998
n111-1	n112	0	0	57	24.37502315625001
n104-1	n110	0	0	66	24.083356212499996
n134-1	n115	0	0	44	24.80557912083335
n126-1	n114	0	0	59	24.676305493750014
n127-1	n117	0	0	62	24.942331387500012
n129-1	n126	0	0	56	25.516049881250016
n121-1	n121	0	0	65	25.237203462500016
n135-1	n129	0	0	42	25.79810143125002
n130-1	n131	0	0	57	25.81305871041669
n131-1	n133	0	0	61	26.102588900000026
n122-1	n130	0	0	66	25.804511693750023
n123-1	n132	0	0	69	26.09831539166669
n136-1	n134	0	0	50	26.383572072916703
n133-1	n136	0	0	54	26.664555245833373
