idx,matchtype,partid,ppartid
0,0,n6-1,n2
1,0,n5-1,n1
2,0,n4-1,n0
3,0,n7-1,n3
4,0,n11-1,n5
5,0,n10-1,n4
6,0,n12-1,n6
7,0,n14-1,n7
8,0,n15-1,n8
9,0,n19-1,n10
10,0,n18-1,n9
11,0,n21-1,n12
12,0,n20-1,n11
13,0,n22-1,n15
14,0,n29-1,n22
15,0,n30-1,n23
16,0,n31-1,n24
17,0,n32-1,n26
18,0,n25-1,n25
19,0,n33-1,n28
20,0,n27-1,n29
21,0,n26-1,n27
22,0,n34-1,n31
23,0,n28-1,n30
24,0,n42-1,n32
25,0,n37-1,n34
26,0,n36-1,n33
27,0,n43-1,n36
28,0,n38-1,n35
29,0,n45-1,n37
30,0,n40-1,n38
31,0,n46-1,n40
32,0,n41-1,n39
33,0,n53-1,n41
34,0,n49-1,n43
35,0,n48-1,n42
36,0,n54-1,n45
37,1,n51-1,undefined
38,0,n50-1,n44
39,0,n57-1,n53
40,0,n56-1,n50
41,0,n52-1,n47
42,0,n59-1,n59
43,0,n58-1,n58
44,0,n60-1,n60
45,0,n66-1,n61
46,0,n61-1,n62
47,0,n67-1,n64
48,0,n62-1,n63
49,0,n68-1,n65
50,0,n64-1,n66
51,0,n69-1,n68
52,0,n65-1,n67
53,0,n75-1,n69
54,0,n71-1,n70
55,0,n76-1,n71
56,0,n72-1,n72
57,0,n77-1,n73
58,0,n73-1,n74
59,0,n80-1,n76
60,0,n78-1,n75
61,0,n74-1,n77
62,0,n93-1,n81
63,0,n92-1,n78
64,0,n88-1,n80
65,0,n81-1,n79
66,0,n94-1,n82
67,0,n83-1,n83
68,0,n97-1,n87
69,0,n96-1,n85
70,0,n85-1,n86
71,0,n84-1,n84
72,0,n98-1,n88
73,0,n91-1,n89
74,0,n87-1,n90
75,0,n113-1,n93
76,0,n107-1,n91
77,0,n100-1,n94
78,0,n99-1,n92
79,0,n114-1,n95
80,0,n106-1,n98
81,0,n105-1,n96
82,0,n101-1,n97
83,0,n117-1,n103
84,0,n116-1,n101
85,0,n109-1,n99
86,0,n103-1,n102
87,0,n102-1,n100
88,0,n119-1,n107
89,0,n118-1,n104
90,0,n111-1,n106
91,0,n104-1,n105
92,0,n134-1,n110
93,0,n126-1,n108
94,0,n127-1,n112
95,0,n129-1,n119
96,0,n121-1,n118
97,0,n135-1,n122
98,0,n130-1,n121
99,0,n131-1,n124
100,0,n122-1,n120
101,0,n123-1,n123
102,0,n136-1,n125
103,0,n133-1,n128
104,0,n124-1,n126
105,0,n125-1,n127
106,0,n146-1,n129
107,0,n147-1,n131
108,0,n138-1,n130
109,0,n153-1,n132
110,0,n149-1,n135
111,0,n139-1,n133
112,0,n140-1,n134
113,0,n154-1,n137
114,0,n150-1,n136
115,0,n141-1,n138
116,0,n142-1,n139
117,0,n155-1,n144
118,0,n151-1,n140
119,0,n144-1,n146
120,0,n143-1,n142
121,0,n145-1,n147
122,0,n169-1,n152
123,0,n168-1,n150
124,0,n162-1,n151
125,0,n161-1,n148
126,0,n156-1,n149
127,0,n170-1,n154
128,0,n163-1,n153
129,0,n164-1,n156
130,0,n157-1,n155
131,0,n165-1,n158
132,0,n159-1,n159
133,0,n158-1,n157
134,0,n171-1,n161
135,0,n166-1,n160
136,0,n167-1,n163
137,0,n160-1,n162
138,0,n186-1,n164
139,0,n179-1,n166
140,0,n180-1,n167
141,0,n172-1,n165
142,0,n187-1,n171
143,0,n182-1,n174
144,0,n181-1,n170
145,0,n183-1,n175
146,0,n173-1,n168
147,0,n189-1,n179
148,0,n188-1,n176
149,0,n184-1,n178
150,0,n175-1,n180
151,0,n174-1,n177
152,0,n190-1,n182
153,0,n185-1,n184
154,0,n176-1,n181
155,0,n177-1,n183
156,0,n198-1,n187
157,0,n197-1,n185
158,0,n191-1,n186
159,0,n205-1,n189
160,0,n199-1,n190
161,0,n192-1,n188
162,0,n193-1,n191
163,0,n207-1,n194
164,0,n201-1,n195
165,0,n200-1,n192
166,0,n194-1,n193
167,0,n208-1,n197
168,0,n203-1,n199
169,1,n202-1,undefined
170,0,n196-1,n198
171,0,n195-1,n196
172,0,n217-1,n202
173,0,n216-1,n201
174,0,n209-1,n200
175,0,n222-1,n204
176,0,n218-1,n203
177,0,n210-1,n205
178,0,n223-1,n207
179,1,n219-1,undefined
180,0,n224-1,n209
181,0,n212-1,n208
182,0,n211-1,n206
183,0,n225-1,n211
184,0,n226-1,n213
185,0,n215-1,n212
186,0,n213-1,n210
187,0,n241-1,n216
188,0,n240-1,n214
189,0,n234-1,n215
190,0,n229-1,n218
191,0,n228-1,n217
192,0,n242-1,n220
193,0,n243-1,n222
194,0,n235-1,n221
195,0,n230-1,n219
196,0,n245-1,n226
197,0,n244-1,n224
198,0,n236-1,n223
199,0,n232-1,n225
200,0,n246-1,n228
201,0,n247-1,n229
202,0,n239-1,n231
203,0,n238-1,n230
204,0,n233-1,n227
205,0,n262-1,n234
206,0,n261-1,n233
207,0,n255-1,n235
208,0,n254-1,n232
209,0,n250-1,n237
210,0,n249-1,n236
211,0,n263-1,n239
212,0,n264-1,n242
213,0,n256-1,n240
214,0,n252-1,n241
215,0,n251-1,n238
216,0,n266-1,n245
217,0,n265-1,n244
218,0,n259-1,n247
219,0,n258-1,n246
220,0,n253-1,n243
221,0,n268-1,n250
222,0,n267-1,n249
223,0,n260-1,n248
224,0,n281-1,n254
225,0,n280-1,n252
226,0,n277-1,n255
227,0,n276-1,n253
228,0,n269-1,n251
229,0,n283-1,n259
230,0,n282-1,n257
