onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,0.05625,61,54,1,0,n0,-10.0,-10.0
0.8541667,0.048958335,57,54,1,0,n1,-10.0,-10.0
1.2,0.042708334,54,61,1,0,n2,0.854167,2.0
1.5875,1.0260416,62,71,1,0,n3,1.5875,3.0
2.646875,0.048958335,61,66,1,0,n4,2.298437,4.0
2.796875,0.039583333,59,65,1,0,n5,2.298437,4.0
3.009375,1.0229167,61,59,1,0,n6,3.009375,5.0
4.085417,0.055208333,66,66,1,0,n7,3.741146,6.0
4.4729166,1.040625,59,57,1,0,n8,3.741146,6.0
5.5760417,0.045833334,57,56,1,0,n9,5.169792,8.0
5.7052083,0.040625,56,59,1,0,n10,5.169792,8.0
5.866667,0.042708334,57,72,1,0,n11,5.866667,9.0
6.227083,0.046875,54,71,1,0,n12,5.866667,9.0
6.555208,0.040625,57,63,1,0,n13,6.554992,10.0
6.616667,0.060416665,56,53,1,0,n14,6.554992,10.0
6.69375,0.053125,57,67,1,0,n15,6.554992,10.0
6.7916665,0.045833334,56,62,1,0,n16,6.554992,10.0
6.88125,0.030208332,57,54,1,0,n17,6.554992,10.0
6.925,0.051041666,56,71,1,0,n18,6.554992,10.0
7.00625,0.054166667,57,73,1,0,n19,6.554992,10.0
7.094792,0.051041666,56,68,1,0,n20,6.554992,10.0
7.1770835,0.042708334,57,63,1,0,n21,7.176282,11.0
7.253125,0.053125,56,62,1,0,n22,7.176282,11.0
7.3145833,0.060416665,57,69,1,0,n23,7.176282,11.0
7.4,0.052083332,56,70,1,0,n24,7.176282,11.0
7.48125,0.048958335,57,67,1,0,n25,7.176282,11.0
7.5729165,0.036458332,56,53,1,0,n26,7.176282,11.0
7.617708,0.061458334,57,71,1,0,n27,7.176282,11.0
7.703125,0.078125,56,69,1,0,n28,7.176282,11.0
7.796875,0.052083332,54,72,1,0,n29,7.796875,12.0
8.163542,0.047916666,56,58,1,0,n30,7.796875,12.0
8.492708,0.0375,57,62,1,0,n31,8.492708,13.0
8.822917,0.045833334,66,62,1,0,n32,8.492708,13.0
8.842709,0.08125,59,49,1,0,n33,8.492708,13.0
9.154166,0.28229168,61,43,1,0,n34,8.492708,13.0
9.170834,0.15104167,64,57,1,0,n35,9.1625,14.0
9.534375,0.048958335,61,54,1,0,n36,9.1625,14.0
9.8625,0.8875,69,63,1,0,n37,9.8625,15.0
10.205209,0.039583333,63,62,1,0,n38,9.8625,15.0
10.565625,0.5208333,64,54,1,0,n39,10.565625,16.0
10.897917,0.041666668,68,74,1,0,n40,10.565625,16.0
11.042708,0.04375,66,68,1,0,n41,10.565625,16.0
11.234375,0.896875,68,75,1,0,n42,11.234375,17.0
11.5875,0.045833334,64,59,1,0,n43,11.234375,17.0
11.94375,0.73854166,58,50,1,0,n44,11.94375,18.0
12.295834,0.048958335,73,68,1,0,n45,11.94375,18.0
12.634375,0.87083334,66,67,1,0,n46,12.634375,19.0
13.002084,0.039583333,60,60,1,0,n47,12.634375,19.0
13.364583,0.41666666,61,55,1,0,n48,13.364583,20.0
13.694792,0.042708334,64,70,1,0,n49,13.364583,20.0
13.83125,0.063541666,63,63,1,0,n50,13.364583,20.0
14.013541,0.053125,64,64,1,0,n51,13.364583,20.0
14.348958,0.54375,61,71,1,0,n52,14.013542,21.0
14.669791,0.041666668,64,60,1,0,n53,14.6676,22.0
14.751041,0.045833334,63,60,1,0,n54,14.6676,22.0
14.819792,0.052083332,64,56,1,0,n55,14.6676,22.0
