xml_id	midi_id	track	channel	pitch	onset
n3-1	n1	1	0	71	0.6604166666666667
n2-1	n0	1	0	74	0.5
n4-1	n2	1	0	74	0.8020833333333334
n6-1	n4	1	0	74	1.0927083333333334
n5-1	n3	1	0	79	0.9427083333333334
n8-1	n5	1	0	71	1.2458333333333333
n9-1	n6	1	0	74	1.3979166666666667
n10-1	n7	1	0	67	1.5552083333333333
n11-1	n8	1	0	74	1.6833333333333333
n12-1	n9	1	0	71	1.8343749999999999
n13-1	n10	1	0	74	1.965625
n16-1	n12	1	0	72	2.2781250000000006
n15-1	n11	1	0	76	2.1281250000000003
n17-1	n13	1	0	69	2.4250000000000007
n18-1	n14	1	0	72	2.5500000000000007
n19-1	n15	1	0	66	2.693750000000001
n20-1	n16	1	0	69	2.823958333333334
n23-1	n18	1	0	71	3.1072916666666672
n22-1	n17	1	0	74	2.969791666666667
n24-1	n19	1	0	67	3.2625000000000006
n25-1	n20	1	0	71	3.389583333333334
n26-1	n21	1	0	64	3.5572916666666674
n27-1	n22	1	0	67	3.693750000000001
n30-1	n24	1	0	69	3.9729166666666678
n29-1	n23	1	0	72	3.8354166666666676
n31-1	n25	1	0	66	4.118750000000001
n32-1	n26	1	0	69	4.253125000000002
n33-1	n27	1	0	62	4.410416666666668
n34-1	n28	1	0	66	4.556250000000001
n37-1	n30	1	0	69	4.866666666666669
n36-1	n29	1	0	71	4.716666666666669
n38-1	n31	1	0	67	5.000000000000002
n39-1	n32	1	0	69	5.126041666666668
n40-1	n33	1	0	71	5.270833333333335
n41-1	n34	1	0	72	5.430208333333335
n44-1	n36	1	0	69	5.710416666666668
n43-1	n35	1	0	74	5.581250000000001
n45-1	n37	1	0	71	5.853125000000001
n46-1	n38	1	0	73	5.993750000000001
n47-1	n39	1	0	74	6.139583333333334
n48-1	n40	1	0	76	6.269791666666668
n56-1	n43	1	0	67	6.577083333333334
n51-1	n42	1	0	76	6.572916666666668
n50-1	n41	1	0	78	6.425000000000002
n57-1	n44	1	0	66	6.698958333333334
n58-1	n47	1	0	69	6.843750000000001
n52-1	n45	1	0	74	6.707291666666667
n53-1	n46	1	0	76	6.8395833333333345
n60-1	n51	1	0	69	7.117708333333335
n59-1	n49	1	0	74	6.994791666666668
n54-1	n48	1	0	78	6.979166666666668
n55-1	n50	1	0	79	7.107291666666668
n65-1	n53	1	0	66	7.267708333333335
n66-1	n54	1	0	69	7.416666666666669
n62-1	n52	1	0	81	7.260416666666669
n67-1	n55	1	0	62	7.553125000000002
n68-1	n56	1	0	69	7.679166666666669
n69-1	n57	1	0	66	7.825000000000002
n70-1	n59	1	0	69	7.9593750000000005
n64-1	n58	1	0	81	7.832291666666668
n75-1	deletion
n74-1	n61	1	0	71	8.107291666666667
n72-1	n60	1	0	74	8.096875
n76-1	n63	1	0	64	8.396875000000001
n77-1	n65	1	0	67	8.498958333333334
n73-1	n62	1	0	79	8.357291666666669
n78-1	n67	1	0	61	8.653125
n79-1	deletion
n85-1	n70	1	0	66	9.054166666666665
n84-1	n69	1	0	69	8.919791666666665
n86-1	n72	1	0	62	9.189583333333333
n87-1	n73	1	0	66	9.29375
n82-1	n71	1	0	78	9.178125
n88-1	n75	1	0	59	9.463541666666666
n89-1	n76	1	0	62	9.56875
