onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,0.053125,74,62,1,0,n0,-10.0,-10.0
0.66041666,0.044791665,71,67,1,0,n1,-10.0,-10.0
0.8020833,0.06666667,74,75,1,0,n2,0.660417,1.0
0.9427083,0.072916664,79,77,1,0,n3,0.942708,2.0
1.0927083,0.042708334,74,72,1,0,n4,0.942708,2.0
1.2458333,0.045833334,71,70,1,0,n5,1.245833,3.0
1.3979167,0.05,74,60,1,0,n6,1.245833,3.0
1.5552083,0.05,67,60,1,0,n7,1.555208,4.0
1.6833333,0.047916666,74,68,1,0,n8,1.555208,4.0
1.834375,0.057291668,71,67,1,0,n9,1.834375,5.0
1.965625,0.06458333,74,72,1,0,n10,1.834375,5.0
2.128125,0.11354167,76,67,1,0,n11,2.128125,6.0
2.278125,0.06979167,72,76,1,0,n12,2.128125,6.0
2.425,0.055208333,69,76,1,0,n13,2.425,7.0
2.55,0.06875,72,79,1,0,n14,2.425,7.0
2.69375,0.058333334,66,74,1,0,n15,2.69375,8.0
2.8239584,0.06458333,69,75,1,0,n16,2.69375,8.0
2.9697917,0.121875,74,77,1,0,n17,2.69375,8.0
3.1072917,0.07604167,71,76,1,0,n18,2.969792,9.0
3.2625,0.045833334,67,63,1,0,n19,3.2625,10.0
3.3895833,0.06666667,71,69,1,0,n20,3.2625,10.0
3.5572917,0.051041666,64,63,1,0,n21,3.2625,10.0
3.69375,0.058333334,67,66,1,0,n22,3.557292,11.0
3.8354166,0.12291667,72,69,1,0,n23,3.557292,11.0
3.9729166,0.079166666,69,74,1,0,n24,3.835417,12.0
4.11875,0.060416665,66,71,1,0,n25,4.11875,13.0
4.253125,0.059375,69,69,1,0,n26,4.11875,13.0
4.4104166,0.06979167,62,57,1,0,n27,4.11875,13.0
4.55625,0.13645834,66,61,1,0,n28,4.410417,14.0
4.7166667,0.18854167,71,59,1,0,n29,4.410417,14.0
4.866667,0.05625,69,67,1,0,n30,4.716667,15.0
5.0,0.058333334,67,55,1,0,n31,5.0,16.0
5.126042,0.048958335,69,71,1,0,n32,5.0,16.0
5.2708335,0.054166667,71,68,1,0,n33,5.270833,17.0
5.430208,0.10104167,72,59,1,0,n34,5.270833,17.0
5.58125,0.104166664,74,58,1,0,n35,5.58125,18.0
5.710417,0.13125,69,65,1,0,n36,5.58125,18.0
5.853125,0.077083334,71,70,1,0,n37,5.853125,19.0
5.99375,0.083333336,73,72,1,0,n38,5.853125,19.0
6.139583,0.090625,74,64,1,0,n39,6.139583,20.0
6.2697916,0.083333336,76,65,1,0,n40,6.139583,20.0
6.425,0.21354167,78,71,1,0,n41,6.425,21.0
6.5729165,0.0875,76,69,1,0,n42,6.425,21.0
6.577083,0.088541664,67,54,1,0,n43,6.425,21.0
6.6989584,0.114583336,66,60,1,0,n44,6.425,21.0
6.7072916,0.078125,74,71,1,0,n45,6.703125,22.0
6.8395834,0.08020833,76,74,1,0,n46,6.703125,22.0
6.84375,0.10520833,69,67,1,0,n47,6.703125,22.0
6.9791665,0.075,78,81,1,0,n48,6.703125,22.0
6.9947915,0.09375,74,64,1,0,n49,6.986979,23.0
7.1072917,0.096875,79,82,1,0,n50,6.986979,23.0
7.117708,0.060416665,69,68,1,0,n51,6.986979,23.0
7.2604165,0.19166666,81,83,1,0,n52,6.986979,23.0
7.2677083,0.055208333,66,60,1,0,n53,7.264062,24.0
7.4166665,0.045833334,69,74,1,0,n54,7.264062,24.0
7.553125,0.053125,62,55,1,0,n55,7.553125,25.0
7.679167,0.044791665,69,67,1,0,n56,7.553125,25.0
7.825,0.045833334,66,44,1,0,n57,7.553125,25.0
7.8322916,0.057291668,81,72,1,0,n58,7.828646,26.0
7.959375,0.039583333,69,39,1,0,n59,7.828646,26.0
8.096875,0.044791665,74,63,1,0,n60,7.828646,26.0
8.107291,0.0375,71,63,1,0,n61,8.102083,27.0
8.357291,0.065625,79,66,1,0,n62,8.102083,27.0
8.396875,0.0375,64,70,1,0,n63,8.377083,28.0
8.453125,0.10729167,78,74,1,0,n64,8.377083,28.0
8.498959,0.035416666,67,58,1,0,n65,8.377083,28.0
8.51875,0.68125,79,55,1,0,n66,8.377083,28.0
8.653125,0.090625,61,48,1,0,n67,8.653125,29.0
8.761458,0.07083333,63,66,1,0,n68,8.653125,29.0
8.919791,0.08958333,69,73,1,0,n69,8.653125,29.0
9.054167,0.067708336,66,71,1,0,n70,8.919792,30.0
9.178125,0.06875,78,77,1,0,n71,8.919792,30.0
9.189584,0.057291668,62,54,1,0,n72,9.183854,31.0
9.29375,0.09166667,66,64,1,0,n73,9.183854,31.0
9.442708,0.039583333,74,78,1,0,n74,9.183854,31.0
9.463542,0.08958333,59,59,1,0,n75,9.453125,32.0
9.56875,0.11145833,62,65,1,0,n76,9.453125,32.0
9.717709,0.057291668,71,74,1,0,n77,9.453125,32.0
9.722917,0.05625,67,63,1,0,n78,9.720313,33.0
9.838542,0.053125,64,66,1,0,n79,9.720313,33.0
9.996875,0.063541666,76,74,1,0,n80,9.720313,33.0
