onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,0.088541664,62,89,1,0,n0,0.5,1.0
1.4752604,0.044270832,58,86,1,0,n1,1.17513,2.0
1.8502604,0.40104166,63,87,1,0,n2,1.85026,3.0
2.5,0.6354167,60,80,1,0,n3,2.5,4.0
3.4283855,0.052083332,57,89,1,0,n4,3.134114,5.0
3.7682292,0.46484375,62,89,1,0,n5,3.768229,6.0
4.4388022,0.56640625,58,78,1,0,n6,4.438802,7.0
5.2929688,0.05859375,55,87,1,0,n7,5.026693,8.0
5.3294272,0.0013020834,53,58,1,0,n8,5.026693,8.0
5.6145835,0.05078125,60,93,1,0,n9,5.614583,9.0
5.9270835,0.041666668,60,78,1,0,n10,5.614583,9.0
6.2356772,0.040364582,60,66,1,0,n11,6.235677,10.0
6.5325522,0.0546875,60,79,1,0,n12,6.235677,10.0
6.8489585,0.055989582,60,84,1,0,n13,6.848958,11.0
7.153646,0.0390625,60,83,1,0,n14,6.848958,11.0
7.455729,0.3059896,60,83,1,0,n15,7.455729,12.0
7.7734375,0.114583336,58,65,1,0,n16,7.455729,12.0
7.9166665,0.13151042,57,58,1,0,n17,7.455729,12.0
8.058594,0.6015625,67,91,1,0,n18,7.455729,12.0
8.066406,0.15234375,58,61,1,0,n19,8.0625,13.0
8.238281,0.13020833,55,57,1,0,n20,8.0625,13.0
8.3984375,0.15104167,58,59,1,0,n21,8.0625,13.0
8.561198,0.102864586,60,66,1,0,n22,8.0625,13.0
8.704427,0.14192708,62,77,1,0,n23,8.704427,14.0
8.8567705,0.15234375,61,66,1,0,n24,8.704427,14.0
9.011719,0.03515625,62,74,1,0,n25,8.704427,14.0
9.014323,0.045572918,65,96,1,0,n26,8.704427,14.0
9.333333,0.3841146,70,92,1,0,n27,8.704427,14.0
9.3411455,0.4622396,62,66,1,0,n28,9.337239,15.0
9.6328125,0.29296875,55,59,1,0,n29,9.337239,15.0
9.977864,0.59375,67,84,1,0,n30,9.337239,15.0
10.125,0.15234375,55,77,1,0,n31,9.977865,16.0
