xml_id	midi_id	track	channel	pitch	onset
n3-1	n1	1	0	58	1.6692708333333333
n2-1	n0	1	0	62	0.5
n5-1	n2	1	0	63	2.1158854166666665
n6-1	n3	1	0	60	2.907552083333334
n7-1	n4	1	0	57	4.074218750000001
n9-1	n5	1	0	62	4.500000000000001
n10-1	n6	1	0	58	5.32421875
n11-1	n7	1	0	55	6.477864583333333
n13-1	n8	1	0	60	6.872395833333332
n14-1	n9	1	0	60	7.270833333333332
n15-1	n10	1	0	60	7.660156249999999
n16-1	n11	1	0	60	8.042968749999998
n17-1	n12	1	0	60	8.40234375
n18-1	n13	1	0	60	8.749999999999998
n25-1	n16	1	0	57	9.710937499999996
n24-1	n15	1	0	58	9.529947916666664
n23-1	n14	1	0	60	9.134114583333332
n27-1	n19	1	0	55	10.07942708333333
n26-1	n18	1	0	58	9.894531249999996
n28-1	n20	1	0	58	10.260416666666663
n29-1	n21	1	0	60	10.440104166666663
n20-1	n17	1	0	67	9.890624999999996
n31-1	n23	1	0	61	10.785156249999993
n30-1	n22	1	0	62	10.618489583333327
n32-1	n25	1	0	62	10.963541666666659
n22-1	n24	1	0	65	10.960937499999993
n38-1	n28	1	0	55	11.743489583333325
n37-1	n27	1	0	62	11.380208333333325
n33-1	n26	1	0	70	11.358072916666659
n40-1	n30	1	0	55	12.29557291666666
n41-1	n31	1	0	57	12.485677083333327
n42-1	n32	1	0	58	12.648437499999993
n34-1	n29	1	0	67	12.12760416666666
n44-1	n34	1	0	58	13.005208333333327
n43-1	n33	1	0	60	12.830729166666659
n45-1	n36	1	0	60	13.183593749999995
n36-1	n35	1	0	64	13.15104166666666
n51-1	n39	1	0	53	13.927083333333332
n50-1	n38	1	0	60	13.58333333333333
n46-1	n37	1	0	69	13.557291666666664
n53-1	n41	1	0	53	14.475260416666666
n54-1	n42	1	0	55	14.649739583333332
n55-1	n43	1	0	57	14.815104166666664
n47-1	n40	1	0	65	14.308593749999998
n57-1	n45	1	0	57	15.148437499999996
n56-1	n44	1	0	58	14.999999999999996
n58-1	n47	1	0	58	15.339843749999996
n49-1	n46	1	0	62	15.338541666666663
n66-1	n49	1	0	57	15.88020833333333
n68-1	n52	1	0	57	16.22005208333333
n67-1	n51	1	0	58	16.065104166666664
n59-1	n48	1	0	67	15.695312499999996
n60-1	n50	1	0	67	16.050781249999996
n70-1	n55	1	0	53	16.588541666666664
n72-1	n58	1	0	53	16.90625
n69-1	n54	1	0	55	16.42317708333333
n71-1	n57	1	0	55	16.765624999999996
n61-1	n53	1	0	67	16.39973958333333
n62-1	n56	1	0	67	16.738281249999996
n74-1	n61	1	0	50	17.278645833333332
n76-1	n64	1	0	50	17.619791666666668
n73-1	n59	1	0	52	17.096354166666664
n75-1	n63	1	0	52	17.48046875
n63-1	n60	1	0	67	17.102864583333332
n64-1	n62	1	0	67	17.451822916666668
n91-1	n66	1	0	49	17.819010416666668
n92-1	n67	1	0	57	18.18489583333334
n83-1	n69	1	0	64	18.365885416666675
n82-1	n68	1	0	65	18.18619791666667
n81-1	n65	1	0	67	17.807291666666668
n93-1	n71	1	0	50	18.550781250000007
n94-1	n75	1	0	60	18.912760416666668
n85-1	n73	1	0	62	18.738281250000004
n86-1	n74	1	0	64	18.89453125
n84-1	n72	1	0	65	18.554687500000007
n87-1	n76	1	0	66	19.0625
n78-1	n70	1	0	74	18.531250000000007
n96-1	n81	1	0	55	19.575520833333332
n95-1	n78	1	0	58	19.242187499999996
n89-1	n79	1	0	66	19.397135416666664
n88-1	n77	1	0	67	19.229166666666664
n90-1	n82	1	0	67	19.58203125
n80-1	n80	1	0	70	19.563802083333332
n111-1	n87	1	0	58	20.15625
n113-1	n89	1	0	58	20.459635416666664
n110-1	n85	1	0	60	19.9921875
n102-1	n88	1	0	60	20.311197916666664
n112-1	deletion
n101-1	n84	1	0	67	19.97265625
n97-1	n83	1	0	75	19.94140625
n115-1	n94	1	0	55	21.15364583333333
n114-1	n91	1	0	57	20.654947916666664
n104-1	n92	1	0	60	20.839843749999996
n105-1	n93	1	0	62	21.003906249999996
n106-1	n95	1	0	63	21.17447916666666
n98-1	n90	1	0	72	20.647135416666664
n117-1	n101	1	0	53	21.70052083333333
n116-1	n96	1	0	57	21.32682291666666
n108-1	n98	1	0	63	21.51432291666666
n107-1	n97	1	0	65	21.35416666666666
n109-1	n100	1	0	65	21.69010416666666
n100-1	n99	1	0	69	21.687499999999993
