xml_id	midi_id	track	channel	pitch	onset
n3-1	n1	1	0	58	1.3447916666666666
n2-1	n0	1	0	62	0.5
n5-1	n2	1	0	63	1.6572916666666666
n6-1	n3	1	0	60	2.290625
n7-1	n4	1	0	57	3.1624999999999996
n9-1	n5	1	0	62	3.479166666666666
n10-1	n6	1	0	58	4.137499999999999
n11-1	n7	1	0	55	5.043749999999999
n13-1	n8	1	0	60	5.3479166666666655
n14-1	n9	1	0	60	5.638541666666666
n15-1	n10	1	0	60	5.925
n16-1	n11	1	0	60	6.216666666666667
n17-1	n12	1	0	60	6.507291666666667
n18-1	n13	1	0	60	6.80625
n25-1	n16	1	0	57	7.575
n24-1	n15	1	0	58	7.430208333333334
n23-1	n14	1	0	60	7.112500000000001
n27-1	n19	1	0	55	7.858333333333333
n26-1	n18	1	0	58	7.722916666666667
n28-1	n20	1	0	58	8.004166666666666
n29-1	n21	1	0	60	8.155208333333333
n20-1	n17	1	0	67	7.710416666666667
n31-1	n23	1	0	61	8.432291666666666
n30-1	n22	1	0	62	8.279166666666665
n32-1	n25	1	0	62	8.563541666666666
n22-1	n24	1	0	65	8.561458333333333
n38-1	n28	1	0	55	9.203125000000002
n37-1	n27	1	0	62	8.890625000000002
n33-1	n26	1	0	70	8.871875000000001
n40-1	n30	1	0	55	9.639583333333334
n41-1	n31	1	0	57	9.784375
n42-1	n32	1	0	58	9.920833333333334
n34-1	n29	1	0	67	9.504166666666668
n44-1	n34	1	0	58	10.193750000000001
n43-1	n33	1	0	60	10.062500000000002
n45-1	n36	1	0	60	10.339583333333335
n36-1	n35	1	0	64	10.336458333333335
n51-1	n39	1	0	53	10.964583333333335
n50-1	n38	1	0	60	10.657291666666667
n46-1	n37	1	0	69	10.644791666666668
n53-1	n41	1	0	53	11.420833333333336
n54-1	n42	1	0	55	11.56666666666667
n55-1	n43	1	0	57	11.698958333333337
n47-1	n40	1	0	65	11.26666666666667
n57-1	n45	1	0	57	11.98229166666667
n56-1	n44	1	0	58	11.83541666666667
n58-1	n46	1	0	58	12.133333333333336
n49-1	n47	1	0	62	12.14166666666667
n66-1	n49	1	0	57	12.602083333333336
n68-1	n52	1	0	57	12.895833333333336
n67-1	n51	1	0	58	12.763541666666669
n59-1	n48	1	0	67	12.459375000000003
n60-1	n50	1	0	67	12.755208333333336
n70-1	n55	1	0	53	13.189583333333335
n72-1	n58	1	0	53	13.478124999999999
n69-1	n54	1	0	55	13.054166666666669
n71-1	n56	1	0	55	13.3375
n61-1	n53	1	0	67	13.048958333333335
n62-1	n57	1	0	67	13.341666666666667
n74-1	n61	1	0	50	13.771874999999998
n76-1	n64	1	0	50	14.054166666666664
n73-1	n60	1	0	52	13.631249999999998
n75-1	n62	1	0	52	13.912499999999998
n63-1	n59	1	0	67	13.621874999999998
n64-1	n63	1	0	67	13.916666666666664
n91-1	n65	1	0	49	14.207291666666663
n92-1	n68	1	0	57	14.524999999999995
n83-1	n69	1	0	64	14.645833333333327
n82-1	n67	1	0	65	14.517708333333328
n81-1	n66	1	0	67	14.21145833333333
n93-1	n71	1	0	50	14.796874999999993
n94-1	n74	1	0	60	15.096874999999995
n85-1	n73	1	0	62	14.955208333333328
n86-1	n75	1	0	64	15.103124999999995
n84-1	n72	1	0	65	14.808333333333326
n87-1	n76	1	0	66	15.241666666666662
n78-1	n70	1	0	74	14.79479166666666
n96-1	n80	1	0	55	15.638541666666663
n95-1	n77	1	0	58	15.366666666666662
n89-1	n79	1	0	66	15.510416666666663
n88-1	n78	1	0	67	15.36770833333333
n90-1	n82	1	0	67	15.644791666666663
n80-1	n81	1	0	70	15.64270833333333
n111-1	n86	1	0	58	16.082291666666663
n113-1	n88	1	0	58	16.35208333333333
n110-1	n84	1	0	60	15.941666666666663
n102-1	n87	1	0	60	16.221874999999997
n112-1	deletion
n101-1	n85	1	0	67	15.941666666666663
n97-1	n83	1	0	75	15.932291666666663
n115-1	n93	1	0	55	16.9
n114-1	n89	1	0	57	16.487499999999997
n104-1	n91	1	0	60	16.638541666666665
n105-1	n92	1	0	62	16.773958333333333
n106-1	n94	1	0	63	16.914583333333333
n98-1	n90	1	0	72	16.494791666666664
n117-1	n99	1	0	53	17.327083333333334
n116-1	n95	1	0	57	17.042708333333334
n108-1	n97	1	0	63	17.184375
n107-1	n96	1	0	65	17.047916666666666
n109-1	n100	1	0	65	17.327083333333334
n100-1	n98	1	0	69	17.315625
n131-1	n104	1	0	57	17.769791666666666
n133-1	n106	1	0	57	18.04166666666667
n130-1	n103	1	0	58	17.63958333333333
n132-1	n105	1	0	58	17.902083333333334
n122-1	deletion
n121-1	n102	1	0	65	17.62395833333333
n118-1	n101	1	0	74	17.61875
n134-1	n107	1	0	55	18.171875000000004
n135-1	n111	1	0	57	18.462500000000006
n124-1	n109	1	0	58	18.33229166666667
n136-1	n112	1	0	58	18.594791666666676
n125-1	n110	1	0	60	18.459375000000005
n126-1	n113	1	0	62	18.598958333333343
n119-1	n108	1	0	70	18.177083333333336
n138-1	n119	1	0	58	19.182291666666675
n137-1	n115	1	0	60	18.742708333333344
n128-1	n116	1	0	62	18.889583333333345
n127-1	n114	1	0	63	18.738541666666677
n129-1	n118	1	0	63	19.036458333333343
n120-1	n117	1	0	67	19.03125000000001
n157-1	n120	1	0	57	19.347916666666677
n146-1	n122	1	0	62	19.486458333333342
n148-1	n125	1	0	62	19.775000000000002
n147-1	n124	1	0	63	19.643750000000004
n139-1	n121	1	0	72	19.347916666666677
n140-1	n123	1	0	72	19.63020833333334
n158-1	n131	1	0	55	20.215625000000003
n150-1	n128	1	0	58	20.08541666666667
n152-1	n132	1	0	58	20.353125000000002
n149-1	n126	1	0	60	19.923958333333335
n151-1	n129	1	0	60	20.206250000000004
n141-1	n127	1	0	72	19.923958333333335
n142-1	n130	1	0	72	20.211458333333336
n160-1	n139	1	0	52	20.787499999999998
n159-1	n133	1	0	54	20.493750000000002
n154-1	n136	1	0	55	20.64375
n156-1	n140	1	0	55	20.92083333333333
n153-1	n134	1	0	57	20.498958333333334
n155-1	n137	1	0	57	20.773958333333333
n143-1	n135	1	0	72	20.498958333333334
n144-1	n138	1	0	72	20.778125
n177-1	n141	1	0	50	21.069791666666664
n171-1	n142	1	0	54	21.069791666666664
n178-1	n144	1	0	54	21.381249999999998
n172-1	n146	1	0	62	21.390624999999996
n163-1	n147	1	0	69	21.520833333333332
n162-1	n145	1	0	70	21.385416666666664
n161-1	n143	1	0	72	21.074999999999996
n185-1	n148	1	0	55	21.677083333333336
n179-1	deletion
n180-1	n153	1	0	62	21.982291666666676
n181-1	n155	1	0	64	22.137500000000006
n165-1	n150	1	0	67	21.829166666666673
n173-1	n152	1	0	67	21.970833333333342
n164-1	n149	1	0	70	21.683333333333337
n166-1	n151	1	0	70	21.96458333333334
n167-1	n154	1	0	72	22.110416666666673
n186-1	n163	1	0	53	22.529166666666672
n183-1	n160	1	0	64	22.388541666666672
n182-1	n157	1	0	65	22.24479166666667
n184-1	n161	1	0	65	22.525000000000006
n176-1	n164	1	0	69	22.66250000000001
n169-1	n159	1	0	73	22.38333333333334
n168-1	n158	1	0	74	22.24479166666667
n170-1	n162	1	0	74	22.525000000000006
n209-1	n166	1	0	58	22.815625000000008
n203-1	n167	1	0	62	22.82708333333334
n198-1	n170	1	0	65	23.242708333333344
n197-1	n169	1	0	67	23.105208333333344
n188-1	deletion
n196-1	n168	1	0	69	22.95937500000001
n187-1	n165	1	0	74	22.810416666666676
n210-1	n172	1	0	55	23.391666666666676
n206-1	n177	1	0	58	23.803125000000005
n205-1	n174	1	0	60	23.660416666666674
n199-1	n171	1	0	64	23.385416666666675
n189-1	n173	1	0	67	23.531250000000007
n190-1	n175	1	0	69	23.669791666666672
n191-1	n176	1	0	70	23.797916666666673
n211-1	n182	1	0	52	24.22083333333334
n208-1	n183	1	0	55	24.22708333333334
n207-1	n179	1	0	57	23.952083333333334
n202-1	n184	1	0	67	24.35833333333334
n193-1	n180	1	0	70	24.077083333333334
n192-1	n178	1	0	72	23.939583333333335
n194-1	n181	1	0	72	24.218750000000004
n234-1	n186	1	0	57	24.513541666666676
n228-1	n187	1	0	60	24.513541666666676
n223-1	n190	1	0	64	24.942708333333343
n213-1	n189	1	0	65	24.80312500000001
n222-1	deletion
n221-1	n188	1	0	67	24.659375000000008
n212-1	n185	1	0	72	24.50625000000001
n235-1	n191	1	0	53	25.08854166666668
n231-1	n197	1	0	57	25.507291666666674
n230-1	n195	1	0	58	25.375000000000007
n224-1	n192	1	0	62	25.08854166666668
n214-1	n193	1	0	65	25.23229166666668
n215-1	n194	1	0	67	25.369791666666675
n216-1	n196	1	0	69	25.497916666666676
n236-1	n201	1	0	50	25.92708333333334
n233-1	n203	1	0	53	25.936458333333338
n232-1	n199	1	0	55	25.648958333333344
n227-1	n204	1	0	65	26.077083333333338
n218-1	n200	1	0	69	25.783333333333342
n217-1	n198	1	0	70	25.641666666666676
n219-1	n202	1	0	70	25.92708333333334
n256-1	n206	1	0	55	26.21041666666667
n257-1	n209	1	0	55	26.495833333333337
n255-1	n205	1	0	58	26.206250000000004
n249-1	n207	1	0	64	26.221875000000004
n250-1	n211	1	0	65	26.640625000000004
n238-1	n208	1	0	69	26.362500000000004
n240-1	n212	1	0	69	26.64479166666667
n239-1	n210	1	0	70	26.495833333333337
n258-1	n215	1	0	55	26.77708333333334
n259-1	n217	1	0	55	27.056250000000006
n252-1	n220	1	0	62	27.209375000000005
n251-1	n213	1	0	64	26.772916666666674
n242-1	n216	1	0	65	26.93020833333334
n244-1	n219	1	0	65	27.204166666666673
n241-1	n214	1	0	67	26.772916666666674
n243-1	n218	1	0	67	27.061458333333338
n260-1	n221	1	0	55	27.32395833333334
